nace_r2,emp_cont,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
I,TOTAL,THS,EA18	6154.4 	5967.2 	5669.6 	5379.9 	5268.7 	5315.4 	5264.7 	5168.3 	5199.4 	5156.8 b
I,TOTAL,THS,EA19	6185.7 	6000.4 	5701.4 	5412.1 	5300.2 	5345.4 	5295.6 	5198.0 	5229.7 	5189.9 b
I,TOTAL,THS,EE	23.9 	25.4 	24.8 	24.1 	21.7 	17.0 	17.2 	18.0 	17.3 	21.7 b
I,TOTAL,THS,EL	231.5 	223.1 	212.9 	194.8 	154.3 	159.9 	171.7 	180.0 	193.4 b	186.8 b
I,TOTAL,THS,ES	1323.6 	1276.5 	1165.8 	1068.9 	1022.5 	1030.0 	1079.3 	1048.8 	1080.3 b	1101.9 b
I,TOTAL,THS,EU15	7760.6 	7542.7 	7172.6 	6835.1 	6644.6 	6657.9 	6577.9 	6448.0 	6428.5 	6277.1 b
I,TOTAL,THS,EU27	9006.3 	8777.4 	8365.1 	8000.0 	7754.2 	7766.2 	7679.5 	7544.5 	7524.8 	7364.5 b
I,TOTAL,THS,EU28	9109.6 	8872.9 	8449.9 	8081.5 	7832.0 	7841.0 	7754.2 	7626.7 	7600.8 	7444.3 b
I,TOTAL,THS,FI	75.4 	72.7 	74.9 	74.1 	76.1 	76.2 	72.8 	71.4 	74.1 	78.2 b
I,TOTAL,THS,FR	852.5 	840.6 	809.0 	754.6 b	783.5 	805.0 	803.7 	776.3 	728.2 	700.0 b
I,TOTAL,THS,HR	103.3 	95.5 	84.8 	81.4 b	77.8 	74.8 	74.7 	82.2 	76.0 	79.8 b
I,TOTAL,THS,HU	171.8 	176.1 	168.5 	151.8 	141.6 	141.8 	136.1 	129.0 	131.0 	139.3 b
I,TOTAL,THS,IE	151.4 b	141.3 	133.1 	129.6 	123.2 	109.7 	104.0 	113.6 	116.8 	120.7 b
I,TOTAL,THS,IS	10.3 	10.9 	9.9 	9.6 	8.9 	7.3 	7.9 	7.1 	6.9 	5.8 b
I,TOTAL,THS,IT	1043.1 	990.1 	935.8 	861.9 	837.6 	863.1 	803.4 	795.2 	779.3 	773.2 b
I,TOTAL,THS,LT	31.3 	33.2 	31.8 	32.2 	31.4 	30.0 	30.9 	29.7 	30.3 	33.2 b
I,TOTAL,THS,LU	6.4 	8.4 	8.3 b	7.1 	6.4 	7.3 	6.8 	4.6 	5.8 b	5.4 b
I,TOTAL,THS,LV	27.4 	27.9 	28.3 	27.2 	23.2 	25.5 	24.5 	25.0 	22.0 	27.2 b
I,TOTAL,THS,ME	16.4 	15.6 	14.3 	15.3 	14.5 	11.9 	11.5 	: 	: 	: 
I,TOTAL,THS,MK	24.7 	21.9 	22.8 	20.7 	19.3 	20.8 	19.7 	: 	: 	: 
I,TOTAL,THS,MT	14.7 	15.0 	13.1 	13.9 	15.3 	13.6 	12.2 	11.5 	11.9 	11.7 b
I,TOTAL,THS,NL	304.1 	295.0 	294.0 	271.9 	265.7 b	293.5 	286.2 	288.3 b	289.2 	291.6 b
I,TOTAL,THS,NO	72.7 	67.1 	72.3 	71.0 	64.5 	64.7 	63.6 	65.5 	65.3 	63.8 b
I,TOTAL,THS,PL	326.4 	313.9 	287.1 	285.6 	281.5 	293.5 	284.2 	281.0 b	277.6 	265.0 b
I,TOTAL,THS,PT	251.1 	215.5 	197.1 	205.5 	216.1 	206.8 	216.6 b	217.0 	213.1 	221.9 b
I,TOTAL,THS,RO	195.7 	198.3 	177.0 	170.9 	165.4 	163.3 	162.3 	155.4 b	158.0 	145.2 b
I,TOTAL,THS,SE	154.3 	150.0 	143.1 	136.0 	131.9 	125.7 	121.5 	125.9 	120.6 	123.6 b
I,TOTAL,THS,SI	38.9 	34.7 	39.3 	34.3 	31.8 	33.1 	37.3 	39.4 	34.3 	38.4 b
I,TOTAL,THS,SK	93.0 	96.5 	96.5 	102.4 	98.3 	87.7 	84.9 b	87.1 	89.9 b	94.0 b
I,TOTAL,THS,TR	1180.2 	1130.9 	1125.7 	1016.0 b	1002.3 	905.6 	845.4 	789.5 	761.6 	: 
I,TOTAL,THS,UK	1572.8 	1544.7 	1480.5 	1451.1 	1370.5 	1332.1 	1308.1 	1280.6 	1230.4 	1134.6 b
I,UNK,THS,CH	1.2 u	1.2 u	1.3 u	: u	1.2 u	: u	1.0 u	1.4 bu	: u	: bc
I,UNK,THS,CZ	: c	: c	0.7 u	: u	: u	: c	: bu	: c	: u	: bu
I,UNK,THS,DE	11.8 	10.3 	6.7 	9.0 	7.8 	10.4 	10.7 	6.6 b	: u	10.0 b
I,UNK,THS,EA17	20.9 	18.1 	13.7 	14.4 	14.0 	17.2 	16.6 	12.6 	10.5 u	16.7 b
I,UNK,THS,EA18	20.9 	18.2 	13.7 	14.4 	14.0 	17.2 	16.6 	12.6 	10.5 u	16.7 b
I,UNK,THS,EA19	20.9 	18.2 	13.7 	14.4 	14.0 	17.2 	16.6 	12.6 	10.5 u	16.7 bu
I,UNK,THS,EE	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 
I,UNK,THS,EU15	24.9 	23.1 	19.1 	17.7 	18.7 	20.2 	20.5 	15.9 	12.4 u	19.5 b
I,UNK,THS,EU27	25.0 	23.5 	19.8 	18.2 	19.0 	20.2 	21.0 	15.9 	12.7 u	19.7 bu
I,UNK,THS,EU28	25.8 	23.9 	19.8 	18.2 	19.0 	20.2 	21.0 	15.9 	12.7 u	19.7 bu
I,UNK,THS,FI	: c	: u	: u	: u	: u	: c	: u	: c	: 	: bc
I,UNK,THS,HR	: u	: c	: 	: 	: 	: 	: 	: 	: 	: 
I,UNK,THS,IE	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I,UNK,THS,IS	: u	: u	: u	: u	: u	: u	: u	: u	: c	: 
I,UNK,THS,LU	: u	: u	: bu	: c	: c	: 	: 	: 	: bc	: 
I,UNK,THS,LV	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 
I,UNK,THS,NL	7.7 	5.7 	5.8 	4.1 	4.8 b	5.8 	4.2 	4.9 b	5.9 	5.5 b
I,UNK,THS,NO	1.2 	: u	0.7 u	0.6 u	0.9 u	0.7 u	1.1 u	: u	: u	: bu
I,UNK,THS,SI	: c	: c	: 	: c	: c	: 	: u	: 	: 	: 
I,UNK,THS,SK	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 
I,UNK,THS,UK	4.1 u	5.2 u	5.4 u	: u	4.8 u	: u	4.0 u	: u	: u	: bu
I55,LTD,THS,AT	18.4 	16.8 	15.2 	17.7 	18.4 	19.1 	19.7 	19.0 	20.7 	19.3 b
I55,LTD,THS,BE	3.6 bu	3.9 u	2.6 u	3.9 u	3.6 u	2.2 u	3.7 u	: u	: u	2.8 bu
I55,LTD,THS,BG	5.7 u	7.9 	8.9 	9.0 	7.9 	6.4 u	6.2 bu	8.2 b	7.7 	6.7 bu
I55,LTD,THS,CH	9.9 	9.5 	9.8 	10.4 	9.4 	11.6 	9.4 	11.7 b	13.2 	10.7 b
I55,LTD,THS,CY	5.9 	6.8 	5.6 	5.2 	5.1 	4.4 	2.8 	2.6 	2.8 b	2.4 b
I55,LTD,THS,CZ	8.2 	7.0 	6.6 	5.7 	7.5 	6.7 	4.8 b	5.1 	5.6 	4.1 b
I55,LTD,THS,DE	78.3 	90.9 	86.5 	82.8 	84.2 	78.4 	86.8 	87.4 b	95.8 	84.4 b
I55,LTD,THS,DK	5.7 b	4.4 b	2.9 u	: u	2.3 u	2.1 u	2.3 u	: u	2.6 u	: bu
I55,LTD,THS,EA17	526.0 	511.4 	471.7 	431.0 	428.2 	423.0 	439.7 	403.0 	409.5 	424.9 b
I55,LTD,THS,EA18	526.4 	511.7 	472.1 	431.2 	428.3 	423.0 	440.2 	403.4 	409.9 	425.3 b
I55,LTD,THS,EA19	526.9 	511.9 	472.4 	431.4 	428.9 	423.1 	440.5 	403.6 	410.2 	426.0 b
I55,LTD,THS,EE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bc
I55,LTD,THS,EL	36.5 	27.4 	30.4 	29.9 	23.6 	23.0 	21.5 	21.2 	23.1 b	23.2 b
I55,LTD,THS,ES	140.2 	137.6 	116.5 	103.3 	100.1 	95.5 	111.8 	93.4 	93.0 b	97.6 b
I55,LTD,THS,EU15	567.0 	547.5 	502.8 	461.3 	460.4 	453.6 	473.6 	442.3 	440.3 	459.5 b
I55,LTD,THS,EU27	642.5 	626.4 	581.2 	536.3 	528.6 	520.1 	533.9 	500.6 	498.9 	520.7 b
I55,LTD,THS,EU28	660.1 	641.3 	595.6 	548.3 	536.8 	529.1 	542.0 	505.1 	503.0 	527.0 b
I55,LTD,THS,FI	2.0 u	2.4 u	2.9 u	2.4 u	2.5 u	3.0 u	2.6 u	3.1 u	3.0 u	2.6 bu
I55,LTD,THS,FR	66.1 	63.3 	60.5 	44.7 b	57.4 	66.7 	58.5 	48.7 	48.7 	64.2 b
I55,LTD,THS,HR	17.5 	14.9 	14.4 	12.0 b	8.2 u	9.0 u	8.1 u	4.5 u	4.1 u	6.3 bu
I55,LTD,THS,HU	3.0 u	3.1 u	4.9 	4.8 u	5.2 	4.3 u	4.9 	4.7 u	3.9 u	3.0 bu
I55,LTD,THS,IE	7.7 b	8.4 	8.2 	8.8 	7.9 	7.1 	7.0 	7.8 	6.5 	7.3 b
I55,LTD,THS,IS	: u	0.9 	0.7 	0.9 	0.8 	0.7 	0.5 	: u	: u	: bu
I55,LTD,THS,IT	110.8 	98.9 	93.0 	83.0 	79.2 	80.3 	74.5 	68.8 	66.9 	72.6 b
I55,LTD,THS,LT	: u	: u	: c	: u	: u	: c	: u	: u	: u	: bu
I55,LTD,THS,LU	: u	: u	: bu	: u	: u	: u	: u	: u	: bu	: bu
I55,LTD,THS,LV	: u	: u	: u	: u	: c	: c	: u	: u	: u	: bc
I55,LTD,THS,ME	4.2 	4.1 	2.6 	2.5 	2.5 	1.5 u	: u	: 	: 	: 
I55,LTD,THS,MK	1.2 	1.0 u	0.8 u	1.3 	0.8 u	1.1 u	1.1 u	: 	: 	: 
I55,LTD,THS,MT	: u	0.4 u	0.6 u	1.2 	1.4 	0.8 	1.0 	0.8 	0.9 	0.8 b
I55,LTD,THS,NL	24.2 	25.3 	23.5 	23.0 	20.4 b	23.8 	25.8 	26.5 b	25.7 	23.6 b
I55,LTD,THS,NO	3.7 	3.2 	3.6 	2.9 	2.4 	3.1 	2.1 	3.0 	2.9 	4.4 b
I55,LTD,THS,PL	44.0 	43.9 	41.3 	40.2 	31.5 	35.8 	32.9 	28.5 b	28.6 	33.7 b
I55,LTD,THS,PT	25.6 	20.6 	17.0 	17.7 	18.4 	13.3 	19.4 b	16.1 	14.7 	17.6 b
I55,LTD,THS,RO	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu
I55,LTD,THS,SE	17.0 	15.9 	14.9 	12.6 	12.1 	13.4 	13.8 	14.4 	13.7 	13.7 b
I55,LTD,THS,SI	3.1 u	3.0 u	4.0 	2.5 u	2.5 u	2.3 u	2.5 u	2.6 u	2.3 u	2.7 bu
I55,LTD,THS,SK	2.4 u	4.7 	4.5 	4.0 	3.2 	2.6 u	: bu	2.6 u	3.5 b	3.7 b
I55,LTD,THS,TR	72.2 	51.2 	67.2 	60.3 b	56.6 	50.9 	48.3 	43.9 	33.9 	: 
I55,LTD,THS,UK	30.8 	31.6 	28.3 	29.5 	30.1 	25.5 	25.8 	32.0 	24.1 	28.6 b
I55,NLTD,THS,AT	58.3 	58.2 	53.9 	47.6 	49.5 	52.7 	50.3 	52.8 	56.5 	57.0 b
I55,NLTD,THS,BE	18.8 b	20.8 	17.8 	19.2 	19.9 	19.9 	16.7 	17.0 	19.0 	17.7 b
I55,NLTD,THS,BG	36.1 	31.6 	29.1 	28.1 	26.6 	31.3 	30.6 b	29.5 b	31.1 	31.3 b
I55,NLTD,THS,CH	39.1 	37.1 	35.3 	36.9 	42.0 	36.0 	39.3 	40.7 b	33.7 	32.4 b
I55,NLTD,THS,CY	7.2 	6.4 	5.5 	5.3 	6.2 	6.8 	7.1 	8.1 	8.0 b	8.9 b
I55,NLTD,THS,CZ	33.8 	33.9 	36.6 	35.8 	30.6 	33.0 	34.7 b	32.7 	36.0 	35.8 b
I55,NLTD,THS,DE	369.9 	360.3 	337.0 	349.5 	354.5 	315.1 	300.8 	284.5 b	292.8 	251.3 b
I55,NLTD,THS,DK	16.3 b	18.6 b	19.6 	16.7 	15.7 	18.9 	17.3 	16.0 	17.4 	17.4 b
I55,NLTD,THS,EA17	1169.7 	1162.3 	1071.8 	1044.6 	1039.4 	1045.1 	1061.8 	1034.8 	1044.9 	1011.9 b
I55,NLTD,THS,EA18	1173.6 	1167.1 	1076.5 	1049.3 	1043.0 	1048.2 	1065.8 	1039.4 	1048.9 	1016.1 b
I55,NLTD,THS,EA19	1178.5 	1173.2 	1081.9 	1056.8 	1049.7 	1052.9 	1069.6 	1042.9 	1052.2 	1021.2 b
I55,NLTD,THS,EE	7.0 	7.1 	6.3 	6.7 	7.0 	5.0 	4.8 	6.4 	6.0 	7.2 b
I55,NLTD,THS,EL	29.7 	30.7 	29.0 	28.8 	22.1 	27.6 	26.9 	26.4 	29.4 b	33.6 b
I55,NLTD,THS,ES	239.9 	229.9 	206.9 	197.8 	188.1 	204.4 	228.1 	212.2 	202.9 b	200.9 b
I55,NLTD,THS,EU15	1456.6 	1455.9 	1361.0 	1321.3 	1299.8 	1307.9 	1317.7 	1273.0 	1293.0 	1239.5 b
I55,NLTD,THS,EU27	1721.6 	1723.1 	1614.6 	1578.5 	1552.8 	1562.6 	1562.2 	1508.6 	1537.9 	1490.9 b
I55,NLTD,THS,EU28	1741.1 	1741.5 	1635.0 	1602.3 	1572.4 	1585.6 	1584.3 	1530.3 	1558.6 	1514.6 b
I55,NLTD,THS,FI	10.8 	10.0 	9.9 	9.5 	9.8 	10.2 	11.9 	11.7 	11.1 	12.4 b
I55,NLTD,THS,FR	159.3 	171.6 	143.6 	134.6 b	132.8 	143.3 	156.8 	159.4 	146.6 	142.9 b
I55,NLTD,THS,HR	19.5 	18.4 	20.4 	23.8 b	19.6 	23.0 	22.1 	21.6 	20.8 	23.7 b
I55,NLTD,THS,HU	34.2 	38.1 	34.1 	31.2 	32.1 	35.7 	32.4 	24.8 	25.7 	30.9 b
I55,NLTD,THS,IE	43.1 b	41.9 	41.9 	40.9 	39.0 	36.6 	30.5 	35.3 	37.8 	37.6 b
I55,NLTD,THS,IS	2.9 	2.2 	2.2 	2.0 	1.7 	1.6 	1.9 	1.5 	1.5 	1.1 b
I55,NLTD,THS,IT	109.5 	118.8 	107.0 	95.4 	101.6 	102.5 	103.9 	101.7 	115.8 	116.7 b
I55,NLTD,THS,LT	5.0 u	6.1 u	5.4 u	7.5 u	6.7 u	4.7 u	: u	: u	: u	: bu
I55,NLTD,THS,LU	0.8 u	1.3 	2.0 b	1.8 	1.4 	1.3 	1.8 	1.0 	1.3 b	1.6 b
I55,NLTD,THS,LV	3.8 	4.7 	4.7 	4.6 	3.6 	3.1 	3.9 	4.5 	4.0 	4.3 b
I55,NLTD,THS,ME	3.0 	3.8 	4.4 	4.6 	4.4 	3.1 	3.5 	: 	: 	: 
I55,NLTD,THS,MK	4.0 	4.0 	3.8 	3.6 	3.6 	3.4 	3.9 	: 	: 	: 
I55,NLTD,THS,MT	8.2 	7.0 	6.2 	6.6 	8.2 	7.6 	7.0 	6.9 	7.3 	7.4 b
I55,NLTD,THS,NL	37.1 	33.2 	32.2 	28.3 	28.8 b	41.0 	42.7 	40.0 b	39.9 	44.3 b
I55,NLTD,THS,NO	16.7 	15.5 	16.6 	18.7 	17.2 	20.1 	18.7 	20.1 	20.8 	19.4 b
I55,NLTD,THS,PL	57.0 	59.2 	51.2 	47.9 	56.8 	56.8 	48.6 	46.5 b	48.6 	48.8 b
I55,NLTD,THS,PT	41.7 	37.0 	37.3 	38.2 	37.1 	38.3 	40.2 b	37.4 	38.3 	40.2 b
I55,NLTD,THS,RO	44.4 	45.1 	39.1 	49.0 	41.6 	37.6 	39.4 	38.6 b	42.5 	39.6 b
I55,NLTD,THS,SE	25.2 	26.1 	25.6 	21.5 	21.5 	20.8 	20.0 	22.6 	20.2 	21.0 b
I55,NLTD,THS,SI	6.8 	5.5 	8.2 	8.4 	7.8 	8.9 	9.7 	9.9 	7.9 	9.3 b
I55,NLTD,THS,SK	21.7 	22.5 	27.1 	26.0 	25.9 	24.1 	22.6 b	24.2 	24.2 b	22.8 b
I55,NLTD,THS,TR	205.6 	201.3 	218.4 	188.7 b	202.9 	179.1 	156.0 	141.9 	142.3 	: 
I55,NLTD,THS,UK	296.2 	297.4 	297.2 	291.5 	278.2 	275.5 	269.8 	255.1 	264.0 	244.9 b
I55,TOTAL,THS,AT	76.8 	75.0 	69.1 	65.4 	67.8 	71.7 	70.0 	71.8 	77.2 	76.3 b
I55,TOTAL,THS,BE	22.4 b	24.7 	20.4 	23.1 	23.5 	22.1 	20.4 	18.7 	20.5 	20.5 b
I55,TOTAL,THS,BG	41.7 	39.4 	37.9 	37.1 	34.5 	37.7 	36.8 b	37.7 b	38.8 	38.0 b
I55,TOTAL,THS,CH	48.9 	46.9 	45.5 	47.4 	51.8 	47.8 	49.3 	52.6 b	47.1 	43.1 b
I55,TOTAL,THS,CY	13.0 	13.2 	11.0 	10.5 	11.3 	11.1 	9.9 	10.7 	10.8 b	11.3 b
I55,TOTAL,THS,CZ	41.9 	40.9 	43.3 	41.6 	38.1 	39.7 	39.5 b	37.9 	41.6 	39.9 b
I55,TOTAL,THS,DE	450.7 	453.2 	425.4 	433.6 	440.5 	395.6 	390.0 	374.2 b	389.3 	337.0 b
I55,TOTAL,THS,DK	21.9 b	23.0 b	22.5 	18.3 	18.0 	21.0 	19.6 	17.9 	20.0 	19.2 b
I55,TOTAL,THS,EA17	1699.9 	1676.9 	1546.4 	1478.1 	1470.8 	1471.9 	1505.1 	1441.8 	1456.2 	1439.0 b
I55,TOTAL,THS,EA18	1704.2 	1681.9 	1551.5 	1482.9 	1474.5 	1475.0 	1509.5 	1446.7 	1460.6 	1443.7 b
I55,TOTAL,THS,EA19	1709.6 	1688.3 	1557.2 	1490.6 	1481.7 	1479.8 	1513.7 	1450.4 	1464.3 	1449.4 b
I55,TOTAL,THS,EE	7.7 	8.0 	6.6 	7.4 	7.2 	5.4 	5.3 	6.8 	6.2 	7.2 b
I55,TOTAL,THS,EL	66.2 	58.1 	59.3 	58.7 	45.6 	50.5 	48.5 	47.6 	52.6 b	56.8 b
I55,TOTAL,THS,ES	380.1 	367.5 	323.4 	301.1 	288.2 	299.9 	339.9 	305.6 	295.9 b	298.5 b
I55,TOTAL,THS,EU15	2029.4 	2007.7 	1867.5 	1785.0 	1763.6 	1765.5 	1795.6 	1719.6 	1735.8 	1701.5 b
I55,TOTAL,THS,EU27	2369.8 	2353.9 	2199.4 	2117.3 	2084.9 	2086.6 	2100.5 	2013.5 	2039.3 	2014.0 b
I55,TOTAL,THS,EU28	2406.8 	2387.2 	2234.2 	2153.1 	2112.7 	2118.7 	2130.7 	2039.6 	2064.1 	2044.1 b
I55,TOTAL,THS,FI	12.8 	12.4 	12.9 	12.0 	12.3 	13.2 	14.5 	14.8 	14.1 	15.0 b
I55,TOTAL,THS,FR	225.4 	234.9 	204.2 	179.3 b	190.2 	210.0 	215.3 	208.0 	195.3 	207.1 b
I55,TOTAL,THS,HR	37.0 	33.3 	34.8 	35.8 b	27.9 	32.1 	30.2 	26.1 	24.9 	30.1 b
I55,TOTAL,THS,HU	37.2 	41.1 	39.0 	36.0 	37.4 	40.0 	37.3 	29.5 	29.7 	33.9 b
I55,TOTAL,THS,IE	51.0 b	50.5 	50.3 	50.0 	47.4 	44.1 	38.0 	43.4 	44.4 	45.2 b
I55,TOTAL,THS,IS	3.3 	3.2 	2.9 	2.9 	2.6 	2.3 	2.5 	2.0 	2.0 	1.5 b
I55,TOTAL,THS,IT	220.3 	217.6 	200.0 	178.4 	180.8 	182.8 	178.5 	170.6 	182.7 	189.3 b
I55,TOTAL,THS,LT	5.5 u	6.3 u	5.7 u	7.7 u	7.2 u	4.7 u	: u	: u	: u	: bu
I55,TOTAL,THS,LU	0.9 u	1.7 	2.5 b	2.0 	1.7 	1.6 	2.0 	1.4 	1.6 b	1.8 b
I55,TOTAL,THS,LV	4.3 	5.1 	5.1 	4.8 	3.7 	3.2 	4.4 	4.9 	4.4 	4.7 b
I55,TOTAL,THS,ME	7.2 	7.9 	6.9 	7.1 	6.9 	4.6 	4.5 	: 	: 	: 
I55,TOTAL,THS,MK	5.2 	5.0 	4.6 	4.9 	4.4 	4.5 	5.0 	: 	: 	: 
I55,TOTAL,THS,MT	8.4 	7.5 	6.8 	7.8 	9.5 	8.4 	8.1 	7.7 	8.2 	8.2 b
I55,TOTAL,THS,NL	62.6 	59.3 	56.4 	52.0 	49.9 b	66.1 	69.3 	67.6 b	66.7 	68.4 b
I55,TOTAL,THS,NO	20.5 	18.7 	20.4 	21.7 	19.9 	23.3 	21.1 	23.2 	23.9 	23.9 b
I55,TOTAL,THS,PL	101.0 	103.1 	92.6 	88.0 	88.3 	92.6 	81.5 	75.0 b	77.2 	82.5 b
I55,TOTAL,THS,PT	67.3 	57.6 	54.3 	55.9 	55.5 	51.6 	59.5 b	53.5 	52.9 	57.8 b
I55,TOTAL,THS,RO	45.6 	45.8 	40.2 	50.4 	44.6 	40.4 	42.0 	40.8 b	45.0 	42.7 b
I55,TOTAL,THS,SE	42.1 	42.0 	40.4 	34.2 	33.6 	34.2 	33.7 	37.0 	33.9 	34.7 b
I55,TOTAL,THS,SI	9.9 	8.5 	12.2 	10.9 	10.4 	11.2 	12.2 	12.5 	10.2 	12.0 b
I55,TOTAL,THS,SK	24.1 	27.2 	31.6 	30.1 	29.1 	26.7 	23.9 b	26.8 	27.7 b	26.5 b
I55,TOTAL,THS,TR	277.8 	252.6 	285.5 	249.0 b	259.5 	230.0 	204.4 	185.8 	176.2 	: 
I55,TOTAL,THS,UK	328.5 	330.2 	326.3 	321.0 	308.6 	301.2 	296.3 	287.4 	288.8 	273.7 b
I55,UNK,THS,CH	: 	: u	: u	: c	: u	: u	: u	: bu	: c	: bc
I55,UNK,THS,CZ	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
I55,UNK,THS,DE	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu
I55,UNK,THS,EA17	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I55,UNK,THS,EA18	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I55,UNK,THS,EA19	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I55,UNK,THS,EU15	5.7 u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I55,UNK,THS,EU27	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I55,UNK,THS,EU28	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I55,UNK,THS,FI	: 	: 	: c	: c	: 	: c	: 	: 	: 	: 
I55,UNK,THS,IE	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I55,UNK,THS,IS	: c	: u	: c	: c	: 	: c	: c	: 	: 	: 
I55,UNK,THS,LU	: c	: u	: bc	: 	: 	: 	: 	: 	: 	: 
I55,UNK,THS,NL	: u	: u	: u	: u	: bu	: u	: u	: bu	: u	: bu
I55,UNK,THS,NO	: c	: c	: u	: u	: u	: c	: u	: c	: u	: bu
I55,UNK,THS,SI	: c	: c	: 	: c	: c	: 	: c	: 	: 	: 
I55,UNK,THS,SK	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 
I55,UNK,THS,UK	: u	: u	: u	: 	: c	: c	: u	: c	: u	: bc
N79,LTD,THS,AT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
N79,LTD,THS,BE	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: bu
N79,LTD,THS,BG	: c	: c	: u	: u	: c	: c	: bc	: bc	: c	: bu
N79,LTD,THS,CH	1.1 u	1.4 u	1.7 u	2.7 u	2.2 u	1.2 u	: u	1.3 bu	: u	: bu
N79,LTD,THS,CY	: u	: u	: u	: u	: u	: c	: c	: c	: bu	: 
N79,LTD,THS,CZ	0.6 u	0.7 u	0.9 u	1.6 u	0.9 u	0.8 u	0.6 bu	0.8 u	0.9 u	: bc
N79,LTD,THS,DE	16.7 	16.2 	16.3 	17.7 	18.6 	13.5 	14.4 	14.2 b	16.5 	17.5 b
N79,LTD,THS,DK	: bu	: bu	: u	: u	: u	: u	: u	: u	: u	: bu
N79,LTD,THS,EA17	52.9 	53.5 	61.6 	54.7 	53.9 	51.7 	51.1 	54.2 	50.8 	57.0 b
N79,LTD,THS,EA18	52.9 	53.5 	61.6 	54.7 	53.9 	51.9 	51.6 	54.3 	50.8 	57.1 b
N79,LTD,THS,EA19	52.9 	53.5 	61.7 	54.7 	53.9 	51.9 	51.7 	54.3 	50.9 	57.1 b
N79,LTD,THS,EE	: c	: 	: 	: c	: c	: c	: 	: c	: c	: 
N79,LTD,THS,EL	2.0 u	2.3 u	2.9 u	2.8 u	: u	2.0 u	1.7 u	2.5 u	2.8 bu	1.9 bu
N79,LTD,THS,ES	10.6 	8.6 	11.9 	9.3 	9.9 	8.6 	9.9 	10.1 	8.2 b	13.0 b
N79,LTD,THS,EU15	58.2 	60.0 	68.2 	60.8 	61.0 	61.0 	56.6 	62.6 	56.3 	64.7 b
N79,LTD,THS,EU27	65.6 	68.8 	74.8 	70.2 	67.4 	66.1 	64.1 	70.4 	63.4 	68.9 b
N79,LTD,THS,EU28	66.0 	71.2 	75.8 	71.2 	68.2 	66.5 	64.6 	71.0 	64.0 	69.5 b
N79,LTD,THS,FI	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
N79,LTD,THS,FR	4.2 u	7.5 u	8.0 u	7.0 bu	6.7 u	8.6 u	8.1 u	6.9 u	7.1 u	8.0 bu
N79,LTD,THS,HR	: u	2.4 u	: u	: bu	: u	: c	: u	: u	: u	: bu
N79,LTD,THS,HU	: u	: c	: u	: u	: u	: u	: c	: u	: c	: bc
N79,LTD,THS,IE	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: bu
N79,LTD,THS,IS	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
N79,LTD,THS,IT	7.5 	6.8 	8.8 	6.9 	6.6 	9.7 	7.7 	7.6 	6.1 	6.4 b
N79,LTD,THS,LT	: c	: c	: c	: c	: 	: c	: c	: 	: c	: 
N79,LTD,THS,LU	: c	: c	: bc	: c	: c	: 	: c	: c	: 	: 
N79,LTD,THS,LV	: c	: c	: c	: 	: c	: c	: c	: c	: c	: bc
N79,LTD,THS,ME	: u	: u	: u	: u	: u	: c	: u	: 	: 	: 
N79,LTD,THS,MK	: c	: c	: c	0.6 u	: u	: c	: 	: 	: 	: 
N79,LTD,THS,MT	: c	: c	: 	: c	: c	: 	: 	: 	: c	: bc
N79,LTD,THS,NL	3.6 	3.2 	4.3 	2.7 	3.3 b	3.7 	3.7 	3.9 b	3.8 	3.8 b
N79,LTD,THS,NO	0.6 	: u	: u	: u	0.6 u	0.7 u	: u	: u	: u	: bu
N79,LTD,THS,PL	: u	6.3 u	: u	5.2 u	: u	: u	5.7 u	5.4 bu	: u	: bu
N79,LTD,THS,PT	: u	: u	5.7 	: u	: u	: u	: bu	: u	: u	: bu
N79,LTD,THS,RO	: 	: 	: 	: 	: c	: 	: c	: bc	: 	: 
N79,LTD,THS,SE	1.6 u	1.5 u	1.9 u	1.9 u	1.9 u	2.6 	2.1 	1.5 u	: u	: bu
