nace_r2,emp_cont,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
H51,NLTD,THS,FI	6.4 	4.8 	5.0 	5.3 	5.2 	4.9 	5.5 	6.1 	6.9 	8.3 b
H51,NLTD,THS,FR	62.8 	68.6 	83.9 	76.2 b	71.5 	78.5 	80.7 	72.9 	66.9 	79.9 b
H51,NLTD,THS,HR	: u	: c	: 	: bu	: u	: c	: c	: c	: c	: bu
H51,NLTD,THS,HU	4.9 	5.6 	5.1 	5.6 	3.6 u	2.8 u	7.2 	6.6 	4.9 	4.2 bu
H51,NLTD,THS,IE	6.9 b	7.2 	9.6 	9.9 	8.0 	7.7 	7.3 	8.7 	8.1 	6.6 b
H51,NLTD,THS,IS	2.7 	2.5 	1.8 	1.8 	1.8 	1.3 	1.7 	1.7 	2.0 	1.8 b
H51,NLTD,THS,IT	21.8 	20.6 	21.3 	29.4 	28.3 	27.4 	28.1 	27.6 	27.1 	30.5 b
H51,NLTD,THS,LT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,NLTD,THS,LU	2.1 	2.2 	2.1 b	2.1 	2.0 	2.0 	2.4 	2.6 	2.3 b	3.0 b
H51,NLTD,THS,LV	2.4 	2.4 	1.5 u	: u	: u	2.4 u	2.6 u	2.5 u	2.0 u	1.5 bu
H51,NLTD,THS,ME	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 
H51,NLTD,THS,MK	: c	: c	: c	: c	: c	: c	: u	: 	: 	: 
H51,NLTD,THS,MT	1.5 	1.3 	1.4 	1.5 	0.9 	1.0 	1.5 	1.6 	1.2 	1.4 b
H51,NLTD,THS,NL	21.2 	21.0 	22.1 	23.2 	23.5 b	27.5 	30.5 	31.3 b	33.6 	30.7 b
H51,NLTD,THS,NO	5.1 	6.4 	6.9 	7.1 	7.9 	8.1 	6.0 	6.6 	7.3 	7.5 b
H51,NLTD,THS,PL	9.1 u	8.6 u	9.3 u	10.6 u	6.4 u	8.6 u	6.6 u	5.6 bu	5.4 u	5.2 bu
H51,NLTD,THS,PT	8.6 	10.5 	8.2 	7.2 	7.1 	6.2 	5.8 b	5.6 	10.5 	8.7 b
H51,NLTD,THS,RO	: u	6.8 u	8.0 u	: u	8.9 u	10.2 u	8.5 u	7.2 bu	8.7 u	7.5 bu
H51,NLTD,THS,SE	7.3 	7.4 	5.8 	5.4 	5.9 	6.2 	5.8 	6.7 	7.2 	7.2 b
H51,NLTD,THS,SI	: u	0.7 u	0.7 u	: u	1.3 u	1.0 u	1.2 u	1.5 u	1.8 u	1.3 bu
H51,NLTD,THS,SK	: u	2.5 u	2.4 u	2.2 u	: u	: u	: bu	: u	2.3 bu	2.7 bu
H51,NLTD,THS,TR	36.2 	35.2 	29.3 	21.7 b	40.7 	23.0 	22.4 	20.9 	25.6 	: 
H51,NLTD,THS,UK	63.4 	65.2 	64.5 	66.7 	54.5 	57.3 	64.0 	58.4 	68.0 	50.3 b
H51,TOTAL,THS,AT	8.0 	8.3 	7.9 	7.8 	9.2 	9.3 	10.1 	8.3 	10.5 	8.2 b
H51,TOTAL,THS,BE	11.0 b	11.8 	9.8 	9.8 	9.6 	12.2 	11.2 	12.0 	9.1 	11.3 b
