nace_r2,age,wstatus,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
I,Y15-24,SAL,THS,TR	322.9 	305.7 	317.1 	282.2 b	267.0 	247.9 	237.4 	210.0 	199.6 	: 
I,Y15-24,SAL,THS,UK	589.5 	597.3 	539.8 	556.4 	521.5 	513.0 	485.1 	480.0 	463.6 	454.3 b
I,Y15-24,SELF,THS,AT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I,Y15-24,SELF,THS,BE	2.3 bu	: u	: u	2.0 u	: u	2.1 u	2.4 bu	: u	: u	: bu
I,Y15-24,SELF,THS,BG	: c	: c	: u	: u	: u	: 	: bu	: bu	: u	: bc
I,Y15-24,SELF,THS,CH	: u	: u	: u	: c	: c	: u	: u	: bu	: u	: bu
I,Y15-24,SELF,THS,CY	: c	: c	: u	: c	: u	: c	: 	: 	: bc	: bu
I,Y15-24,SELF,THS,CZ	1.2 u	1.2 u	0.8 u	0.7 u	0.6 u	0.6 u	0.6 bu	2.2 u	0.6 u	: bu
I,Y15-24,SELF,THS,DE	: u	: u	: u	: u	: u	: u	5.1 b	: bu	: u	: bu
I,Y15-24,SELF,THS,DK	: bu	: bc	: u	: u	: u	: u	: u	: u	: c	: bc
I,Y15-24,SELF,THS,EA17	31.3 	42.6 	47.6 	49.5 	37.8 	41.1 	38.3 	35.2 	38.0 	44.5 b
I,Y15-24,SELF,THS,EA18	31.3 	42.6 	47.6 	49.6 	37.8 	41.1 	38.4 	35.2 	38.0 	44.6 b
I,Y15-24,SELF,THS,EA19	31.6 	42.7 	47.7 	49.6 	37.9 	41.2 	38.4 	35.3 	38.0 	44.6 b
I,Y15-24,SELF,THS,EE	: c	: c	: 	: c	: 	: c	: c	: 	: c	: 
I,Y15-24,SELF,THS,EL	: u	: u	1.9 u	2.3 u	1.7 u	: u	2.1 u	3.2 u	2.8 bu	2.0 bu
I,Y15-24,SELF,THS,ES	4.1 u	5.9 	6.9 	7.1 	6.7 	8.0 	5.6 	4.1 u	8.0 b	11.2 b
I,Y15-24,SELF,THS,EU15	40.4 	48.0 	51.9 	54.5 	43.4 	44.4 	41.9 	39.5 	42.0 	48.7 b
I,Y15-24,SELF,THS,EU27	46.4 	53.3 	55.1 	59.2 	47.0 	47.8 	46.7 	45.1 	45.4 	51.5 b
I,Y15-24,SELF,THS,EU28	47.0 	53.5 	55.5 	59.5 	48.6 	49.2 	47.7 	45.6 	45.7 	53.0 b
I,Y15-24,SELF,THS,FI	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I,Y15-24,SELF,THS,FR	1.1 u	2.6 u	3.4 u	4.8 bu	2.3 u	: u	: u	5.5 u	: u	: bu
I,Y15-24,SELF,THS,HR	: u	: c	: c	: bc	1.6 u	1.4 u	: u	: c	: c	1.5 bu
I,Y15-24,SELF,THS,HU	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I,Y15-24,SELF,THS,IE	: bc	: u	: c	: u	: u	: c	: c	: c	: 	: bc
I,Y15-24,SELF,THS,IS	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 
I,Y15-24,SELF,THS,IT	15.5 	24.1 	22.4 	22.4 	18.3 	18.4 	13.9 	14.5 	12.3 	14.5 b
I,Y15-24,SELF,THS,LT	: u	: c	: c	: 	: c	: c	: 	: c	: 	: bc
I,Y15-24,SELF,THS,LU	: c	: u	: bc	: 	: c	: 	: 	: c	: 	: 
I,Y15-24,SELF,THS,LV	: c	: 	: 	: c	: 	: 	: c	: 	: 	: bc
I,Y15-24,SELF,THS,ME	: 	: c	: c	: 	: c	: c	: c	: 	: 	: 
I,Y15-24,SELF,THS,MK	: u	: u	: 	: u	: c	: c	: c	: 	: 	: 
I,Y15-24,SELF,THS,MT	: 	: c	: u	: c	: 	: 	: 	: c	: u	: bu
I,Y15-24,SELF,THS,NL	2.0 u	3.0 	4.5 	3.2 	2.4 bu	: u	2.0 bu	1.9 bu	: u	1.6 bu
I,Y15-24,SELF,THS,NO	: u	: c	: c	: 	: c	: c	: 	: c	: u	: bu
I,Y15-24,SELF,THS,PL	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bc
I,Y15-24,SELF,THS,PT	: c	: u	: u	: u	: u	: u	: bu	: u	: u	: bu
I,Y15-24,SELF,THS,RO	: u	: c	: c	: u	: u	: u	: c	: bc	: c	: bc
I,Y15-24,SELF,THS,SE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I,Y15-24,SELF,THS,SI	: u	: 	: c	: c	: u	: u	: u	: u	: c	: bc
I,Y15-24,SELF,THS,SK	: u	: u	: u	: 	: 	: u	: bu	: u	: bu	: bc
I,Y15-24,SELF,THS,TR	8.1 	11.4 	11.7 	7.6 b	8.8 	8.6 	9.0 	9.5 	8.4 	: 
I,Y15-24,SELF,THS,UK	9.1 u	5.2 u	4.3 u	4.1 u	4.7 u	: u	4.2 u	: u	: u	: bu
I,Y25-34,CFAM,THS,AT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I,Y25-34,CFAM,THS,BE	: bu	: u	: u	: u	: u	: c	: bu	: u	: u	: bu
I,Y25-34,CFAM,THS,BG	: u	: u	: c	: c	: c	: u	: bu	: bc	: u	: bc
I,Y25-34,CFAM,THS,CH	: u	: u	: u	: u	1.0 u	1.5 u	1.2 u	: bu	: c	: bu
I,Y25-34,CFAM,THS,CY	: 	: c	: c	: u	: u	: u	: c	: c	: bu	: bu
I,Y25-34,CFAM,THS,CZ	: u	: u	1.1 u	: u	: u	: u	0.9 bu	1.1 u	0.9 u	1.4 bu
I,Y25-34,CFAM,THS,DE	: u	: u	: u	: u	: u	: u	: bu	: bu	: u	: bu
I,Y25-34,CFAM,THS,DK	: bc	: bc	: c	: c	: 	: c	: c	: c	: c	: 
I,Y25-34,CFAM,THS,EA17	26.4 	27.9 	29.0 	24.6 	24.1 	26.6 	35.1 	34.9 	36.2 	40.8 b
I,Y25-34,CFAM,THS,EA18	26.4 	27.9 	29.0 	24.6 	24.1 	26.6 	35.1 	34.9 	36.2 	40.8 b
I,Y25-34,CFAM,THS,EA19	26.4 	27.9 	29.0 	24.6 	24.2 	26.6 	35.1 	35.0 	36.2 	40.9 b
I,Y25-34,CFAM,THS,EE	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 
I,Y25-34,CFAM,THS,EL	6.4 	6.6 	6.2 	4.8 	4.0 	5.3 	9.5 	8.5 	8.1 b	10.4 b
I,Y25-34,CFAM,THS,ES	2.8 u	3.2 u	5.5 	3.9 u	3.7 u	4.3 u	5.1 	5.7 	6.8 b	7.4 b
I,Y25-34,CFAM,THS,EU15	27.0 	28.4 	28.7 	24.8 	24.9 	26.3 	35.9 	35.1 	36.1 	40.8 b
I,Y25-34,CFAM,THS,EU27	28.0 	29.9 	31.1 	26.1 	26.0 	28.2 	38.4 	38.2 	39.2 	43.2 b
I,Y25-34,CFAM,THS,EU28	28.5 	30.1 	33.0 	26.9 	26.0 	28.4 	38.4 	38.3 	39.2 	43.4 b
I,Y25-34,CFAM,THS,FI	: 	: c	: c	: c	: u	: c	: c	: c	: 	: bc
I,Y25-34,CFAM,THS,FR	2.8 u	0.7 u	1.0 u	1.1 bu	1.6 u	: u	: u	: u	: u	: bu
I,Y25-34,CFAM,THS,HR	: c	: c	1.9 u	: bu	: 	: c	: 	: c	: 	: bc
I,Y25-34,CFAM,THS,HU	: 	: 	: 	: c	: 	: u	: u	: c	: u	: bc
I,Y25-34,CFAM,THS,IE	: bc	: c	: u	: u	: u	: u	: u	: u	: u	: bu
I,Y25-34,CFAM,THS,IT	10.4 	12.1 	10.7 	9.2 	10.5 	10.4 	14.4 	13.4 	14.7 	14.0 b
I,Y25-34,CFAM,THS,LT	: 	: 	: 	: 	: c	: 	: 	: c	: c	: bc
I,Y25-34,CFAM,THS,LU	: c	: 	: bc	: 	: 	: 	: 	: 	: 	: 
I,Y25-34,CFAM,THS,ME	: u	: 	: c	: 	: 	: 	: 	: 	: 	: 
I,Y25-34,CFAM,THS,MK	: c	: 	: c	: u	: u	: c	: c	: 	: 	: 
I,Y25-34,CFAM,THS,NL	: u	: u	: u	: u	: bu	: u	: bu	: bu	: u	: bu
I,Y25-34,CFAM,THS,NO	: 	: c	: 	: c	: c	: 	: 	: c	: c	: 
I,Y25-34,CFAM,THS,PL	: c	: u	: u	: c	: c	: c	: u	: bu	: c	: bc
I,Y25-34,CFAM,THS,PT	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: bc
I,Y25-34,CFAM,THS,RO	: c	: 	: 	: c	: c	: 	: c	: bc	: 	: 
I,Y25-34,CFAM,THS,SE	: u	: 	: 	: c	: c	: c	: c	: u	: u	: bu
I,Y25-34,CFAM,THS,SI	: c	: u	: u	: c	: c	: u	: u	: c	: c	: bc
I,Y25-34,CFAM,THS,SK	: 	: c	: c	: 	: 	: 	: 	: u	: bu	: 
I,Y25-34,CFAM,THS,TR	13.3 	13.7 	15.3 	21.6 b	14.9 	12.4 	12.8 	11.9 	12.7 	: 
I,Y25-34,CFAM,THS,UK	: c	: u	: c	: c	: u	: 	: u	: u	: c	: 
I,Y25-34,EMP,THS,AT	66.6 	64.0 	63.1 	54.8 	54.7 	61.2 	60.9 	55.1 	54.4 	53.6 b
I,Y25-34,EMP,THS,BE	41.5 b	36.4 	41.8 	38.0 	35.6 	36.5 	37.0 b	34.5 	38.6 	35.8 b
I,Y25-34,EMP,THS,BG	47.1 	45.2 	47.0 	44.9 	40.9 	41.2 	43.6 b	42.4 b	37.6 	41.1 b
I,Y25-34,EMP,THS,CH	41.4 	41.6 	46.1 	46.1 	44.0 	41.7 	43.5 	43.2 b	34.4 	36.8 b
I,Y25-34,EMP,THS,CY	10.6 	9.9 	8.8 	7.9 	8.1 	8.2 	6.8 	6.3 	6.5 b	5.0 b
I,Y25-34,EMP,THS,CZ	42.8 	45.8 	50.2 	51.8 	48.4 	53.0 	53.5 b	54.1 	58.9 	58.9 b
I,Y25-34,EMP,THS,DE	374.8 	373.2 	361.9 	342.7 	343.9 	339.4 	338.0 b	332.7 b	342.8 	328.4 b
I,Y25-34,EMP,THS,DK	26.2 b	27.5 b	27.1 	22.7 	21.7 	21.2 	16.9 	17.9 	17.8 	18.3 b
I,Y25-34,EMP,THS,EA17	1882.5 	1893.0 	1842.4 	1736.7 	1705.5 	1746.4 	1742.4 	1724.0 	1746.0 	1743.8 b
I,Y25-34,EMP,THS,EA18	1892.6 	1903.4 	1852.4 	1745.6 	1712.1 	1755.1 	1750.0 	1730.2 	1751.4 	1750.3 b
I,Y25-34,EMP,THS,EA19	1900.3 	1911.2 	1860.4 	1755.2 	1721.3 	1763.6 	1757.4 	1738.6 	1759.8 	1759.7 b
I,Y25-34,EMP,THS,EE	6.1 	6.9 	6.4 	7.3 	7.3 	4.9 	5.6 	5.1 	3.6 	4.8 b
I,Y25-34,EMP,THS,EL	100.5 	104.6 	106.2 	94.3 	82.3 	83.4 	84.3 	88.6 	93.8 b	97.0 b
I,Y25-34,EMP,THS,ES	406.9 	432.6 	407.5 	385.8 	356.6 	373.1 	391.1 	395.9 	427.9 	433.6 b
I,Y25-34,EMP,THS,EU15	2322.0 	2304.7 	2245.9 	2122.9 	2068.8 	2066.8 	2079.6 	2064.0 	2044.7 	2013.8 b
I,Y25-34,EMP,THS,EU27	2739.3 	2734.3 	2665.9 	2525.7 	2445.7 	2455.7 	2465.4 	2443.4 	2432.0 	2388.4 b
I,Y25-34,EMP,THS,EU28	2775.8 	2764.3 	2690.6 	2551.0 	2476.8 	2482.1 	2491.5 	2473.6 	2457.7 	2414.5 b
I,Y25-34,EMP,THS,FI	20.6 	20.0 	21.3 	21.9 	22.5 	20.0 	18.0 	19.1 	18.9 	19.4 b
I,Y25-34,EMP,THS,FR	243.8 	249.9 	231.8 	232.6 b	255.2 	258.6 	245.1 	244.8 	223.5 	215.6 b
I,Y25-34,EMP,THS,HR	36.5 	30.0 	24.7 	25.2 	31.1 	26.5 	26.0 	30.2 	25.7 	26.1 b
I,Y25-34,EMP,THS,HU	53.7 	56.4 	54.7 	51.9 	46.6 	47.8 	51.8 	49.8 	50.0 	50.9 b
I,Y25-34,EMP,THS,IE	45.5 b	46.8 	46.4 	44.9 	40.9 	40.3 	37.1 	38.9 	41.5 	43.7 b
I,Y25-34,EMP,THS,IS	2.3 	2.6 	2.4 	2.4 	2.2 	1.6 	1.7 	1.6 	1.4 	1.0 b
I,Y25-34,EMP,THS,IT	372.2 	364.7 	355.6 	322.3 	319.6 	333.3 	327.0 	321.0 	316.1 	322.4 b
I,Y25-34,EMP,THS,LT	7.7 u	7.8 u	7.9 u	9.6 	9.2 	8.6 	7.4 u	8.5 	8.4 	9.4 bu
I,Y25-34,EMP,THS,LU	2.2 	2.8 	3.5 b	2.7 	2.2 	2.3 	2.7 	1.7 	1.6 b	2.2 b
I,Y25-34,EMP,THS,LV	10.1 	10.3 	10.1 	8.9 	6.6 	8.6 	7.6 	6.2 	5.5 	6.5 b
I,Y25-34,EMP,THS,ME	6.0 	6.0 	6.0 	6.0 	4.5 	4.2 	3.5 	: 	: 	: 
I,Y25-34,EMP,THS,MK	8.8 	8.0 	8.8 	8.4 	8.1 	7.0 	6.8 	: 	: 	: 
I,Y25-34,EMP,THS,MT	4.2 	4.0 	3.1 	3.5 	4.5 	4.2 	3.3 	3.0 	3.7 	3.7 b
I,Y25-34,EMP,THS,NL	65.6 	59.7 	64.8 	61.4 	56.7 b	60.6 	64.5 b	55.8 b	50.9 	51.8 b
I,Y25-34,EMP,THS,NO	21.6 	18.9 	21.7 	20.9 	18.3 	17.7 	14.2 	17.1 	16.9 	15.8 b
I,Y25-34,EMP,THS,PL	120.5 	115.6 	112.5 	105.9 	99.8 	109.4 	105.2 	103.8 b	112.4 	94.4 b
I,Y25-34,EMP,THS,PT	75.9 	65.3 	67.3 	66.5 	65.5 	72.9 	74.7 b	74.7 	74.4 	75.9 b
I,Y25-34,EMP,THS,RO	69.0 	75.5 	66.3 	61.2 	55.5 	55.4 	54.8 	53.4 b	53.1 	49.1 b
I,Y25-34,EMP,THS,SE	47.1 	41.0 	40.7 	39.4 	39.5 	37.6 	33.7 	36.8 	35.7 	37.4 b
I,Y25-34,EMP,THS,SI	12.1 	13.7 	14.7 	11.0 	10.0 	11.3 	13.5 	14.2 	10.8 	12.9 b
I,Y25-34,EMP,THS,SK	33.4 	38.6 	38.2 	39.0 	40.0 	36.2 	32.8 b	32.6 	36.9 b	38.0 b
I,Y25-34,EMP,THS,TR	371.7 	377.5 	396.2 	374.4 b	403.8 	376.1 	348.1 	349.6 	346.7 	: 
I,Y25-34,EMP,THS,UK	432.7 	416.2 	407.0 	392.8 	372.1 	326.5 	348.6 	346.5 	306.8 	278.5 b
I,Y25-34,NRP,THS,EA17	: c	: c	: c	: c	: c	: c	: c	: 	: c	: 
I,Y25-34,NRP,THS,EA18	: c	: c	: c	: c	: c	: c	: c	: 	: c	: 
I,Y25-34,NRP,THS,EA19	: c	: c	: c	: c	: c	: c	: c	: 	: c	: 
I,Y25-34,NRP,THS,ES	: c	: c	: c	: c	: c	: c	: c	: 	: bc	: 
I,Y25-34,NRP,THS,EU15	: c	: u	: c	: c	: c	: c	: c	: 	: c	: 
I,Y25-34,NRP,THS,EU27	: c	: u	: c	: c	: c	: c	: c	: 	: c	: 
I,Y25-34,NRP,THS,EU28	: c	: u	: c	: c	: c	: c	: c	: 	: c	: 
I,Y25-34,NRP,THS,IS	: 	: 	: 	: 	: c	: c	: 	: 	: 	: 
I,Y25-34,NRP,THS,LU	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 
I,Y25-34,NRP,THS,UK	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 
I,Y25-34,SAL,THS,AT	60.5 	59.2 	58.3 	50.6 	49.7 	54.9 	57.1 	49.4 	50.0 	49.5 b
I,Y25-34,SAL,THS,BE	32.7 b	28.2 	30.6 	28.3 	27.0 	26.3 	26.7 b	25.0 	28.3 	26.9 b
I,Y25-34,SAL,THS,BG	44.9 	42.3 	45.4 	42.3 	38.5 	39.1 	41.2 b	40.2 b	34.6 	38.2 b
I,Y25-34,SAL,THS,CH	37.3 	38.0 	43.2 	41.3 	38.8 	36.6 	37.3 	39.8 b	31.6 	33.0 b
I,Y25-34,SAL,THS,CY	10.1 	9.3 	8.3 	7.3 	7.3 	7.6 	6.4 	5.7 	6.1 b	4.6 b
I,Y25-34,SAL,THS,CZ	36.9 	41.3 	45.1 	47.4 	44.0 	48.2 	46.4 b	46.8 	49.6 	51.4 b
I,Y25-34,SAL,THS,DE	351.2 	350.5 	337.5 	317.6 	316.2 	307.3 	305.3 b	298.8 b	308.4 	291.4 b
I,Y25-34,SAL,THS,DK	24.6 b	26.5 b	25.3 	21.2 	19.7 	19.3 	15.0 	16.7 	15.8 	16.3 b
I,Y25-34,SAL,THS,EA17	1655.5 	1657.4 	1592.2 	1499.8 	1469.0 	1498.9 	1488.8 	1466.9 	1477.5 	1462.3 b
I,Y25-34,SAL,THS,EA18	1665.2 	1666.6 	1601.7 	1508.2 	1475.5 	1506.8 	1496.2 	1472.8 	1482.8 	1468.6 b
I,Y25-34,SAL,THS,EA19	1672.3 	1674.0 	1609.2 	1517.7 	1484.4 	1515.3 	1503.5 	1481.1 	1490.9 	1477.7 b
I,Y25-34,SAL,THS,EE	5.9 	6.8 	6.4 	7.2 	7.1 	4.5 	5.3 	5.0 	2.9 u	4.7 b
I,Y25-34,SAL,THS,EL	81.4 	83.9 	85.4 	76.2 	63.6 	62.9 	59.2 	61.9 	68.4 b	68.8 b
I,Y25-34,SAL,THS,ES	362.2 	379.8 	347.1 	327.1 	307.8 	324.0 	342.8 	341.5 	365.3 b	369.2 b
I,Y25-34,SAL,THS,EU15	2074.3 	2052.1 	1974.7 	1869.7 	1813.4 	1800.9 	1806.6 	1785.9 	1757.0 	1710.9 b
I,Y25-34,SAL,THS,EU27	2462.3 	2451.4 	2364.5 	2243.7 	2163.6 	2158.4 	2156.0 	2130.1 	2105.1 	2052.0 b
I,Y25-34,SAL,THS,EU28	2494.4 	2478.4 	2385.5 	2266.1 	2190.6 	2181.4 	2178.9 	2156.3 	2125.7 	2074.3 b
I,Y25-34,SAL,THS,FI	19.1 	17.3 	19.0 	19.9 	20.3 	18.2 	16.3 	17.5 	17.1 	17.8 b
I,Y25-34,SAL,THS,FR	212.4 	225.6 	205.8 	205.9 b	224.8 	228.2 	219.5 	219.9 	197.2 	191.3 b
I,Y25-34,SAL,THS,HR	32.1 	27.0 	21.0 	22.4 b	27.0 	23.0 	23.0 	26.2 	20.6 	22.3 b
I,Y25-34,SAL,THS,HU	49.6 	53.2 	53.3 	48.6 	43.9 	44.2 	45.9 	45.0 	45.4 	47.6 b
I,Y25-34,SAL,THS,IE	44.1 b	45.1 	44.2 	42.9 	39.5 	38.8 	35.4 	37.5 	39.6 	41.4 b
I,Y25-34,SAL,THS,IS	2.1 	2.4 	2.1 	2.3 	2.0 	1.5 	1.7 	1.6 	1.3 	0.9 b
I,Y25-34,SAL,THS,IT	300.2 	289.4 	281.2 	251.6 	244.6 	257.1 	244.1 	243.1 	236.6 	234.6 b
I,Y25-34,SAL,THS,LT	7.1 u	7.4 u	7.5 u	9.5 	8.9 	8.6 	7.3 u	8.3 	8.1 	9.0 bu
I,Y25-34,SAL,THS,LU	1.9 	2.7 	3.3 b	2.7 	2.1 	2.3 	2.5 	1.5 	1.6 b	2.2 b
I,Y25-34,SAL,THS,LV	9.7 	9.3 	9.5 	8.4 	6.5 	7.8 	7.4 	5.9 	5.3 	6.4 b
I,Y25-34,SAL,THS,ME	5.3 	5.5 	5.4 	5.1 	3.9 	3.7 	3.2 	: 	: 	: 
I,Y25-34,SAL,THS,MK	7.9 	7.5 	8.0 	7.7 	7.0 	6.5 	6.2 	: 	: 	: 
I,Y25-34,SAL,THS,MT	3.8 	3.6 	2.8 	3.2 	4.2 	4.0 	3.1 	2.9 	3.4 	3.4 b
I,Y25-34,SAL,THS,NL	57.4 	49.4 	55.3 	53.9 	49.9 b	52.8 	57.7 b	49.3 b	44.5 	44.6 b
I,Y25-34,SAL,THS,NO	20.0 	17.8 	20.9 	20.4 	17.8 	17.0 	13.3 	16.1 	16.5 	15.1 b
I,Y25-34,SAL,THS,PL	110.3 	105.1 	99.8 	96.9 	91.4 	97.3 	91.8 	90.3 b	98.9 	82.7 b
I,Y25-34,SAL,THS,PT	70.3 	59.3 	59.1 	60.3 	59.5 	66.4 	66.5 b	65.9 	66.1 	65.4 b
I,Y25-34,SAL,THS,RO	67.2 	73.8 	63.8 	57.9 	53.2 	52.6 	53.6 	52.1 b	51.9 	46.7 b
I,Y25-34,SAL,THS,SE	43.0 	38.0 	37.4 	34.7 	34.8 	34.1 	30.5 	31.4 	31.0 	31.6 b
I,Y25-34,SAL,THS,SI	11.1 	12.1 	12.9 	9.5 	9.1 	10.0 	12.1 	13.3 	10.1 	12.3 b
I,Y25-34,SAL,THS,SK	31.4 	35.1 	35.1 	35.7 	36.2 	33.8 	28.8 b	28.8 	31.8 b	34.3 b
I,Y25-34,SAL,THS,TR	314.7 	312.2 	330.5 	300.8 b	334.3 	306.3 	282.3 	278.9 	275.2 	: 
I,Y25-34,SAL,THS,UK	413.4 	397.1 	385.3 	376.9 	353.7 	308.4 	328.0 	326.5 	286.9 	259.9 b
I,Y25-34,SELF,THS,AT	5.6 u	4.5 u	4.6 u	3.8 u	4.7 u	5.9 u	3.6 u	5.2 u	4.2 u	3.5 bu
I,Y25-34,SELF,THS,BE	8.3 b	7.6 	10.6 	9.1 	8.1 	9.9 	9.7 b	8.7 	8.8 	8.3 b
I,Y25-34,SELF,THS,BG	: u	: u	: u	: u	: u	: u	: bu	: bu	: u	: bu
I,Y25-34,SELF,THS,CH	3.8 u	2.8 u	2.5 u	4.3 u	4.2 u	3.6 u	5.0 u	2.8 bu	2.7 u	3.1 bu
I,Y25-34,SELF,THS,CY	: u	0.5 u	: u	: u	0.6 u	0.5 u	: u	0.6 u	: bu	: bu
I,Y25-34,SELF,THS,CZ	5.6 	4.1 	4.1 	4.2 	4.1 	4.5 	6.2 b	6.3 	8.4 	6.1 b
I,Y25-34,SELF,THS,DE	22.0 	20.3 	22.0 	22.9 	25.9 	29.9 	30.3 b	31.1 b	31.6 	32.1 b
I,Y25-34,SELF,THS,DK	: bu	: bu	: u	: u	: u	: u	: u	: u	: u	: bu
I,Y25-34,SELF,THS,EA17	200.5 	207.6 	221.1 	212.0 	212.3 	220.7 	218.5 	222.1 	232.2 	240.8 b
I,Y25-34,SELF,THS,EA18	200.8 	208.7 	221.7 	212.4 	212.4 	221.6 	218.6 	222.4 	232.4 	240.9 b
I,Y25-34,SELF,THS,EA19	201.4 	209.1 	222.1 	212.5 	212.6 	221.6 	218.7 	222.5 	232.6 	241.1 b
I,Y25-34,SELF,THS,EE	: u	: c	: c	: u	: u	: u	: c	: c	: u	: bc
I,Y25-34,SELF,THS,EL	12.8 	14.1 	14.5 	13.3 	14.7 	15.3 	15.6 	18.2 	17.4 b	17.8 b
I,Y25-34,SELF,THS,ES	41.7 	49.4 	54.9 	54.4 	45.0 	44.6 	43.2 	48.7 	55.7 b	57.0 b
I,Y25-34,SELF,THS,EU15	220.6 	223.7 	242.4 	228.0 	230.4 	239.5 	237.1 	242.9 	251.5 	262.1 b
I,Y25-34,SELF,THS,EU27	248.8 	252.4 	270.2 	255.5 	256.0 	268.9 	271.0 	275.1 	287.6 	293.2 b
I,Y25-34,SELF,THS,EU28	252.7 	255.2 	272.0 	257.6 	260.1 	272.1 	274.1 	279.0 	292.7 	296.8 b
I,Y25-34,SELF,THS,FI	: u	2.6 u	2.1 u	: u	2.0 u	: u	: u	: u	: u	: bu
I,Y25-34,SELF,THS,FR	28.6 	23.6 	24.9 	25.6 b	28.8 	28.7 	24.4 	24.3 	25.5 	22.5 b
I,Y25-34,SELF,THS,HR	3.9 u	2.8 u	1.8 u	2.1 bu	4.1 u	3.2 u	3.1 u	3.9 u	5.1 u	3.6 bu
I,Y25-34,SELF,THS,HU	4.0 u	3.1 u	: u	3.2 u	2.7 u	3.4 u	5.6 	4.7 u	4.2 u	3.1 bu
I,Y25-34,SELF,THS,IE	: bu	: u	2.0 u	: u	: u	: u	: u	: u	: u	2.0 bu
I,Y25-34,SELF,THS,IS	: u	: u	: u	: u	: u	: u	: c	: c	: u	: bu
I,Y25-34,SELF,THS,IT	61.6 	63.3 	63.7 	61.5 	64.4 	65.9 	68.5 	64.6 	64.7 	73.8 b
I,Y25-34,SELF,THS,LT	: u	: u	: u	: c	: c	: 	: u	: c	: u	: bc
I,Y25-34,SELF,THS,LU	: u	: u	: bu	: c	: c	: 	: u	: c	: bc	: bc
I,Y25-34,SELF,THS,LV	: u	: u	: u	: u	: c	: u	: c	: c	: u	: bc
I,Y25-34,SELF,THS,ME	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 
I,Y25-34,SELF,THS,MK	0.8 u	: u	0.7 u	: u	0.7 u	0.5 u	0.5 u	: 	: 	: 
I,Y25-34,SELF,THS,MT	0.4 u	0.4 u	: u	: u	: u	: u	: u	: u	: u	: bu
I,Y25-34,SELF,THS,NL	7.9 	9.6 	8.8 	6.7 	6.5 b	7.1 	6.4 b	5.9 b	6.2 	7.1 b
I,Y25-34,SELF,THS,NO	1.6 	1.1 u	0.8 u	: u	: u	0.7 u	1.0 u	: u	: u	: bu
I,Y25-34,SELF,THS,PL	10.1 u	10.2 u	12.2 u	8.8 u	8.3 u	11.6 u	12.7 u	12.7 bu	12.6 u	11.3 bu
I,Y25-34,SELF,THS,PT	5.0 	5.3 	7.4 	5.5 	5.3 	5.6 	7.3 b	7.8 	8.1 	10.3 b
I,Y25-34,SELF,THS,RO	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu
I,Y25-34,SELF,THS,SE	4.0 	3.0 	3.2 	4.7 	4.6 	3.4 	3.1 	5.2 	4.4 	5.6 b
I,Y25-34,SELF,THS,SI	1.0 u	1.4 u	1.5 u	1.5 u	0.8 u	1.1 u	1.2 u	0.9 u	0.6 u	0.6 bu
I,Y25-34,SELF,THS,SK	2.0 u	3.3 	2.9 u	3.3 	3.9 	2.4 u	4.0 b	3.1 	4.7 b	3.7 b
I,Y25-34,SELF,THS,TR	43.8 	51.6 	50.4 	52.0 b	54.6 	57.4 	53.0 	58.8 	58.7 	: 
I,Y25-34,SELF,THS,UK	18.8 	17.9 	21.5 	15.6 	17.4 	18.2 	19.8 	19.3 	19.5 	18.6 b
I,Y35-44,CFAM,THS,AT	: c	: u	: c	: u	: u	: u	: u	: u	: u	: bu
I,Y35-44,CFAM,THS,BE	: bu	: u	: u	: u	: u	: u	: bu	2.3 u	2.1 u	: bu
I,Y35-44,CFAM,THS,BG	: 	: c	: u	: c	: c	: u	: bc	: bc	: u	: bu
I,Y35-44,CFAM,THS,CH	1.0 u	: u	: u	: u	1.6 u	: u	: u	: bu	: u	: bc
I,Y35-44,CFAM,THS,CY	: c	: c	: 	: u	: u	: c	: u	: u	: bu	: bc
I,Y35-44,CFAM,THS,CZ	1.0 u	0.9 u	1.2 u	0.6 u	1.2 u	0.6 u	: bu	0.7 u	0.6 u	0.5 bu
I,Y35-44,CFAM,THS,DE	: u	: u	: u	: u	: u	: u	: bu	: bu	6.0 	12.4 b
I,Y35-44,CFAM,THS,DK	: bu	: bc	: c	: c	: c	: c	: c	: c	: c	: 
I,Y35-44,CFAM,THS,EA17	29.2 	28.0 	26.3 	35.1 	33.7 	32.1 	35.6 	43.7 	45.7 	52.8 b
I,Y35-44,CFAM,THS,EA18	29.2 	28.0 	26.3 	35.1 	33.7 	32.1 	35.6 	43.7 	45.7 	52.8 b
