nace_r2,age,wstatus,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
H51,Y15-24,SAL,THS,EA17	18.5 	16.9 	14.1 	11.4 	12.4 	15.5 	18.0 	15.9 	18.0 	21.9 b
H51,Y15-24,SAL,THS,EA18	18.6 	16.9 	14.2 	11.6 	12.6 	16.1 	19.2 	16.8 	18.0 	22.2 b
H51,Y15-24,SAL,THS,EA19	18.8 	17.2 	14.2 	11.6 	12.7 	16.2 	19.2 	16.8 	18.0 	22.2 bu
H51,Y15-24,SAL,THS,EE	: c	: c	: c	: 	: c	: 	: c	: 	: c	: bc
H51,Y15-24,SAL,THS,EL	: c	: u	: 	: c	: u	: 	: 	: c	: bc	: bc
H51,Y15-24,SAL,THS,ES	3.4 u	4.0 u	2.0 u	2.6 u	1.5 u	: u	2.8 u	1.7 u	3.0 bu	3.9 bu
H51,Y15-24,SAL,THS,EU15	22.8 	23.9 	24.3 	15.8 	15.7 	20.4 	22.9 	20.3 	22.8 	26.7 b
H51,Y15-24,SAL,THS,EU27	26.8 	27.0 	26.3 	18.4 	19.1 	24.0 	27.0 	23.9 	26.3 	29.1 b
H51,Y15-24,SAL,THS,EU28	26.8 	27.0 	26.3 	18.4 	19.1 	24.0 	27.0 	23.9 	26.3 	29.1 b
H51,Y15-24,SAL,THS,FI	: c	: u	: u	: c	: c	: c	: 	: c	: u	: bu
H51,Y15-24,SAL,THS,FR	1.7 u	2.3 u	1.7 u	0.5 bu	1.0 u	: u	: u	: u	: u	: bu
H51,Y15-24,SAL,THS,HU	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,Y15-24,SAL,THS,IE	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,Y15-24,SAL,THS,IS	: u	: u	: u	: c	: u	: u	: u	: u	: u	: bu
H51,Y15-24,SAL,THS,IT	: u	: c	: u	: u	: u	2.1 u	: u	2.2 u	2.1 u	: bu
H51,Y15-24,SAL,THS,LT	: u	: c	: c	: 	: c	: c	: 	: 	: 	: 
H51,Y15-24,SAL,THS,LU	: u	: u	: bc	: c	: c	: c	: u	: u	: bu	: bu
H51,Y15-24,SAL,THS,LV	: c	: c	: c	: u	: c	: u	: u	: u	: c	: bu
H51,Y15-24,SAL,THS,ME	: c	: c	: c	: 	: 	: c	: c	: 	: 	: 
H51,Y15-24,SAL,THS,MK	: 	: 	: c	: 	: c	: 	: c	: 	: 	: 
H51,Y15-24,SAL,THS,MT	: u	: u	: u	: u	: u	: u	: u	: u	: 	: bu
H51,Y15-24,SAL,THS,NL	1.7 u	: u	: u	: u	1.6 bu	: u	1.6 bu	: bu	1.7 u	3.3 b
H51,Y15-24,SAL,THS,NO	0.8 	1.2 u	0.5 u	0.6 u	0.8 u	0.5 u	0.5 u	: u	: u	: bu
H51,Y15-24,SAL,THS,PL	: u	: c	: 	: 	: 	: c	: c	: bc	: 	: 
H51,Y15-24,SAL,THS,PT	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: bu
H51,Y15-24,SAL,THS,RO	: u	: u	: c	: u	: u	: u	: u	: bc	: u	: bu
H51,Y15-24,SAL,THS,SE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,Y15-24,SAL,THS,SI	: 	: c	: c	: c	: c	: c	: u	: u	: u	: bu
H51,Y15-24,SAL,THS,SK	: c	: u	: c	: u	: c	: 	: 	: 	: 	: 
H51,Y15-24,SAL,THS,TR	5.4 	2.5 u	3.4 	2.3 bu	4.6 	2.1 u	3.9 	3.2 	4.9 	: 
H51,Y15-24,SAL,THS,UK	4.3 u	7.5 u	9.7 u	4.1 u	: u	5.0 u	4.6 u	4.1 u	4.9 u	4.9 bu
H51,Y15-24,SELF,THS,BE	: 	: 	: 	: 	: c	: c	: 	: 	: 	: 
H51,Y15-24,SELF,THS,DE	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,Y15-24,SELF,THS,DK	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 
H51,Y15-24,SELF,THS,EA17	: c	: c	: c	: c	: c	: c	: c	: u	: c	: bc
H51,Y15-24,SELF,THS,EA18	: c	: c	: c	: c	: c	: c	: c	: u	: c	: bc
H51,Y15-24,SELF,THS,EA19	: c	: c	: c	: c	: c	: c	: c	: u	: c	: bc
H51,Y15-24,SELF,THS,ES	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
H51,Y15-24,SELF,THS,EU15	: c	: c	: c	: u	: u	: c	: c	: c	: c	: bc
H51,Y15-24,SELF,THS,EU27	: c	: c	: c	: u	: u	: c	: c	: u	: c	: bc
H51,Y15-24,SELF,THS,EU28	: c	: c	: c	: u	: u	: c	: c	: u	: c	: bc
H51,Y15-24,SELF,THS,IE	: 	: 	: 	: 	: 	: 	: c	: c	: 	: 
H51,Y15-24,SELF,THS,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: bc
H51,Y15-24,SELF,THS,NL	: c	: c	: c	: c	: 	: 	: 	: 	: c	: bc
H51,Y15-24,SELF,THS,SE	: 	: 	: 	: c	: c	: 	: 	: 	: 	: 
H51,Y15-24,SELF,THS,SI	: 	: 	: 	: 	: 	: 	: 	: c	: c	: 
H51,Y15-24,SELF,THS,TR	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 
H51,Y15-24,SELF,THS,UK	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 
H51,Y25-34,CFAM,THS,DE	: 	: 	: c	: 	: 	: 	: 	: 	: c	: 
H51,Y25-34,CFAM,THS,EA17	: 	: 	: c	: c	: 	: 	: 	: 	: c	: 
H51,Y25-34,CFAM,THS,EA18	: 	: 	: c	: c	: 	: 	: 	: 	: c	: 
H51,Y25-34,CFAM,THS,EA19	: 	: 	: c	: c	: 	: 	: 	: 	: c	: 
H51,Y25-34,CFAM,THS,EU15	: 	: 	: c	: c	: 	: 	: 	: 	: c	: 
H51,Y25-34,CFAM,THS,EU27	: 	: 	: c	: c	: 	: 	: 	: 	: c	: 
H51,Y25-34,CFAM,THS,EU28	: 	: 	: c	: c	: 	: 	: 	: 	: c	: 
H51,Y25-34,CFAM,THS,IE	: 	: 	: c	: c	: 	: 	: 	: 	: 	: 
H51,Y25-34,CFAM,THS,LU	: 	: 	: 	: 	: 	: 	: 	: 	: bc	: 
H51,Y25-34,EMP,THS,AT	: u	: u	: u	: u	: u	: u	3.4 u	3.0 u	3.8 u	: bu
H51,Y25-34,EMP,THS,BE	3.8 bu	3.4 u	2.3 u	2.3 u	3.0 u	3.2 u	4.1 bu	3.0 u	3.2 u	4.3 bu
H51,Y25-34,EMP,THS,BG	: u	: u	: u	: u	: u	: u	: bu	: bu	: u	: bu
H51,Y25-34,EMP,THS,CH	2.7 u	4.4 u	2.6 u	1.8 u	2.3 u	2.8 u	4.2 u	2.6 bu	: u	: bu
H51,Y25-34,EMP,THS,CY	: u	: c	: c	: u	: u	: c	: u	0.6 u	: bu	: bu
H51,Y25-34,EMP,THS,CZ	2.0 u	1.0 u	0.5 u	2.9 u	2.8 u	2.6 u	3.8 b	4.8 	3.6 	3.1 b
H51,Y25-34,EMP,THS,DE	16.9 	14.7 	19.5 	22.4 	21.4 	25.3 	23.5 b	26.1 b	27.2 	23.8 b
H51,Y25-34,EMP,THS,DK	: bu	: bu	: u	: u	: u	: u	: u	: u	: u	: bu
H51,Y25-34,EMP,THS,EA17	62.5 	56.1 	62.9 	76.2 	70.2 	77.3 	90.3 	100.7 	116.1 	115.5 b
H51,Y25-34,EMP,THS,EA18	63.4 	57.7 	63.7 	77.1 	71.1 	78.6 	90.8 	101.6 	117.1 	116.1 b
H51,Y25-34,EMP,THS,EA19	63.7 	57.8 	63.9 	77.7 	71.1 	78.6 	91.0 	101.7 	117.3 	116.3 b
H51,Y25-34,EMP,THS,EE	: u	: u	: c	: c	: c	: c	: 	: c	: c	: bu
H51,Y25-34,EMP,THS,EL	2.3 u	2.2 u	2.6 u	3.7 	2.1 u	1.8 u	3.1 u	2.8 u	2.1 bu	2.2 bu
H51,Y25-34,EMP,THS,ES	9.2 	10.2 	10.3 	12.2 	11.7 	7.3 	11.2 	18.2 	18.5 	18.7 b
H51,Y25-34,EMP,THS,EU15	80.5 	73.6 	77.2 	92.0 	83.7 	91.8 	108.5 	115.3 	133.8 	131.7 b
H51,Y25-34,EMP,THS,EU27	95.4 	88.4 	91.3 	107.7 	97.0 	104.2 	121.4 	129.9 	145.9 	143.5 b
H51,Y25-34,EMP,THS,EU28	96.2 	88.5 	91.3 	107.8 	97.0 	104.2 	121.9 	130.6 	146.4 	144.2 b
H51,Y25-34,EMP,THS,FI	: u	: u	: u	: u	: u	: u	: u	: u	2.6 u	2.9 bu
H51,Y25-34,EMP,THS,FR	11.5 	5.7 u	7.1 u	11.9 b	10.2 	14.1 	19.7 	20.7 	27.6 	30.1 b
H51,Y25-34,EMP,THS,HR	: c	: c	: 	: c	: 	: 	: c	: c	: c	: bu
H51,Y25-34,EMP,THS,HU	2.7 u	3.0 u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,Y25-34,EMP,THS,IE	: bu	: u	2.6 u	2.9 u	2.9 u	2.1 u	3.2 	3.0 u	2.8 u	2.4 bu
H51,Y25-34,EMP,THS,IS	1.0 	0.7 	: u	: u	: u	: u	: u	: u	: u	0.7 b
H51,Y25-34,EMP,THS,IT	4.0 	2.3 u	5.7 	6.6 	4.9 	7.8 	9.1 	8.3 	9.3 	11.9 b
H51,Y25-34,EMP,THS,LT	: c	: c	: u	: u	: c	: 	: c	: c	: u	: bu
H51,Y25-34,EMP,THS,LU	1.0 u	0.7 u	0.6 bu	0.5 u	: u	0.8 u	1.0 u	0.6 u	0.6 bu	0.8 bu
H51,Y25-34,EMP,THS,LV	: u	1.6 u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,Y25-34,EMP,THS,ME	: u	: u	: u	: u	: c	: c	: u	: 	: 	: 
H51,Y25-34,EMP,THS,MK	: c	: c	: c	: c	: 	: 	: c	: 	: 	: 
H51,Y25-34,EMP,THS,MT	0.6 u	0.4 u	0.4 u	0.5 u	: u	: u	0.6 u	0.5 u	: u	: bu
