nace_r2,wstatus,isced11,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
I,NRP,TOTAL,THS,NL	: 	: 	: 	: 	: 	: 	: 	: 	: c	: bc
I,NRP,TOTAL,THS,NO	: 	: 	: c	: c	: c	: c	: 	: 	: 	: 
I,NRP,TOTAL,THS,SE	: 	: 	: 	: c	: 	: c	: 	: 	: 	: 
I,NRP,TOTAL,THS,UK	: 	: c	: 	: 	: 	: 	: 	: 	: 	: bu
I,SAL,ED0-2,THS,AT	57.0 	55.9 	50.5 	52.7 b	57.7 	61.6 	58.9 	63.3 	64.8 	63.3 b
I,SAL,ED0-2,THS,BE	32.6 b	34.2 	30.2 	31.1 b	33.6 	34.2 	34.8 b	33.9 	30.5 	35.9 b
I,SAL,ED0-2,THS,BG	12.5 	11.9 	12.6 	12.0 b	9.6 	10.7 	11.9 b	14.0 b	16.1 	16.1 b
I,SAL,ED0-2,THS,CH	43.8 	44.9 	55.4 	45.4 b	48.6 	49.1 	51.7 	56.1 b	47.8 	42.2 b
I,SAL,ED0-2,THS,CY	6.3 	6.5 	4.8 	5.0 b	4.8 	4.8 	5.8 	5.8 	4.8 b	5.1 b
I,SAL,ED0-2,THS,CZ	11.6 	12.8 	10.4 	11.8 b	12.4 	11.5 	11.2 b	12.3 	12.0 	13.3 b
I,SAL,ED0-2,THS,DE	408.9 	413.2 	392.7 	374.1 b	375.0 	368.5 	361.0 b	350.4 b	389.5 	379.4 b
I,SAL,ED0-2,THS,DK	36.6 b	39.6 b	39.5 	35.7 b	37.0 	35.3 	38.3 	38.5 	40.0 	42.6 b
I,SAL,ED0-2,THS,EA17	2152.6 	2073.0 	1977.7 	1869.9 b	1901.4 	1971.0 	2019.3 	2039.2 	2125.8 	2140.3 b
I,SAL,ED0-2,THS,EA18	2155.0 	2075.6 	1979.5 	1872.2 b	1903.5 	1973.8 	2022.1 	2042.0 	2128.0 	2144.8 b
I,SAL,ED0-2,THS,EA19	2157.2 	2076.7 	1979.9 	1873.0 b	1904.3 	1975.7 	2024.3 	2043.4 	2130.4 	2147.7 b
I,SAL,ED0-2,THS,EE	5.1 	3.0 	2.9 	3.0 b	2.5 u	1.7 u	1.8 u	: u	2.6 u	4.0 b
I,SAL,ED0-2,THS,EL	51.1 	56.6 	55.0 	54.1 b	45.3 	49.2 	61.7 	62.1 	69.2 b	71.0 b
I,SAL,ED0-2,THS,ES	646.7 	615.0 	570.1 	522.2 b	511.0 	521.8 	556.6 	544.9 	585.7 b	596.6 b
I,SAL,ED0-2,THS,EU15	2548.6 	2466.7 	2346.8 	2235.7 b	2250.0 	2322.1 	2404.7 	2404.6 	2522.5 	2511.5 b
I,SAL,ED0-2,THS,EU27	2670.5 	2589.5 	2454.2 	2341.9 b	2343.4 	2423.1 	2507.9 	2513.9 	2638.9 	2641.7 b
I,SAL,ED0-2,THS,EU28	2680.7 	2598.2 	2461.4 	2349.9 b	2350.3 	2430.4 	2515.0 	2523.4 	2648.3 	2651.4 b
I,SAL,ED0-2,THS,FI	12.8 	11.4 	11.6 	15.0 b	14.7 	15.6 	15.0 	14.5 	17.0 	16.4 b
I,SAL,ED0-2,THS,FR	207.4 	191.4 	200.6 	199.9 b	212.0 b	238.3 	255.3 	253.9 	240.3 	241.4 b
I,SAL,ED0-2,THS,HR	10.2 	8.7 u	7.2 u	8.0 bu	6.9 u	7.3 u	7.1 u	9.5 bu	9.4 u	9.7 bu
I,SAL,ED0-2,THS,HU	21.8 	22.8 	20.5 	18.3 b	14.8 	15.7 	15.9 	18.3 	17.6 	19.8 b
I,SAL,ED0-2,THS,IE	20.2 b	18.7 	18.4 	18.7 b	24.3 	20.7 	20.3 	22.4 	24.4 	28.0 b
I,SAL,ED0-2,THS,IS	5.2 	5.5 	5.3 	5.1 b	4.8 	3.9 	4.5 	4.0 	4.4 	3.8 b
I,SAL,ED0-2,THS,IT	420.1 	401.5 	390.6 	349.5 b	362.8 	371.8 	359.2 	378.1 	378.6 	371.0 b
I,SAL,ED0-2,THS,LT	: u	: u	: u	: bu	: u	: u	: u	: u	: u	: bu
I,SAL,ED0-2,THS,LU	2.4 	2.8 	3.7 b	2.0 b	1.9 	2.7 	2.7 	1.6 	2.1 b	2.4 b
I,SAL,ED0-2,THS,LV	2.4 	2.7 	1.9 u	2.4 b	2.0 u	2.8 	2.8 u	2.8 u	2.2 u	4.5 b
I,SAL,ED0-2,THS,ME	: u	: u	: u	: bu	: u	: u	: u	: 	: 	: 
I,SAL,ED0-2,THS,MK	3.1 	2.4 	2.8 	2.9 b	2.6 	3.9 	4.1 	: 	: 	: 
I,SAL,ED0-2,THS,MT	6.8 	8.7 	7.6 	6.9 b	7.4 	7.1 	6.3 b	6.3 	7.0 	7.5 b
I,SAL,ED0-2,THS,NL	125.3 	118.6 	117.8 	106.1 b	101.1 b	122.7 	122.2 b	130.2 b	136.9 	134.9 b
I,SAL,ED0-2,THS,NO	25.3 	25.3 	25.8 	24.1 b	19.2 	23.6 	26.1 	23.6 	25.3 	26.0 b
I,SAL,ED0-2,THS,PL	24.4 	19.2 	19.3 	18.4 b	18.6 	22.3 	22.0 	19.7 b	21.0 	29.4 b
I,SAL,ED0-2,THS,PT	140.0 	125.4 	113.2 	121.4 b	139.7 	142.9 	148.9 b	159.9 	162.7 	173.1 b
I,SAL,ED0-2,THS,RO	18.8 	24.1 	18.9 	19.6 b	12.8 	15.4 	14.3 	16.8 b	21.1 	17.4 b
I,SAL,ED0-2,THS,SE	52.6 	49.7 	45.9 	43.0 b	43.4 	41.1 	40.0 	40.7 	38.8 	42.8 b
I,SAL,ED0-2,THS,SI	5.7 	5.6 	4.6 	2.9 bu	3.9 u	4.0 	5.6 	5.9 	5.5 	6.0 b
I,SAL,ED0-2,THS,SK	4.5 	4.5 	3.5 	5.3 b	3.6 	3.2 	3.4 b	4.7 	4.2 b	4.2 b
I,SAL,ED0-2,THS,TR	751.0 	745.4 	738.7 	684.2 b	652.6 	612.0 	593.7 	557.4 	539.9 	: 
I,SAL,ED0-2,THS,UK	335.1 	332.7 	307.0 	310.1 b	290.5 	295.4 	329.9 b	310.2 b	342.1 	312.7 b
I,SAL,ED3_4,THS,AT	129.6 	125.1 	116.8 	112.6 b	127.8 	134.7 	131.2 	127.2 	130.4 	120.8 b
I,SAL,ED3_4,THS,BE	53.0 b	52.9 	51.8 	56.1 b	50.1 	45.5 	49.4 b	43.5 	49.2 	50.2 b
I,SAL,ED3_4,THS,BG	115.3 	106.7 	107.5 	103.4 b	99.0 	107.7 	113.2 b	114.9 b	119.4 	119.1 b
I,SAL,ED3_4,THS,CH	83.3 	77.4 	78.8 	83.6 b	79.9 	78.2 	81.3 	78.3 b	67.0 	71.0 b
I,SAL,ED3_4,THS,CY	15.4 	14.3 	13.8 	12.4 b	13.1 	12.5 	10.7 	12.3 	11.5 b	10.2 b
I,SAL,ED3_4,THS,CZ	119.6 	125.4 	139.9 	140.5 b	125.6 	122.9 	128.6 b	133.6 	135.5 	125.5 b
I,SAL,ED3_4,THS,DE	812.1 	806.7 	805.7 	807.1 b	791.0 	780.1 	762.3 b	734.1 b	739.0 	709.0 b
I,SAL,ED3_4,THS,DK	45.6 b	46.4 b	50.1 	44.9 b	34.8 	34.3 	32.2 	30.4 	28.0 	25.6 b
I,SAL,ED3_4,THS,EA17	3054.5 	3002.6 	2885.5 	2754.4 b	2679.0 	2664.0 	2606.1 	2506.9 	2478.9 	2436.0 b
I,SAL,ED3_4,THS,EA18	3076.4 	3023.4 	2909.1 	2774.7 b	2696.9 	2683.4 	2625.2 	2527.5 	2498.1 	2456.5 b
I,SAL,ED3_4,THS,EA19	3098.0 	3048.2 	2932.1 	2797.0 b	2718.9 	2704.8 	2646.9 	2549.6 	2521.9 	2481.8 b
I,SAL,ED3_4,THS,EE	15.2 	18.0 	17.3 	16.2 b	14.7 	11.2 	12.3 	12.9 	10.5 	15.0 b
I,SAL,ED3_4,THS,EL	137.1 	132.3 	129.6 	113.2 b	91.1 	89.9 	90.5 	99.2 	105.7 b	99.4 b
I,SAL,ED3_4,THS,ES	408.7 	400.4 	352.6 	307.3 b	302.3 	311.5 	323.0 	317.0 	325.4 b	324.9 b
I,SAL,ED3_4,THS,EU15	3911.2 	3864.5 	3712.1 	3536.9 b	3409.8 	3387.3 	3274.7 	3211.5 	3127.6 	3040.5 b
I,SAL,ED3_4,THS,EU27	4860.3 	4802.3 	4637.1 	4436.2 b	4276.9 	4258.6 	4151.5 	4095.8 	4021.0 	3914.2 b
I,SAL,ED3_4,THS,EU28	4943.8 	4878.4 	4704.7 	4501.2 b	4338.1 	4318.5 	4211.2 	4161.3 	4082.4 	3978.2 b
I,SAL,ED3_4,THS,FI	49.4 	49.1 	51.2 	48.5 b	51.1 	50.7 	47.0 	45.3 	46.5 	51.1 b
I,SAL,ED3_4,THS,FR	467.0 	484.8 	468.5 	436.0 b	446.9 b	435.2 	425.2 	391.6 	368.2 	351.4 b
I,SAL,ED3_4,THS,HR	83.5 	76.1 	67.6 	65.0 b	61.2 	59.8 	59.7 	65.5 b	61.3 	64.0 b
I,SAL,ED3_4,THS,HU	132.8 	136.0 	130.0 	115.5 b	109.7 	107.1 	102.3 	98.4 	101.5 	108.2 b
I,SAL,ED3_4,THS,IE	79.1 b	73.3 	68.4 	68.0 b	57.5 	52.4 	49.2 	54.2 	53.4 	54.3 b
I,SAL,ED3_4,THS,IS	3.9 	4.1 	3.5 	3.4 b	3.0 	2.8 	2.9 	2.6 	2.0 	1.7 b
I,SAL,ED3_4,THS,IT	545.7 	521.1 	482.7 	453.2 b	421.1 	439.0 	404.9 	379.9 	357.7 	359.1 b
I,SAL,ED3_4,THS,LT	21.6 	24.8 	23.0 	22.2 b	22.1 	21.3 	21.7 	22.2 	23.9 	25.3 b
I,SAL,ED3_4,THS,LU	2.4 	3.4 	3.3 b	3.4 b	3.3 	3.4 	3.1 	2.1 	3.1 b	2.4 b
I,SAL,ED3_4,THS,LV	21.8 	20.8 	23.6 	20.3 b	17.9 	19.4 	19.0 	20.6 	19.2 	20.5 b
I,SAL,ED3_4,THS,ME	13.0 	11.9 	10.6 	10.8 b	10.7 	9.6 	9.6 	: 	: 	: 
I,SAL,ED3_4,THS,MK	18.0 	17.0 	17.6 	16.1 b	15.3 	14.4 	13.3 	: 	: 	: 
I,SAL,ED3_4,THS,MT	6.7 	5.0 	4.3 	5.3 b	6.4 	5.3 	5.2 b	4.5 	4.2 	3.6 b
I,SAL,ED3_4,THS,NL	144.0 	143.5 	143.2 	134.6 b	131.0 b	135.8 	130.7 b	129.2 b	124.8 	129.1 b
I,SAL,ED3_4,THS,NO	35.2 	30.6 	32.2 	31.4 b	31.7 	32.6 	30.7 	31.9 	29.2 	26.9 b
I,SAL,ED3_4,THS,PL	241.5 	234.8 	216.9 	214.7 b	210.3 	223.5 	225.5 	229.6 b	228.8 	211.0 b
I,SAL,ED3_4,THS,PT	82.2 	67.9 	64.9 	64.2 b	60.0 	51.4 	55.6 b	45.3 	39.9 	38.9 b
I,SAL,ED3_4,THS,RO	152.0 	147.3 	137.4 	132.5 b	136.9 	134.9 	132.4 	126.9 b	129.7 	118.7 b
I,SAL,ED3_4,THS,SE	75.1 	75.5 	76.2 	73.5 b	68.7 	67.7 	67.1 	71.0 	68.4 	67.4 b
I,SAL,ED3_4,THS,SI	27.2 	23.4 	27.9 	25.9 b	24.1 	25.9 	27.8 	29.8 	26.7 	29.6 b
I,SAL,ED3_4,THS,SK	80.0 	81.2 	83.5 	90.4 b	87.5 	79.5 	78.2 b	78.7 	82.6 b	87.0 b
I,SAL,ED3_4,THS,TR	297.1 	268.2 	277.1 	238.0 b	251.8 	219.8 	195.5 	173.9 	172.4 	: 
I,SAL,ED3_4,THS,UK	880.4 	882.0 	847.2 	814.3 b	773.0 	755.7 	703.4 b	741.4 b	687.9 	656.8 b
I,SAL,ED5-8,THS,AT	38.5 	35.9 	34.3 	29.0 b	14.3 	13.4 	12.2 	13.2 	12.4 	10.3 b
I,SAL,ED5-8,THS,BE	22.0 b	18.2 	15.5 	16.9 b	14.2 	17.9 	16.1 b	12.6 	11.9 	11.6 b
I,SAL,ED5-8,THS,BG	23.9 	21.9 	21.2 	21.8 b	19.7 	17.3 	16.4 b	16.0 b	14.1 	13.2 b
I,SAL,ED5-8,THS,CH	28.5 	25.0 	25.4 	24.4 b	24.9 	18.0 	19.0 	19.9 b	16.2 	14.6 b
I,SAL,ED5-8,THS,CY	9.7 	8.3 	7.2 	6.8 b	7.3 	7.5 	5.9 	5.7 	6.7 b	5.5 b
I,SAL,ED5-8,THS,CZ	8.4 	6.0 	8.5 	8.9 b	8.0 	8.0 	8.4 b	5.8 	4.0 	3.7 b
I,SAL,ED5-8,THS,DE	128.7 	128.2 	110.1 	103.5 b	95.7 	96.9 	87.3 b	87.3 b	88.1 	77.7 b
I,SAL,ED5-8,THS,DK	13.1 b	13.3 b	14.4 	8.4 b	8.2 	7.7 	5.5 	4.5 	5.3 	4.5 b
I,SAL,ED5-8,THS,EA17	899.9 	845.5 	762.1 	713.7 b	643.4 	637.8 	595.7 	583.8 	554.7 	533.9 b
I,SAL,ED5-8,THS,EA18	902.9 	849.9 	765.0 	718.2 b	646.7 	641.1 	598.4 	585.3 	555.4 	536.1 b
I,SAL,ED5-8,THS,EA19	910.5 	857.2 	773.4 	727.5 b	655.2 	647.9 	605.4 	591.5 	559.4 	541.0 b
I,SAL,ED5-8,THS,EE	3.6 	4.3 	4.7 	5.0 b	4.5 	4.0 	3.2 	3.8 	4.0 	2.7 bu
I,SAL,ED5-8,THS,EL	43.3 	34.2 	28.3 	27.5 b	17.9 	20.8 	19.5 	18.7 	18.4 b	16.3 b
I,SAL,ED5-8,THS,ES	268.3 	261.1 	243.2 	239.4 b	209.2 	196.6 	199.7 	186.9 	169.2 b	180.4 b
I,SAL,ED5-8,THS,EU15	1264.3 	1180.3 	1069.0 	1020.1 b	935.7 	905.4 	850.0 	796.8 	740.7 	694.0 b
I,SAL,ED5-8,THS,EU27	1439.0 	1354.4 	1229.1 	1179.5 b	1084.8 	1041.3 	971.6 	899.5 	827.0 	777.5 b
I,SAL,ED5-8,THS,EU28	1448.6 	1365.1 	1239.1 	1187.9 b	1094.3 	1048.6 	979.4 	906.7 	832.3 	783.6 b
I,SAL,ED5-8,THS,FI	13.2 	12.2 	12.1 	10.5 b	10.4 	9.9 	10.8 	11.6 	10.6 	10.7 b
I,SAL,ED5-8,THS,FR	176.0 	163.4 	138.4 	117.1 b	124.2 b	131.3 	123.0 	130.9 	119.7 	107.2 b
I,SAL,ED5-8,THS,HR	9.6 u	10.7 	10.0 	8.4 bu	9.5 u	7.3 u	7.8 u	7.2 bu	5.3 u	6.1 bu
I,SAL,ED5-8,THS,HU	17.3 	17.4 	18.0 	17.9 b	17.1 	19.0 	17.9 	12.2 	11.9 	11.3 b
I,SAL,ED5-8,THS,IE	43.4 b	41.6 	38.4 	36.2 b	35.8 	31.7 	28.5 	29.5 	29.2 	27.6 b
I,SAL,ED5-8,THS,IS	1.2 	1.4 	1.1 	1.1 b	1.0 	0.6 	0.5 	0.5 	: u	: bu
I,SAL,ED5-8,THS,IT	77.3 	67.6 	62.5 	59.2 b	53.8 	52.2 	39.4 	37.1 	43.0 	43.1 b
I,SAL,ED5-8,THS,LT	7.5 u	7.4 u	8.4 	9.2 b	8.5 	6.8 u	7.0 u	6.1 u	: u	: bu
I,SAL,ED5-8,THS,LU	: u	1.2 	0.8 bu	1.5 b	0.8 u	0.9 u	0.8 u	0.6 u	: bu	0.6 bu
I,SAL,ED5-8,THS,LV	3.1 	4.4 	2.8 	4.6 b	3.2 	3.3 	2.7 u	: u	: u	2.2 b
I,SAL,ED5-8,THS,ME	2.6 	2.9 	3.2 	3.7 b	3.0 	1.5 u	1.2 u	: 	: 	: 
I,SAL,ED5-8,THS,MK	3.6 	2.5 	2.4 	1.7 b	1.3 	2.4 	2.3 	: 	: 	: 
I,SAL,ED5-8,THS,MT	1.3 	1.3 	1.3 	1.6 b	1.5 	1.2 	0.7 bu	0.6 u	0.6 u	0.6 bu
I,SAL,ED5-8,THS,NL	30.6 	29.4 	30.0 	27.3 b	26.3 b	32.6 	29.3 b	26.1 b	24.9 	24.1 b
I,SAL,ED5-8,THS,NO	12.2 	11.2 	14.3 	15.0 b	11.6 	6.7 	5.9 	8.1 	9.1 	9.6 b
I,SAL,ED5-8,THS,PL	60.5 	59.8 	50.8 	52.6 b	52.5 	47.7 	36.6 	31.7 b	27.8 	24.5 b
I,SAL,ED5-8,THS,PT	29.0 	22.2 	19.0 	19.9 b	16.3 	12.5 	12.1 b	11.8 	10.5 	9.8 b
I,SAL,ED5-8,THS,RO	24.9 	26.8 	20.8 	18.9 b	15.8 	12.9 	15.6 	11.6 b	7.2 u	9.2 bu
I,SAL,ED5-8,THS,SE	25.1 	24.0 	18.8 	18.6 b	19.2 	16.2 	13.7 	13.4 	12.3 	12.0 b
I,SAL,ED5-8,THS,SI	6.0 	5.7 	6.8 	5.4 b	3.8 u	3.1 u	3.9 u	3.7 u	2.1 u	2.7 bu
I,SAL,ED5-8,THS,SK	8.5 	10.8 	9.5 	6.7 b	7.3 	5.0 	3.3 b	3.7 	3.0 b	2.9 bu
I,SAL,ED5-8,THS,TR	132.1 	117.3 	109.8 	93.8 b	97.9 	73.8 	56.2 	58.1 	49.3 	: 
I,SAL,ED5-8,THS,UK	355.3 	327.9 	303.2 	305.0 b	289.3 	264.6 	252.1 b	212.7 b	184.9 	158.0 b
I,SAL,NRP,THS,CH	: u	1.2 u	: u	: bu	1.1 u	: u	1.9 u	1.9 bu	: c	: bc
I,SAL,NRP,THS,DE	: u	5.1 	: u	: bu	8.4 	9.4 	8.5 b	: bu	5.2 	5.1 b
I,SAL,NRP,THS,DK	13.0 b	10.2 b	3.3 u	5.1 b	8.9 	9.0 	6.0 	4.7 	3.3 u	3.2 bu
I,SAL,NRP,THS,EA17	20.0 	18.2 	16.1 	14.7 b	21.8 	17.1 	19.1 	13.4 	18.0 	19.4 b
I,SAL,NRP,THS,EA18	20.1 	18.2 	16.1 	14.7 b	21.8 	17.1 	19.1 	13.5 	18.0 	19.4 b
I,SAL,NRP,THS,EA19	20.1 	18.2 	16.1 	14.7 b	21.8 	17.1 	19.1 	13.5 	18.0 	19.4 bu
I,SAL,NRP,THS,EE	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 
I,SAL,NRP,THS,EU15	36.5 	31.2 	44.7 	42.4 b	49.1 	43.1 	48.4 	35.2 	37.7 	31.2 b
I,SAL,NRP,THS,EU27	36.5 	31.3 	44.7 	42.4 b	49.1 	43.1 	48.4 	35.3 	37.8 	31.2 b
I,SAL,NRP,THS,EU28	36.5 	31.3 	44.7 	42.4 b	49.3 	43.5 	48.5 	35.3 	37.8 	31.2 b
I,SAL,NRP,THS,FR	2.1 u	0.9 u	1.5 u	1.6 bu	: bu	: c	: c	: 	: 	: bc
I,SAL,NRP,THS,HR	: 	: 	: 	: 	: c	: u	: c	: 	: 	: 
I,SAL,NRP,THS,IE	8.8 b	7.6 	7.9 	6.8 b	5.6 	4.9 	6.1 	7.5 	9.9 	10.9 b
I,SAL,NRP,THS,IS	: 	: 	: 	: 	: 	: c	: c	: c	: 	: bc
I,SAL,NRP,THS,LU	1.3 	1.0 	0.5 bu	: bu	: u	: u	: u	: u	: bu	: 
I,SAL,NRP,THS,LV	: c	: c	: 	: 	: 	: 	: 	: c	: 	: 
I,SAL,NRP,THS,NL	4.2 	3.6 	3.1 	3.9 b	7.2 b	2.4 u	4.0 b	2.7 b	2.6 	3.4 b
I,SAL,NRP,THS,NO	: 	: 	: 	: bu	1.9 	1.8 	1.0 u	1.9 u	1.8 u	1.3 bu
I,SAL,NRP,THS,SE	1.5 u	: u	2.2 	: bu	: u	: u	: u	: u	: u	: bu
I,SAL,NRP,THS,UK	: u	: u	23.1 	21.7 b	17.8 	16.3 	22.7 b	16.3 b	15.5 	7.1 bu
I,SAL,TOTAL,THS,AT	225.1 	216.8 	201.6 	194.4 	199.8 	209.8 	202.3 	203.7 	207.7 	194.4 b
I,SAL,TOTAL,THS,BE	107.5 b	105.4 	97.5 	104.1 	98.0 	97.6 	100.3 b	89.9 	91.6 	97.7 b
I,SAL,TOTAL,THS,BG	151.8 	140.5 	141.4 	137.2 	128.2 	135.8 	141.6 b	144.9 b	149.6 	148.3 b
I,SAL,TOTAL,THS,CH	156.7 	148.5 	160.0 	154.0 	154.4 	146.1 	153.9 	156.3 b	131.2 	127.9 b
I,SAL,TOTAL,THS,CY	31.4 	29.1 	25.8 	24.2 	25.2 	24.8 	22.5 	23.9 	23.0 b	20.8 b
I,SAL,TOTAL,THS,CZ	139.6 	144.2 	158.8 	161.2 	146.0 	142.4 	148.1 b	151.7 	151.5 	142.5 b
I,SAL,TOTAL,THS,DE	1353.4 	1353.2 	1311.5 	1286.9 	1270.1 	1254.8 	1219.0 b	1174.6 b	1221.7 	1171.2 b
I,SAL,TOTAL,THS,DK	108.2 b	109.3 b	107.3 	94.1 	88.8 	86.3 	82.1 	78.1 	76.5 	75.9 b
I,SAL,TOTAL,THS,EA17	6127.0 	5939.3 	5641.3 	5352.7 	5245.6 	5289.9 	5240.2 	5143.3 	5177.3 	5129.6 b
I,SAL,TOTAL,THS,EA18	6154.4 	5967.2 	5669.6 	5379.9 	5268.7 	5315.4 	5264.7 	5168.3 	5199.4 	5156.8 b
I,SAL,TOTAL,THS,EA19	6185.7 	6000.4 	5701.4 	5412.1 	5300.2 	5345.4 	5295.6 	5198.0 	5229.7 	5189.9 b
I,SAL,TOTAL,THS,EE	23.9 	25.4 	24.8 	24.1 	21.7 	17.0 	17.2 	18.0 	17.3 	21.7 b
I,SAL,TOTAL,THS,EL	231.5 	223.1 	212.9 	194.8 	154.3 	159.9 	171.7 	180.0 	193.4 b	186.8 b
I,SAL,TOTAL,THS,ES	1323.6 	1276.5 	1165.8 	1068.9 	1022.5 	1030.0 	1079.3 	1048.8 	1080.3 b	1101.9 b
I,SAL,TOTAL,THS,EU15	7760.6 	7542.7 	7172.6 	6835.1 	6644.6 	6657.9 	6577.9 	6448.0 	6428.5 	6277.1 b
I,SAL,TOTAL,THS,EU27	9006.3 	8777.4 	8365.1 	8000.0 	7754.2 	7766.2 	7679.5 	7544.5 	7524.8 	7364.5 b
I,SAL,TOTAL,THS,EU28	9109.6 	8872.9 	8449.9 	8081.5 	7832.0 	7841.0 	7754.2 	7626.7 	7600.8 	7444.3 b
I,SAL,TOTAL,THS,FI	75.4 	72.7 	74.9 	74.1 	76.1 	76.2 	72.8 	71.4 	74.1 	78.2 b
I,SAL,TOTAL,THS,FR	852.5 	840.6 	809.0 	754.6 b	783.5 	805.0 	803.7 	776.3 	728.2 	700.0 b
I,SAL,TOTAL,THS,HR	103.3 	95.5 	84.8 	81.4 b	77.8 	74.8 	74.7 	82.2 	76.0 	79.8 b
I,SAL,TOTAL,THS,HU	171.8 	176.1 	168.5 	151.8 	141.6 	141.8 	136.1 	129.0 	131.0 	139.3 b
I,SAL,TOTAL,THS,IE	151.4 b	141.3 	133.1 	129.6 	123.2 	109.7 	104.0 	113.6 	116.8 	120.7 b
I,SAL,TOTAL,THS,IS	10.3 	10.9 	9.9 	9.6 	8.9 	7.3 	7.9 	7.1 	6.9 	5.8 b
I,SAL,TOTAL,THS,IT	1043.1 	990.1 	935.8 	861.9 	837.6 	863.1 	803.4 	795.2 	779.3 	773.2 b
I,SAL,TOTAL,THS,LT	31.3 	33.2 	31.8 	32.2 	31.4 	30.0 	30.9 	29.7 	30.3 	33.2 b
I,SAL,TOTAL,THS,LU	6.4 	8.4 	8.3 b	7.1 	6.4 	7.3 	6.8 	4.6 	5.8 b	5.4 b
I,SAL,TOTAL,THS,LV	27.4 	27.9 	28.3 	27.2 	23.2 	25.5 	24.5 	25.0 	22.0 	27.2 b
I,SAL,TOTAL,THS,ME	16.4 	15.6 	14.3 	15.3 	14.5 	11.9 	11.5 	: 	: 	: 
I,SAL,TOTAL,THS,MK	24.7 	21.9 	22.8 	20.7 	19.3 	20.8 	19.7 	: 	: 	: 
I,SAL,TOTAL,THS,MT	14.7 	15.0 	13.1 	13.9 	15.3 	13.6 	12.2 	11.5 	11.9 	11.7 b
I,SAL,TOTAL,THS,NL	304.1 	295.0 	294.0 	271.9 	265.7 b	293.5 	286.2 b	288.3 b	289.2 	291.6 b
I,SAL,TOTAL,THS,NO	72.7 	67.1 	72.3 	71.0 	64.5 	64.7 	63.6 	65.5 	65.3 	63.8 b
I,SAL,TOTAL,THS,PL	326.4 	313.9 	287.1 	285.6 	281.5 	293.5 	284.2 	281.0 b	277.6 	265.0 b
I,SAL,TOTAL,THS,PT	251.1 	215.5 	197.1 	205.5 	216.1 	206.8 	216.6 b	217.0 	213.1 	221.9 b
I,SAL,TOTAL,THS,RO	195.7 	198.3 	177.0 	170.9 	165.4 	163.3 	162.3 	155.4 b	158.0 	145.2 b
I,SAL,TOTAL,THS,SE	154.3 	150.0 	143.1 	136.0 	131.9 	125.7 	121.5 	125.9 	120.6 	123.6 b
I,SAL,TOTAL,THS,SI	38.9 	34.7 	39.3 	34.3 	31.8 	33.1 	37.3 	39.4 	34.3 	38.4 b
I,SAL,TOTAL,THS,SK	93.0 	96.5 	96.5 	102.4 	98.3 	87.7 	84.9 b	87.1 	89.9 b	94.0 b
I,SAL,TOTAL,THS,TR	1180.2 	1130.9 	1125.7 	1016.0 b	1002.3 	905.6 	845.4 	789.5 	761.6 	: 
I,SAL,TOTAL,THS,UK	1572.8 	1544.7 	1480.5 	1451.1 	1370.5 	1332.1 	1308.1 	1280.6 	1230.4 	1134.6 b
I,SELF,ED0-2,THS,AT	6.3 	5.7 u	3.9 u	4.6 bu	5.8 u	7.4 	6.3 	6.9 	7.7 	7.7 b
I,SELF,ED0-2,THS,BE	7.9 b	12.2 	15.5 	14.2 b	12.9 	14.9 	13.0 b	16.1 	15.4 	14.3 b
I,SELF,ED0-2,THS,BG	: u	: u	: u	: bu	: u	: u	: bu	: bu	: u	: bu
I,SELF,ED0-2,THS,CH	5.7 	4.9 u	5.2 	5.4 b	5.8 	6.2 	5.9 	5.3 b	4.4 u	3.8 bu
I,SELF,ED0-2,THS,CY	0.6 u	0.8 u	0.8 u	0.9 bu	1.0 u	1.5 	1.4 u	1.4 u	1.5 bu	1.2 bu
I,SELF,ED0-2,THS,CZ	1.0 u	1.1 u	1.9 u	2.0 bu	1.4 u	1.2 u	1.1 bu	1.2 u	1.4 u	0.9 bu
I,SELF,ED0-2,THS,DE	55.8 	56.8 	53.2 	51.0 b	51.7 	51.7 	59.4 b	58.2 b	64.3 	64.6 b
I,SELF,ED0-2,THS,DK	2.7 bu	3.3 bu	3.7 u	4.4 b	4.0 	4.4 	4.2 	3.9 u	5.7 	4.3 b
I,SELF,ED0-2,THS,EA17	519.0 	534.2 	522.9 	535.9 b	533.0 	555.7 	578.9 	584.1 	615.2 	652.2 b
I,SELF,ED0-2,THS,EA18	519.1 	534.2 	522.9 	536.0 b	533.1 	555.8 	578.9 	584.2 	615.3 	652.2 b
I,SELF,ED0-2,THS,EA19	519.1 	534.2 	523.0 	536.1 b	533.1 	555.8 	578.9 	584.2 	615.3 	652.2 b
I,SELF,ED0-2,THS,EE	: 	: c	: 	: bc	: u	: u	: c	: 	: 	: 
I,SELF,ED0-2,THS,EL	30.8 	27.0 	27.7 	28.3 b	31.4 	34.6 	39.1 	41.1 	44.2 b	45.9 b
I,SELF,ED0-2,THS,ES	157.6 	165.7 	164.0 	165.9 b	169.8 	178.3 	179.1 	180.2 	183.0 b	198.5 b
