nace_r2,wstatus,worktime,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
I,SAL,FT,THS,EE	19.9 	21.0 	20.0 	19.8 	18.3 	13.0 	14.0 	14.0 	13.8 	19.5 b
I,SAL,FT,THS,EL	175.5 	168.6 	167.4 	157.5 	125.7 	134.1 	148.5 	157.9 	172.7 b	170.4 b
I,SAL,FT,THS,ES	923.0 	886.1 	791.2 	710.7 	692.7 	733.2 	794.4 	799.8 	840.8 b	884.8 b
I,SAL,FT,THS,EU15	4519.3 	4368.2 	4096.9 	3916.3 	3823.1 	3879.6 	3965.6 	3931.1 	3982.6 	3953.3 b
I,SAL,FT,THS,EU27	5639.6 	5488.5 	5177.6 	4968.6 	4819.4 	4874.7 	4966.0 	4930.9 	4994.2 	4964.6 b
I,SAL,FT,THS,EU28	5737.9 	5578.7 	5258.5 	5047.7 	4896.9 	4949.0 	5040.4 	5012.4 	5069.0 	5043.7 b
I,SAL,FT,THS,FI	45.0 	45.0 	47.7 	49.2 	52.4 	52.1 	49.1 	48.8 	50.9 	54.8 b
I,SAL,FT,THS,FR	584.1 	575.2 	560.0 	529.8 b	556.8 	567.7 	568.2 	549.3 	522.2 	491.4 b
I,SAL,FT,THS,HR	98.4 	90.2 	80.9 	79.1 b	77.5 	74.3 	74.4 	81.5 	74.7 	79.2 b
I,SAL,FT,THS,HU	158.0 	162.2 	150.8 	136.1 	125.9 	123.2 	118.6 	115.1 	118.5 	129.3 b
I,SAL,FT,THS,IE	86.7 b	79.4 	75.0 	70.6 	65.4 	57.6 	55.8 	62.7 	68.6 	74.1 b
I,SAL,FT,THS,IS	6.4 	6.3 	5.3 	5.5 	5.1 	4.3 	4.3 	3.6 	3.6 	3.6 b
I,SAL,FT,THS,IT	587.4 	555.0 	527.5 	480.4 	469.0 	514.1 	507.7 	499.6 	505.3 	512.5 b
I,SAL,FT,THS,LT	27.5 	29.3 	27.9 	28.5 	27.2 	25.0 	27.3 	26.9 	27.5 	29.7 b
I,SAL,FT,THS,LU	4.9 	6.5 	6.8 b	5.5 	5.3 	6.1 	5.8 	3.8 	4.6 b	4.7 b
I,SAL,FT,THS,LV	24.8 	24.3 	26.0 	25.6 	20.7 	22.5 	21.9 	22.4 	19.8 	25.0 b
I,SAL,FT,THS,ME	16.2 	15.4 	14.1 	15.0 	14.1 	11.7 	11.4 	: 	: 	: 
I,SAL,FT,THS,MK	24.0 	20.8 	22.1 	18.5 	18.3 	19.4 	18.6 	: 	: 	: 
I,SAL,FT,THS,MT	10.7 	11.6 	9.6 	9.5 	10.5 	9.5 	8.5 	8.6 	9.2 	9.2 b
I,SAL,FT,THS,NL	73.7 	67.3 	67.9 	63.6 	61.2 b	68.7 	70.9 b	66.8 b	68.2 	75.0 b
I,SAL,FT,THS,NO	36.1 	34.0 	36.3 	37.4 	32.1 	32.2 	32.4 	35.2 	32.8 	33.4 b
I,SAL,FT,THS,PL	278.3 	272.7 	251.0 	247.9 	238.6 	247.7 	244.8 	243.1 b	246.3 	234.9 b
I,SAL,FT,THS,PT	220.6 	189.4 	171.2 	181.0 	192.2 	184.1 	196.0 b	197.1 	196.7 	203.9 b
I,SAL,FT,THS,RO	193.5 	196.4 	174.4 	168.6 	163.3 	160.8 	159.8 	154.1 b	157.5 	144.4 b
I,SAL,FT,THS,SE	79.7 	76.2 	73.8 	69.9 	64.4 	60.9 	61.4 	62.1 	58.1 	59.5 b
I,SAL,FT,THS,SI	27.8 	25.0 	29.5 	26.4 	25.0 	26.6 	30.6 	31.6 	27.5 	31.4 b
I,SAL,FT,THS,SK	85.2 	88.6 	90.0 	94.1 	91.0 	83.8 	81.1 b	83.3 	86.4 b	91.4 b
I,SAL,FT,THS,TR	1119.8 	1076.3 	1072.7 	969.8 b	961.8 	877.0 	819.5 	764.3 	743.0 	: 
I,SAL,FT,THS,UK	824.5 	803.4 	762.5 	746.6 	685.9 	633.3 	655.7 	640.9 	628.2 	576.8 b
I,SAL,NRP,THS,CH	: 	: 	: 	: 	: 	: 	: u	1.9 bu	: u	: bc
I,SAL,NRP,THS,CZ	: 	: c	: c	: 	: 	: 	: 	: 	: 	: 
I,SAL,NRP,THS,DE	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 
I,SAL,NRP,THS,DK	: 	: bc	: 	: 	: 	: 	: 	: 	: 	: 
I,SAL,NRP,THS,EA17	: u	: u	: u	: u	: u	: u	: c	: c	: c	: 
I,SAL,NRP,THS,EA18	: u	: u	: u	: u	: u	: u	: c	: c	: c	: 
I,SAL,NRP,THS,EA19	: u	: u	: u	: u	: u	: u	: c	: c	: c	: 
I,SAL,NRP,THS,EU15	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I,SAL,NRP,THS,EU27	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I,SAL,NRP,THS,EU28	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I,SAL,NRP,THS,FI	: c	: u	: c	: c	: c	: c	: c	: c	: c	: 
I,SAL,NRP,THS,LU	: c	: u	: bc	: c	: 	: c	: c	: 	: 	: 
I,SAL,NRP,THS,NO	0.5 	: u	: u	: u	: c	0.5 u	: c	: u	: u	: bu
I,SAL,NRP,THS,SE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I,SAL,NRP,THS,UK	: u	: u	: u	: u	: u	: u	: u	: 	: c	: bc
I,SAL,PT,THS,AT	93.2 	89.1 	86.7 	77.8 	74.2 	74.2 	69.7 	67.0 	72.4 	61.6 b
I,SAL,PT,THS,BE	51.5 b	49.3 	47.1 	47.2 	51.3 	46.6 	48.8 b	42.4 	40.3 	45.3 b
I,SAL,PT,THS,BG	3.6 u	: u	: u	: u	3.5 u	: u	4.1 bu	4.1 bu	: u	: bu
I,SAL,PT,THS,CH	67.5 	69.1 	70.9 	66.1 	65.6 	60.7 	63.3 	61.4 b	50.5 	47.5 b
I,SAL,PT,THS,CY	4.7 	3.2 	3.3 	4.3 	3.2 	2.7 	2.4 	1.9 	2.0 b	1.3 bu
I,SAL,PT,THS,CZ	20.0 	18.3 	18.9 	19.4 	17.0 	14.0 	11.8 b	13.6 	14.4 	10.8 b
I,SAL,PT,THS,DE	672.2 	666.7 	675.4 	649.0 	626.1 	607.3 	583.8 b	548.5 b	575.2 	543.6 b
I,SAL,PT,THS,DK	63.1 b	63.5 b	62.7 	54.0 	52.8 	52.8 	49.3 	46.0 	43.3 	43.2 b
I,SAL,PT,THS,EA17	2386.6 	2324.2 	2253.3 	2123.0 	2041.7 	1982.8 	1870.2 	1787.8 	1756.4 	1674.2 b
I,SAL,PT,THS,EA18	2389.2 	2327.7 	2255.6 	2124.7 	2044.1 	1985.7 	1872.8 	1790.4 	1758.6 	1676.4 b
I,SAL,PT,THS,EA19	2393.0 	2331.6 	2259.5 	2128.4 	2048.3 	1990.8 	1876.4 	1793.2 	1761.4 	1679.8 b
I,SAL,PT,THS,EE	4.0 	4.4 	4.8 	4.3 	3.4 	3.9 	3.3 	4.0 	3.5 	2.2 bu
I,SAL,PT,THS,EL	56.0 	54.5 	45.6 	37.3 	28.6 	25.8 	23.2 	22.1 	20.7 b	16.4 b
I,SAL,PT,THS,ES	400.6 	390.4 	374.6 	358.1 	329.8 	296.8 	284.9 	249.0 	239.5 b	217.1 b
I,SAL,PT,THS,EU15	3237.9 	3171.8 	3073.0 	2917.2 	2819.3 	2776.9 	2610.3 	2516.5 	2445.1 	2323.3 b
I,SAL,PT,THS,EU27	3363.4 	3286.2 	3184.8 	3029.9 	2932.7 	2890.1 	2711.5 	2613.2 	2529.7 	2399.4 b
I,SAL,PT,THS,EU28	3368.4 	3291.5 	3188.7 	3032.2 	2933.0 	2890.5 	2711.8 	2613.8 	2531.0 	2400.0 b
I,SAL,PT,THS,FI	30.3 	27.5 	27.2 	24.8 	23.6 	24.0 	23.6 	22.5 	23.1 	23.4 b
I,SAL,PT,THS,FR	268.4 	265.4 	249.0 	224.8 b	226.6 	237.3 	235.6 	227.1 	206.0 	208.6 b
I,SAL,PT,THS,HR	4.9 u	5.3 u	3.9 u	2.3 bu	: c	: u	: c	: u	1.3 u	: bu
I,SAL,PT,THS,HU	13.8 	14.0 	17.7 	15.7 	15.7 	18.6 	17.4 	13.9 	12.5 	10.1 b
I,SAL,PT,THS,IE	64.7 b	61.9 	58.1 	59.0 	57.8 	52.1 	48.2 	50.9 	48.2 	46.6 b
I,SAL,PT,THS,IS	3.9 	4.7 	4.6 	4.1 	3.8 	3.0 	3.6 	3.5 	3.2 	2.2 b
I,SAL,PT,THS,IT	455.7 	435.1 	408.4 	381.5 	368.6 	349.0 	295.7 	295.6 	274.0 	260.7 b
I,SAL,PT,THS,LT	: u	: u	: u	: u	: u	5.1 u	: u	: u	: u	: bu
I,SAL,PT,THS,LU	1.5 	1.8 	1.5 b	1.6 	1.1 	1.1 	1.0 	0.9 u	1.2 b	0.7 bu
I,SAL,PT,THS,LV	2.6 	3.5 	2.3 	1.7 u	2.4 u	3.0 	2.6 u	2.7 u	2.2 u	2.2 b
I,SAL,PT,THS,ME	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 
I,SAL,PT,THS,MK	0.7 u	1.1 u	0.7 u	2.2 	1.0 u	1.4 	1.1 	: 	: 	: 
I,SAL,PT,THS,MT	4.0 	3.5 	3.5 	4.3 	4.8 	4.1 	3.7 	2.9 	2.7 	2.5 b
I,SAL,PT,THS,NL	230.4 	227.7 	226.0 	208.3 	204.5 b	224.8 	215.3 b	221.5 b	220.9 	216.6 b
I,SAL,PT,THS,NO	36.1 	32.6 	35.7 	33.2 	32.2 	32.0 	31.0 	29.9 	32.4 	30.1 b
I,SAL,PT,THS,PL	48.1 	41.1 	36.0 	37.7 	42.9 	45.8 	39.4 	37.9 b	31.2 	30.1 b
I,SAL,PT,THS,PT	30.5 	26.2 	25.9 	24.4 	23.9 	22.8 	20.6 b	19.9 	16.4 	18.0 b
I,SAL,PT,THS,RO	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu
I,SAL,PT,THS,SE	74.4 	73.5 	68.9 	65.9 	67.4 	64.7 	59.8 	63.5 	62.1 	64.0 b
I,SAL,PT,THS,SI	11.1 	9.7 	9.8 	7.8 	6.8 	6.4 	6.7 	7.8 	6.7 	7.0 b
I,SAL,PT,THS,SK	7.8 	7.9 	6.5 	8.3 	7.3 	3.9 	3.8 b	3.8 	3.5 b	2.7 bu
I,SAL,PT,THS,TR	60.4 	54.5 	53.0 	46.2 b	40.5 	28.6 	25.8 	25.2 	18.5 	: 
I,SAL,PT,THS,UK	745.3 	739.3 	715.9 	703.4 	683.1 	697.6 	650.7 	639.8 	601.7 	557.4 b
I,SAL,TOTAL,THS,AT	225.1 	216.8 	201.6 	194.4 	199.8 	209.8 	202.3 	203.7 	207.7 	194.4 b
I,SAL,TOTAL,THS,BE	107.5 b	105.4 	97.5 	104.1 	98.0 	97.6 	100.3 b	89.9 	91.6 	97.7 b
I,SAL,TOTAL,THS,BG	151.8 	140.5 	141.4 	137.2 	128.2 	135.8 	141.6 b	144.9 b	149.6 	148.3 b
I,SAL,TOTAL,THS,CH	156.7 	148.5 	160.0 	154.0 	154.4 	146.1 	153.9 	156.3 b	131.2 	127.9 b
I,SAL,TOTAL,THS,CY	31.4 	29.1 	25.8 	24.2 	25.2 	24.8 	22.5 	23.9 	23.0 b	20.8 b
I,SAL,TOTAL,THS,CZ	139.6 	144.2 	158.8 	161.2 	146.0 	142.4 	148.1 b	151.7 	151.5 	142.5 b
I,SAL,TOTAL,THS,DE	1353.4 	1353.2 	1311.5 	1286.9 	1270.1 	1254.8 	1219.0 b	1174.6 b	1221.7 	1171.2 b
I,SAL,TOTAL,THS,DK	108.2 b	109.3 b	107.3 	94.1 	88.8 	86.3 	82.1 	78.1 	76.5 	75.9 b
I,SAL,TOTAL,THS,EA17	6127.0 	5939.3 	5641.3 	5352.7 	5245.6 	5289.9 	5240.2 	5143.3 	5177.3 	5129.6 b
I,SAL,TOTAL,THS,EA18	6154.4 	5967.2 	5669.6 	5379.9 	5268.7 	5315.4 	5264.7 	5168.3 	5199.4 	5156.8 b
I,SAL,TOTAL,THS,EA19	6185.7 	6000.4 	5701.4 	5412.1 	5300.2 	5345.4 	5295.6 	5198.0 	5229.7 	5189.9 b
I,SAL,TOTAL,THS,EE	23.9 	25.4 	24.8 	24.1 	21.7 	17.0 	17.2 	18.0 	17.3 	21.7 b
I,SAL,TOTAL,THS,EL	231.5 	223.1 	212.9 	194.8 	154.3 	159.9 	171.7 	180.0 	193.4 b	186.8 b
I,SAL,TOTAL,THS,ES	1323.6 	1276.5 	1165.8 	1068.9 	1022.5 	1030.0 	1079.3 	1048.8 	1080.3 b	1101.9 b
I,SAL,TOTAL,THS,EU15	7760.6 	7542.7 	7172.6 	6835.1 	6644.6 	6657.9 	6577.9 	6448.0 	6428.5 	6277.1 b
I,SAL,TOTAL,THS,EU27	9006.3 	8777.4 	8365.1 	8000.0 	7754.2 	7766.2 	7679.5 	7544.5 	7524.8 	7364.5 b
I,SAL,TOTAL,THS,EU28	9109.6 	8872.9 	8449.9 	8081.5 	7832.0 	7841.0 	7754.2 	7626.7 	7600.8 	7444.3 b
I,SAL,TOTAL,THS,FI	75.4 	72.7 	74.9 	74.1 	76.1 	76.2 	72.8 	71.4 	74.1 	78.2 b
I,SAL,TOTAL,THS,FR	852.5 	840.6 	809.0 	754.6 b	783.5 	805.0 	803.7 	776.3 	728.2 	700.0 b
I,SAL,TOTAL,THS,HR	103.3 	95.5 	84.8 	81.4 b	77.8 	74.8 	74.7 	82.2 	76.0 	79.8 b
I,SAL,TOTAL,THS,HU	171.8 	176.1 	168.5 	151.8 	141.6 	141.8 	136.1 	129.0 	131.0 	139.3 b
I,SAL,TOTAL,THS,IE	151.4 b	141.3 	133.1 	129.6 	123.2 	109.7 	104.0 	113.6 	116.8 	120.7 b
I,SAL,TOTAL,THS,IS	10.3 	10.9 	9.9 	9.6 	8.9 	7.3 	7.9 	7.1 	6.9 	5.8 b
I,SAL,TOTAL,THS,IT	1043.1 	990.1 	935.8 	861.9 	837.6 	863.1 	803.4 	795.2 	779.3 	773.2 b
I,SAL,TOTAL,THS,LT	31.3 	33.2 	31.8 	32.2 	31.4 	30.0 	30.9 	29.7 	30.3 	33.2 b
I,SAL,TOTAL,THS,LU	6.4 	8.4 	8.3 b	7.1 	6.4 	7.3 	6.8 	4.6 	5.8 b	5.4 b
I,SAL,TOTAL,THS,LV	27.4 	27.9 	28.3 	27.2 	23.2 	25.5 	24.5 	25.0 	22.0 	27.2 b
I,SAL,TOTAL,THS,ME	16.4 	15.6 	14.3 	15.3 	14.5 	11.9 	11.5 	: 	: 	: 
I,SAL,TOTAL,THS,MK	24.7 	21.9 	22.8 	20.7 	19.3 	20.8 	19.7 	: 	: 	: 
I,SAL,TOTAL,THS,MT	14.7 	15.0 	13.1 	13.9 	15.3 	13.6 	12.2 	11.5 	11.9 	11.7 b
I,SAL,TOTAL,THS,NL	304.1 	295.0 	294.0 	271.9 	265.7 b	293.5 	286.2 b	288.3 b	289.2 	291.6 b
I,SAL,TOTAL,THS,NO	72.7 	67.1 	72.3 	71.0 	64.5 	64.7 	63.6 	65.5 	65.3 	63.8 b
I,SAL,TOTAL,THS,PL	326.4 	313.9 	287.1 	285.6 	281.5 	293.5 	284.2 	281.0 b	277.6 	265.0 b
I,SAL,TOTAL,THS,PT	251.1 	215.5 	197.1 	205.5 	216.1 	206.8 	216.6 b	217.0 	213.1 	221.9 b
I,SAL,TOTAL,THS,RO	195.7 	198.3 	177.0 	170.9 	165.4 	163.3 	162.3 	155.4 b	158.0 	145.2 b
I,SAL,TOTAL,THS,SE	154.3 	150.0 	143.1 	136.0 	131.9 	125.7 	121.5 	125.9 	120.6 	123.6 b
I,SAL,TOTAL,THS,SI	38.9 	34.7 	39.3 	34.3 	31.8 	33.1 	37.3 	39.4 	34.3 	38.4 b
I,SAL,TOTAL,THS,SK	93.0 	96.5 	96.5 	102.4 	98.3 	87.7 	84.9 b	87.1 	89.9 b	94.0 b
I,SAL,TOTAL,THS,TR	1180.2 	1130.9 	1125.7 	1016.0 b	1002.3 	905.6 	845.4 	789.5 	761.6 	: 
I,SAL,TOTAL,THS,UK	1572.8 	1544.7 	1480.5 	1451.1 	1370.5 	1332.1 	1308.1 	1280.6 	1230.4 	1134.6 b
I,SELF,FT,THS,AT	29.7 	33.1 	29.2 	30.7 	31.5 	36.6 	31.6 	33.2 	33.1 	37.8 b
I,SELF,FT,THS,BE	36.1 b	40.1 	49.5 	43.4 	40.6 	49.7 	41.6 b	43.3 	42.0 	37.4 b
I,SELF,FT,THS,BG	15.4 	16.1 	15.7 	16.6 	16.5 	15.1 	15.7 b	17.8 b	16.7 	17.5 b
I,SELF,FT,THS,CH	27.8 	27.1 	25.7 	23.6 	23.0 	24.3 	26.5 	22.0 b	17.0 	13.3 b
I,SELF,FT,THS,CY	2.3 	2.3 	2.5 	2.9 	2.5 	3.3 	3.6 	3.3 	4.0 b	3.9 b
I,SELF,FT,THS,CZ	29.0 	33.3 	32.4 	31.0 	27.1 	31.1 	32.9 b	34.1 	30.8 	30.7 b
I,SELF,FT,THS,DE	176.3 	177.8 	198.1 	193.7 	191.1 	195.3 	199.7 b	198.3 b	213.9 	220.1 b
I,SELF,FT,THS,DK	8.7 b	8.0 b	10.6 	9.6 	10.1 	11.2 	10.8 	8.5 	11.5 	9.3 b
I,SELF,FT,THS,EA17	1229.8 	1240.3 	1271.4 	1248.5 	1216.2 	1221.0 	1229.2 	1248.2 	1271.4 	1321.1 b
I,SELF,FT,THS,EA18	1231.8 	1242.1 	1273.4 	1250.2 	1219.3 	1223.6 	1229.8 	1249.1 	1272.3 	1322.5 b
I,SELF,FT,THS,EA19	1234.7 	1244.2 	1275.3 	1251.5 	1221.0 	1225.5 	1231.1 	1250.6 	1273.9 	1324.4 b
I,SELF,FT,THS,EE	: u	: u	1.2 u	1.3 u	1.4 u	: u	: u	: u	1.8 u	: bu
I,SELF,FT,THS,EL	90.2 	87.3 	81.8 	74.0 	81.0 	85.7 	89.2 	92.4 	92.2 b	94.5 b
I,SELF,FT,THS,ES	283.1 	293.3 	302.5 	298.8 	275.8 	269.0 	282.0 	284.4 	291.3 b	298.9 b
I,SELF,FT,THS,EU15	1353.1 	1358.2 	1382.5 	1351.9 	1327.0 	1343.6 	1347.0 	1363.8 	1369.3 	1428.1 b
I,SELF,FT,THS,EU27	1499.4 	1516.7 	1535.4 	1496.4 	1467.3 	1488.0 	1497.1 	1518.6 	1518.6 	1567.6 b
I,SELF,FT,THS,EU28	1513.4 	1528.7 	1549.7 	1508.8 	1481.8 	1500.2 	1509.0 	1532.9 	1533.9 	1582.0 b
I,SELF,FT,THS,FI	7.1 	9.8 	9.9 	9.6 	8.7 	8.7 	8.6 	9.5 	9.7 	9.1 b
I,SELF,FT,THS,FR	153.8 	156.8 	164.2 	154.9 b	158.8 	157.8 	154.0 	169.4 	158.0 	165.9 b
I,SELF,FT,THS,HR	14.0 	11.9 	14.3 	12.4 b	14.5 	12.2 	11.9 	14.3 	15.3 	14.4 b
I,SELF,FT,THS,HU	19.8 	19.7 	18.4 	17.5 	17.8 	20.8 	20.6 	21.4 	22.9 	20.3 b
I,SELF,FT,THS,IE	10.3 b	12.9 	12.2 	12.6 	11.4 	10.8 	12.5 	13.0 	12.2 	11.9 b
I,SELF,FT,THS,IS	0.7 	0.7 	0.9 	0.9 	0.8 	0.6 	0.7 	0.7 	0.6 	: bu
I,SELF,FT,THS,IT	317.5 	307.5 	306.4 	306.8 	297.8 	295.2 	291.2 	284.2 	288.7 	302.8 b
I,SELF,FT,THS,LT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I,SELF,FT,THS,LU	0.8 u	0.7 u	1.0 b	0.5 u	0.6 u	0.7 u	0.7 u	0.7 u	0.5 bu	1.0 b
I,SELF,FT,THS,LV	2.0 	1.9 u	2.0 u	1.7 u	3.1 	2.5 u	: u	: u	: u	1.4 bu
I,SELF,FT,THS,ME	2.6 	2.1 	2.7 	3.2 	2.7 	2.9 	1.8 u	: 	: 	: 
I,SELF,FT,THS,MK	3.6 	3.3 	3.7 	3.2 	4.0 	2.2 	3.6 	: 	: 	: 
I,SELF,FT,THS,MT	1.7 	1.4 	1.2 	1.0 	0.9 	1.0 	0.7 u	0.8 	1.0 	1.1 b
I,SELF,FT,THS,NL	40.9 	43.2 	35.9 	36.1 	33.6 b	34.5 	35.9 b	34.4 b	32.2 	32.6 b
I,SELF,FT,THS,NO	3.8 	3.8 	3.7 	3.4 	2.7 	2.4 	2.4 	2.7 	2.2 	2.9 b
I,SELF,FT,THS,PL	48.6 	53.2 	46.4 	41.2 	42.0 	45.3 	48.7 	47.9 b	41.5 	35.8 b
I,SELF,FT,THS,PT	62.0 	52.3 	53.7 	61.3 	61.5 	57.2 	58.2 b	60.1 	69.0 	85.5 b
I,SELF,FT,THS,RO	6.7 u	6.7 u	8.9 u	9.1 u	8.4 u	7.9 u	: u	: bu	: u	8.2 bu
I,SELF,FT,THS,SE	18.4 	20.7 	20.9 	19.5 	18.7 	17.6 	20.3 	23.6 	20.0 	20.6 b
I,SELF,FT,THS,SI	5.2 	5.1 	5.8 	5.1 	5.5 	5.4 	4.7 	5.1 	5.4 	4.1 b
I,SELF,FT,THS,SK	11.8 	15.8 	16.5 	15.8 	13.4 	9.1 	14.2 b	15.4 	16.3 b	13.4 b
I,SELF,FT,THS,TR	259.9 	251.1 	242.0 	250.8 b	235.6 	231.7 	223.6 	230.1 	226.4 	: 
I,SELF,FT,THS,UK	118.1 	114.7 	106.7 	100.4 	105.8 	113.6 	110.7 	108.6 	94.9 	100.8 b
I,SELF,NRP,THS,CH	: 	: 	: 	: 	: 	: 	: u	: bc	: c	: 
I,SELF,NRP,THS,EA17	: 	: c	: c	: c	: 	: 	: 	: 	: 	: 
I,SELF,NRP,THS,EA18	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 
I,SELF,NRP,THS,EA19	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 
I,SELF,NRP,THS,EU15	: c	: u	: c	: c	: c	: c	: c	: c	: c	: bc
I,SELF,NRP,THS,EU27	: c	: u	: c	: c	: c	: c	: c	: c	: c	: bc
I,SELF,NRP,THS,EU28	: c	: u	: c	: c	: c	: c	: c	: c	: c	: bc
I,SELF,NRP,THS,FI	: 	: c	: c	: c	: 	: 	: 	: 	: 	: 
I,SELF,NRP,THS,LU	: 	: c	: bc	: 	: 	: 	: 	: 	: 	: 
I,SELF,NRP,THS,LV	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
I,SELF,NRP,THS,NO	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 
I,SELF,NRP,THS,SE	: c	: 	: c	: 	: c	: 	: c	: 	: c	: 
I,SELF,NRP,THS,UK	: 	: c	: 	: 	: c	: c	: 	: c	: 	: bc
I,SELF,PT,THS,AT	3.9 u	3.7 u	3.5 u	5.0 u	4.4 u	4.0 u	4.4 u	3.2 u	3.3 u	3.8 bu
I,SELF,PT,THS,BE	2.5 bu	2.3 u	3.3 u	2.5 u	3.4 u	2.1 u	2.6 bu	3.7 u	: u	2.4 bu
I,SELF,PT,THS,BG	: u	: c	: c	: u	: u	: u	: bc	: bc	: u	: bc
I,SELF,PT,THS,CH	5.4 	6.2 	6.1 	5.2 	4.0 u	5.3 	4.1 u	5.0 bu	3.5 u	3.8 bu
I,SELF,PT,THS,CY	: u	0.8 u	: u	: u	0.6 u	0.5 u	0.5 u	: u	: bu	: bu
I,SELF,PT,THS,CZ	1.4 u	1.3 u	1.7 u	1.2 u	2.1 u	1.9 u	1.0 bu	1.3 u	0.8 u	1.0 bu
I,SELF,PT,THS,DE	24.8 	26.7 	19.6 	24.7 	24.9 	31.8 	28.1 b	26.3 b	24.5 	20.8 b
I,SELF,PT,THS,DK	: bu	: bu	: u	: u	: u	: u	: u	: u	: u	: bu
I,SELF,PT,THS,EA17	126.6 	135.3 	128.9 	132.0 	117.7 	121.7 	117.5 	108.8 	94.7 	95.4 b
I,SELF,PT,THS,EA18	126.9 	136.0 	129.0 	132.4 	117.9 	122.0 	117.7 	108.9 	94.8 	95.4 b
I,SELF,PT,THS,EA19	127.2 	136.1 	129.2 	132.7 	118.0 	122.2 	117.7 	108.9 	94.8 	95.5 b
I,SELF,PT,THS,EE	: u	: c	: c	: u	: u	: u	: u	: c	: c	: bc
I,SELF,PT,THS,EL	1.5 u	2.7 u	3.1 u	3.6 	1.8 u	2.3 u	2.0 u	1.7 u	: bu	1.7 bu
I,SELF,PT,THS,ES	14.0 	16.7 	18.1 	14.5 	14.6 	15.3 	14.4 	14.8 	15.0 b	17.6 b
I,SELF,PT,THS,EU15	173.9 	177.1 	169.6 	173.5 	153.9 	154.1 	144.9 	143.5 	130.9 	127.2 b
I,SELF,PT,THS,EU27	183.1 	185.6 	178.1 	182.2 	163.2 	162.4 	151.7 	151.2 	137.4 	134.3 b
I,SELF,PT,THS,EU28	183.4 	186.0 	178.3 	182.6 	164.8 	164.2 	154.6 	152.4 	138.5 	135.5 b
I,SELF,PT,THS,FI	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I,SELF,PT,THS,FR	14.6 	13.1 	12.4 	12.5 b	7.6 u	9.8 u	11.7 	10.1 u	10.0 u	: bu
I,SELF,PT,THS,HR	: u	: u	: c	: bc	1.7 u	1.8 u	2.9 u	1.1 u	1.1 u	1.2 bu
I,SELF,PT,THS,HU	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I,SELF,PT,THS,IE	: bu	: u	2.0 u	: u	: u	1.9 u	: u	2.0 u	: u	2.1 bu
I,SELF,PT,THS,IS	: u	: u	: u	: u	: u	: u	: u	: c	: u	: bu
I,SELF,PT,THS,IT	41.5 	45.5 	41.9 	47.4 	39.7 	37.6 	35.2 	29.8 	21.9 	26.0 b
I,SELF,PT,THS,LT	: u	: c	: u	: u	: u	: c	: 	: c	: 	: bc
I,SELF,PT,THS,LU	: c	: u	: bu	: c	: 	: c	: 	: u	: bc	: bc
I,SELF,PT,THS,LV	: u	: u	: c	: u	: u	: u	: u	: c	: c	: 
I,SELF,PT,THS,ME	: u	: u	: u	: c	: 	: u	: u	: 	: 	: 
I,SELF,PT,THS,MK	: c	: c	: c	: 	: 	: c	: 	: 	: 	: 
I,SELF,PT,THS,MT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I,SELF,PT,THS,NL	16.0 	14.5 	17.9 	14.2 	11.6 b	9.5 	10.4 b	11.7 b	10.9 	12.1 b
I,SELF,PT,THS,NO	1.1 	0.8 u	0.8 u	0.5 u	1.1 u	0.8 u	0.7 u	: u	: u	: bu
I,SELF,PT,THS,PL	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu
I,SELF,PT,THS,PT	: u	4.7 	: u	: u	5.0 	4.6 	5.0 b	: u	: u	: bu
I,SELF,PT,THS,RO	: u	: c	: 	: 	: u	: u	: u	: bu	: c	: bc
I,SELF,PT,THS,SE	2.8 	1.8 u	2.7 	2.4 	2.4 	1.8 u	2.1 	2.9 	2.9 u	: bu
I,SELF,PT,THS,SI	: u	: u	0.5 u	: u	: c	: u	: u	0.5 u	: u	: bu
I,SELF,PT,THS,SK	: c	: u	: u	: u	: u	: c	: bc	: c	: bc	: 
I,SELF,PT,THS,TR	7.4 	6.7 	5.7 	7.5 b	5.8 	7.7 	9.9 	6.1 	4.7 	: 
I,SELF,PT,THS,UK	45.4 	40.6 	38.8 	39.6 	34.8 	31.5 	25.3 	32.3 	33.4 	30.0 b
