nace_r2,wstatus,worktime,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
H51,EMP,FT,THS,IE	6.5 b	6.7 	9.5 	9.7 	8.0 	7.6 	7.2 	8.6 	8.0 	6.8 b
H51,EMP,FT,THS,IS	2.8 	2.7 	1.9 	1.9 	1.9 	1.4 	1.5 	1.6 	1.6 	1.6 b
H51,EMP,FT,THS,IT	21.6 	17.2 	19.7 	27.7 	24.9 	26.9 	29.1 	27.9 	29.7 	33.9 b
H51,EMP,FT,THS,LT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,EMP,FT,THS,LU	2.0 	2.2 	1.9 b	2.3 	1.8 	2.1 	2.3 	2.4 	2.2 b	2.9 b
H51,EMP,FT,THS,LV	2.4 	2.4 	1.5 u	1.5 u	: u	2.6 u	2.6 u	2.5 u	2.1 u	1.2 bu
H51,EMP,FT,THS,ME	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 
H51,EMP,FT,THS,MK	: c	: c	: c	: c	: c	: c	0.6 u	: 	: 	: 
H51,EMP,FT,THS,MT	1.1 	1.3 	1.4 	1.4 	0.9 	1.1 	1.6 	1.6 	1.1 	1.2 b
H51,EMP,FT,THS,NL	16.6 	15.3 	15.3 	15.2 	16.9 b	19.2 	22.2 b	21.5 b	23.0 	23.1 b
H51,EMP,FT,THS,NO	4.8 	5.5 	5.7 	6.5 	7.1 	7.0 	5.4 	5.3 	6.2 	6.0 b
H51,EMP,FT,THS,PL	13.7 u	9.3 u	9.2 u	11.2 u	7.2 u	9.7 u	7.9 u	6.4 bu	: u	5.8 bu
H51,EMP,FT,THS,PT	9.8 	12.3 	10.0 	8.4 	7.3 	6.7 	6.5 b	7.2 	13.2 	9.8 b
H51,EMP,FT,THS,RO	6.5 u	7.0 u	7.9 u	6.5 u	8.9 u	10.2 u	8.5 u	7.2 bu	8.7 u	7.5 bu
H51,EMP,FT,THS,SE	5.7 	5.9 	4.3 	4.4 	5.0 	5.3 	4.9 	5.5 	6.0 	6.0 b
H51,EMP,FT,THS,SI	: u	0.7 u	0.8 u	0.5 u	1.5 u	1.2 u	1.4 u	1.7 u	1.9 u	1.6 bu
H51,EMP,FT,THS,SK	: u	2.7 u	2.6 u	2.3 u	: u	: u	: bu	: u	2.3 bu	2.8 bu
H51,EMP,FT,THS,TR	35.2 	35.5 	29.5 	21.3 b	40.8 	23.6 	22.8 	21.4 	25.1 	: 
H51,EMP,FT,THS,UK	58.0 	56.8 	53.8 	57.2 	47.0 	51.5 	58.3 	53.0 	61.3 	44.9 b
H51,EMP,NRP,THS,CH	: 	: 	: 	: 	: 	: 	: 	: bc	: 	: 
H51,EMP,NRP,THS,EA17	: c	: c	: 	: 	: 	: 	: 	: c	: 	: 
H51,EMP,NRP,THS,EA18	: c	: c	: 	: 	: 	: 	: 	: c	: 	: 
H51,EMP,NRP,THS,EA19	: c	: c	: 	: 	: 	: 	: 	: c	: 	: 
