worktime,wstatus,sex,nace_r2,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
FT,SAL,F,H51,THS,EA17	82.0 	80.3 	88.9 	95.5 	80.6 	92.0 	93.7 	98.1 	97.2 	105.3 b
FT,SAL,F,H51,THS,EA18	82.8 	81.4 	89.6 	96.0 	80.9 	92.9 	95.0 	99.2 	97.8 	105.7 b
FT,SAL,F,H51,THS,EA19	83.4 	81.7 	89.9 	96.2 	81.1 	93.0 	95.1 	99.2 	98.2 	105.9 b
FT,SAL,F,H51,THS,EE	: u	: u	: u	: u	: u	: c	: c	: c	: u	: bu
FT,SAL,F,H51,THS,EL	3.9 	3.7 	3.6 	2.8 u	2.3 u	3.1 u	3.2 u	2.3 u	2.2 bu	2.8 bu
FT,SAL,F,H51,THS,ES	14.0 	12.9 	13.7 	16.6 	11.5 	13.7 	14.4 	19.2 	18.7 b	18.4 b
FT,SAL,F,H51,THS,EU15	103.8 	101.7 	106.5 	113.5 	94.4 	110.4 	113.8 	118.1 	117.4 	124.2 b
FT,SAL,F,H51,THS,EU27	119.1 	116.0 	120.8 	128.7 	106.6 	124.6 	126.6 	131.9 	131.8 	140.1 b
FT,SAL,F,H51,THS,EU28	119.8 	116.0 	120.8 	129.3 	107.1 	124.6 	126.6 	131.9 	131.8 	140.3 b
FT,SAL,F,H51,THS,FI	2.1 u	2.2 u	2.6 u	: u	2.0 u	2.3 u	2.3 u	: u	3.0 u	3.5 bu
FT,SAL,F,H51,THS,FR	15.7 	17.2 	23.9 	25.8 b	18.3 	23.2 	26.4 	25.0 	18.3 	25.9 b
FT,SAL,F,H51,THS,HR	: c	: 	: 	: bu	: c	: 	: 	: 	: 	: bc
FT,SAL,F,H51,THS,HU	: u	: u	2.9 u	: u	: u	: u	: u	: u	: u	: bu
FT,SAL,F,H51,THS,IE	2.2 bu	2.5 u	3.5 	3.2 	2.9 u	3.3 	3.0 u	3.6 	2.9 u	2.9 bu
FT,SAL,F,H51,THS,IS	1.2 	1.1 	0.9 	0.5 	0.6 	0.6 	0.7 	0.6 	: u	: bu
FT,SAL,F,H51,THS,IT	6.5 	4.8 	5.5 	10.6 	8.6 	7.7 	7.3 	5.9 	9.1 	11.2 b
FT,SAL,F,H51,THS,LT	: u	: u	: u	: c	: c	: c	: c	: c	: u	: bu
FT,SAL,F,H51,THS,LU	: u	: u	: bu	: u	0.5 u	: u	0.6 u	: u	: bu	0.6 bu
FT,SAL,F,H51,THS,LV	: u	: u	: u	: u	: c	: u	: u	: u	: u	: bu
FT,SAL,F,H51,THS,ME	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 
FT,SAL,F,H51,THS,MK	: 	: c	: c	: c	: c	: 	: c	: 	: 	: 
FT,SAL,F,H51,THS,MT	0.4 u	0.4 u	0.4 u	0.6 u	: u	: u	: u	0.4 u	: u	: bu
FT,SAL,F,H51,THS,NL	3.4 	2.7 	2.7 	3.4 	3.4 b	3.2 	3.8 b	4.9 b	4.7 	5.8 b
FT,SAL,F,H51,THS,NO	1.4 	1.8 	2.2 	1.7 	1.9 	2.1 	2.4 	2.3 	2.5 	2.0 b
FT,SAL,F,H51,THS,PL	5.3 u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu
FT,SAL,F,H51,THS,PT	5.4 	6.7 	: u	: u	: u	: u	: bu	: u	6.0 	: bu
FT,SAL,F,H51,THS,RO	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu
FT,SAL,F,H51,THS,SE	2.5 	2.1 	1.7 u	1.8 u	2.0 u	1.4 u	1.4 u	2.3 	: u	2.6 bu
FT,SAL,F,H51,THS,SI	: c	0.5 u	: u	: c	: u	: u	: u	: u	0.5 u	: bu
FT,SAL,F,H51,THS,SK	: c	: u	: u	: u	: u	: c	: bu	: u	: bu	: bu
FT,SAL,F,H51,THS,TR	12.6 	15.3 	11.7 	8.3 b	10.3 	6.2 	6.0 	6.7 	10.3 	: 
FT,SAL,F,H51,THS,UK	19.7 	20.6 	17.0 	17.5 	12.9 	16.6 	19.0 	18.3 	20.2 	18.6 b
FT,SAL,F,I,THS,AT	72.1 	69.9 	63.8 	63.6 	70.3 	76.5 	75.5 	79.3 	80.8 	81.5 b
FT,SAL,F,I,THS,BE	24.2 b	21.5 	18.2 	20.7 	18.1 	18.9 	19.1 b	17.5 	21.2 	20.1 b
FT,SAL,F,I,THS,BG	91.0 	86.3 	86.9 	83.8 	81.5 	86.5 	88.6 b	90.2 b	99.2 	98.0 b
FT,SAL,F,I,THS,CH	35.8 	34.3 	36.6 	37.8 	38.3 	38.8 	40.5 	41.7 b	38.2 	34.8 b
FT,SAL,F,I,THS,CY	13.5 	13.7 	11.3 	10.3 	11.8 	11.8 	11.3 	12.4 	11.6 b	10.5 b
FT,SAL,F,I,THS,CZ	66.2 	71.5 	81.4 	86.0 	77.6 	78.1 	80.2 b	82.1 	80.2 	74.4 b
FT,SAL,F,I,THS,DE	328.6 	333.0 	312.2 	308.3 	322.6 	328.0 	326.6 b	319.3 b	330.5 	324.0 b
FT,SAL,F,I,THS,DK	19.9 b	21.1 b	21.4 	18.8 	17.2 	15.5 	17.0 	16.2 	17.3 	16.5 b
FT,SAL,F,I,THS,EA17	1812.3 	1737.3 	1616.2 	1559.3 	1575.6 	1621.2 	1697.9 	1682.6 	1738.7 	1780.0 b
FT,SAL,F,I,THS,EA18	1830.4 	1755.8 	1634.2 	1577.9 	1592.4 	1637.4 	1714.6 	1700.3 	1754.8 	1801.1 b
FT,SAL,F,I,THS,EA19	1850.9 	1779.8 	1656.3 	1601.0 	1613.7 	1657.6 	1737.2 	1722.6 	1778.8 	1827.4 b
FT,SAL,F,I,THS,EE	14.1 	16.6 	16.4 	14.7 	13.4 	10.0 	10.7 	10.1 	10.8 	15.7 b
FT,SAL,F,I,THS,EL	82.3 	78.2 	77.8 	78.5 	59.7 	61.0 	72.5 	82.5 	88.7 b	84.7 b
FT,SAL,F,I,THS,ES	473.7 	445.4 	387.3 	344.3 	355.1 	361.9 	418.4 	422.5 	452.6 b	491.3 b
FT,SAL,F,I,THS,EU15	2132.9 	2027.4 	1881.9 	1820.8 	1807.6 	1844.5 	1938.3 	1908.0 	1968.1 	1977.5 b
FT,SAL,F,I,THS,EU27	2835.1 	2724.0 	2559.9 	2500.1 	2444.3 	2487.4 	2582.3 	2549.7 	2631.0 	2642.7 b
FT,SAL,F,I,THS,EU28	2893.1 	2783.8 	2610.1 	2546.8 	2489.0 	2526.2 	2621.7 	2597.6 	2677.0 	2687.8 b
FT,SAL,F,I,THS,FI	30.9 	31.8 	36.0 	34.9 	37.2 	38.3 	35.2 	35.2 	38.3 	42.6 b
FT,SAL,F,I,THS,FR	265.1 	251.7 	240.4 	239.2 b	241.6 	254.7 	257.4 	240.7 	221.7 	212.8 b
FT,SAL,F,I,THS,HR	58.0 	59.8 	50.2 	46.8 b	44.7 	38.8 	39.4 	47.9 	46.0 	45.2 b
FT,SAL,F,I,THS,HU	90.0 	86.2 	85.5 	81.5 	73.3 	74.2 	73.2 	68.4 	69.8 	75.1 b
FT,SAL,F,I,THS,IE	39.5 b	36.3 	33.9 	30.0 	26.9 	23.5 	24.3 	28.0 	30.8 	36.0 b
FT,SAL,F,I,THS,IS	2.8 	3.1 	2.9 	2.9 	3.2 	2.6 	2.6 	1.7 	1.7 	1.8 b
FT,SAL,F,I,THS,IT	239.5 	225.4 	212.4 	203.8 	201.5 	222.8 	220.0 	211.7 	225.9 	220.9 b
FT,SAL,F,I,THS,LT	20.5 	24.0 	22.1 	23.1 	21.3 	20.3 	22.6 	22.3 	24.0 	26.3 b
FT,SAL,F,I,THS,LU	2.4 	2.5 	2.4 b	1.7 	2.4 	2.4 	2.4 	1.6 	2.1 b	2.7 b
FT,SAL,F,I,THS,LV	18.1 	18.4 	18.1 	18.6 	16.8 	16.2 	16.7 	17.7 	16.1 	21.1 b
FT,SAL,F,I,THS,ME	6.4 	6.4 	6.8 	7.6 	5.9 	5.0 	5.3 	: 	: 	: 
FT,SAL,F,I,THS,MK	8.1 	7.2 	8.5 	7.1 	5.9 	7.2 	6.0 	: 	: 	: 
FT,SAL,F,I,THS,MT	4.1 	4.0 	3.0 	2.9 	2.9 	2.6 	2.1 	2.0 	2.7 	3.3 b
FT,SAL,F,I,THS,NL	20.9 	22.9 	22.6 	17.5 	17.8 b	20.9 	21.2 b	20.6 b	21.2 	24.5 b
FT,SAL,F,I,THS,NO	16.1 	17.9 	19.8 	20.5 	17.4 	16.6 	17.0 	18.9 	18.7 	20.2 b
FT,SAL,F,I,THS,PL	195.9 	186.4 	173.2 	173.6 	161.9 	171.9 	170.2 	172.8 b	175.6 	166.2 b
FT,SAL,F,I,THS,PT	133.0 	113.8 	105.2 	113.2 	120.1 	116.9 	129.7 b	128.0 	129.0 	131.8 b
FT,SAL,F,I,THS,RO	120.3 	118.9 	106.8 	109.1 	102.1 	100.3 	96.8 	92.4 b	102.4 	97.1 b
FT,SAL,F,I,THS,SE	37.1 	34.3 	33.1 	32.4 	31.8 	31.1 	31.4 	30.9 	28.4 	31.1 b
FT,SAL,F,I,THS,SI	17.7 	15.8 	16.3 	16.4 	16.5 	17.2 	19.2 	18.0 	16.2 	19.0 b
FT,SAL,F,I,THS,SK	50.7 	54.8 	56.9 	59.3 	57.6 	53.8 	52.3 b	53.3 	54.5 b	58.5 b
FT,SAL,F,I,THS,TR	288.3 	256.9 	243.8 	203.6 b	220.3 	179.3 	147.8 	117.7 	119.8 	: 
FT,SAL,F,I,THS,UK	363.8 	339.6 	315.2 	314.0 	285.2 	272.1 	287.5 	274.1 	279.3 	257.0 b
FT,SAL,F,I55,THS,AT	33.8 	32.0 	29.6 	28.4 	30.3 	34.7 	32.2 	35.3 	37.1 	35.5 b
FT,SAL,F,I55,THS,BE	8.0 b	8.2 	5.6 	6.1 	7.8 	6.1 	6.5 b	6.5 	8.0 	6.7 b
FT,SAL,F,I55,THS,BG	26.5 	24.6 	23.4 	23.7 	22.6 	23.8 	24.5 b	24.8 b	26.1 	24.6 b
FT,SAL,F,I55,THS,CH	15.6 	13.0 	12.4 	16.3 	16.6 	17.4 	17.9 	19.7 b	17.9 	14.1 b
FT,SAL,F,I55,THS,CY	7.0 	7.2 	5.7 	5.7 	6.2 	5.9 	5.1 	6.2 	6.0 b	5.8 b
FT,SAL,F,I55,THS,CZ	22.8 	22.0 	23.1 	23.9 	22.0 	21.5 	22.5 b	23.1 	23.9 	21.2 b
FT,SAL,F,I55,THS,DE	160.8 	161.1 	146.8 	150.3 	159.6 	151.2 	150.2 b	147.1 b	152.9 	144.0 b
FT,SAL,F,I55,THS,DK	5.4 b	6.1 b	5.6 	4.9 	4.8 	6.2 	5.4 	5.0 	6.5 	5.6 b
FT,SAL,F,I55,THS,EA17	691.6 	667.1 	595.9 	586.0 	594.1 	607.0 	641.4 	605.8 	615.5 	608.8 b
FT,SAL,F,I55,THS,EA18	693.7 	670.0 	600.1 	589.8 	596.7 	608.8 	644.0 	608.7 	618.7 	612.5 b
FT,SAL,F,I55,THS,EA19	696.9 	674.7 	603.9 	594.8 	601.2 	611.6 	646.6 	611.5 	621.5 	616.8 b
FT,SAL,F,I55,THS,EE	4.6 	6.0 	5.1 	4.1 	4.4 	3.0 	2.7 	3.1 	3.2 	5.4 b
FT,SAL,F,I55,THS,EL	34.9 	28.9 	29.1 	30.2 	23.9 	23.5 	26.6 	28.6 	29.2 b	30.4 b
FT,SAL,F,I55,THS,ES	184.3 	173.9 	145.8 	143.3 	138.9 	134.6 	169.4 	148.7 	148.9 b	142.5 b
FT,SAL,F,I55,THS,EU15	785.2 	752.6 	675.5 	659.2 	667.8 	677.0 	715.9 	671.6 	692.3 	669.1 b
FT,SAL,F,I55,THS,EU27	996.8 	962.3 	876.7 	867.1 	866.1 	872.5 	899.9 	849.2 	877.5 	860.6 b
FT,SAL,F,I55,THS,EU28	1018.7 	984.0 	896.6 	888.0 	882.1 	889.5 	916.0 	863.0 	892.7 	877.6 b
FT,SAL,F,I55,THS,FI	5.2 	5.6 	6.2 	5.8 	6.0 	6.2 	7.0 	6.8 	6.9 	7.8 b
FT,SAL,F,I55,THS,FR	98.2 	91.8 	75.0 	78.2 b	80.2 	98.1 	97.5 	94.0 	85.3 	73.4 b
FT,SAL,F,I55,THS,HR	21.9 	21.7 	19.9 	20.9 b	16.1 	17.0 	16.1 	13.8 	15.2 	17.0 b
FT,SAL,F,I55,THS,HU	23.0 	22.7 	21.3 	22.4 	23.2 	22.8 	21.6 	15.3 	16.5 	18.4 b
FT,SAL,F,I55,THS,IE	15.8 b	16.5 	15.4 	13.0 	11.7 	11.1 	10.4 	11.0 	12.3 	14.8 b
FT,SAL,F,I55,THS,IS	1.4 	1.4 	1.4 	1.3 	1.4 	1.1 	1.4 	0.6 	0.8 	0.7 b
FT,SAL,F,I55,THS,IT	69.6 	73.2 	65.8 	56.2 	61.4 	68.4 	64.9 	57.2 	65.8 	73.0 b
FT,SAL,F,I55,THS,LT	: u	4.7 u	: u	5.0 u	4.5 u	: u	: u	: u	: u	: bu
FT,SAL,F,I55,THS,LU	: u	0.7 u	0.6 bu	0.7 u	0.8 u	0.7 u	0.6 u	0.6 u	0.6 bu	0.9 bu
FT,SAL,F,I55,THS,LV	2.1 	2.9 	4.2 	3.8 	2.7 u	1.8 u	2.6 u	2.9 u	3.3 	3.7 b
FT,SAL,F,I55,THS,ME	3.5 	4.0 	4.0 	4.5 	3.4 	1.8 u	2.3 	: 	: 	: 
FT,SAL,F,I55,THS,MK	1.8 	1.8 	2.3 	2.4 	2.1 	2.0 	2.5 	: 	: 	: 
FT,SAL,F,I55,THS,MT	2.8 	2.5 	2.0 	2.1 	2.1 	2.0 	1.9 	1.6 	2.0 	2.8 b
FT,SAL,F,I55,THS,NL	8.2 	8.5 	7.0 	5.5 	5.0 b	8.6 	8.4 b	8.1 b	7.7 	10.3 b
FT,SAL,F,I55,THS,NO	4.8 	4.9 	6.4 	7.9 	6.4 	7.5 	8.0 	8.4 	7.9 	9.0 b
FT,SAL,F,I55,THS,PL	68.6 	67.5 	60.7 	57.9 	55.4 	61.5 	53.2 	50.1 b	50.2 	53.6 b
FT,SAL,F,I55,THS,PT	38.2 	31.6 	30.1 	30.5 	31.5 	29.2 	36.1 b	27.5 	27.5 	33.0 b
FT,SAL,F,I55,THS,RO	31.1 	30.3 	25.8 	33.5 	30.8 	26.7 	25.4 	24.2 b	29.0 	29.2 b
FT,SAL,F,I55,THS,SE	13.5 	11.9 	12.5 	11.7 	10.9 	10.0 	10.5 	11.8 	10.9 	11.2 b
FT,SAL,F,I55,THS,SI	5.5 	4.4 	4.9 	5.9 	6.8 	6.6 	6.8 	6.6 	5.2 	6.8 b
FT,SAL,F,I55,THS,SK	14.3 	15.0 	21.1 	19.9 	17.6 	17.1 	15.0 b	17.0 	16.9 b	15.6 b
FT,SAL,F,I55,THS,TR	85.7 	76.3 	79.0 	67.1 b	75.3 	59.2 	50.5 	41.8 	42.2 	: 
FT,SAL,F,I55,THS,UK	108.9 	102.5 	100.4 	94.4 	95.1 	88.4 	90.3 	83.5 	92.8 	79.9 b
FT,SAL,F,N79,THS,AT	7.1 	6.1 	5.8 u	5.5 u	6.0 	6.4 	7.7 	6.4 	7.4 	9.0 b
FT,SAL,F,N79,THS,BE	4.4 bu	4.0 u	4.8 u	3.0 u	4.0 u	3.9 u	4.6 bu	4.1 u	4.3 u	4.1 bu
FT,SAL,F,N79,THS,BG	4.9 u	: u	: u	4.4 u	3.5 u	: u	: bu	: bu	: u	: bu
FT,SAL,F,N79,THS,CH	5.8 	5.2 	4.6 u	5.3 	5.8 	4.4 u	4.7 u	4.9 bu	4.6 u	4.6 bu
FT,SAL,F,N79,THS,CY	1.5 u	1.4 u	0.6 u	: u	0.9 u	1.4 u	0.9 u	1.2 u	1.5 bu	1.3 bu
FT,SAL,F,N79,THS,CZ	4.7 	7.0 	7.0 	7.0 	6.0 	6.2 	4.9 b	4.9 	6.1 	7.0 b
FT,SAL,F,N79,THS,DE	52.2 	50.5 	47.8 	50.2 	53.7 	47.0 	45.8 b	45.9 b	48.0 	49.2 b
FT,SAL,F,N79,THS,DK	2.9 bu	4.1 b	3.6 u	2.0 u	2.6 u	2.7 u	2.8 u	3.0 u	3.0 u	3.0 bu
FT,SAL,F,N79,THS,EA17	179.1 	159.9 	161.0 	164.6 	167.7 	173.1 	165.8 	164.0 	167.0 	176.9 b
FT,SAL,F,N79,THS,EA18	180.2 	160.4 	162.5 	165.9 	169.5 	174.8 	166.2 	165.0 	168.2 	178.2 b
FT,SAL,F,N79,THS,EA19	181.6 	162.1 	165.0 	167.6 	170.6 	175.9 	167.9 	167.6 	170.6 	179.9 b
FT,SAL,F,N79,THS,EE	: u	: u	: u	: u	1.6 u	1.5 u	: u	: c	: u	2.3 bu
FT,SAL,F,N79,THS,EL	5.9 	5.9 	6.0 	7.8 	5.4 	5.2 	5.9 	7.2 	8.3 b	7.8 b
FT,SAL,F,N79,THS,ES	29.8 	25.4 	29.5 	24.2 	27.9 	28.9 	31.2 	28.0 	30.1 b	35.5 b
FT,SAL,F,N79,THS,EU15	228.2 	206.1 	204.9 	199.4 	210.3 	212.1 	208.9 	206.5 	219.5 	226.2 b
FT,SAL,F,N79,THS,EU27	272.3 	250.4 	247.4 	244.4 	247.8 	248.3 	245.3 	244.0 	257.7 	264.6 b
FT,SAL,F,N79,THS,EU28	275.2 	254.0 	250.5 	247.5 	248.4 	248.9 	246.0 	245.9 	259.5 	266.7 b
FT,SAL,F,N79,THS,FI	2.8 u	2.5 u	2.5 u	2.7 u	3.0 u	: u	2.1 u	2.5 u	3.1 u	3.4 bu
FT,SAL,F,N79,THS,FR	35.3 	28.9 	25.3 	33.0 b	29.3 	38.1 	28.2 	28.2 	26.5 	24.5 b
FT,SAL,F,N79,THS,HR	2.9 u	3.6 u	3.1 u	3.1 bu	: u	: u	: u	1.8 u	1.8 u	2.0 bu
FT,SAL,F,N79,THS,HU	5.5 	4.4 u	4.2 u	4.9 	3.5 u	3.8 u	4.7 u	4.4 u	3.9 u	4.2 bu
FT,SAL,F,N79,THS,IE	3.3 b	2.7 u	2.5 u	2.9 u	2.5 u	2.5 u	3.0 u	3.3 	3.6 	3.1 b
FT,SAL,F,N79,THS,IS	1.4 	1.2 	0.6 	0.7 	0.6 	0.6 	: u	: u	: u	: bu
FT,SAL,F,N79,THS,IT	21.3 	18.3 	18.7 	18.3 	18.9 	22.2 	22.7 	21.1 	18.6 	20.3 b
FT,SAL,F,N79,THS,LT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
FT,SAL,F,N79,THS,LU	: u	: u	: bu	: c	: u	: u	: u	: u	: bu	: bu
FT,SAL,F,N79,THS,LV	: u	: u	1.5 u	: u	1.8 u	1.7 u	: u	: u	: u	1.3 bu
FT,SAL,F,N79,THS,ME	: u	: u	1.6 u	1.6 u	: u	: c	: u	: 	: 	: 
FT,SAL,F,N79,THS,MK	0.6 u	: u	0.8 u	1.2 	0.8 u	: u	: u	: 	: 	: 
FT,SAL,F,N79,THS,MT	: u	0.4 u	0.4 u	0.5 u	0.4 u	: u	: u	0.4 u	: u	0.4 bu
FT,SAL,F,N79,THS,NL	5.9 	4.9 	5.0 	4.4 	4.6 b	5.9 	4.7 b	5.7 b	5.8 	7.0 b
FT,SAL,F,N79,THS,NO	3.3 	3.3 	2.5 	2.8 	3.1 	3.6 	2.9 	2.9 	5.3 	4.2 b
FT,SAL,F,N79,THS,PL	10.6 u	13.0 u	10.2 u	11.0 u	9.9 u	10.4 u	10.1 u	9.1 bu	9.4 u	8.3 bu
FT,SAL,F,N79,THS,PT	5.7 	5.3 	7.4 	6.9 	5.7 	4.5 	4.8 b	6.0 	4.8 	4.5 b
FT,SAL,F,N79,THS,RO	10.6 u	9.2 u	8.6 u	9.3 u	: u	: u	6.8 u	6.8 bu	: u	: bu
FT,SAL,F,N79,THS,SE	5.1 	4.7 	4.0 	4.6 	5.5 	5.1 	4.8 	4.7 	6.4 	7.1 b
FT,SAL,F,N79,THS,SI	1.5 u	1.1 u	0.8 u	1.6 u	1.7 u	1.1 u	0.6 u	0.9 u	1.3 u	1.4 bu
FT,SAL,F,N79,THS,SK	: u	: u	2.9 u	: u	: u	2.3 u	2.4 bu	2.6 u	2.5 bu	2.8 bu
FT,SAL,F,N79,THS,TR	12.2 	15.7 	12.7 	13.0 b	11.6 	12.4 	12.6 	8.9 	9.0 	: 
FT,SAL,F,N79,THS,UK	46.6 	42.7 	41.8 	33.7 	40.8 	37.8 	40.3 	40.0 	49.4 	47.3 b
FT,SAL,F,TOTAL,THS,AT	934.2 	926.7 	913.4 	914.4 	929.8 	932.8 	937.9 	925.1 	925.8 	942.7 
FT,SAL,F,TOTAL,THS,BE	1074.9 b	1044.7 	1049.6 	1054.6 	1016.0 	990.5 	992.2 b	998.4 	981.9 	998.4 
FT,SAL,F,TOTAL,THS,BG	1304.0 	1254.8 	1267.6 	1239.5 	1224.9 	1239.2 	1238.9 b	1263.4 b	1344.0 	1387.7 b
FT,SAL,F,TOTAL,THS,CH	734.4 	727.9 	721.2 	697.5 	696.0 	692.1 	693.3 	658.1 b	695.1 	696.5 
FT,SAL,F,TOTAL,THS,CY	143.8 	137.2 	136.2 	136.8 	137.4 	147.0 	152.5 	149.4 	141.3 b	137.5 
FT,SAL,F,TOTAL,THS,CZ	1773.7 	1754.4 	1732.5 	1698.7 	1668.3 	1665.8 	1667.1 b	1662.9 	1710.8 	1758.6 
FT,SAL,F,TOTAL,THS,DE	9327.1 	9238.7 	8984.0 	8951.2 	8797.1 	8928.7 	8835.4 b	8651.0 b	8762.9 	8606.0 
FT,SAL,F,TOTAL,THS,DK	797.5 b	777.2 b	782.2 	771.1 	764.1 	757.7 	747.1 	741.1 	768.6 	803.3 
FT,SAL,F,TOTAL,THS,EA17	37312.5 	36537.4 	35821.5 	35453.7 	34925.3 	35553.1 	35947.7 	35896.8 	36341.4 	36697.2 
FT,SAL,F,TOTAL,THS,EA18	37678.9 	36907.1 	36193.5 	35828.2 	35301.9 	35919.2 	36314.1 	36263.2 	36735.9 	37146.1 
FT,SAL,F,TOTAL,THS,EA19	38252.8 	37486.4 	36753.9 	36378.3 	35843.3 	36460.6 	36852.8 	36815.5 	37310.9 	37744.7 
FT,SAL,F,TOTAL,THS,EE	258.5 	253.2 	250.2 	252.7 	249.9 	247.7 	241.3 	235.9 	248.8 	275.7 
FT,SAL,F,TOTAL,THS,EL	946.7 	927.1 	922.8 	890.4 	859.9 	924.9 	1036.0 	1120.5 	1157.3 b	1160.6 
FT,SAL,F,TOTAL,THS,ES	5601.7 	5424.8 	5209.1 	5033.1 	4999.3 	5265.5 	5545.4 	5588.8 	5645.7 b	5857.4 
FT,SAL,F,TOTAL,THS,EU15	45822.3 	44824.3 	44033.4 	43456.7 	42703.4 	43123.7 	43458.2 	43283.2 	43859.3 	44332.7 
FT,SAL,F,TOTAL,THS,EU27	61740.0 	60378.9 	59281.8 	58359.3 	57259.9 	57634.0 	57881.6 	57727.5 	58987.9 	59770.2 
FT,SAL,F,TOTAL,THS,EU28	62378.2 	60997.5 	59893.3 	58961.8 	57843.1 	58205.5 	58448.2 	58322.3 	59618.6 	60389.9 
FT,SAL,F,TOTAL,THS,FI	855.9 	852.1 	870.6 	870.7 	876.9 	882.8 	880.0 	874.6 	891.6 	916.5 b
FT,SAL,F,TOTAL,THS,FR	8226.1 	8167.4 	8116.9 	8052.6 b	7837.5 	7860.8 	7805.5 	7800.0 	7844.3 	7919.8 
FT,SAL,F,TOTAL,THS,HR	638.2 	618.6 	611.6 	602.5 b	583.2 	571.6 	566.6 	594.7 	630.6 	619.7 
FT,SAL,F,TOTAL,THS,HU	1716.4 	1695.2 	1631.1 	1581.9 	1493.4 	1469.5 	1445.7 	1459.6 	1451.1 	1508.8 
FT,SAL,F,TOTAL,THS,IE	636.0 b	596.8 	568.0 	546.6 	527.7 	522.2 	518.6 	533.1 	561.8 	603.7 
FT,SAL,F,TOTAL,THS,IS	52.1 	51.0 	51.1 	49.9 	50.9 	48.8 	48.9 	47.1 	46.6 	49.8 
FT,SAL,F,TOTAL,THS,IT	5319.1 	5147.5 	5087.0 	5091.2 	5118.1 	5228.0 	5308.0 	5256.7 	5347.9 	5381.1 
FT,SAL,F,TOTAL,THS,LT	573.9 	579.3 	560.4 	550.0 	541.4 	541.4 	538.7 	552.3 	575.0 	598.6 
FT,SAL,F,TOTAL,THS,LU	74.0 	70.2 	69.2 b	65.0 	62.0 	61.0 	57.6 	57.3 	57.1 b	49.5 
FT,SAL,F,TOTAL,THS,LV	366.5 	369.7 	371.9 	374.6 	376.6 	366.1 	366.4 	366.4 	394.5 	448.9 
FT,SAL,F,TOTAL,THS,ME	83.6 	83.6 	82.8 	81.6 	79.7 	76.5 	74.6 	: 	: 	: 
FT,SAL,F,TOTAL,THS,MK	228.2 	222.4 	216.4 	205.7 	198.6 	191.0 	187.4 	180.0 	179.7 	171.0 
FT,SAL,F,TOTAL,THS,MT	61.4 	57.4 	52.7 	50.2 	48.9 	45.1 	41.0 	39.9 	38.8 	37.3 
FT,SAL,F,TOTAL,THS,NL	776.6 	729.0 	706.2 	710.9 	720.1 	722.0 	737.6 b	758.2 b	820.5 	840.1 
FT,SAL,F,TOTAL,THS,NO	747.4 	731.1 	724.9 	719.7 	686.7 	673.7 	658.2 	646.7 	640.0 	640.0 
FT,SAL,F,TOTAL,THS,PL	5609.1 	5503.2 	5408.2 	5281.7 	5118.8 	5076.6 	5030.8 	5002.6 b	5205.6 	5149.9 
FT,SAL,F,TOTAL,THS,PT	1801.1 	1724.5 	1687.1 	1647.5 	1555.7 	1594.7 	1661.2 b	1688.8 	1671.7 	1665.6 
FT,SAL,F,TOTAL,THS,RO	2835.0 	2710.1 	2638.9 	2550.6 	2508.0 	2512.3 	2503.7 	2492.8 b	2774.8 	2829.2 
FT,SAL,F,TOTAL,THS,SE	1450.0 	1391.1 	1350.9 	1312.0 	1284.0 	1254.5 	1224.0 	1170.4 	1173.3 	1189.5 
FT,SAL,F,TOTAL,THS,SI	339.3 	331.3 	317.5 	310.5 	316.8 	330.6 	331.6 	336.2 	351.5 	364.3 
FT,SAL,F,TOTAL,THS,SK	936.0 	908.9 	881.2 	875.4 	872.1 	868.9 	865.7 b	883.0 	892.3 	941.1 
FT,SAL,F,TOTAL,THS,TR	5072.3 	4828.9 	4567.7 	4245.3 b	3955.0 	3662.1 	3297.7 	2983.7 	2765.0 	2780.6 
FT,SAL,F,TOTAL,THS,UK	8001.5 	7806.6 	7716.5 	7545.6 	7355.1 	7197.7 	7171.5 	7119.4 	7248.8 	7398.5 b
FT,SAL,M,H51,THS,AT	: u	: u	3.1 u	4.8 u	5.1 u	4.3 u	4.2 u	3.7 u	4.2 u	4.6 bu
FT,SAL,M,H51,THS,BE	6.7 b	7.4 	6.2 	6.1 	5.2 	7.0 	6.6 b	7.1 	4.9 u	5.9 b
FT,SAL,M,H51,THS,BG	: u	: u	: u	: u	: u	: u	: bu	: bu	: u	: bu
FT,SAL,M,H51,THS,CH	5.7 	5.4 	4.6 u	4.2 u	4.0 u	4.7 u	5.2 	4.0 bu	2.5 u	2.7 bu
FT,SAL,M,H51,THS,CY	: c	: u	: u	0.6 u	1.0 u	0.6 u	1.1 u	0.9 u	0.7 bu	0.9 bu
FT,SAL,M,H51,THS,CZ	5.6 	3.9 	2.1 u	5.1 	6.1 	4.5 	8.4 b	8.4 	6.9 	5.8 b
FT,SAL,M,H51,THS,DE	35.6 	37.6 	36.7 	35.9 	38.2 	42.8 	37.8 b	42.5 b	40.8 	41.2 b
