worktime,wstatus,sex,nace_r2,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
FT,EMP,F,I,THS,EA17	2331.1 	2270.8 	2137.9 	2076.2 	2083.5 	2123.2 	2209.2 	2213.4 	2278.5 	2354.5 b
FT,EMP,F,I,THS,EA18	2350.3 	2290.0 	2156.7 	2095.2 	2102.0 	2140.9 	2226.4 	2231.5 	2295.1 	2376.0 b
FT,EMP,F,I,THS,EA19	2372.6 	2315.1 	2179.9 	2119.4 	2124.3 	2162.4 	2249.8 	2254.4 	2319.9 	2403.7 b
FT,EMP,F,I,THS,EE	14.6 	17.2 	16.9 	15.4 	13.8 	10.6 	11.3 	10.5 	11.6 	16.2 b
FT,EMP,F,I,THS,EL	125.5 	122.8 	118.7 	116.3 	99.0 	106.5 	120.0 	129.7 	137.5 b	135.9 b
FT,EMP,F,I,THS,ES	594.8 	576.1 	512.1 	465.5 	472.2 	480.6 	536.6 	547.0 	585.2 	621.4 b
FT,EMP,F,I,THS,EU15	2699.2 	2610.6 	2445.7 	2377.1 	2357.6 	2390.2 	2492.3 	2485.3 	2549.4 	2591.2 b
FT,EMP,F,I,THS,EU27	3469.6 	3381.1 	3194.5 	3117.7 	3058.9 	3102.8 	3205.5 	3195.2 	3275.7 	3313.9 b
FT,EMP,F,I,THS,EU28	3533.3 	3443.1 	3249.0 	3167.8 	3106.6 	3145.5 	3249.0 	3249.6 	3326.5 	3362.4 b
FT,EMP,F,I,THS,FI	34.5 	36.4 	40.5 	39.9 	40.7 	41.8 	39.3 	40.1 	42.8 	47.3 b
FT,EMP,F,I,THS,FR	327.3 	314.0 	302.5 	296.5 b	303.6 	311.0 	319.6 	307.3 	278.5 	277.9 b
FT,EMP,F,I,THS,HR	63.7 	62.0 	54.5 	50.1 	47.6 	42.7 	43.5 	54.4 	50.9 	48.5 b
FT,EMP,F,I,THS,HU	98.3 	94.3 	92.9 	87.6 	81.3 	82.8 	83.1 	77.7 	78.9 	82.4 b
FT,EMP,F,I,THS,IE	43.5 b	41.0 	38.2 	34.1 	31.0 	27.0 	28.5 	32.2 	34.9 	40.5 b
FT,EMP,F,I,THS,IS	2.9 	3.5 	3.2 	3.1 	3.5 	3.0 	2.9 	1.9 	1.9 	2.0 b
FT,EMP,F,I,THS,IT	380.6 	362.5 	344.9 	344.7 	336.8 	344.2 	338.5 	335.2 	352.5 	358.8 b
FT,EMP,F,I,THS,LT	22.3 	25.1 	23.3 	24.2 	22.2 	21.5 	23.4 	22.9 	24.9 	27.7 b
FT,EMP,F,I,THS,LU	2.6 	2.7 	2.9 b	1.8 	2.5 	2.6 	2.7 	1.8 	2.2 b	3.0 b
FT,EMP,F,I,THS,LV	19.2 	19.2 	18.8 	19.0 	18.5 	17.7 	17.1 	18.2 	16.6 	21.6 b
FT,EMP,F,I,THS,ME	7.1 	6.8 	7.7 	8.7 	6.8 	5.8 	5.7 	: 	: 	: 
FT,EMP,F,I,THS,MK	8.6 	7.7 	9.5 	7.7 	6.8 	7.5 	6.8 	: 	: 	: 
FT,EMP,F,I,THS,MT	4.3 	4.1 	3.1 	3.1 	3.0 	2.7 	2.2 	2.1 	2.8 	3.5 b
FT,EMP,F,I,THS,NL	35.4 	38.8 	34.9 	28.8 	27.4 b	32.4 	34.4 b	31.3 b	31.6 	35.7 b
FT,EMP,F,I,THS,NO	17.8 	19.0 	21.5 	22.1 	18.9 	17.3 	17.9 	20.2 	19.9 	21.2 b
FT,EMP,F,I,THS,PL	223.7 	215.9 	200.0 	196.6 	185.4 	199.0 	196.6 	198.2 b	198.0 	184.6 b
FT,EMP,F,I,THS,PT	161.3 	138.5 	129.5 	140.7 	149.7 	147.1 	158.3 b	157.0 	160.4 	173.9 b
FT,EMP,F,I,THS,RO	123.1 	121.4 	109.4 	112.0 	105.0 	102.9 	99.2 	94.5 b	104.6 	99.8 b
FT,EMP,F,I,THS,SE	41.5 	41.4 	40.9 	38.5 	37.6 	36.6 	38.4 	38.9 	35.0 	36.2 b
