unit,purpose,duration,partner,isced11,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,DOM,TOTAL,EL	: 	1337167 	1472529 	1596409 	1357457 	2658927 
NR,PERS,N1-3,DOM,TOTAL,ES	98440678 	92415804 	87944959 	80180124 	82058291 	83539578 
NR,PERS,N1-3,DOM,TOTAL,EU27	: 	: 	525357549 e	: 	512487407 e	519513042 e
NR,PERS,N1-3,DOM,TOTAL,EU28	: 	: 	526844332 e	: 	515637711 e	522515480 e
NR,PERS,N1-3,DOM,TOTAL,FI	21196262 	20638135 	20500670 	20069650 	21219881 	21483338 
NR,PERS,N1-3,DOM,TOTAL,FR	99012103 	87141181 	88733645 	100199550 	99691398 	101090835 
NR,PERS,N1-3,DOM,TOTAL,HR	1232553 	1318717 	1858851 	2862996 	3169156 	3028091 
NR,PERS,N1-3,DOM,TOTAL,HU	8967808 	8787343 	9178335 	9005826 	8283007 	10404311 
NR,PERS,N1-3,DOM,TOTAL,IE	5987283 	5655671 	5412039 	4583726 	4415085 	4451422 
NR,PERS,N1-3,DOM,TOTAL,IT	20992374 	22957185 	18822480 	19635800 	17616095 	22914818 
NR,PERS,N1-3,DOM,TOTAL,LT	1801918 	1809246 	1894224 	1859041 	1772756 	1800988 
NR,PERS,N1-3,DOM,TOTAL,LU	: 	11417 u	11722 u	20175 	48074 	38128 
NR,PERS,N1-3,DOM,TOTAL,LV	: 	2727693 	2576756 	2719511 	2709534 	3269376 
NR,PERS,N1-3,DOM,TOTAL,MT	211062 	203619 	169306 	165919 	164188 	165635 
NR,PERS,N1-3,DOM,TOTAL,NL	16080049 	16194798 	16157006 	17024512 	17539840 	19655079 
NR,PERS,N1-3,DOM,TOTAL,NO	7834014 	7541954 	7498071 	8174748 	6567323 	: 
NR,PERS,N1-3,DOM,TOTAL,PL	26732292 	25434026 	23295558 	22452085 	22771087 	23553957 
NR,PERS,N1-3,DOM,TOTAL,PT	10748717 	9864400 	9457829 	9029729 	8875773 	8657057 
NR,PERS,N1-3,DOM,TOTAL,RO	11011671 	10451315 	10027943 	10260473 	10284515 	9618923 
NR,PERS,N1-3,DOM,TOTAL,SE	: 	20044477 	20128632 	17769462 	: 	: 
NR,PERS,N1-3,DOM,TOTAL,SI	1416660 	1254837 	1127833 	1472051 	1567992 	1603955 
NR,PERS,N1-3,DOM,TOTAL,SK	4440135 	4193045 	3317069 	2811721 	2666527 	1890993 
NR,PERS,N1-3,DOM,TOTAL,UK	: 	: 	: 	: 	64927148 	66096023 
NR,PERS,N1-3,DOM,UNK,BE	2175530 b	1698476 	2235671 	1435782 	1670786 	1489881 
NR,PERS,N1-3,DOM,UNK,BG	2736847 	1596173 	1424295 	1855864 	1877711 	1941286 
NR,PERS,N1-3,DOM,UNK,CH	: 	3836856 	4058296 	3993011 	4450442 	3905121 
NR,PERS,N1-3,DOM,UNK,CY	1167110 	1114113 	1082593 	962785 	879804 	1074564 
NR,PERS,N1-3,DOM,UNK,CZ	20061639 	17702092 	16203332 	18528217 	17215083 	18628902 
NR,PERS,N1-3,DOM,UNK,DE	79063521 	87104335 	89534444 	80109555 	87350273 	84908064 
NR,PERS,N1-3,DOM,UNK,DK	: 	17400216 	19496387 	19511192 	19196406 	17342909 
NR,PERS,N1-3,DOM,UNK,EA	: 	: 	: 	: 	216217215 e	221102401 e
NR,PERS,N1-3,DOM,UNK,EL	: 	1337167 	1472529 	1596409 	1357457 	2658927 
NR,PERS,N1-3,DOM,UNK,EU27	: 	: 	335646704 e	: 	358029858 e	354069757 e
NR,PERS,N1-3,DOM,UNK,EU28	: 	: 	337364439 e	: 	357980567 e	354013902 e
NR,PERS,N1-3,DOM,UNK,FR	99012103 	87141181 	88733645 	100199550 	99691398 	101090835 
NR,PERS,N1-3,DOM,UNK,HR	1232553 	1318717 	1858851 	2862996 	: 	: 
NR,PERS,N1-3,DOM,UNK,HU	: 	: 	: 	9005826 	8283007 	10404311 
NR,PERS,N1-3,DOM,UNK,IE	5987283 	5655671 	5412039 	4583726 	4415085 	4451422 
NR,PERS,N1-3,DOM,UNK,IT	20992374 	22957185 	18822480 	19635800 	17616095 	22914818 
NR,PERS,N1-3,DOM,UNK,LT	1801918 	1809246 	1894224 	1859041 	1772756 	1800988 
NR,PERS,N1-3,DOM,UNK,LU	: 	11417 u	11722 u	20175 	48074 	: 
NR,PERS,N1-3,DOM,UNK,MT	211062 	: 	: 	: 	164188 	165635 
NR,PERS,N1-3,DOM,UNK,NL	: 	: 	: 	: 	: 	79428 u
NR,PERS,N1-3,DOM,UNK,NO	7834014 	7541954 	7498071 	8174748 	6567323 	: 
NR,PERS,N1-3,DOM,UNK,PL	26732292 	25434026 	23295558 	22452085 	22771087 	23553957 
NR,PERS,N1-3,DOM,UNK,PT	: 	: 	: 	9029729 	: 	: 
NR,PERS,N1-3,DOM,UNK,RO	: 	: 	: 	: 	: 	9618923 
NR,PERS,N1-3,DOM,UNK,SE	: 	20044477 	20128632 	17769462 	: 	: 
NR,PERS,N1-3,DOM,UNK,SI	1416660 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,UNK,SK	4440135 	4193045 	3317069 	2811721 	2666527 	1890993 
NR,PERS,N1-3,DOM,UNK,UK	: 	: 	: 	: 	64927148 	66096023 
NR,PERS,N1-3,OUT,ED0-2,AT	417152 	397330 	298566 	363806 	405680 	475129 
NR,PERS,N1-3,OUT,ED0-2,EA	: 	: 	: 	: 	2600763 e	3065920 e
NR,PERS,N1-3,OUT,ED0-2,EE	61205 	52180 u	27544 u	56611 	31545 u	33963 u
NR,PERS,N1-3,OUT,ED0-2,ES	996836 	784690 	883775 	705099 	659129 	773983 
NR,PERS,N1-3,OUT,ED0-2,EU27	: 	: 	3146472 e	: 	2685093 e	3511164 e
NR,PERS,N1-3,OUT,ED0-2,EU28	: 	: 	3142642 e	: 	2802324 e	3699591 e
NR,PERS,N1-3,OUT,ED0-2,FI	736390 	743872 	796101 	770810 	788049 	1021199 
NR,PERS,N1-3,OUT,ED0-2,HR	: 	: 	: 	: 	115713 u	185531 u
NR,PERS,N1-3,OUT,ED0-2,LU	: 	: 	: 	: 	: 	48665 
NR,PERS,N1-3,OUT,ED0-2,LV	: 	: c	48425 u	: u	40216 u	69706 u
NR,PERS,N1-3,OUT,ED0-2,MT	: 	7709 u	: c	: u	: 	: 
NR,PERS,N1-3,OUT,ED0-2,NL	490709 	402180 	448631 	543037 	504214 	503242 
NR,PERS,N1-3,OUT,ED0-2,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,ED0-2,PT	129046 	136415 	91367 	: 	76617 	124667 
NR,PERS,N1-3,OUT,ED0-2,RO	: c	: u	: u	: u	: u	: 
NR,PERS,N1-3,OUT,ED0-2,SI	: 	147511 	142741 	75114 	135211 	84696 
NR,PERS,N1-3,OUT,ED3_4,AT	1816095 	1839637 	1618033 	1729018 	1524205 	1524877 
NR,PERS,N1-3,OUT,ED3_4,EA	: 	: 	: 	: 	5531794 e	5765208 e
NR,PERS,N1-3,OUT,ED3_4,EE	172947 	175524 	157402 	222961 	187849 	192015 
NR,PERS,N1-3,OUT,ED3_4,ES	1016753 	702079 	671296 	956491 	843930 	919792 
NR,PERS,N1-3,OUT,ED3_4,EU27	: 	: 	6367542 e	: 	5875761 e	6856474 e
NR,PERS,N1-3,OUT,ED3_4,EU28	: 	: 	6359790 e	: 	6430945 e	7427713 e
NR,PERS,N1-3,OUT,ED3_4,FI	1446324 	1283786 	1257235 	1171782 	1444406 	1353873 
NR,PERS,N1-3,OUT,ED3_4,HR	: 	: 	: 	: 	547068 	561875 
NR,PERS,N1-3,OUT,ED3_4,LU	: 	: 	: 	: 	: 	148085 
NR,PERS,N1-3,OUT,ED3_4,LV	: 	216682 	209848 	234615 	192499 	253260 
NR,PERS,N1-3,OUT,ED3_4,MT	: 	50346 	36913 	29440 	: 	: 
NR,PERS,N1-3,OUT,ED3_4,NL	1587935 	978430 	918492 	1045799 	961989 	1087047 
NR,PERS,N1-3,OUT,ED3_4,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,ED3_4,PT	103122 	82524 	83755 	: 	31526 u	48876 u
NR,PERS,N1-3,OUT,ED3_4,RO	61841 	60396 u	53264 u	37331 u	57027 u	: 
NR,PERS,N1-3,OUT,ED3_4,SI	: 	533245 	553063 	579562 	537211 	489934 
NR,PERS,N1-3,OUT,ED5-8,AT	987989 	980839 	916430 	757272 	793519 	818248 
