unit,purpose,duration,partner,quantile,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,DOM,UNK,CY	1167110 	1114113 	1082593 	962785 	879804 	1074564 
NR,PERS,N1-3,DOM,UNK,CZ	20061639 	17702092 	16203332 	18528217 	17215083 	18628902 
NR,PERS,N1-3,DOM,UNK,DE	79063521 	87104335 	89534444 	80109555 	87350273 	84908064 
NR,PERS,N1-3,DOM,UNK,DK	: 	17400216 	19496387 	19511192 	19196406 b	17342909 
NR,PERS,N1-3,DOM,UNK,EA	: 	: 	: 	: 	336268691 e	361794530 e
NR,PERS,N1-3,DOM,UNK,EL	: 	1337167 	1472529 	1596409 	1357457 	2658927 
NR,PERS,N1-3,DOM,UNK,ES	98440678 	92415804 	87944959 b	80180124 	82058291 	83539578 
NR,PERS,N1-3,DOM,UNK,EU27	: 	: 	: 	: 	482795917 e	518133683 e
NR,PERS,N1-3,DOM,UNK,EU28	: 	: 	: 	: 	485950309 e	521136338 e
NR,PERS,N1-3,DOM,UNK,FI	21196262 	20638135 	20500670 	20069650 	21219881 	21483338 
NR,PERS,N1-3,DOM,UNK,FR	99012103 	87141181 	88733645 	100199550 	99691398 	101090835 
NR,PERS,N1-3,DOM,UNK,HR	1232553 	1318717 	1858851 	2862996 	3169156 	3028091 
NR,PERS,N1-3,DOM,UNK,HU	8967808 	8787343 	9178335 	9005826 	8283007 	10404311 
NR,PERS,N1-3,DOM,UNK,IE	5987283 	5655671 	5412039 	4583726 	4415085 	4451422 
NR,PERS,N1-3,DOM,UNK,IT	20992374 	22957185 	18822480 	19635800 b	17616095 	22914818 
NR,PERS,N1-3,DOM,UNK,LT	1801918 	1809246 	1894224 	1859041 	1772756 	1800988 
NR,PERS,N1-3,DOM,UNK,LU	: 	11417 u	11722 u	20175 	48074 	38128 
NR,PERS,N1-3,DOM,UNK,LV	: 	2727693 	2576756 	2719511 	2709534 	3269376 
NR,PERS,N1-3,DOM,UNK,MT	211062 	203619 	169306 	165919 b	164188 	165635 
NR,PERS,N1-3,DOM,UNK,NL	: 	: 	: 	: 	: 	19655079 
NR,PERS,N1-3,DOM,UNK,NO	7834014 	7541954 	7498071 	8174748 	6567323 	: 
NR,PERS,N1-3,DOM,UNK,PL	26732292 	25434026 	23295558 	22452085 b	22771087 	23553957 
NR,PERS,N1-3,DOM,UNK,PT	10748717 	9864400 	9457829 	9029729 	8875773 	8657057 
NR,PERS,N1-3,DOM,UNK,RO	: 	: 	: 	: 	: 	9618923 
NR,PERS,N1-3,DOM,UNK,SE	: 	20044477 	20128632 	17769462 	: 	: 
NR,PERS,N1-3,DOM,UNK,SI	1416660 	1254837 	1127833 	1472051 	1567992 	1603955 
NR,PERS,N1-3,DOM,UNK,SK	4440135 	4193045 	3317069 	2811721 	2666527 b	1890993 
