unit,purpose,duration,partner,sex,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N1-3,DOM,F,SE	: 	9394260 	9791983 	8821173 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,SI	806924 	662768 	573449 	744138 	750061 	725907 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,SK	2115520 	2164642 	1733809 	1644826 	1263464 b	956643 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,UK	: 	: 	: 	: 	33666564 	34691321 	: 	: 	: 	: 	: 	: 	: 	: 	28840000 	32700000 	32200000 	33000000 	: 	17700000 	19300000 	: 	: 	: 
NR,PERS,N1-3,DOM,M,AT	3259433 	3166197 	2886406 	3092351 	2897288 	2621451 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,BE	1057031 b	759903 	1083315 	693318 	763091 	733169 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,BG	1359110 	763326 	720953 	923977 	923995 	912071 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,CH	: 	1886830 	1643112 	1920451 	2099615 	1748452 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,CY	582426 	507316 	536568 	458968 	425022 	511631 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,CZ	9667640 	8633921 	7567268 	8941078 	8024222 	8782282 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,DE	39405380 	44430666 	41982270 	38275374 	41923051 	41839098 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,DK	: 	7693114 	9526294 	8582214 	8389384 b	8314450 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1434100 	1446800 	: 	1640000 	1832300 	: 	: 
NR,PERS,N1-3,DOM,M,EA	: 	: 	: 	167856552 e	172719162 e	178402943 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,EE	1191667 	1277568 	1009119 	951232 	678496 	575595 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,EL	: 	615844 	689368 	756502 	676090 	1304800 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,ES	50090246 	46721971 	44826519 b	39860314 	40396869 	41354165 	: 	: 	: 	: 	: 	38106065 	41096390 	48656110 	48688350 	46669830 	47288950 	45825027 	21633128 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,EU27	: 	: 	254340583 e	248418917 e	247968812 e	256376532 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,EU28	: 	: 	255115498 e	249845415 e	249728193 e	258040167 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,FI	10576943 	10397394 	10048681 	10094365 	10561937 	10701781 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,FR	44786712 	42103754 	42980635 	48106416 	48552123 	50013124 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,HR	650558 	706206 	948110 	1511421 	1765877 	1673162 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,HU	4136528 	4120553 	4235913 	4114811 	3910275 	4851686 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,IE	2688986 	2426698 	2396910 	1954215 	1856096 	1861886 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	962000 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,IT	10074309 	10980238 	9482003 	9906360 b	9079377 	11815339 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,LT	851103 	863409 	897330 	878336 	872302 	876597 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,LU	: 	: u	7450 u	8588 u	29471 u	20772 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,LV	: 	1251356 	1115895 	1246940 	1225986 	1483441 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,MT	104040 	109790 	81616 	86910 b	79856 	85823 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,NL	7540870 	7336432 	7451351 	7932111 	8529001 	8953887 b	: 	: 	: 	: 	: 	3457000 	3250000 	3393000 	3326000 	3791000 	3864000 	3915000 	3474000 	3150000 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,NO	3866835 	4041398 	3559818 	4170877 	3241949 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,PL	12363121 	11744872 	10620559 	10253290 b	10826965 	11732579 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,PT	5012794 	4543277 	4381134 	4176512 	4029207 	4176076 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,RO	5563867 	5300823 	5069847 	5179116 	5105889 	4767647 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,SE	: 	10650217 	10336649 	8948289 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,SI	609736 	592069 	554384 	727913 	817931 	878048 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,SK	2324615 	2028403 	1583260 	1166896 	1403063 b	934350 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,UK	: 	: 	: 	: 	31260584 	31404702 	: 	: 	: 	: 	: 	: 	: 	: 	28548000 	31800000 	31500000 	34300000 	: 	17400000 	18700000 	: 	: 	: 
NR,PERS,N1-3,DOM,T,AT	6764655 	6882323 	6351613 	6709183 	6314809 	5777112 	: 	: 	: 	: 	: 	4891530 	: 	3634549 	3943964 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,BE	2175530 b	1698476 	2235671 	1435782 	1670786 	1489881 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,BG	2736847 	1596173 	1424295 	1855864 	1877711 	1941286 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,CH	: 	3836856 	4058296 	3993011 	4450442 	3905121 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,CY	1167110 	1114113 	1082593 	962785 	879804 	1074564 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,CZ	20061639 	17702092 	16203332 	18528217 	17215083 	18628902 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,DE	79063521 	87104335 	89534444 	80109555 	87350273 	84908064 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,DK	: 	17400216 	19496387 	19511192 	19196406 b	17342909 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3293900 	3272600 	: 	4076000 	4544400 	: 	: 
NR,PERS,N1-3,DOM,T,EA	: 	: 	: 	346795430 e	354866288 e	362797988 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,EE	2599066 	2598912 	2147737 	2048022 	1386473 	1353968 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,EL	: 	1337167 	1472529 	1596409 	1357457 	2658927 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,ES	98440678 	92415804 	87944959 b	80180124 	82058291 	83539578 	: 	: 	: 	: 	: 	79276889 	84616160 	84597140 	81704040 	77831510 	93093860 	91629228 	42642976 	8545046 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,EU27	: 	: 	525357549 e	516200805 e	513660630 e	525390247 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,EU28	: 	: 	526844332 e	518847382 e	516806903 e	528391122 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,FI	21196262 	20638135 	20500670 	20069650 	21219881 	21483338 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,FR	99012103 	87141181 	88733645 	100199550 	99691398 	101090835 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	77619000 	78564000 	78910921 	81060002 	: 	: 	: 
NR,PERS,N1-3,DOM,T,HR	1232553 	1318717 	1858851 	2862996 	3169156 	3028091 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
