duration,unit,partner,geo,time\isced11	TOTAL 	ED0-2 	ED3_4 	ED5-8 
N1-3,NR,WORLD,IT,2012	11788635 	: 	: 	: 
N1-3,NR,WORLD,IT,2013	9795305 	: 	: 	: 
N1-3,NR,WORLD,IT,2014	9207873 b	: 	: 	: 
N1-3,NR,WORLD,IT,2015	10156932 	: 	: 	: 
N1-3,NR,WORLD,IT,2016	11263009 	: 	: 	: 
N1-3,NR,WORLD,IT,2017	9841982 	: 	: 	: 
N1-3,NR,WORLD,LT,2012	705242 	: 	: 	: 
N1-3,NR,WORLD,LT,2013	756336 	: 	: 	: 
N1-3,NR,WORLD,LT,2014	758073 	: 	: 	: 
N1-3,NR,WORLD,LT,2015	760204 	: 	: 	: 
N1-3,NR,WORLD,LT,2016	755791 	: 	: 	: 
N1-3,NR,WORLD,LT,2017	747404 	: 	: 	: 
N1-3,NR,WORLD,LU,2012	207700 	: 	: 	: 
N1-3,NR,WORLD,LU,2013	250057 	31490 e	93431 e	125136 e
N1-3,NR,WORLD,LU,2014	221069 	20993 e	96698 e	103379 e
N1-3,NR,WORLD,LU,2015	270807 	: 	: 	: 
N1-3,NR,WORLD,LU,2016	252348 	: 	: 	: 
N1-3,NR,WORLD,LV,2012	655401 	: 	: 	: 
N1-3,NR,WORLD,LV,2013	736221 	: 	: 	: 
N1-3,NR,WORLD,LV,2014	752748 	: 	: 	: 
N1-3,NR,WORLD,LV,2015	784997 	82762 	401078 	301157 
N1-3,NR,WORLD,LV,2016	828852 	99535 	403283 	326034 
N1-3,NR,WORLD,LV,2017	769073 	96717 	397816 	274540 
N1-3,NR,WORLD,ME,2016	: c	: 	: 	: 
N1-3,NR,WORLD,MT,2012	85100 	: 	: 	: 
N1-3,NR,WORLD,MT,2013	85515 	: 	: 	: 
N1-3,NR,WORLD,MT,2014	87579 	: 	: 	: 
N1-3,NR,WORLD,MT,2015	81801 	: 	: 	: 
N1-3,NR,WORLD,MT,2016	99512 	: 	: 	: 
N1-3,NR,WORLD,MT,2017	102975 	: 	: 	: 
N1-3,NR,WORLD,NL,2012	8053928 	1685326 	2707533 	3661069 
N1-3,NR,WORLD,NL,2013	7618271 	1605239 	2509818 	3503215 
N1-3,NR,WORLD,NL,2014	7716141 	1607134 	2604611 	3504396 
N1-3,NR,WORLD,NL,2015	7460235 	1414036 	2553190 	3493009 
N1-3,NR,WORLD,NL,2016	7804466 	1479001 	2616693 	3708772 
N1-3,NR,WORLD,NL,2017	7820627 	1331550 	3658256 	2830821 
N1-3,NR,WORLD,NO,2013	3181800 	: 	: 	: 
N1-3,NR,WORLD,NO,2016	2923239 	: 	: 	: 
N1-3,NR,WORLD,NO,2017	3252539 	: 	: 	: 
N1-3,NR,WORLD,PL,2012	10810000 	: 	: 	: 
N1-3,NR,WORLD,PL,2013	10100000 	: 	: 	: 
N1-3,NR,WORLD,PL,2014	11585800 	: 	: 	: 
N1-3,NR,WORLD,PL,2015	12379398 	: 	: 	: 
N1-3,NR,WORLD,PL,2016	13408325 	: 	: 	: 
N1-3,NR,WORLD,PL,2017	13763180 	: 	: 	: 
N1-3,NR,WORLD,PT,2012	2223751 	: 	: 	: 
N1-3,NR,WORLD,PT,2013	2602737 	: 	: 	: 
N1-3,NR,WORLD,PT,2014	2474601 	: 	: 	: 
N1-3,NR,WORLD,PT,2015	2624702 	: 	: 	: 
N1-3,NR,WORLD,PT,2016	2730658 	: 	: 	: 
