accommod,unit,nace_r2,terrtypo,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,NR,I551,NCST_A,RO	147338 	143485 	150206 	144580 	142804 	140894 
BEDPL,NR,I551,NCST_A,RS	: 	: 	: 	54075 	55729 	50536 
BEDPL,NR,I551,NCST_A,SE	93920 	91444 	91498 	95612 	97081 	95130 
BEDPL,NR,I551,NCST_A,SI	38081 	37294 	36802 	36151 	36244 	36334 
BEDPL,NR,I551,NCST_A,SK	96776 	95774 	96997 	91663 	92261 	92790 
BEDPL,NR,I551,NCST_A,UK	: 	1357932 	1361823 	: 	1421402 	1045414 
BEDPL,NR,I551,NCST_A,XK	7704 u	: 	: 	: 	: 	: 
BEDPL,NR,I551,TOTAL,AT	609393 	601945 	600342 	598742 	601483 	594841 
BEDPL,NR,I551,TOTAL,BE	129456 	129232 	129307 	127835 	128641 	128703 
BEDPL,NR,I551,TOTAL,BG	293494 	281869 	279090 	271526 	262196 	261159 
BEDPL,NR,I551,TOTAL,CH	: 	271710 	273507 	272636 	271298 	271168 
BEDPL,NR,I551,TOTAL,CY	84977 	83251 	84426 	85150 	84715 	84217 
BEDPL,NR,I551,TOTAL,CZ	317361 	317756 	314210 	306430 	317875 	319692 b
BEDPL,NR,I551,TOTAL,DE	1811615 	1784654 	1778206 	1763742 	1757624 	1751024 
BEDPL,NR,I551,TOTAL,DK	93386 	90503 	89371 	90433 	87129 	87389 
BEDPL,NR,I551,TOTAL,EA	10113348 e	10021347 	10008067 	: 	: 	: 
BEDPL,NR,I551,TOTAL,EE	34147 	32404 	32620 	32437 	31989 	31590 
BEDPL,NR,I551,TOTAL,EL	794507 	797995 	801787 	800022 	773269 	771190 
BEDPL,NR,I551,TOTAL,ES	1916607 	1893978 	1906827 	1875912 	1867823 	1858702 
BEDPL,NR,I551,TOTAL,EU27	13750944 e	13623661 	13586106 	13499123 e	13411894 	12895682 
BEDPL,NR,I551,TOTAL,EU28	13917429 e	13791041 	13750781 	13660998 e	13573851 	13052474 
BEDPL,NR,I551,TOTAL,FI	140099 	135177 	134107 	133785 	136891 	135279 
BEDPL,NR,I551,TOTAL,FR	: 	1312372 	1304692 	1274920 	1258942 	1249322 
BEDPL,NR,I551,TOTAL,HR	166485 	167380 	164675 	161875 	161957 	156792 b
BEDPL,NR,I551,TOTAL,HU	181240 	181407 	177182 	173914 	173156 	170592 
BEDPL,NR,I551,TOTAL,IE	: 	150083 	150083 	151258 	155660 	161165 b
BEDPL,NR,I551,TOTAL,IS	30708 	29403 	28172 	25023 	22662 	21755 
BEDPL,NR,I551,TOTAL,IT	2239446 	2248225 	2250816 	2241239 	2233823 	2250704 
BEDPL,NR,I551,TOTAL,LI	1596 	1660 	1257 	1288 	1239 	1262 
BEDPL,NR,I551,TOTAL,LT	28930 	28665 	28585 	28459 	27793 	27453 
BEDPL,NR,I551,TOTAL,LU	15543 	15689 	14542 	14787 	15028 	15469 b
BEDPL,NR,I551,TOTAL,LV	26599 	26164 	25398 	22781 	22594 	21767 b
BEDPL,NR,I551,TOTAL,ME	36333 	35518 	: 	: 	: 	34645 
BEDPL,NR,I551,TOTAL,MK	20500 	19567 	18160 	16687 	15744 	14864 
BEDPL,NR,I551,TOTAL,MT	42973 	41684 	41283 	40222 	41626 	39264 
BEDPL,NR,I551,TOTAL,NL	270098 	261164 	254589 	252115 	244145 	226341 
BEDPL,NR,I551,TOTAL,NO	188235 	187943 	183912 	185437 	187243 	186675 
BEDPL,NR,I551,TOTAL,PL	335917 	325776 	301555 	292521 	274297 	264145 
BEDPL,NR,I551,TOTAL,PT	363088 	337175 	328186 	309918 	309918 	296321 
BEDPL,NR,I551,TOTAL,RO	219750 	213635 	225227 	217721 	214620 	212530 b
BEDPL,NR,I551,TOTAL,RS	: 	: 	: 	54075 	55729 	50536 
BEDPL,NR,I551,TOTAL,SE	245963 	240883 	236555 	238852 	235752 	228387 
BEDPL,NR,I551,TOTAL,SI	46639 	45716 	45274 	44567 	44472 	44526 
BEDPL,NR,I551,TOTAL,SK	96776 	95774 	96997 	91663 	92261 	92790 
BEDPL,NR,I551,TOTAL,TR	932575 	897456 	: 	805311 	748594 	: 
BEDPL,NR,I551,TOTAL,UK	: 	1950485 	1954849 	: 	2018172 	1571120 b
BEDPL,NR,I551,TOTAL,XK	7704 u	: 	: 	: 	: 	: 
BEDPL,NR,I551-I553,CST_A,AT	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551-I553,CST_A,BE	49883 	50165 	52123 	67486 	69040 	69965 
BEDPL,NR,I551-I553,CST_A,BG	234472 	220773 	216891 	209983 	202292 	203085 
BEDPL,NR,I551-I553,CST_A,CH	: 	0 	: 	: 	: 	: 
BEDPL,NR,I551-I553,CST_A,CY	80983 	79062 	80149 	87578 	81839 	81329 
BEDPL,NR,I551-I553,CST_A,CZ	0 	0 	0 	0 	0 	0 b
BEDPL,NR,I551-I553,CST_A,DE	594677 	581363 	577691 	571328 	577709 	578987 
BEDPL,NR,I551-I553,CST_A,DK	391755 	386765 	383762 	387919 	385674 	408067 
BEDPL,NR,I551-I553,CST_A,EA	10532314 e	10303982 	10288899 	: 	: 	: 
BEDPL,NR,I551-I553,CST_A,EE	39907 	38190 	37433 	36997 	35883 	34529 
BEDPL,NR,I551-I553,CST_A,EL	1199285 e	1160468 e	1163709 e	1154117 e	1127108 	1125158 e
BEDPL,NR,I551-I553,CST_A,ES	2475688 	2443649 	2451421 	2422514 	2409674 	2399797 
BEDPL,NR,I551-I553,CST_A,EU27	13783884 e	13522437 	13486249 	13442302 e	13276080 	13096016 e
BEDPL,NR,I551-I553,CST_A,EU28	14763556 e	14434926 	14366172 	14287921 e	14095352 	13847285 e
BEDPL,NR,I551-I553,CST_A,FI	79909 	75439 	75269 	73661 	74826 	73095 
BEDPL,NR,I551-I553,CST_A,FR	: 	2037408 	2038649 	2039766 	2028971 	1992629 
BEDPL,NR,I551-I553,CST_A,HR	979672 	912489 	879923 	845619 	819272 	758027 
BEDPL,NR,I551-I553,CST_A,HU	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551-I553,CST_A,IE	: 	127474 	127474 	130061 e	131891 	: 
BEDPL,NR,I551-I553,CST_A,IS	38715 	37597 	37186 	33821 	: 	: 
BEDPL,NR,I551-I553,CST_A,IT	2843154 	2753358 	2727162 	2729028 	2637567 	2672053 
BEDPL,NR,I551-I553,CST_A,LI	0 	0 	0 	0 	: 	: 
BEDPL,NR,I551-I553,CST_A,LT	22000 	21787 	20123 	20322 	19181 	18463 
BEDPL,NR,I551-I553,CST_A,LU	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551-I553,CST_A,LV	33831 	31482 	27264 	25762 	25723 	24803 
BEDPL,NR,I551-I553,CST_A,ME	: 	144307 	: 	: 	: 	142660 
