accommod,unit,hotelsize,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,NR,GE250,IS	1752 	1752 	2317 	3598 	3874 	: 
BEDPL,NR,GE250,LT	1092 	1098 	1098 	1098 	1096 	1100 
BEDPL,NR,GE250,LV	2518 	2518 	: c	: c	: 	: c
BEDPL,NR,GE250,ME	9303 	: 	: 	: 	: 	: 
BEDPL,NR,GE250,MT	19156 	17653 	17654 	16464 	18386 	28684 
BEDPL,NR,GE250,NO	47219 	47083 	42680 	39181 	35929 	34280 
BEDPL,NR,GE250,PL	27620 	29377 	29100 	28271 	25336 	25069 
BEDPL,NR,GE250,RO	31621 	31132 	30961 	32366 	32969 	34644 
BEDPL,NR,GE250,SE	119583 	117779 	111995 	39129 	35811 	32904 
BEDPL,NR,GE250,UK	: 	252933 	171048 	: 	: 	: 
BEDPL,NR,GE250,XK	0 u	: 	: 	: 	: 	: 
BEDPL,NR,LT25,BG	7347 	7672 	9096 	9347 	8683 	7984 
BEDPL,NR,LT25,CY	6906 	6852 	6788 	7077 	: 	: 
BEDPL,NR,LT25,CZ	130186 	132117 	132289 	128064 	138504 	140650 b
BEDPL,NR,LT25,DE	505710 	512481 	523539 	530202 	541006 	544982 
BEDPL,NR,LT25,EA	: u	: u	: u	: 	: 	: 
BEDPL,NR,LT25,EL	140893 	144271 	146480 	147110 	139847 	139873 
BEDPL,NR,LT25,ES	263930 	262144 	264553 	261941 	261101 	259260 
BEDPL,NR,LT25,EU27	: u	: u	: u	: u	: 	: 
BEDPL,NR,LT25,EU28	: u	: u	: u	: u	: 	: 
BEDPL,NR,LT25,HR	14706 	14083 	12556 	11719 	11375 	10924 
BEDPL,NR,LT25,HU	43866 	44394 	43880 	42562 	: 	: 
BEDPL,NR,LT25,IS	6341 	6604 	6317 	1997 	1672 	: 
BEDPL,NR,LT25,IT	494250 	498650 	499617 	497719 	497472 	493157 
BEDPL,NR,LT25,LT	6853 	6978 	6890 	6784 	6902 	6464 
BEDPL,NR,LT25,LU	3579 	3698 	: 	: 	: 	: 
BEDPL,NR,LT25,LV	6508 	6508 	6150 	4562 	4275 	4261 
BEDPL,NR,LT25,ME	5947 	: 	: 	: 	: 	: 
BEDPL,NR,LT25,MT	1521 	1080 	1081 	873 	839 	254 
BEDPL,NR,LT25,NO	8587 	9729 	9783 	11066 	14015 	12507 
BEDPL,NR,LT25,PL	64896 	64374 	61418 	60117 	57303 	56386 
BEDPL,NR,LT25,RO	36524 	34893 	40306 	37155 	35998 	34987 
BEDPL,NR,LT25,SE	6689 	6872 	6668 	24183 	24046 	23692 
BEDPL,NR,LT25,UK	: 	547853 	879674 	: 	: 	: 
BEDPL,NR,LT25,XK	3787 u	: 	: 	: 	: 	: 
BEDPL,NR,TOTAL,AT	609393 	601945 	600342 	598742 	601483 	594841 
BEDPL,NR,TOTAL,BE	129456 	129232 	129307 	127835 	128641 	128703 
BEDPL,NR,TOTAL,BG	293494 	281869 	279090 	271526 	262196 	261159 
BEDPL,NR,TOTAL,CH	: 	271710 	273507 	272636 	271298 	271168 
BEDPL,NR,TOTAL,CY	84977 	83251 	84426 	85150 	84715 	84217 
BEDPL,NR,TOTAL,CZ	317361 	317756 	314210 	306430 	317875 	319692 b
BEDPL,NR,TOTAL,DE	1811615 	1784654 	1778206 	1763742 	1757624 	1751024 
BEDPL,NR,TOTAL,DK	93386 	90503 	89371 	90433 	87129 	87389 
BEDPL,NR,TOTAL,EA	10113348 e	10021347 	10008067 	: 	: 	: 
BEDPL,NR,TOTAL,EE	34147 	32404 	32620 	32437 	31989 	31590 
BEDPL,NR,TOTAL,EL	794507 	797995 	801787 	800022 	773269 	771190 
BEDPL,NR,TOTAL,ES	1916607 	1893978 	1906827 	1875912 	1867823 	1858702 
BEDPL,NR,TOTAL,EU27	: u	13623661 	13586106 	13499123 e	13411839 	12895643 
BEDPL,NR,TOTAL,EU28	: u	13791041 	13750781 	13660998 e	13573796 	13052435 
BEDPL,NR,TOTAL,FI	140099 	135177 	134107 	133785 	136891 	135279 
BEDPL,NR,TOTAL,FR	: 	1312372 	1304692 	1274920 	1258942 	1249322 
BEDPL,NR,TOTAL,HR	166485 	167380 	164675 	161875 	161957 	156792 b
BEDPL,NR,TOTAL,HU	181240 	181407 	177182 	173914 	173156 	170592 
BEDPL,NR,TOTAL,IE	: 	150083 	150083 	151258 	155660 	161165 b
BEDPL,NR,TOTAL,IS	30708 	29403 	28172 	25023 	22662 	21755 
BEDPL,NR,TOTAL,IT	2239446 	2248225 	2250816 	2241239 	2233823 	2250704 
BEDPL,NR,TOTAL,LI	1596 	1660 	1257 	1288 	1239 	1262 
BEDPL,NR,TOTAL,LT	28930 	28665 	28585 	28459 	27793 	27453 
BEDPL,NR,TOTAL,LU	15543 	15689 	14542 	14787 	15028 	15469 b
BEDPL,NR,TOTAL,LV	26599 	26164 	: c	22781 	22594 	21767 b
BEDPL,NR,TOTAL,ME	36333 	35518 	: 	: 	: 	34645 
BEDPL,NR,TOTAL,MK	20500 	19567 	18160 	16687 	15744 	14864 
BEDPL,NR,TOTAL,MT	42973 	41684 	41283 	40222 	41626 	39264 
BEDPL,NR,TOTAL,NL	270098 	261164 	254589 	252115 	244145 	226341 
BEDPL,NR,TOTAL,NO	188235 	187943 	183912 	185437 	187243 	186675 
BEDPL,NR,TOTAL,PL	335917 	325776 	301555 	292521 	274297 	264145 
BEDPL,NR,TOTAL,PT	363088 	337175 	328186 	309918 	309918 	296321 
BEDPL,NR,TOTAL,RO	219750 	213635 	225227 	217721 	214620 	212530 b
BEDPL,NR,TOTAL,RS	: 	: 	: 	54075 	55729 	50536 
BEDPL,NR,TOTAL,SE	245963 	240883 	236555 	238852 	235752 	228387 
BEDPL,NR,TOTAL,SI	46639 	45716 	45274 	44567 	44472 	44526 
BEDPL,NR,TOTAL,SK	96776 	95774 	96997 	91663 	92261 	92790 
