accommod,unit,nace_r2,deg_urb,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,NR,I551,DEG2,SK	31102 	29238 	29811 	28044 	28507 	29161 
BEDPL,NR,I551,DEG2,UK	: 	522384 	523457 	: 	524610 	454449 
BEDPL,NR,I551,DEG2,XK	2351 u	: 	: 	: 	: 	: 
BEDPL,NR,I551,DEG3,AT	405012 	407299 	406364 	408991 	412493 	410805 
BEDPL,NR,I551,DEG3,BE	14520 	14941 	15265 	16582 	16983 	17299 
BEDPL,NR,I551,DEG3,BG	77581 	85945 	79242 	80568 	74910 	73007 
BEDPL,NR,I551,DEG3,CH	: 	115973 	118734 	119379 	120166 	122106 
BEDPL,NR,I551,DEG3,CY	33753 	33502 	33606 	33828 	33661 	33346 
BEDPL,NR,I551,DEG3,CZ	137607 	140126 	138268 	133345 	140764 	142492 b
BEDPL,NR,I551,DEG3,DE	490953 	489631 	494352 	498153 	505816 	511616 
BEDPL,NR,I551,DEG3,DK	34094 	33012 	31602 	31942 	31227 	31525 
BEDPL,NR,I551,DEG3,EA	3039790 e	3619533 	3629169 	: 	: 	: 
BEDPL,NR,I551,DEG3,EE	8708 	9206 	9338 	9320 	9513 	8853 
BEDPL,NR,I551,DEG3,EL	537949 	541375 	544698 	528805 	512535 	511244 
BEDPL,NR,I551,DEG3,ES	280913 	669694 	679177 	668706 	668323 	664704 
BEDPL,NR,I551,DEG3,EU27	3736578 e	4339134 	4332692 	4303617 e	4280639 	4273281 e
BEDPL,NR,I551,DEG3,EU28	3829427 e	4434321 	4426968 	4396680 e	4373761 	4359012 e
BEDPL,NR,I551,DEG3,FI	55897 	55293 	56319 	56184 	57852 	58791 
BEDPL,NR,I551,DEG3,FR	: 	307630 	307578 	295582 	293590 	294238 
BEDPL,NR,I551,DEG3,HR	92849 	95187 	94276 	93063 	93122 	89381 
BEDPL,NR,I551,DEG3,HU	45178 	56007 	55082 	54788 	52900 	84655 
BEDPL,NR,I551,DEG3,IE	: 	50597 	50597 	51430 	52256 	: 
BEDPL,NR,I551,DEG3,IS	12935 	12501 	12008 	11475 	9775 	9750 
BEDPL,NR,I551,DEG3,IT	666484 	855703 	857708 	855618 	840342 	847998 
BEDPL,NR,I551,DEG3,LI	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,DEG3,LT	5195 	6469 	6276 	6217 	6247 	6132 
BEDPL,NR,I551,DEG3,LU	6043 	6171 	5669 	5847 	6277 	6646 
BEDPL,NR,I551,DEG3,LV	4964 	5163 	4757 	3203 	3080 	2956 
BEDPL,NR,I551,DEG3,MK	6569 	6544 	5953 	: 	: 	: 
BEDPL,NR,I551,DEG3,MT	761 	2110 	1982 	1850 	1815 	1727 
BEDPL,NR,I551,DEG3,NL	38630 	39044 	39130 	39944 	39891 	38829 
BEDPL,NR,I551,DEG3,NO	82235 	84107 	82690 	85828 	92179 	95085 
BEDPL,NR,I551,DEG3,PL	85987 	91314 	82664 	79574 	74442 	69060 
BEDPL,NR,I551,DEG3,PT	66877 	60567 	52395 	62774 	62774 	57229 
BEDPL,NR,I551,DEG3,RO	41764 	39423 	42387 	38830 	39192 	39995 
BEDPL,NR,I551,DEG3,SE	71486 	70683 	70868 	74181 	76885 	74779 
BEDPL,NR,I551,DEG3,SI	20169 	19784 	19407 	20080 	19966 	20499 
BEDPL,NR,I551,DEG3,SK	44735 	45354 	44551 	42566 	42196 	42400 
BEDPL,NR,I551,DEG3,UK	: 	203091 	203410 	: 	204709 	179297 
BEDPL,NR,I551,DEG3,XK	1907 u	: 	: 	: 	: 	: 
BEDPL,NR,I551,TOTAL,AT	609393 	601945 	600342 	598742 	601483 	594841 
BEDPL,NR,I551,TOTAL,BE	129456 	129232 	129307 	127835 	128641 	128703 
BEDPL,NR,I551,TOTAL,BG	293494 	281869 	279090 	271526 	262196 	261159 
BEDPL,NR,I551,TOTAL,CH	: 	271710 	273507 	272636 	271298 	271168 
BEDPL,NR,I551,TOTAL,CY	84977 	83251 	84426 	85150 	84715 	84217 
BEDPL,NR,I551,TOTAL,CZ	317361 	317756 	314210 	306430 	317875 	319692 b
BEDPL,NR,I551,TOTAL,DE	1811615 	1784654 	1778206 	1763742 	1757624 	1751024 
BEDPL,NR,I551,TOTAL,DK	93386 	90503 	89371 	90433 	87129 	87389 
