unit,purpose,duration,partner,accommod,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,AT	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,BE	6346.78 b	0 	0 	0 u	0 	10513.28 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,BG	0 	0 u	0 u	0 	0 	0 u
THS_EUR,PERS,N_GE4,DOM,NR_OWN,CH	: 	1142.55 	0 u	631.35 	3917.23 u	725.64 u
THS_EUR,PERS,N_GE4,DOM,NR_OWN,CY	0 	56.31 	60.56 	0 	0 b	78.16 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,CZ	1880.07 	850.29 	650.76 	93.6 	373.82 	1062.44 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,DE	550488.89 	639030.99 	366686.22 	254568.73 	399818.75 	446778.58 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,DK	: 	139184.4 	143519.97 	167440.77 b	71828.72 b	110915.7 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,EA	: 	: 	: 	434371.82 e	619211.33 e	716916.87 e
THS_EUR,PERS,N_GE4,DOM,NR_OWN,EE	: c	: u	0 u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,NR_OWN,EL	: 	0 	0 	0 	0 	9225.95 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,ES	28309.65 	23401.62 	15476.05 b	123793.05 	171225.53 	195825.56 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,EU27	: 	: 	814115.62 e	743590.85 e	761831.59 e	964112.69 e
THS_EUR,PERS,N_GE4,DOM,NR_OWN,EU28	: 	: 	814057.3 e	742685.61 e	764504.35 e	964726.32 e
THS_EUR,PERS,N_GE4,DOM,NR_OWN,FI	2380.73 	2773.2 	2679.36 	2143.92 	469.63 	1861.61 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,FR	74604.17 	47204.06 	67937.2 	53810.36 	43386.89 	49376.98 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,HR	0 	: 	815.43 	0 	2744.41 	755.73 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,HU	305.31 	207.39 	74.63 	168.46 	85.38 	565.14 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,IE	0 	0 	0 	0 	0 	306.21 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,IT	0 	0 	0 	0 b	0 	0 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,LT	0 	0 	0 	6.34 	0 	152.16 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,LU	: 	: u	: u	: 	: u	: u
THS_EUR,PERS,N_GE4,DOM,NR_OWN,LV	: 	: c	0 u	0 u	2.44 u	64.04 u
THS_EUR,PERS,N_GE4,DOM,NR_OWN,MT	0 u	: c	: c	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,NR_OWN,NL	: 	0 	0 	0 	0 	0 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,NO	34760.74 	31788.05 	15902.76 	18717.27 	29042.58 	: 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,PL	9766.24 	11659.93 	11714.53 	7041.67 b	4345.4 	34918.9 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,PT	575.28 	239.38 	65897.44 	0 	3586.23 	821.83 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,RO	40795.53 	45343.1 	36135.5 	40187.72 	38410.28 	66908 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,SE	: 	0 	0 	0 	: 	: 
THS_EUR,PERS,N_GE4,DOM,NR_OWN,SI	0 u	0 u	0 u	0 u	0 u	0 u
THS_EUR,PERS,N_GE4,DOM,NR_OWN,SK	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,NR_OWN,UK	: 	: 	: 	: 	13114.46 	: u
THS_EUR,PERS,N_GE4,DOM,NR_RF,AT	0 	618.15 	0 	0 	0 	474.06 
THS_EUR,PERS,N_GE4,DOM,NR_RF,BE	8769.99 b	0 	0 	0 	1142.54 	7195.73 u
THS_EUR,PERS,N_GE4,DOM,NR_RF,BG	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,N_GE4,DOM,NR_RF,CH	: 	2143.26 	9240.3 	19991.5 	8423.76 	23555.3 
THS_EUR,PERS,N_GE4,DOM,NR_RF,CY	0 	0 	0.85 	683.33 	0 b	24.76 
THS_EUR,PERS,N_GE4,DOM,NR_RF,CZ	7159.36 	2660.78 	2755.48 	2000.52 	2796.88 	1534.68 
THS_EUR,PERS,N_GE4,DOM,NR_RF,DE	98088.24 	90793.37 	64248.8 	190085.93 	158665.52 	68904.3 
THS_EUR,PERS,N_GE4,DOM,NR_RF,DK	: 	81654.24 	117900.92 	138690.61 b	102547.52 b	97835.65 
THS_EUR,PERS,N_GE4,DOM,NR_RF,EA	: 	: 	: 	991468.9 e	904507.44 e	801072.96 e
THS_EUR,PERS,N_GE4,DOM,NR_RF,EE	0 	0 	64.09 	183.87 	57.48 	1328.88 
THS_EUR,PERS,N_GE4,DOM,NR_RF,EL	: 	0 	0 	0 	0 	1570.01 
THS_EUR,PERS,N_GE4,DOM,NR_RF,ES	88231.36 	74196.41 	69273.75 b	360098.48 	403212.6 	377064.07 
THS_EUR,PERS,N_GE4,DOM,NR_RF,EU27	: 	: 	889794.45 e	1416062.75 e	1124635.52 e	1227509.83 e
THS_EUR,PERS,N_GE4,DOM,NR_RF,EU28	: 	: 	888760 e	1414338.85 e	1125491.73 e	1229243.54 e
THS_EUR,PERS,N_GE4,DOM,NR_RF,FI	6424.86 	13892.02 	4992.2 	8070.86 	4998.21 	8367.58 
THS_EUR,PERS,N_GE4,DOM,NR_RF,FR	389203.74 	339619.83 	346269.23 	357394.02 	309815.74 	320443.72 
THS_EUR,PERS,N_GE4,DOM,NR_RF,HR	57.78 	: 	42.65 	0 	1020.43 	1896.7 
THS_EUR,PERS,N_GE4,DOM,NR_RF,HU	548.31 	394.18 	488.09 	640.06 	361.26 	940.55 
THS_EUR,PERS,N_GE4,DOM,NR_RF,IE	940.64 	324.89 	0 	0 	109.91 	2003.62 
THS_EUR,PERS,N_GE4,DOM,NR_RF,IT	0 	0 	0 	3710.49 b	11034.15 	0 
THS_EUR,PERS,N_GE4,DOM,NR_RF,LT	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,N_GE4,DOM,NR_RF,LU	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,NR_RF,LV	: 	0 	254.64 	0 	99.24 	116.25 
THS_EUR,PERS,N_GE4,DOM,NR_RF,MT	: c	: c	25.14 u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,NR_RF,NL	: 	1743.65 	1409.47 	862.25 	1533.6 	3065.06 
THS_EUR,PERS,N_GE4,DOM,NR_RF,NO	81463.75 	50901.48 	56315.03 	40212.99 	32108.76 	: 
THS_EUR,PERS,N_GE4,DOM,NR_RF,PL	104865.7 	102504.3 	160760.58 	99835.8 b	26178.79 	210574.52 
THS_EUR,PERS,N_GE4,DOM,NR_RF,PT	2607.97 	1804.06 	3563.89 	70252.38 	13793.26 	9655.48 
THS_EUR,PERS,N_GE4,DOM,NR_RF,RO	8746.66 	7381.98 	4863.2 	3904.23 	2578.28 	5611.69 
THS_EUR,PERS,N_GE4,DOM,NR_RF,SE	: 	0 	0 	0 	: 	: 
THS_EUR,PERS,N_GE4,DOM,NR_RF,SI	0 u	0 	0 u	0 	0 	164.16 
THS_EUR,PERS,N_GE4,DOM,NR_RF,SK	83.52 	54.91 	52.58 	0 	33.43 b	713 
THS_EUR,PERS,N_GE4,DOM,NR_RF,UK	: 	: 	: 	: 	64219.08 	: u
THS_EUR,PERS,N_GE4,DOM,R_CAMP,AT	9245.39 u	8179.5 u	11025.63 u	6910.03 u	14068.44 u	11165.02 u
THS_EUR,PERS,N_GE4,DOM,R_CAMP,BE	10809.26 b	4480.54 	8486.42 	6464.64 u	15138.67 	6569.24 u
THS_EUR,PERS,N_GE4,DOM,R_CAMP,BG	2383.19 u	: u	: u	: u	10346.73 	17344.8 
THS_EUR,PERS,N_GE4,DOM,R_CAMP,CH	: 	16868.63 u	13083.85 u	17253.9 u	18742.96 u	20962.89 u
THS_EUR,PERS,N_GE4,DOM,R_CAMP,CY	: c	: u	: u	: u	58.57 bu	: u
THS_EUR,PERS,N_GE4,DOM,R_CAMP,CZ	29947.8 	24527.31 	22143.17 	18998.48 	19269.52 	23687.39 
THS_EUR,PERS,N_GE4,DOM,R_CAMP,DE	324540.31 	331893.05 	337625.22 	331202.43 	276157.39 	261772.48 
THS_EUR,PERS,N_GE4,DOM,R_CAMP,DK	: 	54470.29 	50247.31 	54154.68 b	48901.27 b	34259.85 
THS_EUR,PERS,N_GE4,DOM,R_CAMP,EA	: 	: 	: 	2496945.62 e	2490044.08 e	2497995.96 e
THS_EUR,PERS,N_GE4,DOM,R_CAMP,EE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,R_CAMP,EL	: 	6821.86 	4571.35 	7809.52 	4621.31 	4980.25 
THS_EUR,PERS,N_GE4,DOM,R_CAMP,ES	158010.25 	157135.83 	102346.16 b	54540.41 	51215.07 	63893.59 
THS_EUR,PERS,N_GE4,DOM,R_CAMP,EU27	: 	: 	3270736 e	3003346.68 e	3344568.37 e	3494861.8 e
THS_EUR,PERS,N_GE4,DOM,R_CAMP,EU28	: 	: 	3271767.36 e	3002736.15 e	3350264.19 e	3496851.2 e
THS_EUR,PERS,N_GE4,DOM,R_CAMP,FI	6894.13 u	17668.24 u	6901.91 u	7483.77 u	7149.71 u	6677.48 u
THS_EUR,PERS,N_GE4,DOM,R_CAMP,FR	1764331.77 	1633997.81 	1640872.68 	1703728.26 	1667754.35 	1666319.66 
THS_EUR,PERS,N_GE4,DOM,R_CAMP,HR	: u	: 	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,R_CAMP,HU	3655.16 	1771.67 	2832.78 	3870.42 	2333.69 	2762.59 
THS_EUR,PERS,N_GE4,DOM,R_CAMP,IE	11583.87 	13585.87 	7389.65 	9207.38 	12922.9 	13043.64 
THS_EUR,PERS,N_GE4,DOM,R_CAMP,IT	256407.25 u	141479.87 u	439585.59 	220682.41 bu	290330.48 	285575.95 
THS_EUR,PERS,N_GE4,DOM,R_CAMP,LT	: c	: u	: u	133.22 u	110.76 u	: u
THS_EUR,PERS,N_GE4,DOM,R_CAMP,LU	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,R_CAMP,LV	: 	: c	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,R_CAMP,MT	: 	: c	: u	: 	: 	: 
THS_EUR,PERS,N_GE4,DOM,R_CAMP,NL	: 	142603.45 	144393.85 	132705.78 	128303.09 	120077.93 
THS_EUR,PERS,N_GE4,DOM,R_CAMP,NO	54534.94 	39542.1 	46757.79 	39464.44 	44464.51 	: 
THS_EUR,PERS,N_GE4,DOM,R_CAMP,PL	32525.46 	27884.44 	19378.78 	21247.37 b	24579.44 	90630.9 
THS_EUR,PERS,N_GE4,DOM,R_CAMP,PT	1388.48 u	: u	14808.28 	13094.51 	18082.03 	50385.36 
THS_EUR,PERS,N_GE4,DOM,R_CAMP,RO	9205.77 	5668.16 	5060.14 	6400.21 	3081.26 	2715.14 
THS_EUR,PERS,N_GE4,DOM,R_CAMP,SE	: 	44831.65 	32524.82 	18784.35 	: 	: 
THS_EUR,PERS,N_GE4,DOM,R_CAMP,SI	3506.36 u	: u	: u	: u	2001.2 u	2423.05 u
THS_EUR,PERS,N_GE4,DOM,R_CAMP,SK	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,R_CAMP,UK	: 	: 	: 	: 	682328.88 	: u
THS_EUR,PERS,N_GE4,DOM,R_HOT,AT	705428.04 	679197.7 	596763.06 	527446.75 	761166.49 	925181.45 
THS_EUR,PERS,N_GE4,DOM,R_HOT,BE	42401.08 b	41611.05 	27303.97 	33786 	44212.71 	31233.37 u
THS_EUR,PERS,N_GE4,DOM,R_HOT,BG	57084.93 	36205.5 	31858.94 	45865.15 	35265.87 	31586.32 
THS_EUR,PERS,N_GE4,DOM,R_HOT,CH	: 	352209.93 	302787.62 	307340.7 	393987.13 	334825.82 
THS_EUR,PERS,N_GE4,DOM,R_HOT,CY	13033.84 	13372.49 	13221.11 	14979.1 	17355.81 b	12900.7 
THS_EUR,PERS,N_GE4,DOM,R_HOT,CZ	264571.8 	198147.27 	135965.39 	109583.34 	142449.87 	152754.93 
THS_EUR,PERS,N_GE4,DOM,R_HOT,DE	5366251.22 	5092615.39 	4967360.01 	4817059.29 	4672068.29 	4780473.93 
THS_EUR,PERS,N_GE4,DOM,R_HOT,DK	: 	85016.49 	65899.79 	54100.15 b	43665.68 b	23245.31 u
THS_EUR,PERS,N_GE4,DOM,R_HOT,EA	: 	: 	: 	9587869.09 e	10339056.53 e	10640471.58 e
THS_EUR,PERS,N_GE4,DOM,R_HOT,EE	: c	: u	3501.55 u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,R_HOT,EL	: 	92339.62 	97168.67 	109772.56 	95198.74 	91358.08 
THS_EUR,PERS,N_GE4,DOM,R_HOT,ES	2172352.23 	2052816.52 	1650304.3 b	951228.64 	980688.82 	985634.99 
THS_EUR,PERS,N_GE4,DOM,R_HOT,EU27	: 	: 	13418526.31 e	11992059.22 e	13047306.97 e	13208503.11 e
THS_EUR,PERS,N_GE4,DOM,R_HOT,EU28	: 	: 	13435670.19 e	12003019.79 e	13089939.14 e	13261752.4 e
THS_EUR,PERS,N_GE4,DOM,R_HOT,FI	110705.92 	94292.2 	83732.98 	115961.18 	103578.88 	118795.9 
THS_EUR,PERS,N_GE4,DOM,R_HOT,FR	1485026.61 	1416687.99 	1308535.39 	1477136.59 	1366965 	1380231.71 
THS_EUR,PERS,N_GE4,DOM,R_HOT,HR	24357.92 	: 	29267.73 	22344.17 	43918.81 	54351.55 
THS_EUR,PERS,N_GE4,DOM,R_HOT,HU	166172.08 	155118.12 	153914.5 	172235.95 	158440.7 	141085.98 
THS_EUR,PERS,N_GE4,DOM,R_HOT,IE	61711.42 	75962.74 	72079.92 	67107.53 	72855.76 	61560.55 
THS_EUR,PERS,N_GE4,DOM,R_HOT,IT	2090411.19 	2416264.67 	1550189.48 	1189901.27 b	1982176.16 	1912228.45 
THS_EUR,PERS,N_GE4,DOM,R_HOT,LT	3808.77 	2002.22 	2756.46 	4079.61 	2933.19 	1891.08 
THS_EUR,PERS,N_GE4,DOM,R_HOT,LU	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,R_HOT,LV	: 	: c	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,R_HOT,MT	855.22 u	715.44 u	: c	: u	: u	834.55 u
THS_EUR,PERS,N_GE4,DOM,R_HOT,NL	: 	130051.9 	115730.88 	124387.51 	106815.67 	126352.45 
THS_EUR,PERS,N_GE4,DOM,R_HOT,NO	118205.58 	119823.16 	114092.7 	106976.56 	101953.91 	: 
THS_EUR,PERS,N_GE4,DOM,R_HOT,PL	528802.8 	445053.95 	351767.1 	304127.07 b	815477.63 	632835.5 
THS_EUR,PERS,N_GE4,DOM,R_HOT,PT	137208.03 	107806.36 	158981.67 	91281.23 	57728.2 	102692.27 
THS_EUR,PERS,N_GE4,DOM,R_HOT,RO	183439 	140073.93 	144931.02 	114656.81 	125818.2 	192185.5 
THS_EUR,PERS,N_GE4,DOM,R_HOT,SE	: 	130958.79 	100011.98 	75261.69 	: 	: 
THS_EUR,PERS,N_GE4,DOM,R_HOT,SI	38984.29 	32221.22 	27975.57 	25945.52 	26640.4 	35666.09 
THS_EUR,PERS,N_GE4,DOM,R_HOT,SK	93270.09 	74520.73 	53468.94 	63144.19 u	46792.65 b	72704.26 
THS_EUR,PERS,N_GE4,DOM,R_HOT,UK	: 	: 	: 	: 	1136012.98 	: u
THS_EUR,PERS,N_GE4,DOM,R_OTH,AT	252432.18 	251307.68 	230302.31 	186943.16 	218248.76 	258839.99 
THS_EUR,PERS,N_GE4,DOM,R_OTH,BE	73673.02 b	116339.53 	72815.5 	76684.81 	77714.48 	97594.84 
THS_EUR,PERS,N_GE4,DOM,R_OTH,BG	38255.3 	27687.59 	21982.59 	21793.59 	18116.68 	5713.4 
THS_EUR,PERS,N_GE4,DOM,R_OTH,CH	: 	304897.31 	208001.14 	270672.53 	230925.23 	164279.48 
THS_EUR,PERS,N_GE4,DOM,R_OTH,CY	418.36 	418.13 	386.93 	120.17 u	103.77 b	6727.65 
THS_EUR,PERS,N_GE4,DOM,R_OTH,CZ	101240.75 	86862.87 	80781.14 	44662.25 	57649.54 	47106.47 
THS_EUR,PERS,N_GE4,DOM,R_OTH,DE	2313230.76 	2302752.21 	2472346.91 	2347321.86 	2178127.05 	2062949.44 
THS_EUR,PERS,N_GE4,DOM,R_OTH,DK	: 	152005.41 	144312 	145332.94 b	100563.37 b	78706.33 
THS_EUR,PERS,N_GE4,DOM,R_OTH,EA	: 	: 	: 	10965700.19 e	10735782.75 e	10997974.65 e
THS_EUR,PERS,N_GE4,DOM,R_OTH,EE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,R_OTH,EL	: 	69102.54 	67101.99 	68650.76 	63691.72 	81697.86 
THS_EUR,PERS,N_GE4,DOM,R_OTH,ES	1190453.67 	1071350.72 	1029900.29 b	437133.19 	487607.96 	441028.58 
THS_EUR,PERS,N_GE4,DOM,R_OTH,EU27	: 	: 	14175132.62 e	13475752.31 e	13523270.48 e	13588457.55 e
THS_EUR,PERS,N_GE4,DOM,R_OTH,EU28	: 	: 	14220655.88 e	13504785.35 e	13580911.96 e	13654801.64 e
THS_EUR,PERS,N_GE4,DOM,R_OTH,FI	134730.27 	135224.7 	153298.79 	145537 	165777.35 	158778.66 
THS_EUR,PERS,N_GE4,DOM,R_OTH,FR	5475633.64 	5502849.98 	5393981.22 	5759813.86 	5654051.85 	5395290.63 
THS_EUR,PERS,N_GE4,DOM,R_OTH,HR	67738.55 	: 	54882.15 	39722.11 	58720.51 	67260.26 
THS_EUR,PERS,N_GE4,DOM,R_OTH,HU	19934.84 	18853.48 	16138.5 	19624.68 	19881.36 	18684.05 
THS_EUR,PERS,N_GE4,DOM,R_OTH,IE	82113.08 	70190.38 	64851.52 	55200.18 	48265.07 	57007.06 
THS_EUR,PERS,N_GE4,DOM,R_OTH,IT	1920081.92 	1070309.1 	1346983.05 	1360057.26 b	1244803.56 	1858965.24 
THS_EUR,PERS,N_GE4,DOM,R_OTH,LT	19074.01 	17466.07 	17860.04 	11678.24 	9558.39 	7897.21 
THS_EUR,PERS,N_GE4,DOM,R_OTH,LU	: 	: u	: u	: u	: 	: u
THS_EUR,PERS,N_GE4,DOM,R_OTH,LV	: 	2929.99 u	: u	2674.34 u	: u	2024.82 u
THS_EUR,PERS,N_GE4,DOM,R_OTH,MT	3612.13 	2087.75 	1725.59 	1678.98 b	: u	: u
THS_EUR,PERS,N_GE4,DOM,R_OTH,NL	: 	580837.01 	528317.8 	458350.9 	478777.22 	482148.67 
THS_EUR,PERS,N_GE4,DOM,R_OTH,NO	127327.92 	124736.45 	102695.34 	114231.92 	102802.45 	: 
THS_EUR,PERS,N_GE4,DOM,R_OTH,PL	653300.32 	600588.74 	493899.62 	450734.59 b	806249.73 	599005.14 
THS_EUR,PERS,N_GE4,DOM,R_OTH,PT	111600.04 	102815.9 	12540.31 	12524.06 	62766.28 	5559.56 u
THS_EUR,PERS,N_GE4,DOM,R_OTH,RO	49838.57 	48361.17 	40277.41 	36656.19 	38497.3 	: u
THS_EUR,PERS,N_GE4,DOM,R_OTH,SE	: 	80457.89 	95542.9 	68691.08 	: 	: 
THS_EUR,PERS,N_GE4,DOM,R_OTH,SI	11212.48 	13514.33 	13239.25 	11867.74 	14530.38 	11260.1 
THS_EUR,PERS,N_GE4,DOM,R_OTH,SK	44294.14 	82592.33 	73751.22 	60248.72 	38401.46 b	73373.98 
THS_EUR,PERS,N_GE4,DOM,R_OTH,UK	: 	: 	: 	: 	1474875.77 	: u
THS_EUR,PERS,N_GE4,DOM,TOTAL,AT	967105.61 	939303.03 	838090.99 	721299.94 	993483.69 	1198372.53 
THS_EUR,PERS,N_GE4,DOM,TOTAL,BE	144011.26 b	162431.12 	108605.88 	116935.45 	138253 	155050.15 
THS_EUR,PERS,N_GE4,DOM,TOTAL,BG	97723.41 	65791.59 	54370.32 	68414.99 	63729.28 	54644.52 
THS_EUR,PERS,N_GE4,DOM,TOTAL,CH	: 	677261.68 	533112.9 	615889.98 	655996.31 	544349.12 
THS_EUR,PERS,N_GE4,DOM,TOTAL,CY	13457.57 	13847.48 	13676.7 	15815.8 	17518.15 b	19753.07 
THS_EUR,PERS,N_GE4,DOM,TOTAL,CZ	405409.09 	313381.97 	242549.79 	177103.01 	228729.45 	228336.88 
THS_EUR,PERS,N_GE4,DOM,TOTAL,DE	8760554.8 	8540990.24 	8261047.62 	8004122.65 	7732676.39 	7709685.55 
THS_EUR,PERS,N_GE4,DOM,TOTAL,DK	: 	520278.96 	540319.95 	583727.61 b	372747.49 b	350199.46 
THS_EUR,PERS,N_GE4,DOM,TOTAL,EA	: 	: 	: 	24564226.7 e	25168577.63 e	25772162.11 e
THS_EUR,PERS,N_GE4,DOM,TOTAL,EE	7552.44 	5731.24 	6097.92 	5617.79 	2709.34 	5657.78 
THS_EUR,PERS,N_GE4,DOM,TOTAL,EL	: 	168264.01 	168842 	186232.84 	163511.77 	189676.31 
THS_EUR,PERS,N_GE4,DOM,TOTAL,ES	3639578.94 	3379976.9 	2869595.72 b	1929092.79 	2096259.62 	2069906.07 
THS_EUR,PERS,N_GE4,DOM,TOTAL,EU27	: 	: 	32682911.3 e	30763803.33 e	32001271.79 e	32775530 e
THS_EUR,PERS,N_GE4,DOM,TOTAL,EU28	: 	: 	32745377.53 e	30800395.37 e	32112330.27 e	32899693.31 e
THS_EUR,PERS,N_GE4,DOM,TOTAL,FI	263288.89 	267141.79 	252415.43 	279624.03 	282433.43 	295235.87 
THS_EUR,PERS,N_GE4,DOM,TOTAL,FR	9206119.49 	8964423.42 	8778058.54 	9371610.36 	9066313.5 	8825304.19 
THS_EUR,PERS,N_GE4,DOM,TOTAL,HR	94643.51 	: 	89390.42 	64728.85 	114091.38 	127048.58 
THS_EUR,PERS,N_GE4,DOM,TOTAL,HU	190615.7 	176344.85 	173448.51 	196539.56 	181102.39 	164038.31 
THS_EUR,PERS,N_GE4,DOM,TOTAL,IE	156349.01 	160063.88 	144321.09 	131515.09 	134153.63 	133965.75 
THS_EUR,PERS,N_GE4,DOM,TOTAL,IT	4266900.36 	3628053.64 	3336758.12 	2774351.43 b	3528344.36 	4056769.65 
THS_EUR,PERS,N_GE4,DOM,TOTAL,LT	23492.65 	19711.01 	20763.51 	15897.41 	12602.34 	9951.93 
THS_EUR,PERS,N_GE4,DOM,TOTAL,LU	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,TOTAL,LV	: 	3675.4 	5863.5 	8158.15 	6125.41 	3399.15 
THS_EUR,PERS,N_GE4,DOM,TOTAL,MT	4481.7 	2992.76 	2166.34 	2225.92 b	2204.83 u	2482.76 u
THS_EUR,PERS,N_GE4,DOM,TOTAL,NL	: 	857092.78 	790689 	717609.7 	718351.22 	734008.81 
THS_EUR,PERS,N_GE4,DOM,TOTAL,NO	428354.37 	374913.2 	352355.21 	325250.24 	322399.09 	: 
THS_EUR,PERS,N_GE4,DOM,TOTAL,PL	1330028.54 	1188755.09 	1040442.64 	884354.49 b	1694738.61 	1596264.06 
THS_EUR,PERS,N_GE4,DOM,TOTAL,PT	260970.8 	216338.51 	255791.59 	187246.97 	157942.77 	169258.64 
THS_EUR,PERS,N_GE4,DOM,TOTAL,RO	292543.8 	247912.14 	232514.26 	202923.55 	209421.31 	269536.78 
THS_EUR,PERS,N_GE4,DOM,TOTAL,SE	: 	256248.32 	228079.69 	162737.12 	: 	: 
THS_EUR,PERS,N_GE4,DOM,TOTAL,SI	53703.13 	47407.5 	42661.55 	38810.79 	43171.98 	49513.39 
THS_EUR,PERS,N_GE4,DOM,TOTAL,SK	137730.55 	158738.73 	128411.35 	125207.44 	87532.29 b	153121.39 
THS_EUR,PERS,N_GE4,DOM,TOTAL,UK	: 	: 	: 	: 	3456002.32 	: u
THS_EUR,PERS,N_GE4,DOM,TOT_NR,AT	0 	618.15 	0 	0 	0 	3186.08 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,BE	17127.91 b	0 	0 	0 	1187.14 	19652.7 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,BG	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,CH	: 	3285.81 	9240.3 	20622.84 	12340.99 	24280.93 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,CY	0 	56.31 	61.41 	683.33 	0 b	102.92 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,CZ	9648.74 	3844.51 	3660.1 	3858.94 	9360.51 	4788.08 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,DE	756532.5 	813729.58 	483715.48 	508539.08 	606323.66 	604489.7 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,DK	: 	228786.77 	279860.85 	330139.84 b	179617.17 b	213987.96 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,EA	: 	: 	: 	1513711.8 e	1603694.28 e	1635719.93 e
THS_EUR,PERS,N_GE4,DOM,TOT_NR,EE	330.22 	0 	82.31 	186.61 	103.68 	1328.88 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,EL	: 	0 	0 	0 	0 	11640.12 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,ES	118762.79 	98673.83 	87044.97 b	486190.54 	576747.76 	579348.91 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,EU27	: 	: 	1818516.38 e	2292645.12 e	2086125.97 e	2483707.54 e
THS_EUR,PERS,N_GE4,DOM,TOT_NR,EU28	: 	: 	1817284.09 e	2289854.07 e	2091214.98 e	2486288.08 e
THS_EUR,PERS,N_GE4,DOM,TOT_NR,FI	10958.57 	19956.66 	8481.75 	10642.07 	5927.49 	10983.82 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,FR	481127.47 	410887.63 	434669.24 	430931.65 	377542.3 	383462.19 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,HR	144.96 	: 	858.08 	0 	5327.42 	2927.81 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,HU	853.63 	601.57 	562.72 	808.51 	446.64 	1505.68 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,IE	940.64 	324.89 	0 	0 	109.91 	2354.5 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,IT	0 	0 	0 	3710.49 b	11034.15 	0 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,LT	0 	0 	0 	6.34 	0 	152.16 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,LU	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,TOT_NR,LV	: 	0 	254.64 	0 	159.85 	185.69 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,MT	14.35 u	0 u	25.14 u	0 bu	: u	: u
THS_EUR,PERS,N_GE4,DOM,TOT_NR,NL	: 	3600.42 	2246.47 	2165.52 	4455.25 	5429.77 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,NO	128285.93 	90811.49 	88809.39 	64577.33 	73178.22 	: 
THS_EUR,PERS,N_GE4,DOM,TOT_NR,PL	115399.96 	115227.96 	175397.14 	108245.45 b	48431.81 	273792.53 
