unit,purpose,duration,partner,expend,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,DUR,IE	29349.6 	29448.62 	18488.6 	19834.79 	16578.06 	18183.06 
THS_EUR,PERS,N1-3,DOM,DUR,IT	0 	14117.6 	29250.6 	12004.03 b	0 	18138.22 
THS_EUR,PERS,N1-3,DOM,DUR,LT	869.83 	736.58 	1182.07 	465.65 	790.26 	382.43 
THS_EUR,PERS,N1-3,DOM,DUR,LU	: 	149.22 u	0 u	0 	0 	0 
THS_EUR,PERS,N1-3,DOM,DUR,LV	: 	0 	889.94 	482.29 	2381.95 	935.92 
THS_EUR,PERS,N1-3,DOM,DUR,MT	33.47 	49.83 	29.71 	778.2 b	0 	0 
THS_EUR,PERS,N1-3,DOM,DUR,NL	1426.21 	4978.74 	348.08 	1040.94 	120602.28 	136316.22 
THS_EUR,PERS,N1-3,DOM,DUR,NO	1199.7 	4235.32 	0 	175.04 	7587.62 	: 
THS_EUR,PERS,N1-3,DOM,DUR,PL	3096.69 	8581.37 	17121.37 	12536.71 b	94600.76 	125390.84 
THS_EUR,PERS,N1-3,DOM,DUR,PT	7736.16 	7474.95 	32764.89 	12825.11 	226.43 	322.82 
THS_EUR,PERS,N1-3,DOM,DUR,RO	3021.8 	998.23 	945.27 	735.16 	814.81 	170 
THS_EUR,PERS,N1-3,DOM,DUR,SE	: 	180578.34 	108599.82 	94367.67 	: 	: 
THS_EUR,PERS,N1-3,DOM,DUR,SI	0 	15.3 	10.01 	0 	34.54 	144.43 
THS_EUR,PERS,N1-3,DOM,DUR,SK	2458.66 	2614.95 	6045.86 	4674.16 	4881.06 b	13101.76 
THS_EUR,PERS,N1-3,DOM,DUR,UK	: 	: 	: 	: 	1915032.73 	: u
THS_EUR,PERS,N1-3,DOM,OTH,AT	662460.63 	688978.86 	672478.11 	639631.52 	527635.05 	336590.2 
THS_EUR,PERS,N1-3,DOM,OTH,BE	36419.91 b	33021.8 	155744.19 	89919.68 	118037.77 	98212.86 
THS_EUR,PERS,N1-3,DOM,OTH,BG	26403.96 	16873.91 	14374.94 	18146.48 	14377.76 	15341.69 
THS_EUR,PERS,N1-3,DOM,OTH,CH	: 	133362.78 	133071.3 	108030.44 	139713.58 	106043.92 
THS_EUR,PERS,N1-3,DOM,OTH,CY	35280.94 	25938.06 	12597.83 	7914.54 	2726.96 	2094.66 
THS_EUR,PERS,N1-3,DOM,OTH,CZ	357164.34 	303207.74 	247695.72 	232650.18 	218763.93 	239556.65 
THS_EUR,PERS,N1-3,DOM,OTH,DE	4247548.15 	4348541.05 	4506377.36 	4024010.56 	4442671.51 	4270802.78 
THS_EUR,PERS,N1-3,DOM,OTH,DK	: 	1256829.43 	1199273.53 	1296265.35 b	1266490.02 b	614950.67 
THS_EUR,PERS,N1-3,DOM,OTH,EA	: 	: 	: 	13707427.7 e	14129913.16 e	14274567.84 e
THS_EUR,PERS,N1-3,DOM,OTH,EE	47623.08 	40531.02 	33633.58 	21679.88 	14185.2 	8802.03 
THS_EUR,PERS,N1-3,DOM,OTH,EL	: 	33333.07 	35006.4 	42643.84 	32802.62 	34371.04 
THS_EUR,PERS,N1-3,DOM,OTH,ES	2695535.12 	2505373.64 	1533415.56 b	2283142.42 	2406153.26 	2544708.73 
THS_EUR,PERS,N1-3,DOM,OTH,EU27	: 	: 	19385202.66 e	19195495.4 e	17736889.77 e	17677305.54 e
THS_EUR,PERS,N1-3,DOM,OTH,EU28	: 	: 	19398029.48 e	19253769.04 e	17834757.75 e	17728589.6 e
THS_EUR,PERS,N1-3,DOM,OTH,FI	972314.78 	959666.94 	962506.58 	915200.86 	973023.81 	983205.47 
THS_EUR,PERS,N1-3,DOM,OTH,FR	4469141.74 	3694448.43 	3676666.78 	4032051.81 	3912578.72 	3898572.21 
THS_EUR,PERS,N1-3,DOM,OTH,HR	23567.99 	18814.63 	31843.74 	71371.39 	98861.95 	53135.62 
THS_EUR,PERS,N1-3,DOM,OTH,HU	131050.48 	125560.35 	131737 	116233.8 	105841.02 	123266.52 
THS_EUR,PERS,N1-3,DOM,OTH,IE	452201.99 	424272.18 	406401.57 	350874.73 	319578.1 	317244.2 
THS_EUR,PERS,N1-3,DOM,OTH,IT	1364898.33 	1502097.46 	1214829.69 	896631.7 b	1012663.27 	1389267.55 
THS_EUR,PERS,N1-3,DOM,OTH,LT	13981.58 	12477.9 	11668.24 	15944.43 	15077.22 	16920.64 
THS_EUR,PERS,N1-3,DOM,OTH,LU	: 	400.43 u	290.91 u	771.07 	2127.06 	410.73 
THS_EUR,PERS,N1-3,DOM,OTH,LV	: 	34491.19 	32604.43 	32162.29 	35309.54 	44715.01 
THS_EUR,PERS,N1-3,DOM,OTH,MT	17851.12 	18579.47 	13606.96 	12840.76 b	10111.87 	9589.38 
THS_EUR,PERS,N1-3,DOM,OTH,NL	242009.51 	263065.83 	225535.63 	231843.14 	151602.68 	144395.23 
THS_EUR,PERS,N1-3,DOM,OTH,NO	455877.52 	422718.77 	391112.05 	390155.43 	252078.68 	: 
THS_EUR,PERS,N1-3,DOM,OTH,PL	406553.81 	355888.36 	330573.39 	307082.25 b	310726.36 	529275.62 
THS_EUR,PERS,N1-3,DOM,OTH,PT	117333.62 	111904.36 	112912.37 	113689.95 	95574.14 	95074.59 
THS_EUR,PERS,N1-3,DOM,OTH,RO	186602.65 	189854.77 	157136.44 	158894.47 	157671.11 	184201.21 
