unit,purpose,duration,partner,expend,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PROF,N_GE4,DOM,TOTAL,EU27	: 	: 	10792079.87 e	9647914.61 e	9946599.92 e	10246947.76 e
THS_EUR,PROF,N_GE4,DOM,TOTAL,EU28	: 	: 	10852606.35 e	9684535.57 e	10001738.46 e	10292495.45 e
THS_EUR,PROF,N_GE4,DOM,TOTAL,FI	204748.33 	248009.43 	182639.17 	156362.26 	158781.17 	213175.68 
THS_EUR,PROF,N_GE4,DOM,TOTAL,FR	2401532.51 	1839505.89 	1933292.01 	2534624.11 	2576666.26 	2465000.37 
THS_EUR,PROF,N_GE4,DOM,TOTAL,HR	96137.77 	45301.11 	64397.55 u	42281.71 	55691.1 	46322.99 
THS_EUR,PROF,N_GE4,DOM,TOTAL,HU	1888.93 u	4990.82 u	2367.67 u	3010.89 u	2995.27 u	18449.51 
THS_EUR,PROF,N_GE4,DOM,TOTAL,IE	24860.13 u	19203.18 u	11469.05 u	22956.02 	7093.14 u	22103.25 u
THS_EUR,PROF,N_GE4,DOM,TOTAL,IT	562454.75 u	386399.29 	454020.62 	300419.37 b	359020.54 	593709.68 
THS_EUR,PROF,N_GE4,DOM,TOTAL,LT	3816.02 	2885.72 	3757.71 	2332.91 	1859.6 	1180.6 
THS_EUR,PROF,N_GE4,DOM,TOTAL,LU	: 	: 	: u	: 	: u	: 
THS_EUR,PROF,N_GE4,DOM,TOTAL,LV	: 	: c	: u	: u	4035.05 u	3007.42 u
THS_EUR,PROF,N_GE4,DOM,TOTAL,MT	: c	: c	: c	: u	: u	: u
THS_EUR,PROF,N_GE4,DOM,TOTAL,NL	109245.48 u	77512.42 u	32456.19 u	40035.33 u	28594.62 u	67780.96 u
THS_EUR,PROF,N_GE4,DOM,TOTAL,NO	474130.46 	377754.79 	321695.04 	446200.95 	248800.98 	: 
THS_EUR,PROF,N_GE4,DOM,TOTAL,PL	127898.07 	110635.29 	117040.93 	101850.74 b	233680.09 	513727.99 
THS_EUR,PROF,N_GE4,DOM,TOTAL,PT	43040.33 	53579.51 	53583.28 	43582.53 	32210.94 	25393.97 
THS_EUR,PROF,N_GE4,DOM,TOTAL,RO	89029.79 	64351.63 	85468.8 	67043.8 	73736.32 	63779.77 
THS_EUR,PROF,N_GE4,DOM,TOTAL,SE	: 	238705.78 	209559.27 	273615.24 	: 	: 
THS_EUR,PROF,N_GE4,DOM,TOTAL,SI	: c	: u	: u	: u	: u	: u
THS_EUR,PROF,N_GE4,DOM,TOTAL,SK	: 	: u	: u	: u	: u	: u
THS_EUR,PROF,N_GE4,DOM,TOTAL,UK	: 	: 	: 	: 	1360911.28 	: u
THS_EUR,PROF,N_GE4,DOM,TRA,AT	38666.19 	41770.25 	31256.27 	28329.12 	18782.06 	21247.23 
THS_EUR,PROF,N_GE4,DOM,TRA,BE	: u	577.09 	923.85 u	: u	: u	3277.01 u
THS_EUR,PROF,N_GE4,DOM,TRA,BG	: c	1046.42 u	: u	: u	1647.6 u	: u
THS_EUR,PROF,N_GE4,DOM,TRA,CH	: 	: u	: u	: u	: u	: u
THS_EUR,PROF,N_GE4,DOM,TRA,CY	: c	: u	: u	: u	: u	: u
THS_EUR,PROF,N_GE4,DOM,TRA,CZ	5886.72 u	5151.36 u	3026.56 u	5521.99 u	5514.03 	4260.41 u
THS_EUR,PROF,N_GE4,DOM,TRA,DE	751674.08 	1153282.66 	2317326.61 	1246366.81 	1050437.86 	1015844.36 
THS_EUR,PROF,N_GE4,DOM,TRA,DK	: 	11217.66 	34809.39 	: u	13710.2 bu	9392.66 u
THS_EUR,PROF,N_GE4,DOM,TRA,EA	: 	: 	: 	2092817.65 e	1915254.87 e	2038076.91 e
THS_EUR,PROF,N_GE4,DOM,TRA,EE	2466.73 u	2990.12 u	2064.49 u	1800.87 u	836.92 u	: u
THS_EUR,PROF,N_GE4,DOM,TRA,EL	: 	9737.04 	8017.44 	10214.71 	9890.85 	9140.2 
THS_EUR,PROF,N_GE4,DOM,TRA,ES	207719.39 	225210.41 	136581.72 b	85423.71 	113122.74 	165176.81 
THS_EUR,PROF,N_GE4,DOM,TRA,EU27	: 	: 	3760250.03 e	2531109.54 e	2324725.25 e	2627130.75 e
THS_EUR,PROF,N_GE4,DOM,TRA,EU28	: 	: 	3769620.54 e	2540288.37 e	2335984.41 e	2639385.89 e
THS_EUR,PROF,N_GE4,DOM,TRA,FI	48468.86 	40263.43 	40639.72 	30670.32 	35469.88 	47790.96 
THS_EUR,PROF,N_GE4,DOM,TRA,FR	606731.06 	387080.46 	439435.06 	572776.02 	583038.01 	563106.1 
THS_EUR,PROF,N_GE4,DOM,TRA,HR	21382.18 	16083.25 	12193.5 u	10717.83 	11419.12 	12443.03 
THS_EUR,PROF,N_GE4,DOM,TRA,HU	150.84 u	1125.5 u	295.89 u	1152.09 u	396.82 u	4022.04 
THS_EUR,PROF,N_GE4,DOM,TRA,IE	2168 u	2253.09 u	1433.58 u	3354.86 	931.66 u	2957.73 u
THS_EUR,PROF,N_GE4,DOM,TRA,IT	171451.71 u	90822.56 	123501.52 	97532.6 b	83125.9 	179376.74 
THS_EUR,PROF,N_GE4,DOM,TRA,LT	284.35 	366.56 	524.23 	252.98 	428.14 	379.65 
THS_EUR,PROF,N_GE4,DOM,TRA,LU	: 	: 	: u	: 	: u	: 
THS_EUR,PROF,N_GE4,DOM,TRA,LV	: 	: c	: u	: u	1054.63 u	1122.26 u
THS_EUR,PROF,N_GE4,DOM,TRA,MT	: c	: c	: c	: u	: u	: u
THS_EUR,PROF,N_GE4,DOM,TRA,NL	10472.35 u	13588.79 u	6595.72 u	4479.52 u	4449 u	12966.67 u
THS_EUR,PROF,N_GE4,DOM,TRA,NO	179237.9 	146824.54 	125237.87 	164685.05 	76930.87 	: 
THS_EUR,PROF,N_GE4,DOM,TRA,PL	24997.21 	20128.11 	23623.77 	18975.11 b	38702.62 	145165.93 
THS_EUR,PROF,N_GE4,DOM,TRA,PT	10679.19 	10539.77 	8624.36 	8158.48 	7202.36 	5598.53 
THS_EUR,PROF,N_GE4,DOM,TRA,RO	17032.63 	14267.88 	19197.62 	13922.01 	14575.26 	7099.68 
THS_EUR,PROF,N_GE4,DOM,TRA,SE	: 	38564.56 	81574.95 	66758.32 	: 	: 
THS_EUR,PROF,N_GE4,DOM,TRA,SI	: c	: u	: u	: u	: u	: u
THS_EUR,PROF,N_GE4,DOM,TRA,SK	: 	: u	: u	: u	: u	: u
THS_EUR,PROF,N_GE4,DOM,TRA,UK	: 	: 	: 	: 	289320.36 	: u
THS_EUR,PROF,N_GE4,OUT,ACC,AT	385246.84 	509058.24 	404766.19 	399147.24 	416211.18 	336985.18 
THS_EUR,PROF,N_GE4,OUT,ACC,BE	315589.83 b	253192.07 	218059.64 	172097.83 	295045.01 	319833.71 
THS_EUR,PROF,N_GE4,OUT,ACC,BG	10530.68 u	: u	7122.55 u	: u	8955.03 u	9313.45 u
THS_EUR,PROF,N_GE4,OUT,ACC,CH	: 	266135.96 	336992.97 	182778.21 	277220.48 u	292669.23 u
THS_EUR,PROF,N_GE4,OUT,ACC,CY	72033.21 	51366.68 	52895.79 	61599.43 	47305.34 	61968.57 
THS_EUR,PROF,N_GE4,OUT,ACC,CZ	68250.4 u	25693.63 u	63386.77 u	43047.05 u	45490.28 u	67082.74 
THS_EUR,PROF,N_GE4,OUT,ACC,DE	3285593.98 	3374024.16 	2471660.7 	2805440.29 	3924642.03 	3965116.82 
THS_EUR,PROF,N_GE4,OUT,ACC,DK	: 	159939.76 	314303.13 	343740.38 b	216817.12 b	333970.57 
THS_EUR,PROF,N_GE4,OUT,ACC,EA	: 	: 	: 	5427968.6 e	6713377.61 e	6943347.91 e
THS_EUR,PROF,N_GE4,OUT,ACC,EE	58744.32 	60463.69 	48282.04 	72018.09 	27151.66 	29385.12 
THS_EUR,PROF,N_GE4,OUT,ACC,EL	: 	23207.2 	13870.09 	12009.49 	25575.8 	8516.74 
THS_EUR,PROF,N_GE4,OUT,ACC,ES	431780.4 	497503.04 	243440.59 b	135617.04 	164078.29 	95065.69 
THS_EUR,PROF,N_GE4,OUT,ACC,EU27	: 	: 	6987065.3 e	7052952.67 e	9798376.45 e	9594342.84 e
THS_EUR,PROF,N_GE4,OUT,ACC,EU28	: 	: 	7069159.84 e	7139405.81 e	9919013.06 e	9652633.3 e
THS_EUR,PROF,N_GE4,OUT,ACC,FI	416641.69 	407741.97 	371117.71 	285526.56 	327374.02 	407338.93 
THS_EUR,PROF,N_GE4,OUT,ACC,FR	594602.59 	511773.04 	490738.04 	515680.83 	573742.51 	503280.74 
THS_EUR,PROF,N_GE4,OUT,ACC,HR	94967.8 	34300.74 	79202.85 	83083.26 	119926.2 	58721.71 
THS_EUR,PROF,N_GE4,OUT,ACC,HU	41272.86 	49289.7 	46424.5 	32951.66 	36104.99 	35991.39 
THS_EUR,PROF,N_GE4,OUT,ACC,IE	190264.69 	232473.27 	154339.1 	144372.98 	156200.19 	110079.26 
THS_EUR,PROF,N_GE4,OUT,ACC,IT	534084.59 u	290238.82 u	407809 u	398506.06 b	241569.02 u	731194.23 
THS_EUR,PROF,N_GE4,OUT,ACC,LT	67023.99 	64672.29 	48967.13 	44466.52 	43366.14 	40793.27 
THS_EUR,PROF,N_GE4,OUT,ACC,LU	: 	35542.67 	42306.51 	56627.57 	70648.25 	54197.58 
THS_EUR,PROF,N_GE4,OUT,ACC,LV	: 	27730.06 u	27884.72 u	11757.02 u	28137.52 	17848.17 
THS_EUR,PROF,N_GE4,OUT,ACC,MT	16110.53 	12696.24 	17211.9 	12183.79 b	15093.94 	13746.31 
THS_EUR,PROF,N_GE4,OUT,ACC,NL	661031.99 	320547.61 	248118.01 	252959.16 	287826.16 	200814.94 
THS_EUR,PROF,N_GE4,OUT,ACC,NO	257006.53 	254100.46 	155472.76 	127846.1 	70881.4 	: 
THS_EUR,PROF,N_GE4,OUT,ACC,PL	165565.15 	134527.73 	145613.01 	157696.32 b	512420.32 	335009.16 
THS_EUR,PROF,N_GE4,OUT,ACC,PT	47806.99 	51969.78 	57148.63 	41544.14 	20492.19 	29929.73 
THS_EUR,PROF,N_GE4,OUT,ACC,RO	: c	: u	: u	: u	: u	: u
THS_EUR,PROF,N_GE4,OUT,ACC,SE	: 	109326.62 u	88563.14 u	93303.6 u	: 	: 
THS_EUR,PROF,N_GE4,OUT,ACC,SI	54109.14 	65942.7 	64179.49 	57034.96 	41870.82 	49081.25 
THS_EUR,PROF,N_GE4,OUT,ACC,SK	: c	: u	: u	: u	: u	: u
THS_EUR,PROF,N_GE4,OUT,ACC,UK	: 	: 	: 	: 	2006581.82 	: u
THS_EUR,PROF,N_GE4,OUT,DUR,AT	8897.32 	6222.09 	40307.79 	35974.66 	11244.04 	17611.98 
THS_EUR,PROF,N_GE4,OUT,DUR,BE	4948.98 b	14690.04 	6101.62 	17646.85 	18306.23 	54744.69 
THS_EUR,PROF,N_GE4,OUT,DUR,BG	0 u	: u	0 u	: u	0 u	0 u
THS_EUR,PROF,N_GE4,OUT,DUR,CH	: 	1163.44 	27127.09 	3743.31 	: 	: 
THS_EUR,PROF,N_GE4,OUT,DUR,CY	605.98 	1755.56 	219.65 	1079.92 	6330.05 	1972.21 
THS_EUR,PROF,N_GE4,OUT,DUR,CZ	0 u	0 u	0 u	0 u	0 u	10161.78 
THS_EUR,PROF,N_GE4,OUT,DUR,DE	328380.58 	359187.64 	235428.9 	145453.98 	91021.71 	1315077.96 
THS_EUR,PROF,N_GE4,OUT,DUR,DK	: 	7062.16 	8108.62 	9931.71 b	9982.4 b	14376.04 
THS_EUR,PROF,N_GE4,OUT,DUR,EA	: 	: 	: 	328741.16 e	307022.08 e	1639064.8 e
THS_EUR,PROF,N_GE4,OUT,DUR,EE	1100.06 	2514.35 	4185.06 	6640.46 	1543.13 	1030.81 
THS_EUR,PROF,N_GE4,OUT,DUR,EL	: 	774.55 	0 	0 	1818.9 	3699.86 
THS_EUR,PROF,N_GE4,OUT,DUR,ES	68334.09 	3108.52 	7619.58 b	0 	403.68 	129414.08 
THS_EUR,PROF,N_GE4,OUT,DUR,EU27	: 	: 	504760.58 e	391322.17 e	543142.17 e	3226794.73 e
THS_EUR,PROF,N_GE4,OUT,DUR,EU28	: 	: 	506572.85 e	405610.35 e	552705.79 e	3231326.24 e
THS_EUR,PROF,N_GE4,OUT,DUR,FI	8521.84 	5955.83 	19831.36 	4043.84 	68083.31 	4959.28 
THS_EUR,PROF,N_GE4,OUT,DUR,FR	25686.49 	89118.76 	88711.24 	111322.55 	91427.52 	96916.87 
THS_EUR,PROF,N_GE4,OUT,DUR,HR	0 	1951.15 	2121.47 	12907.17 	9469.82 	4960.47 
THS_EUR,PROF,N_GE4,OUT,DUR,HU	2194.86 	1841.12 	231.91 	1551.88 	880.16 	1336.28 
THS_EUR,PROF,N_GE4,OUT,DUR,IE	6200.2 	6021.07 	22434.66 	4495.91 	4990.05 	4847.19 
THS_EUR,PROF,N_GE4,OUT,DUR,IT	0 u	0 u	0 u	0 b	0 u	0 
THS_EUR,PROF,N_GE4,OUT,DUR,LT	9016.09 	8695.54 	1485.15 	1180.88 	502.35 	560.16 
THS_EUR,PROF,N_GE4,OUT,DUR,LU	: 	0 	0 	1071.71 	11115.02 	5148.12 
THS_EUR,PROF,N_GE4,OUT,DUR,LV	: 	0 u	0 u	0 u	64.6 	2182.63 
THS_EUR,PROF,N_GE4,OUT,DUR,MT	3823.24 	1065.72 	1118.87 	147.62 b	0 	0 
THS_EUR,PROF,N_GE4,OUT,DUR,NL	9781.83 	0 	0 	0 	0 	0 
THS_EUR,PROF,N_GE4,OUT,DUR,NO	1213.4 	1007.79 	645.57 	866.42 	4919.59 	: 
THS_EUR,PROF,N_GE4,OUT,DUR,PL	468.78 	17.52 	1337.14 	313.35 b	32193.98 	31192.6 
THS_EUR,PROF,N_GE4,OUT,DUR,PT	144.01 	93.41 	131.93 	256.84 	275.39 	587.26 
THS_EUR,PROF,N_GE4,OUT,DUR,RO	: c	: u	: u	: u	: u	: u
THS_EUR,PROF,N_GE4,OUT,DUR,SE	: 	0 u	0 u	0 u	: 	: 
THS_EUR,PROF,N_GE4,OUT,DUR,SI	0 	0 	3421.32 	582.43 	425.37 	706.34 
THS_EUR,PROF,N_GE4,OUT,DUR,SK	: c	: u	: u	: u	: u	: u
THS_EUR,PROF,N_GE4,OUT,DUR,UK	: 	: 	: 	: 	182171.12 	: u
THS_EUR,PROF,N_GE4,OUT,OTH,AT	150870.5 	189840.25 	210669.87 	255499.13 	164703.57 	150661.6 
THS_EUR,PROF,N_GE4,OUT,OTH,BE	31863.67 b	26929.14 	140653.46 	98947.88 	149388.15 	287539.92 
THS_EUR,PROF,N_GE4,OUT,OTH,BG	3860.83 u	: u	1268.15 u	: u	912.19 u	1136.94 u
THS_EUR,PROF,N_GE4,OUT,OTH,CH	: 	83457.06 	55910.55 	16802.55 	23286.76 u	30363.57 u
THS_EUR,PROF,N_GE4,OUT,OTH,CY	25348.74 	16395.22 	17435.83 	16580.94 	12339.52 	20559.21 
THS_EUR,PROF,N_GE4,OUT,OTH,CZ	23068.11 u	10425.46 u	17391.89 u	21421.67 u	13661.94 u	31058.99 
THS_EUR,PROF,N_GE4,OUT,OTH,DE	1129939.05 	1114904.87 	1056912.64 	909785.41 	1095450.45 	1094838.64 
THS_EUR,PROF,N_GE4,OUT,OTH,DK	: 	81215.12 	93522.4 	114237.72 b	114800.81 b	165330.99 
THS_EUR,PROF,N_GE4,OUT,OTH,EA	: 	: 	: 	2265803.69 e	2462328.48 e	2769415.42 e
THS_EUR,PROF,N_GE4,OUT,OTH,EE	18757.14 	14721.65 	19116.56 	12367.3 	7714.24 	2699.02 
THS_EUR,PROF,N_GE4,OUT,OTH,EL	: 	5636.48 	4988.83 	8807.35 	9873.79 	1575.87 
THS_EUR,PROF,N_GE4,OUT,OTH,ES	99634.83 	91407.49 	60380.82 b	253352.84 	322514.3 	317747.98 
THS_EUR,PROF,N_GE4,OUT,OTH,EU27	: 	: 	2890208.65 e	2867388.78 e	3005147.3 e	3600097.2 e
THS_EUR,PROF,N_GE4,OUT,OTH,EU28	: 	: 	2909785.38 e	2896395.81 e	3036962.34 e	3644939.5 e
THS_EUR,PROF,N_GE4,OUT,OTH,FI	94957.83 	104921.91 	108805.51 	115478.98 	97662.87 	138388.92 
THS_EUR,PROF,N_GE4,OUT,OTH,FR	309876.48 	209695.88 	193611.9 	244541.47 	240036.17 	217724.07 
THS_EUR,PROF,N_GE4,OUT,OTH,HR	18081.81 	13672.73 	20189.83 	28409.49 	31695.24 	44571.45 
THS_EUR,PROF,N_GE4,OUT,OTH,HU	33972.72 	33587.64 	24149.85 	23195.22 	19770.82 	21621.66 
THS_EUR,PROF,N_GE4,OUT,OTH,IE	145120.5 	203856.66 	147995.48 	115440.13 	113972.12 	114514.05 
THS_EUR,PROF,N_GE4,OUT,OTH,IT	250252.57 u	196465 u	203932.12 u	146277.08 b	128967.17 u	314415.91 
THS_EUR,PROF,N_GE4,OUT,OTH,LT	25339.73 	20660.45 	19046.16 	25407.35 	29782.02 	20372.71 
THS_EUR,PROF,N_GE4,OUT,OTH,LU	: 	3316.12 	5099.63 	7798.23 	0 	0 
THS_EUR,PROF,N_GE4,OUT,OTH,LV	: 	8123.74 u	9737.84 u	5695.97 u	18036.54 	14111.78 
THS_EUR,PROF,N_GE4,OUT,OTH,MT	16321.37 	10347.85 	14174.77 	12245.03 b	22053.5 	20505.16 
THS_EUR,PROF,N_GE4,OUT,OTH,NL	76627.75 	69552.16 	34375.92 	37260.64 	43734.11 	45043.91 
THS_EUR,PROF,N_GE4,OUT,OTH,NO	53545.41 	56371.03 	61159.25 	88845.17 	135292.03 	: 
THS_EUR,PROF,N_GE4,OUT,OTH,PL	73390.51 	59649.79 	60319.03 	34522.16 b	54927.47 	140586.28 
THS_EUR,PROF,N_GE4,OUT,OTH,PT	10854.67 	11565.1 	23243.74 	16415.96 	5126.31 	5441.95 
THS_EUR,PROF,N_GE4,OUT,OTH,RO	: c	: u	: u	: u	: u	: u
THS_EUR,PROF,N_GE4,OUT,OTH,SE	: 	28503.58 u	21459.69 u	13253.78 u	: 	: 
THS_EUR,PROF,N_GE4,OUT,OTH,SI	15173.11 	13994.62 	13416.92 	14178.45 	18000.07 	15606.85 
THS_EUR,PROF,N_GE4,OUT,OTH,SK	: c	: u	: u	: u	: u	: u
THS_EUR,PROF,N_GE4,OUT,OTH,UK	: 	: 	: 	: 	233533.15 	: u
THS_EUR,PROF,N_GE4,OUT,REST,BE	59698.28 b	121987.02 	0 	0 	0 	: 
THS_EUR,PROF,N_GE4,OUT,REST,BG	6304.83 u	: u	4741.24 u	: u	3959.64 u	3464.96 u
THS_EUR,PROF,N_GE4,OUT,REST,CH	: 	125958.66 	106696.59 	68642.21 	110534.2 u	156052.41 u
THS_EUR,PROF,N_GE4,OUT,REST,CY	39961.68 	30365.9 	36071.82 	41335.44 	37399.34 	: 
THS_EUR,PROF,N_GE4,OUT,REST,CZ	21949.82 u	12289.81 u	23136.74 u	13961.73 u	23505.23 u	29796.57 
THS_EUR,PROF,N_GE4,OUT,REST,DK	: 	: 	: 	: b	: b	: 
THS_EUR,PROF,N_GE4,OUT,REST,EA	: 	: 	: 	723045.76 e	697595.79 e	577606.63 e
THS_EUR,PROF,N_GE4,OUT,REST,EE	32140.78 	31158.42 	27198.15 	23134.65 	11645.05 	4492.24 
THS_EUR,PROF,N_GE4,OUT,REST,EL	: 	15716.69 	11717.35 	9847.21 	21772.01 	7295.25 
THS_EUR,PROF,N_GE4,OUT,REST,ES	171323.95 	198202.99 	132375.5 b	93955.67 	53957.06 	48414.87 
THS_EUR,PROF,N_GE4,OUT,REST,EU27	: 	: 	1066931.75 e	1001592.94 e	951960.41 e	901669.75 e
THS_EUR,PROF,N_GE4,OUT,REST,EU28	: 	: 	1111273.22 e	1042939.52 e	1014523.58 e	926561.55 e
THS_EUR,PROF,N_GE4,OUT,REST,FI	116904.76 	144740.64 	143489.47 	105066.46 	108515.5 	144010.47 
THS_EUR,PROF,N_GE4,OUT,REST,FR	204109.91 	226263.07 	169422.02 	259672.73 	272870.95 	226779.34 
THS_EUR,PROF,N_GE4,OUT,REST,HR	55083.08 	20966 	39898.72 	37211.05 	61532.23 	24566.64 
THS_EUR,PROF,N_GE4,OUT,REST,HU	41837.25 	48712.49 	47973.69 	35327.75 	27838.07 	40318.88 
THS_EUR,PROF,N_GE4,OUT,REST,IT	: 	: 	: 	: b	: 	: 
THS_EUR,PROF,N_GE4,OUT,REST,LT	22833.08 	19827.42 	18998.36 	13215.98 	12823.79 	20616.93 
THS_EUR,PROF,N_GE4,OUT,REST,LU	: 	21644.77 	23707.62 	31108.29 	24384.91 	31269.21 
THS_EUR,PROF,N_GE4,OUT,REST,LV	: 	5439.09 u	5553.64 u	1925.99 u	6797.24 	5433.78 
THS_EUR,PROF,N_GE4,OUT,REST,MT	: 	: 	: 	: b	: 	: 
THS_EUR,PROF,N_GE4,OUT,REST,NL	201684.29 	110988.78 	89610.07 	112559.57 	101453.09 	80498.83 
THS_EUR,PROF,N_GE4,OUT,REST,NO	159898.63 	186804.29 	150008.97 	122931.93 	108149.35 	: 
THS_EUR,PROF,N_GE4,OUT,REST,PL	106130.63 	94300.92 	94388.09 	84856.19 b	161065.09 	207245.81 
THS_EUR,PROF,N_GE4,OUT,REST,PT	38876.09 	32804.58 	43539.81 	22313.57 	10615.04 	14910.7 
THS_EUR,PROF,N_GE4,OUT,REST,RO	: c	: u	: u	: u	: u	: u
THS_EUR,PROF,N_GE4,OUT,REST,SI	14203.3 	23722.66 	19292.93 	15973.05 	16597.39 	19864.67 
THS_EUR,PROF,N_GE4,OUT,REST,SK	: c	: u	: u	: u	: u	: 
THS_EUR,PROF,N_GE4,OUT,REST,UK	: 	: 	: 	: 	0 	: u
THS_EUR,PROF,N_GE4,OUT,TOTAL,AT	915468.51 	1102096.82 	1076485.24 	1216586.86 	1093585.68 	948636.55 
THS_EUR,PROF,N_GE4,OUT,TOTAL,BE	661289.53 b	751197.21 	527447.01 	490856.65 	800226.03 	902455.12 
THS_EUR,PROF,N_GE4,OUT,TOTAL,BG	27175.86 u	: u	19028.55 u	: u	19650.35 u	21217.96 u
THS_EUR,PROF,N_GE4,OUT,TOTAL,CH	: 	879656.87 	1140629.16 	476195.91 	844177.09 u	1157898.63 u
THS_EUR,PROF,N_GE4,OUT,TOTAL,CY	208323.69 	157150.87 	158353.66 	180392.9 	146776.04 	137003.3 
THS_EUR,PROF,N_GE4,OUT,TOTAL,CZ	171703.78 u	74009.76 u	154132.28 u	116835.39 u	110785.62 u	175906.08 
THS_EUR,PROF,N_GE4,OUT,TOTAL,DE	10667172.71 	9944137.06 	7767909.29 	8201950.33 	11007913.8 	11606931.64 
THS_EUR,PROF,N_GE4,OUT,TOTAL,DK	: 	406051.13 	629063.07 	824862.22 b	580826.14 b	805711.54 
THS_EUR,PROF,N_GE4,OUT,TOTAL,EA	: 	: 	: 	16052551.1 e	19308894.39 e	20345556.74 e
THS_EUR,PROF,N_GE4,OUT,TOTAL,EE	157465.81 	159286.41 	161145.3 	164249.8 	70884.86 	48965.4 
THS_EUR,PROF,N_GE4,OUT,TOTAL,EL	: 	66662.06 	45515.41 	46848.5 	81994.62 	28373.05 
THS_EUR,PROF,N_GE4,OUT,TOTAL,ES	1316542.7 	1405737.67 	768245.91 b	537154.92 	609860.56 	515904.61 
THS_EUR,PROF,N_GE4,OUT,TOTAL,EU27	: 	: 	20300364.73 e	20706721.7 e	25368075.58 e	25966234.14 e
THS_EUR,PROF,N_GE4,OUT,TOTAL,EU28	: 	: 	20658541.28 e	20984183.64 e	25649671.97 e	26158595.45 e
THS_EUR,PROF,N_GE4,OUT,TOTAL,FI	1038235.45 	1099674.99 	1087949.8 	881993.8 	958222.48 	1244101 
THS_EUR,PROF,N_GE4,OUT,TOTAL,FR	1891133.45 	1596336.31 	1614632.69 	1814328.75 	2086283.62 	1790636.03 
THS_EUR,PROF,N_GE4,OUT,TOTAL,HR	246227 	104204.6 	334721.89 	264593.77 	280338.6 	192876.65 
THS_EUR,PROF,N_GE4,OUT,TOTAL,HU	161109.55 	178537.84 	165395.71 	123603.8 	100080.91 	102683.24 
THS_EUR,PROF,N_GE4,OUT,TOTAL,IE	578566.58 	723857 	486286.77 	461191.86 	467514.8 	357631.2 
THS_EUR,PROF,N_GE4,OUT,TOTAL,IT	1077258.58 u	686000.67 u	848699.81 u	917780.47 b	579292.69 u	1749375.57 
THS_EUR,PROF,N_GE4,OUT,TOTAL,LT	153552.48 	143591.83 	130578.23 	121193.8 	120219.86 	110092.93 
THS_EUR,PROF,N_GE4,OUT,TOTAL,LU	: 	106653.66 	120467.71 	151319.75 	155534.76 	134211.2 
THS_EUR,PROF,N_GE4,OUT,TOTAL,LV	: 	58084.12 u	53462.22 u	28134.66 u	70850.35 	62185.57 
THS_EUR,PROF,N_GE4,OUT,TOTAL,MT	44805.83 	31242.73 	47771.53 	37333.84 b	48116.72 	44665.34 
THS_EUR,PROF,N_GE4,OUT,TOTAL,NL	1487354.89 	825164.71 	663822.4 	654426.3 	777927.67 	563108.29 
THS_EUR,PROF,N_GE4,OUT,TOTAL,NO	737366.84 	837325.9 	621500.99 	540397.05 	405033.4 	: 
THS_EUR,PROF,N_GE4,OUT,TOTAL,PL	530288.67 	428581.13 	450569.3 	455991.95 b	946202.57 	1253836.43 
THS_EUR,PROF,N_GE4,OUT,TOTAL,PT	124572.15 	136631.88 	155374.02 	125877.54 	82972.33 	77880.15 
THS_EUR,PROF,N_GE4,OUT,TOTAL,RO	: c	: u	: u	: u	: u	: u
THS_EUR,PROF,N_GE4,OUT,TOTAL,SE	: 	197863.37 u	228107.71 u	348203.87 u	: 	: 
THS_EUR,PROF,N_GE4,OUT,TOTAL,SI	128498.66 	158018.39 	139631.56 	130952.68 	116825.27 	126032.84 
THS_EUR,PROF,N_GE4,OUT,TOTAL,SK	: c	: u	: u	: u	: u	: u
THS_EUR,PROF,N_GE4,OUT,TOTAL,UK	: 	: 	: 	: 	3626414.44 	: u
THS_EUR,PROF,N_GE4,OUT,TRA,AT	379351.16 	403198.33 	461049.17 	561940.49 	512670.93 	460989.78 
THS_EUR,PROF,N_GE4,OUT,TRA,BE	254137.76 b	349088.99 	168733.92 	219810.94 	355792.86 	295081.5 
THS_EUR,PROF,N_GE4,OUT,TRA,BG	6479.52 u	: u	5896.61 u	: u	5823.49 u	7302.61 u
THS_EUR,PROF,N_GE4,OUT,TRA,CH	: 	404105.19 	641029.05 	207972.95 	433135.65 u	678813.42 u
THS_EUR,PROF,N_GE4,OUT,TRA,CY	70980.06 	59023.08 	51950.22 	60877.09 	49731.84 	54475.52 
THS_EUR,PROF,N_GE4,OUT,TRA,CZ	58435.46 u	25600.86 u	50216.87 u	38404.94 u	28128.17 u	47967.79 
THS_EUR,PROF,N_GE4,OUT,TRA,DE	6251639.69 	5455208.04 	4239335.95 	4486724.63 	5987821.32 	6546976.18 
THS_EUR,PROF,N_GE4,OUT,TRA,DK	: 	164896.26 	221237.54 	366884.12 b	249208.21 b	306409.99 
THS_EUR,PROF,N_GE4,OUT,TRA,EA	: 	: 	: 	7635733.06 e	9435592.51 e	10055186.78 e
THS_EUR,PROF,N_GE4,OUT,TRA,EE	47823.57 	52942.65 	66548.55 	56729.76 	24373.91 	12389.02 
THS_EUR,PROF,N_GE4,OUT,TRA,EL	: 	22101.69 	14939.14 	16184.45 	24773.02 	10985.19 
THS_EUR,PROF,N_GE4,OUT,TRA,ES	613803.52 	618624.15 	332049 b	54229.38 	69310.92 	54676.08 
