unit,purpose,duration,partner,tra_mode,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N_GE4,DOM,CAR,DK	: 	212873.87 	215868.1 	294264.78 b	163136.48 b	151201.64 
THS_EUR,PERS,N_GE4,DOM,CAR,EA	: 	: 	: 	10477379.77 e	10554323.51 e	10972582 e
THS_EUR,PERS,N_GE4,DOM,CAR,EE	5591.32 	6219.58 	5601.53 	3291.95 	4033.13 	6730.34 
THS_EUR,PERS,N_GE4,DOM,CAR,EL	: 	102363.79 	97772.71 	111827.69 	113171.38 	116610.41 
THS_EUR,PERS,N_GE4,DOM,CAR,ES	1310717.81 	1255668.31 	1349407.26 b	861847.5 	898879.49 	868144.15 
THS_EUR,PERS,N_GE4,DOM,CAR,EU27	: 	: 	12933397.21 e	13265314.06 e	13159925.19 e	13820349.05 e
THS_EUR,PERS,N_GE4,DOM,CAR,EU28	: 	: 	13002427.94 e	13315565.88 e	13246146.11 e	13938715.9 e
THS_EUR,PERS,N_GE4,DOM,CAR,FI	263957.68 	278662.29 	298827.18 	292670.11 	305029.34 	317435.4 
THS_EUR,PERS,N_GE4,DOM,CAR,FR	4359846.35 	4082053.55 	4137238.78 	4637163.58 	4709410.98 	4656153.5 
THS_EUR,PERS,N_GE4,DOM,CAR,HR	57667.61 	53634.71 	74110.82 	58047.58 	86700.95 	118340.06 
THS_EUR,PERS,N_GE4,DOM,CAR,HU	39533.82 	41370.05 	43090.74 	48416.22 	49342.5 	49867.13 
THS_EUR,PERS,N_GE4,DOM,CAR,IE	41427 	46149.85 	46388.94 	45732.09 	49268.08 	48302.49 
THS_EUR,PERS,N_GE4,DOM,CAR,IT	1049175.26 	906602.38 	811353.44 	761790.57 b	905404.85 	1045317.82 
THS_EUR,PERS,N_GE4,DOM,CAR,LT	6319.23 	6467.7 	6135.36 	5153.5 	6506.92 	4390.39 
THS_EUR,PERS,N_GE4,DOM,CAR,LU	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,CAR,LV	: 	2850.32 	4810.6 	4571.91 	2693.24 	4978.87 
THS_EUR,PERS,N_GE4,DOM,CAR,NL	197465.5 	188762.56 	196750.64 	189568.32 	184238.43 	196607.25 
THS_EUR,PERS,N_GE4,DOM,CAR,NO	402135.03 	405526.07 	381974.75 	316707.59 	311680.28 	: 
THS_EUR,PERS,N_GE4,DOM,CAR,PL	448587.78 	380158.39 	346318.26 	333107.45 b	654106.08 	865626.02 
THS_EUR,PERS,N_GE4,DOM,CAR,PT	127265.75 	111367.89 	107442.7 	100185.89 	115724 	105273.64 
THS_EUR,PERS,N_GE4,DOM,CAR,RO	194287.06 	183094.42 	164270.51 	159019.08 	164422.83 	85464.33 
THS_EUR,PERS,N_GE4,DOM,CAR,SE	: 	131258.39 	143481.46 	137946.29 	: 	: 
THS_EUR,PERS,N_GE4,DOM,CAR,SI	5612.98 	6193.12 	6459.38 	6606.23 	6734.42 	7003.11 
THS_EUR,PERS,N_GE4,DOM,CAR,SK	28466.47 	27528.16 	20179.57 	32668.75 	21065.25 b	64581.05 
THS_EUR,PERS,N_GE4,DOM,CAR,UK	: 	: 	: 	: 	1177577.61 	: u
THS_EUR,PERS,N_GE4,DOM,LAND,AT	275606.82 	284154.65 	243257.11 	259746.44 	291501.94 	246888.07 
THS_EUR,PERS,N_GE4,DOM,LAND,BE	21718.03 b	44172.94 	21501.14 	24851.83 	30771.57 	34454.72 
THS_EUR,PERS,N_GE4,DOM,LAND,BG	54936.01 	36365.23 	32751.49 	46988.93 	50047.78 	39593.73 
THS_EUR,PERS,N_GE4,DOM,LAND,CH	: 	108676.26 	115768.86 	124084.62 	160496.77 	132660.27 
THS_EUR,PERS,N_GE4,DOM,LAND,CY	4921.45 	5013.93 	6835.47 	12085.7 	10706.09 	8081.84 
THS_EUR,PERS,N_GE4,DOM,LAND,CZ	130862.81 	129387.67 	117009.93 	123820.93 	114079.4 	133444.95 
THS_EUR,PERS,N_GE4,DOM,LAND,DE	4054855.96 	3916090.6 	4122097.78 	4232428.85 	4221651.39 	4670640.49 
THS_EUR,PERS,N_GE4,DOM,LAND,DK	: 	247755.67 	249620.2 	346266.05 b	182935.42 b	181963.88 
THS_EUR,PERS,N_GE4,DOM,LAND,EA	: 	: 	: 	13721398.36 e	13859256.97 e	14534480.39 e
THS_EUR,PERS,N_GE4,DOM,LAND,EE	7037.15 	7424.43 	6640.52 	4825.12 	5053.19 	9595.42 
THS_EUR,PERS,N_GE4,DOM,LAND,EL	: 	118303.56 	114311.87 	133848.23 	130733.26 	134967.54 
THS_EUR,PERS,N_GE4,DOM,LAND,ES	1711814.57 	1627751.52 	1721685.45 b	1163465.47 	1214922.46 	1141281.86 
THS_EUR,PERS,N_GE4,DOM,LAND,EU27	: 	: 	17017961.49 e	17324564.1 e	17129805.8 e	18140488.58 e
THS_EUR,PERS,N_GE4,DOM,LAND,EU28	: 	: 	17099314.54 e	17389800.82 e	17232278.61 e	18284547.58 e
THS_EUR,PERS,N_GE4,DOM,LAND,FI	335633.53 	352573.41 	370938.86 	363830.94 	391438.37 	409732.21 
THS_EUR,PERS,N_GE4,DOM,LAND,FR	5569325.99 	5189821.47 	5355791.48 	6040866.71 	6017402.32 	6007785.53 
THS_EUR,PERS,N_GE4,DOM,LAND,HR	64899.26 	60729.02 	89229.94 	75467.38 	103282.27 	144236.84 
THS_EUR,PERS,N_GE4,DOM,LAND,HU	45379.43 	47277.37 	50303.55 	56165.9 	57916.24 	59530.05 
THS_EUR,PERS,N_GE4,DOM,LAND,IE	47413.14 	52694.32 	53638.51 	54745.24 	58241.61 	56400.31 
THS_EUR,PERS,N_GE4,DOM,LAND,IT	1346176.73 	1174831.8 	1107790.53 	1048412.47 b	1122603.74 	1389003.09 
THS_EUR,PERS,N_GE4,DOM,LAND,LT	8478.94 	7389.97 	6898.11 	5906.41 	7279.86 	4901.63 
THS_EUR,PERS,N_GE4,DOM,LAND,LU	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,LAND,LV	: 	4043.92 	6185.81 	6610.51 	4744.85 	7137.32 
THS_EUR,PERS,N_GE4,DOM,LAND,NL	220873.13 	209552.36 	213848.81 	210340.17 	205488.8 	219799.15 
THS_EUR,PERS,N_GE4,DOM,LAND,NO	458901.44 	459329.62 	425040.45 	365966.91 	357590.9 	: 
THS_EUR,PERS,N_GE4,DOM,LAND,PL	567747.13 	498362.71 	459593.27 	433890.69 b	811743.83 	1098991.53 
THS_EUR,PERS,N_GE4,DOM,LAND,PT	139515.32 	119892.5 	116331.37 	107600.25 	123646.72 	114418.51 
THS_EUR,PERS,N_GE4,DOM,LAND,RO	262510.36 	247628.64 	226996.68 	228736.92 	238928.5 	159663.99 
THS_EUR,PERS,N_GE4,DOM,LAND,SE	: 	206502.34 	217972.99 	189424.45 	: 	: 
THS_EUR,PERS,N_GE4,DOM,LAND,SI	6113.31 	6857.4 	7006.56 	7482.26 	7447.16 	7391.54 
THS_EUR,PERS,N_GE4,DOM,LAND,SK	34180.4 	32087.83 	28256.5 	43011.42 	25512.96 b	82039.7 
THS_EUR,PERS,N_GE4,DOM,LAND,UK	: 	: 	: 	: 	1477737.08 	: u
THS_EUR,PERS,N_GE4,DOM,OTH,AT	: c	2495.05 u	: u	: u	6016.13 u	2346.77 u
THS_EUR,PERS,N_GE4,DOM,OTH,BE	: u	151.67 	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,OTH,BG	: c	: 	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,DOM,OTH,CH	: 	: 	: u	: 	: u	: u
THS_EUR,PERS,N_GE4,DOM,OTH,CY	: c	: 	: u	: 	: 	: 
THS_EUR,PERS,N_GE4,DOM,OTH,CZ	: c	: u	: u	: u	: u	313.01 u
THS_EUR,PERS,N_GE4,DOM,OTH,DE	67090.82 u	128904.01 	87452.67 	116835.31 u	116473.71 u	94744.05 
THS_EUR,PERS,N_GE4,DOM,OTH,DK	: 	: u	5696.45 u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,OTH,EA	: 	: 	: 	236924.26 e	186670.82 e	191051.4 e
THS_EUR,PERS,N_GE4,DOM,OTH,EE	: c	: 	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,OTH,EL	: 	: u	: u	: u	: u	1231.85 u
THS_EUR,PERS,N_GE4,DOM,OTH,ES	5569.24 	7443.57 	8813.13 b	5114.21 	6371.91 	5946.18 
THS_EUR,PERS,N_GE4,DOM,OTH,EU27	: 	: 	199786.72 e	282035.2 e	199968.67 e	220532.19 e
THS_EUR,PERS,N_GE4,DOM,OTH,EU28	: 	: 	200070.71 e	281741.58 e	199962.09 e	220596.59 e
THS_EUR,PERS,N_GE4,DOM,OTH,FI	: 	: 	: 	: 	: u	: u
THS_EUR,PERS,N_GE4,DOM,OTH,FR	17898.01 	19453.13 	12485.31 u	12052.15 u	12313.23 	19832.48 
THS_EUR,PERS,N_GE4,DOM,OTH,HR	: u	: u	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,OTH,HU	: c	: u	: u	: u	25 u	33.74 u
THS_EUR,PERS,N_GE4,DOM,OTH,IE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,OTH,IT	: u	28355.62 u	47151.11 u	74615.61 bu	40320.65 u	57116.93 
THS_EUR,PERS,N_GE4,DOM,OTH,LT	1458.02 	: u	: u	38.01 u	9.26 u	: u
THS_EUR,PERS,N_GE4,DOM,OTH,LU	: 	: u	: u	: 	: u	: u
THS_EUR,PERS,N_GE4,DOM,OTH,LV	: 	: 	: u	: u	: u	: 
THS_EUR,PERS,N_GE4,DOM,OTH,NL	996.73 	4963.39 	4018.94 	5337.23 	3394.23 	6830.1 
THS_EUR,PERS,N_GE4,DOM,OTH,NO	: u	: u	: u	: u	: u	: 
THS_EUR,PERS,N_GE4,DOM,OTH,PL	1196.9 u	662.47 u	1280.4 u	692.31 b	: u	14810.42 u
THS_EUR,PERS,N_GE4,DOM,OTH,PT	1544.41 	783.87 u	923.47 u	440.19 u	364.11 u	1008.75 u
THS_EUR,PERS,N_GE4,DOM,OTH,RO	: c	: u	321.41 u	282.12 u	541.39 u	6533.64 
THS_EUR,PERS,N_GE4,DOM,OTH,SE	: 	4007.61 u	: u	: u	: 	: 
THS_EUR,PERS,N_GE4,DOM,OTH,SI	: 	: u	: 	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,OTH,SK	: 	: 	: u	: 	: 	: u
THS_EUR,PERS,N_GE4,DOM,OTH,UK	: 	: 	: 	: 	: u	: u
THS_EUR,PERS,N_GE4,DOM,RAIL,AT	31373.12 	32495.79 	32891.74 	28842.86 	31890.04 	51530.97 
THS_EUR,PERS,N_GE4,DOM,RAIL,BE	1450.45 bu	3318.35 	1286.37 u	1552.85 u	1557.29 u	3774.87 u
THS_EUR,PERS,N_GE4,DOM,RAIL,BG	906.51 u	1309.55 	: u	1147.33 u	1878.84 	993.58 u
THS_EUR,PERS,N_GE4,DOM,RAIL,CH	: 	33315.71 	26948.37 	22344.68 	43876 	31660.32 
THS_EUR,PERS,N_GE4,DOM,RAIL,CZ	7131.43 	9372.54 	6194.6 	8191.81 	8193.47 	13409.02 
THS_EUR,PERS,N_GE4,DOM,RAIL,DE	790532.56 	803567.19 	852555.76 	751422.75 	889181.04 	916376.57 
THS_EUR,PERS,N_GE4,DOM,RAIL,DK	: 	17975.78 	18636.81 	28763 b	13572.52 b	26010.31 
THS_EUR,PERS,N_GE4,DOM,RAIL,EA	: 	: 	: 	2477471.73 e	2528588.13 e	2621297.81 e
THS_EUR,PERS,N_GE4,DOM,RAIL,EE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,RAIL,EL	: 	1465.34 	1659.84 	1849.33 	1572.45 	1723.24 
THS_EUR,PERS,N_GE4,DOM,RAIL,ES	227654.54 	199120.32 	200840.18 b	152260.72 	159495.59 	131328.02 
THS_EUR,PERS,N_GE4,DOM,RAIL,EU27	: 	: 	3060460.78 e	3033806.6 e	2974437.51 e	3119290.73 e
THS_EUR,PERS,N_GE4,DOM,RAIL,EU28	: 	: 	3058741.93 e	3033743.57 e	2975581.18 e	3122143.91 e
THS_EUR,PERS,N_GE4,DOM,RAIL,FI	50521.61 	56412.53 	52586.3 	51359.87 	68995.49 	72973.76 
THS_EUR,PERS,N_GE4,DOM,RAIL,FR	1075138.77 	1004842.48 	1129806.9 	1313931.26 	1234175.93 	1250456 
THS_EUR,PERS,N_GE4,DOM,RAIL,HR	: u	512.9 u	1754.46 u	3173.6 u	1599.23 u	3296.62 u
THS_EUR,PERS,N_GE4,DOM,RAIL,HU	3310.42 	3323.98 	4087.66 	4306.32 	5545.63 	5728.31 
THS_EUR,PERS,N_GE4,DOM,RAIL,IE	2116.54 	2584.26 	3081.03 	3405.27 	5085.34 	3292.87 
THS_EUR,PERS,N_GE4,DOM,RAIL,IT	185591.91 	191393.19 	195866.12 	152025.57 b	116001.26 	164469.62 
THS_EUR,PERS,N_GE4,DOM,RAIL,LT	: c	98.89 u	118.06 u	94.54 u	107.84 u	64.07 u
THS_EUR,PERS,N_GE4,DOM,RAIL,LU	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,RAIL,LV	: 	: c	: u	: u	: u	425.7 u
THS_EUR,PERS,N_GE4,DOM,RAIL,NL	18573.55 	11185.32 	9531.83 	12333.16 	14474.62 	13382.17 
THS_EUR,PERS,N_GE4,DOM,RAIL,NO	23717.94 	27437.19 u	20219.15 u	17271.89 u	23127.35 	: 
THS_EUR,PERS,N_GE4,DOM,RAIL,PL	64306.08 	53180.43 	52792.93 	49055.36 b	80930.23 	110554.43 
THS_EUR,PERS,N_GE4,DOM,RAIL,PT	4804.68 	3899.9 	3514.52 	2618.37 	3382.44 	2866.09 
THS_EUR,PERS,N_GE4,DOM,RAIL,RO	38604.2 	37250.48 	39143.61 	44414.08 	42638.56 	46207.94 
THS_EUR,PERS,N_GE4,DOM,RAIL,SE	: 	58876.95 	60925.23 	41704.21 	: 	: 
THS_EUR,PERS,N_GE4,DOM,RAIL,SI	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,RAIL,SK	2263.98 	1771.7 u	5437.92 u	7226.47 u	2254.74 bu	8230.99 
THS_EUR,PERS,N_GE4,DOM,RAIL,UK	: 	: 	: 	: 	236173.73 	: u
THS_EUR,PERS,N_GE4,DOM,TOTAL,AT	276152.25 	287436.67 	243528.42 	260686.81 	292533.27 	248363.18 
THS_EUR,PERS,N_GE4,DOM,TOTAL,BE	22193.91 b	44172.94 	21501.14 	24851.83 	31004.46 	34454.72 
THS_EUR,PERS,N_GE4,DOM,TOTAL,BG	54936.01 	37313.45 	32881.03 	46988.93 	50603.48 	39942.77 
THS_EUR,PERS,N_GE4,DOM,TOTAL,CH	: 	109188.06 	115768.86 	124084.62 	160496.77 	132660.27 
THS_EUR,PERS,N_GE4,DOM,TOTAL,CY	4921.45 	5013.93 	6835.47 	12085.7 	10706.09 	8081.84 
THS_EUR,PERS,N_GE4,DOM,TOTAL,CZ	131036.67 	129481.62 	117009.93 	123820.93 	114079.4 	133444.95 
THS_EUR,PERS,N_GE4,DOM,TOTAL,DE	4300390.18 	4202429.32 	4435396.86 	4819838.56 	4438491.95 	5130947.89 
THS_EUR,PERS,N_GE4,DOM,TOTAL,DK	: 	275001.24 	272577.64 	368537.54 b	197336.74 b	185400.79 
THS_EUR,PERS,N_GE4,DOM,TOTAL,EA	: 	: 	: 	16413676.4 e	16281817.08 e	17285432.91 e
THS_EUR,PERS,N_GE4,DOM,TOTAL,EE	7094.86 	7568.91 	6822.64 	4951.91 	5133.66 	9595.42 
THS_EUR,PERS,N_GE4,DOM,TOTAL,EL	: 	223481.77 	219335.9 	244740.75 	222522.69 	231670.56 
THS_EUR,PERS,N_GE4,DOM,TOTAL,ES	2436898.95 	2362517.72 	2368729.45 b	1654080.16 	1649951.28 	1554834.74 
THS_EUR,PERS,N_GE4,DOM,TOTAL,EU27	: 	: 	19937663.18 e	20484391.02 e	19751976.89 e	21085458.35 e
THS_EUR,PERS,N_GE4,DOM,TOTAL,EU28	: 	: 	20020073.67 e	20548620.23 e	19859708.12 e	21235724.52 e
THS_EUR,PERS,N_GE4,DOM,TOTAL,FI	374094.98 	392652.95 	405949.85 	397029.1 	437002.7 	457159.88 
THS_EUR,PERS,N_GE4,DOM,TOTAL,FR	6491313.09 	6234939.19 	6372041.97 	7211740.59 	7082247.86 	7078933.75 
THS_EUR,PERS,N_GE4,DOM,TOTAL,HR	67299.6 	64007.08 	93261.63 	77949.44 	108861.88 	150796.48 
THS_EUR,PERS,N_GE4,DOM,TOTAL,HU	45381 	47277.37 	50303.55 	56176.86 	57925.45 	59558.79 
THS_EUR,PERS,N_GE4,DOM,TOTAL,IE	48002.79 	53915.87 	53907.81 	56296.74 	59625.82 	60890.37 
THS_EUR,PERS,N_GE4,DOM,TOTAL,IT	1896454.78 	1619508.51 	1395099.48 	1319237.8 b	1661454.96 	2012001.83 
THS_EUR,PERS,N_GE4,DOM,TOTAL,LT	8478.94 	7389.97 	6898.11 	5906.41 	7279.86 	4901.63 
THS_EUR,PERS,N_GE4,DOM,TOTAL,LU	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,TOTAL,LV	: 	4043.92 	6185.81 	6610.51 	4744.85 	7161.74 
THS_EUR,PERS,N_GE4,DOM,TOTAL,MT	466.81 	368.27 	299.36 	350.27 b	189.87 u	297.81 u
THS_EUR,PERS,N_GE4,DOM,TOTAL,NL	229327.6 	213381.95 	223617.12 	213088.46 	211205.21 	231304.27 
THS_EUR,PERS,N_GE4,DOM,TOTAL,NO	694297.23 	670182.91 	598694.55 	594733.36 	601804.06 	: 
THS_EUR,PERS,N_GE4,DOM,TOTAL,PL	568822.13 	499674.81 	461155.64 	435720.89 b	814369.07 	1102789.88 
THS_EUR,PERS,N_GE4,DOM,TOTAL,PT	177318.27 	145823.13 	142912.1 	130059.94 	143597.98 	135032.41 
THS_EUR,PERS,N_GE4,DOM,TOTAL,RO	266351.12 	253008.45 	231313.53 	233157.37 	241662.17 	160311.73 
THS_EUR,PERS,N_GE4,DOM,TOTAL,SE	: 	250973.9 	297031.8 	243006.5 	: 	: 
THS_EUR,PERS,N_GE4,DOM,TOTAL,SI	6113.31 	6857.4 	7006.56 	7482.26 	7447.16 	7391.54 
THS_EUR,PERS,N_GE4,DOM,TOTAL,SK	34180.4 	32219.85 	28256.5 	43011.42 	26269.47 b	82039.7 
THS_EUR,PERS,N_GE4,DOM,TOTAL,UK	: 	: 	: 	: 	1607289.19 	: u
THS_EUR,PERS,N_GE4,DOM,WW,BE	: u	: 	: 	: 	: u	: 
THS_EUR,PERS,N_GE4,DOM,WW,CH	: 	: 	: 	: u	: 	: 
THS_EUR,PERS,N_GE4,DOM,WW,CZ	: c	: u	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,DOM,WW,DE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,WW,DK	: 	16629.63 u	8260.43 u	8617.58 bu	5709.83 bu	: u
THS_EUR,PERS,N_GE4,DOM,WW,EA	: 	: 	: 	604437.52 e	479609.26 e	470746.21 e
THS_EUR,PERS,N_GE4,DOM,WW,EE	: c	: 	: u	: u	: u	: 
THS_EUR,PERS,N_GE4,DOM,WW,EL	: 	77771.56 	80155.13 	79183.22 	73180.26 	73176.91 
THS_EUR,PERS,N_GE4,DOM,WW,ES	60839.46 	52073.78 	55402.32 b	35969.61 	45903.26 	32995.37 
THS_EUR,PERS,N_GE4,DOM,WW,EU27	: 	: 	407144.18 e	715887.19 e	516606.65 e	492908.36 e
THS_EUR,PERS,N_GE4,DOM,WW,EU28	: 	: 	409000.33 e	716956.27 e	520494.48 e	497817.26 e
THS_EUR,PERS,N_GE4,DOM,WW,FI	9347.55 u	11088.55 u	5058.12 u	5693.29 u	10772.71 u	5618.15 u
THS_EUR,PERS,N_GE4,DOM,WW,FR	75870.24 	64823.27 	60171.69 	86590.29 	64868.13 	90819.42 
THS_EUR,PERS,N_GE4,DOM,WW,HR	1025.14 u	2129.81 u	: u	1696.47 u	3897.16 u	4895 u
THS_EUR,PERS,N_GE4,DOM,WW,HU	: c	: 	: 	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,WW,IE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N_GE4,DOM,WW,IT	104914.8 u	140006.07 u	: u	99087.08 bu	232887.44 	217258.54 
THS_EUR,PERS,N_GE4,DOM,WW,LU	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,DOM,WW,LV	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,DOM,WW,MT	466.81 	368.27 	299.36 	350.27 b	189.87 u	297.81 u
THS_EUR,PERS,N_GE4,DOM,WW,NL	8454.47 u	3230.9 u	9768.31 u	2499.09 u	4809.13 u	11505.12 u
THS_EUR,PERS,N_GE4,DOM,WW,NO	21097.16 u	24635 u	: u	44884.77 u	44734.65 u	: 
THS_EUR,PERS,N_GE4,DOM,WW,PL	: c	: u	: u	447.37 bu	: u	: u
THS_EUR,PERS,N_GE4,DOM,WW,PT	845.6 	781.78 	992.87 	1303.56 	516.57 	448.32 
THS_EUR,PERS,N_GE4,DOM,WW,RO	1850.9 u	3652.69 	738.76 u	2995.15 	: u	: 
THS_EUR,PERS,N_GE4,DOM,WW,SE	: 	12094.12 u	14011.96 	12165.73 u	: 	: 
THS_EUR,PERS,N_GE4,DOM,WW,UK	: 	: 	: 	: 	20662.47 u	: u
THS_EUR,PERS,N_GE4,OUT,AIR,AT	1537171.68 	1507495.93 	1355318.64 	1322545.16 	1476523.22 	1274306.17 
THS_EUR,PERS,N_GE4,OUT,AIR,BE	1265641.43 b	1846112.06 	1052452.27 	1165979.62 	1382654.38 	581650.56 
THS_EUR,PERS,N_GE4,OUT,AIR,BG	47392.87 	36114.8 	29706.43 	29979.05 	26376.18 	28655.72 
THS_EUR,PERS,N_GE4,OUT,AIR,CH	: 	2972215.66 	2603967.3 	2294992.57 	2080734.06 	2059851.16 
THS_EUR,PERS,N_GE4,OUT,AIR,CY	319478.59 	276078.93 	220901.73 	247516.13 	239859.92 	235506.39 
THS_EUR,PERS,N_GE4,OUT,AIR,CZ	412225.57 	331841.73 	279696.25 	287366.1 	326993.38 	309493.4 
THS_EUR,PERS,N_GE4,OUT,AIR,DE	15928279.63 	12039104.64 	13517959.77 	11525325.22 	12545027.95 	9547688.84 
THS_EUR,PERS,N_GE4,OUT,AIR,DK	: 	1007041.29 	496324.59 	574707.98 b	449005.52 b	492692.36 
THS_EUR,PERS,N_GE4,OUT,AIR,EA	: 	: 	: 	29982144.86 e	31223436.73 e	27232087.71 e
THS_EUR,PERS,N_GE4,OUT,AIR,EE	120370.55 	105186.51 	118257.68 	74009.44 	83920.77 	81543.33 
THS_EUR,PERS,N_GE4,OUT,AIR,EL	: 	94846.28 	72502.8 	89550.24 	82423.8 	65306.73 
THS_EUR,PERS,N_GE4,OUT,AIR,ES	2673932.44 	2620725.46 	2376805.79 b	1387076.58 	1360075.79 	1238909.3 
THS_EUR,PERS,N_GE4,OUT,AIR,EU27	: 	: 	40098794.56 e	39264027.49 e	44972003.64 e	33142062.11 e
THS_EUR,PERS,N_GE4,OUT,AIR,EU28	: 	: 	40164106.59 e	39300803.48 e	45041168.14 e	33224710.13 e
THS_EUR,PERS,N_GE4,OUT,AIR,FI	1479003.45 	1481705.72 	1439475.4 	1489401.74 	1399679.91 	1399058.28 
THS_EUR,PERS,N_GE4,OUT,AIR,FR	5981734.99 	5643349.63 	5406799.12 	6483793.88 	6153653.68 	5914439.13 
THS_EUR,PERS,N_GE4,OUT,AIR,HR	61338.82 	45826.61 	99770.51 	73935.95 	75070.96 	86373.71 
THS_EUR,PERS,N_GE4,OUT,AIR,HU	259092.34 	241019.88 	230096.95 	249703.32 	155681.29 	136602.29 
THS_EUR,PERS,N_GE4,OUT,AIR,IE	1259841.04 	1239309.35 	1123335.5 	1190120.96 	1106749.18 	1110431.74 
THS_EUR,PERS,N_GE4,OUT,AIR,IT	1166614.39 	1361578.88 	1138980.36 	1594199.85 b	1925974.48 	2005531.53 
THS_EUR,PERS,N_GE4,OUT,AIR,LT	164231.35 	157111.8 	151273.67 	125118.49 	101238.76 	87640.55 
THS_EUR,PERS,N_GE4,OUT,AIR,LU	: 	171084.94 	142791.75 	203159.66 	191055.79 	206281.91 
THS_EUR,PERS,N_GE4,OUT,AIR,LV	: 	82405.67 	65045.17 	109456.03 	76532.4 	103368.81 
THS_EUR,PERS,N_GE4,OUT,AIR,MT	64391.76 	60423.51 	53228.11 	53176.81 b	54263.76 	50967.02 
THS_EUR,PERS,N_GE4,OUT,AIR,NL	3738569.05 	2687093.97 	2647788.56 	2652205.59 	2855043.07 	3063627.79 
THS_EUR,PERS,N_GE4,OUT,AIR,NO	3096000.79 	2823190.26 	2800397.86 	2872957.76 	2349607.09 	: 
THS_EUR,PERS,N_GE4,OUT,AIR,PL	1292234.35 	1091211.8 	1065817.17 	983343.65 b	974518.25 	813687.67 
THS_EUR,PERS,N_GE4,OUT,AIR,PT	168305.63 	107352.55 	132392.64 	140280.85 	149584.24 	124816.17 
THS_EUR,PERS,N_GE4,OUT,AIR,RO	75442.89 	88012.04 	80929.49 	82251.46 	63488.5 	38102.98 
THS_EUR,PERS,N_GE4,OUT,AIR,SE	: 	716813.12 	1557526.31 	1877088.63 	: 	: 
THS_EUR,PERS,N_GE4,OUT,AIR,SI	72009.49 	89905.96 	78137.99 	80158.33 	69824.01 	64516.04 
THS_EUR,PERS,N_GE4,OUT,AIR,SK	273526.87 	133176.64 	177127.45 	161794.1 	143291.66 b	264156.54 
THS_EUR,PERS,N_GE4,OUT,AIR,UK	: 	: 	: 	: 	10720498.65 	: u
THS_EUR,PERS,N_GE4,OUT,BUS,AT	107799.57 	105377.75 	114494.02 	108415.6 	96535.79 	101391.08 
THS_EUR,PERS,N_GE4,OUT,BUS,BE	32185.89 b	110281.82 	34573.5 	47018.81 	114436.03 	32189 
THS_EUR,PERS,N_GE4,OUT,BUS,BG	14720.98 	6186.56 	7975.08 	15194.47 	5614.47 	5361.44 
THS_EUR,PERS,N_GE4,OUT,BUS,CH	: 	70728.14 	112805.33 	85325.36 	66938.33 	102280.94 
THS_EUR,PERS,N_GE4,OUT,BUS,CZ	61880.06 	60586.51 	65805.78 	62092.93 	53743.89 	55157.11 
THS_EUR,PERS,N_GE4,OUT,BUS,DE	1059556.56 	1041061.56 	852744.38 	446970.77 	1076091.05 	892287.09 
THS_EUR,PERS,N_GE4,OUT,BUS,DK	: 	41346.87 	19933.83 	20374.79 b	26633.64 b	21913.3 
THS_EUR,PERS,N_GE4,OUT,BUS,EA	: 	: 	: 	1021835.72 e	1671584.89 e	1464180.22 e
THS_EUR,PERS,N_GE4,OUT,BUS,EE	6061.19 	5175.32 	5164.18 	7290.94 	3186.55 u	4516.18 u
THS_EUR,PERS,N_GE4,OUT,BUS,EL	: 	7240.48 	5948.43 	6045.63 	10110.42 	10965.23 
THS_EUR,PERS,N_GE4,OUT,BUS,ES	31693.36 	42339.17 	69908.74 b	29832.69 	26115.69 	37623.91 
THS_EUR,PERS,N_GE4,OUT,BUS,EU27	: 	: 	1975235.95 e	1599375.86 e	2003184.02 e	1817696.31 e
THS_EUR,PERS,N_GE4,OUT,BUS,EU28	: 	: 	2018394.61 e	1643910.36 e	2034913.29 e	1841343.23 e
THS_EUR,PERS,N_GE4,OUT,BUS,FI	: c	: u	: u	: u	: u	: u
