unit,purpose,duration,partner,quantile,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,TOTAL,PL	1859631.79 	1589957.15 	1386776.23 	1153214.2 b	2457222.72 	2637260.92 
THS_EUR,PERS,N1-3,DOM,TOTAL,PT	703420.78 	593336.11 	594962.29 	519632.98 	375931.28 	405358.43 
THS_EUR,PERS,N1-3,DOM,TOTAL,RO	820711.11 	768882.77 	666266 	632149.61 	591999.3 	474353.41 
THS_EUR,PERS,N1-3,DOM,TOTAL,SE	: 	2467830.78 	2413757.05 	1878830.75 	: 	: 
THS_EUR,PERS,N1-3,DOM,TOTAL,SI	93663.85 	86760.32 	77051.98 	99678.5 	98135.66 	97417.87 
THS_EUR,PERS,N1-3,DOM,TOTAL,SK	521409.95 	392681.4 	302901.57 	274000.48 	227522.69 b	231232.59 
THS_EUR,PERS,N1-3,DOM,TOTAL,UK	: 	: 	: 	: 	10481544.02 	: u
THS_EUR,PERS,N1-3,DOM,UNK,AT	1756473.44 	1783930.58 	1677039.56 	1618274.85 	1498800.73 	1378005.39 
THS_EUR,PERS,N1-3,DOM,UNK,BE	346106.11 b	268493.33 	350499.98 	225324.19 	282559.75 	244673.7 
THS_EUR,PERS,N1-3,DOM,UNK,BG	173655.3 	110528.56 	103411.01 	162008.16 	131436.61 	117381.31 
THS_EUR,PERS,N1-3,DOM,UNK,CH	: 	902648.07 	867966.81 	802639.94 	891896.36 	723739.41 
THS_EUR,PERS,N1-3,DOM,UNK,CY	121395.98 	107557.56 	101756.47 	104826.99 	82144.51 	66034.09 
THS_EUR,PERS,N1-3,DOM,UNK,CZ	824972.3 	725201.02 	627175.44 	587701.59 	566020.34 	601801.5 
THS_EUR,PERS,N1-3,DOM,UNK,DE	13172793.97 	13489819.56 	13724107.36 	12723397.25 	14640156.16 	13659349.25 
THS_EUR,PERS,N1-3,DOM,UNK,DK	: 	3471648.75 	3254787.43 	3804051.36 b	3415845.5 b	1658801.99 
THS_EUR,PERS,N1-3,DOM,UNK,EA	: 	: 	: 	: 	42692124.11 e	43950838.75 e
THS_EUR,PERS,N1-3,DOM,UNK,EL	: 	193492.75 	203928.14 	214047.73 	167120.75 	274190.62 
THS_EUR,PERS,N1-3,DOM,UNK,ES	10298583.43 	9264929.74 	8418607.26 b	6357128.08 	6372824.09 	6348553.43 
THS_EUR,PERS,N1-3,DOM,UNK,EU27	: 	: 	: 	: 	60880942.91 e	62071278.81 e
THS_EUR,PERS,N1-3,DOM,UNK,EU28	: 	: 	: 	: 	61159542.7 e	62304430.2 e
THS_EUR,PERS,N1-3,DOM,UNK,FI	2986597.16 	2884047.47 	2930696.68 	2838131.51 	3075514.35 	3179220.68 
THS_EUR,PERS,N1-3,DOM,UNK,FR	13613974.99 	11466563.94 	11481802.59 	12672459.76 	12266654.44 	12403848.56 
THS_EUR,PERS,N1-3,DOM,UNK,HR	136713.52 	123298.14 	154173.85 	235661.41 	282374.58 	238508.66 
THS_EUR,PERS,N1-3,DOM,UNK,HU	550419.97 	476846.01 	463800.01 	425073.92 	365598.41 	427972.81 
THS_EUR,PERS,N1-3,DOM,UNK,IE	1007655.72 	936724.73 	881141.98 	763306.94 	713903.17 	710416.44 
THS_EUR,PERS,N1-3,DOM,UNK,IT	3789711.8 	4006239.35 	3182930.75 	2664743.92 b	2715778.83 	3638688.57 
THS_EUR,PERS,N1-3,DOM,UNK,LT	113377.99 	103850.89 	98605.28 	84394.8 	70238.07 	76251.83 
THS_EUR,PERS,N1-3,DOM,UNK,LU	: 	2962.9 u	3619.04 u	5610.72 	8184.42 	3640.28 
