THS_EUR,PERS,N1-3,DOM,ED5-8,SI	: 	30289.54 	35321.35 	34818.03 	40618.66 
THS_EUR,PERS,N1-3,DOM,TOTAL,AT	: 	1677039.56 	1618274.85 	1498800.73 	1378005.39 
THS_EUR,PERS,N1-3,DOM,TOTAL,BE	346106.11 	350499.98 	225324.19 	282559.75 	244673.7 
THS_EUR,PERS,N1-3,DOM,TOTAL,BG	: 	103411.01 	162008.16 	131436.61 	117381.31 
THS_EUR,PERS,N1-3,DOM,TOTAL,CH	: 	867966.81 	802639.94 	891896.36 	723739.41 
THS_EUR,PERS,N1-3,DOM,TOTAL,CY	: 	101756.47 	104826.99 	82144.51 	66034.09 
THS_EUR,PERS,N1-3,DOM,TOTAL,CZ	: 	627175.44 	587701.59 	566020.34 	601801.5 
THS_EUR,PERS,N1-3,DOM,TOTAL,DE	: 	13724107.36 	12723397.25 	14640156.16 	13659349.25 
THS_EUR,PERS,N1-3,DOM,TOTAL,DK	: 	3254787.43 	3804051.36 	3415845.5 	1658801.99 
THS_EUR,PERS,N1-3,DOM,TOTAL,EA	: 	: 	: 	43932875.06 e	44020429.23 e
THS_EUR,PERS,N1-3,DOM,TOTAL,EE	: 	154671.28 	118488.01 	79050.4 	69581.92 
THS_EUR,PERS,N1-3,DOM,TOTAL,EL	: 	203928.14 	214047.73 	167120.75 	274190.62 
THS_EUR,PERS,N1-3,DOM,TOTAL,ES	: 	8418607.26 	6357128.08 	6372824.09 	6348553.43 
THS_EUR,PERS,N1-3,DOM,TOTAL,EU27	: 	62362957.17 e	: 	62743696.16 e	62142165.63 e
THS_EUR,PERS,N1-3,DOM,TOTAL,EU28	: 	62463397.24 e	: 	63022039.49 e	62375305.83 e
THS_EUR,PERS,N1-3,DOM,TOTAL,FI	: 	2930696.68 	2838131.51 	3075514.35 	3179220.68 
THS_EUR,PERS,N1-3,DOM,TOTAL,FR	: 	11481802.59 	12672459.76 	12266654.44 	12403848.56 
THS_EUR,PERS,N1-3,DOM,TOTAL,HR	: 	154173.85 	235661.41 	282374.58 	238508.66 
THS_EUR,PERS,N1-3,DOM,TOTAL,HU	: 	463800.01 	425073.92 	365598.41 	427972.81 
THS_EUR,PERS,N1-3,DOM,TOTAL,IE	: 	881141.98 	763306.94 	713903.17 	710416.44 
THS_EUR,PERS,N1-3,DOM,TOTAL,IT	: 	3182930.75 	2664743.92 	2715778.83 	3638688.57 
THS_EUR,PERS,N1-3,DOM,TOTAL,LT	: 	98605.28 	84394.8 	70238.07 	76251.83 
THS_EUR,PERS,N1-3,DOM,TOTAL,LU	: 	3619.04 u	5610.72 	8184.42 	3640.28 
THS_EUR,PERS,N1-3,DOM,TOTAL,LV	: 	89146.36 	87922.42 	97069.94 	98562.41 
THS_EUR,PERS,N1-3,DOM,TOTAL,MT	: 	23391.93 	17665.57 	17479.11 	20592.74 
THS_EUR,PERS,N1-3,DOM,TOTAL,NL	1447982.14 	1238397.72 	1212119.69 	1161548.32 	1231365.15 
THS_EUR,PERS,N1-3,DOM,TOTAL,PL	: 	1386776.23 	1153214.2 	2457222.72 	2637260.92 
THS_EUR,PERS,N1-3,DOM,TOTAL,PT	: 	594962.29 	519632.98 	375931.28 	405358.43 
THS_EUR,PERS,N1-3,DOM,TOTAL,RO	: 	666266 	632149.61 	591999.3 	474353.41 
THS_EUR,PERS,N1-3,DOM,TOTAL,SE	: 	2413757.05 	1878830.75 	: 	: 
THS_EUR,PERS,N1-3,DOM,TOTAL,SI	: 	77051.98 	99678.5 	98135.66 	97417.87 
THS_EUR,PERS,N1-3,DOM,TOTAL,SK	: 	302901.57 	274000.48 	227522.69 	231232.59 
THS_EUR,PERS,N1-3,DOM,TOTAL,UK	: 	: 	: 	10481544.02 	11062745.08 
THS_EUR,PERS,N1-3,DOM,UNK,BE	346106.11 	350499.98 	225324.19 	282559.75 	244673.7 
THS_EUR,PERS,N1-3,DOM,UNK,BG	: 	103411.01 	162008.16 	131436.61 	117381.31 
THS_EUR,PERS,N1-3,DOM,UNK,CH	: 	867966.81 	802639.94 	891896.36 	723739.41 
THS_EUR,PERS,N1-3,DOM,UNK,CY	: 	101756.47 	104826.99 	82144.51 	66034.09 
THS_EUR,PERS,N1-3,DOM,UNK,CZ	: 	627175.44 	587701.59 	566020.34 	601801.5 
THS_EUR,PERS,N1-3,DOM,UNK,DE	: 	13724107.36 	12723397.25 	14640156.16 	13659349.25 
THS_EUR,PERS,N1-3,DOM,UNK,DK	: 	3254787.43 	3804051.36 	3415845.5 	1658801.99 
THS_EUR,PERS,N1-3,DOM,UNK,EA	: 	: 	: 	31269516.44 e	31312411.61 e
THS_EUR,PERS,N1-3,DOM,UNK,EL	: 	203928.14 	214047.73 	167120.75 	274190.62 
THS_EUR,PERS,N1-3,DOM,UNK,EU27	: 	43655602.84 e	: 	48796052.95 e	46651200.59 e
THS_EUR,PERS,N1-3,DOM,UNK,EU28	: 	43778817.09 e	: 	48789335.01 e	46643841.34 e
THS_EUR,PERS,N1-3,DOM,UNK,FR	: 	11481802.59 	12672459.76 	12266654.44 	12403848.56 
