unit,purpose,duration,partner,age,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
THS_EUR,PERS,N1-3,DOM,Y15-24,PL	274195.34 	244334.46 	200224.42 	182930.58 b	352045.65 	408022.09 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,PT	65926.63 	53795.41 	50710.23 	42310.1 	29261.49 	33036.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,RO	140098.72 	139820.43 	120705.67 	120053.32 	97230.6 	81825.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,SE	: 	401517.95 	447362.83 	348537.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,SI	9793.66 	10852.24 	8771 	13314.93 	15295.48 	14425.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,SK	37571.02 u	45352.7 u	29543.18 u	: u	17921.4 bu	41225.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,UK	: 	: 	: 	: 	1232022.55 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,AT	270308.48 	307875.6 	294467.03 	283530.61 	249206.26 	212075.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,BE	57416.2 b	42939.05 	61852.18 	40898.06 	56184.27 	39594.57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,BG	36625.48 	26931.69 	30268.44 	44745.61 	25334.15 	28323.2 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,CH	: 	191672.34 	141321.95 	116177.9 	104623.02 	113970.33 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,CY	20774.61 	21304.42 	23993.23 	26691.1 	24563.07 	24550.28 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,CZ	166800.19 	161304.96 	130033.41 	110268.19 	128023.07 	129401.46 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,DE	2197342.13 	2304442.36 	2108974.66 	1878701.24 	2416793.66 	2238736.77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,DK	: 	465340 	453531.27 	511143.24 b	323413.98 b	223004.98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,EA	: 	: 	: 	6888372.18 e	7641276.04 e	7812227.46 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,EE	54492.94 	49522.54 	37874.8 	30052.21 	23132.31 	17391.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,EL	: 	34682.99 	37462.73 	38736.08 	27964.53 	59173.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,ES	1970754.38 	1829291.48 	1698657.59 b	900159.74 	966139.11 	1097814.78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,EU27	: 	: 	11004620.14 e	9613631.9 e	10957143.88 e	11418727.6 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,EU28	: 	: 	11027937.57 e	9635063.18 e	11031601.15 e	11472251.44 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,FI	561318.33 	493052.64 	537266.96 	553527.79 	579253.97 	555627.88 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,FR	2481510.95 	1942378.81 	2109343.87 	2365475.25 	2429009.1 	2462650.66 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,HR	35424.32 	24910.02 	32095.65 	28966.43 	74806.46 	54335.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,HU	91027.02 	87337.6 	90129.18 	87755.78 	77337.56 	88140.62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,IE	190898.09 	209654.47 	161142.24 	61466.08 	62185.55 	72687.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,IT	527174.65 	470534.13 	428206.96 	372664.68 b	452450.79 	680748.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,LT	24835.03 	22538.75 	22589.84 	18232.82 	17021.3 	19951.77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
