unit,purpose,duration,partner,age,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
THS_EUR,PERS,N1-3,OUT,Y_GE15,ES	1393413.26 	1217349.27 	1142590.24 b	830159.34 	719265.58 	700212.43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,EU27	: 	: 	20744935.37 e	18295156.22 e	18279565.4 e	17497280.1 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,EU28	: 	: 	20965028.19 e	18494014.46 e	18509754.61 e	17679412.33 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,FI	1564388.03 	1435682.61 	1409035.23 	1347238.87 	1485339.41 	1526037.91 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,FR	2272403.07 	1695512.41 	1873594.12 	1968398.99 	1746331.32 	1778389.97 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,HR	179880.35 	130525.91 	214482.44 	193312.04 	228766.79 	181490.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,HU	453533.29 	397817.32 	286459.36 	285363.03 	241577.65 	188056.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,IE	795185.36 	567486.62 	634152.86 	550569.94 	497711.47 	501844.28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,IT	1206750.64 	946588.58 	908801.11 	691099.21 b	877962.71 	1094675.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,LT	70858.58 	72826.53 	74264.29 	72784.61 	67989.96 	64268.37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,LU	: 	158781.32 	205756.18 	207712.31 	152173.65 	143485.38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,LV	: 	68852.04 	80426.14 	52770.9 	56511.04 	68006.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,MT	62078.66 	49940.19 	38406.76 	34303.2 b	34427.92 	28525.77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,NL	1372414.71 	845731.95 	783075.1 	758979.35 	821607.52 	849114.18 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,NO	1452059.17 	1400815.36 	1407882.19 	1630119.57 	1323294 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,PL	613059.82 	420192.46 	413864.63 	336134.8 b	537673.29 	621680.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,PT	107240.4 	100630.45 	87794.31 	72196.58 	41517.76 	58415.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,RO	31903.13 	35556.13 	28641.91 	16275.03 	27128.93 	25753.52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,SE	: 	1024577.81 	1310148.81 	951723.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,SI	166557.01 	126121.32 	135780.71 	124434.36 	129866.3 	116000.69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,SK	183921.59 	135212.48 	102096.31 	113925.42 	57115.69 b	96250.99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE15,UK	: 	: 	: 	: 	2471548.18 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,AT	150992.88 	114491.06 	112901 	166519.91 	111649.48 	101877.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,BE	115035.4 b	208397.54 	113450.22 	94286.52 	115139.34 	88107.36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,BG	: c	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,CH	: 	167244.55 	219481.56 	246949.01 	179836.5 	124527.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,CY	: c	8714.31 u	8825.81 u	7502.51 u	11530.25 u	3735.67 bu	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,CZ	15593.06 	19892.25 u	6662.03 u	16338.65 u	12405.16 u	15314.85 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,DE	504762.18 	826613.56 	694297.03 	343736.46 	577686.19 	637203.5 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,DK	: 	108537.34 	157403.97 	122739.12 b	74121.74 b	48489.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,EA	: 	: 	: 	1446294.13 e	1564237.94 e	1499194.73 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,EE	6819.82 u	4515.33 u	4407.45 u	3266.62 u	3771.97 u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,EL	: 	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,ES	82563.25 	80544.89 	51047.38 b	73297.17 	80365.6 	63742.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,EU27	: 	: 	2547221.76 e	2072193.91 e	1890791.19 e	1748122.53 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,EU28	: 	: 	2556163.04 e	2082917.66 e	1910458 e	1763963.26 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,FI	219973.3 	198511.44 	235462.02 	211354.51 	205265.59 	144080.89 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,FR	227195.25 	269706.8 	272381.04 	287573.5 	207838.74 	212888.13 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,HR	7386.86 	5797.28 	10527.31 	11580.01 	19598.07 	15820.98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,HU	43534.94 	54790.1 	30579.59 	26132.18 	10007.74 	6413.33 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,IE	59696.05 	37581.72 	46581.96 	78327.9 	62471.63 	74629.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,IT	132363.29 u	: u	95227.38 u	: u	83575.11 	64646.27 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,LT	1259.71 	1878.76 	1652.69 	1668.53 	2064.66 	1058.52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,LU	: 	13640.83 	20709.79 	19093.49 	13194.74 	13230.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,LV	: 	: c	: u	: u	: u	2999.49 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,MT	: c	: c	: c	: u	2137.04 	1336.49 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,NL	103066.63 	105731.91 	74723.93 	76830.29 	73247.71 	71244.74 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,NO	81828.22 	150996.4 	113900.48 	160816.59 	202257.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,PL	30814.16 	32761.24 	30133.43 	28751.23 b	: u	31760.32 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,PT	6984.65 u	7651.59 u	7923.36 u	9043.31 u	6107.49 u	6195.31 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,RO	: c	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,SE	: 	169637.44 	237252.97 	164092.13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,SI	7851.21 	10729.12 	8023.25 	6906.82 	8484.64 	5046.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,SK	17720.78 u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_GE65,UK	: 	: 	: 	: 	129411.57 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_LT15,CH	: 	: 	: 	: u	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_LT15,DK	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_LT15,ES	: 	: 	: 	103437.19 	74571.92 	78892.81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,Y_LT15,NL	: 	: 	: 	47144.46 	62886.71 	74120.21 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,AT	380904.92 	368357.05 	293862.6 	342898.75 	371631.59 	330788.78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,BE	123573.3 b	98938.26 	84233.41 	71395.47 	68559.82 	49815.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,BG	31888.19 	19223 	23107.31 	30990.39 	30857.51 	28619.99 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,CH	: 	169503.73 	250094.55 	189560.15 	259186.32 	155762.38 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,CY	16467.32 	13816.92 	10945.02 	13568.92 	16400.81 	12388.42 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,CZ	93511.68 	92587.27 	83102.42 	87140.89 	96357.87 	99819.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,DE	2550804.67 	2814151.84 	2877681.06 	2828244.4 	3329748.91 	2258767.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,DK	: 	946156.11 	732180.95 	1063315.5 b	1026832.45 b	592219.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,EA	: 	: 	: 	7308816.08 e	7739649.33 e	6904711.12 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,EE	50629.3 	45260.93 	33541.57 	44230.84 	30453.69 	26390.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,EL	: 	21628.58 	25444.69 	28395.47 	16619.74 	25884.97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,ES	1480663.79 	1227343.33 	1051987.48 b	585644.45 	658377.25 	637189.97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,EU27	: 	: 	10223718.42 e	10784979.93 e	11226955.43 e	10149755.12 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,EU28	: 	: 	10285416.59 e	10900433.51 e	11344220.62 e	10230852.96 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,FI	614335.89 	601996.15 	591527.21 	626840.95 	667489.75 	789268.26 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,FR	2136148.65 	1177406.89 	1102195.26 	1889066.37 	1765250.27 	1672838.07 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,HR	54534.84 	40410.5 	64816.96 	112407.17 	116847.76 	81188.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,HU	67651.19 	55424.03 	66611.62 	52705.47 	39296.26 	61906.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,IE	174186.31 	130175.05 	126326.86 	103653.79 	88815.71 	89385.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,IT	439723.19 	407399.95 	333103.1 	429672.77 b	366552.4 	595055.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,LT	26141.52 	26246.64 	24331.44 	21487.55 	15953.88 	19393.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,LU	: 	18855.71 	23560.9 	31417.87 	22048.08 	16782.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,LV	: 	19657.32 	29185.16 	21939.21 	30249.4 	29744.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,MT	15468.45 	16129.62 	11135.41 	12950.55 b	7624.66 	8164.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,NL	351334.36 	271999.98 	212432.7 	208264.75 	235269.93 	247602.63 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,NO	372812.98 	415121.44 	276864.75 	308599.01 	265110.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,PL	333250.95 	312356.8 	268469.83 	232574.96 b	442553.43 	617907.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,PT	83176.38 	62691.64 	65200.07 	50828.13 	33183.34 	38343.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,RO	142861.52 	143093.46 	127307.85 	122660.02 	101983.91 	83614.37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,SE	: 	587976.57 	663853.85 	501643.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,SI	43108.16 	28539.35 	26547.82 	31502.64 	38034.55 	43388.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,SK	53398.37 u	51005.35 u	37373.43 u	12075.34 u	22639.17 bu	61809.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y15-24,UK	: 	: 	: 	: 	1489960.93 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,AT	557125.13 	523849.78 	575625.14 	517045.78 	451499.6 	413783.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,BE	256427.26 b	191381.05 	183681.95 	182519.01 	177840.62 	148884.55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,BG	43050.14 	32301 	34831.52 	50935.73 	30799.18 	35355.3 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,CH	: 	577803.82 	430944.85 	311432.07 	550426.15 	344957.54 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,CY	41041.23 	47561.84 	43846.2 	50755.11 	52728.83 	44368.52 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,CZ	229863.59 	230606.9 	179706.11 	158267.81 	173345.71 	174309.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,DE	3614423.43 	3477786.23 	3199624.5 	2889570.83 	3353854.01 	2957485.81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,DK	: 	587174.64 	589096.22 	617500.99 b	446763.7 b	294481.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,EA	: 	: 	: 	9419933.68 e	10171139.1 e	10313670.09 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,EE	82400.07 	71983.13 	65275.45 	52125.4 	41873.25 	29302.69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,EL	: 	41068.39 	43800.66 	42643.02 	35874.25 	65368.82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,ES	2259046.67 	2098729.13 	1949364.96 b	1064474.56 	1096773.31 	1238306.82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,EU27	: 	: 	14994526.89 e	13051959.94 e	14597291.55 e	14730865.82 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,EU28	: 	: 	15078030.12 e	13108033.29 e	14745150.51 e	14824899.74 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,FI	804500.04 	715440.71 	750268.04 	774245.04 	828939.91 	826041.99 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,FR	2888720.08 	2214655.41 	2414624.68 	2696598.06 	2742037.09 	2822005.81 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,HR	84249.22 	57713.16 	88956.21 	62909.69 	147403.43 	94610.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,HU	155782.75 	133504.32 	131483.72 	122158.73 	112957.77 	125836.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,IE	403283.83 	347750.42 	289699.83 	112999.37 	116250.41 	118155.43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,IT	750995.22 	561641.45 	533533.59 	421612.73 b	658380.04 	1043942.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,LT	42633.82 	38050.25 	42380.97 	35533.07 	35197.18 	36752.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,LU	: 	24574.41 	50419.02 	41912.13 	33356.89 	30166.43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,LV	: 	42559.6 	40618.19 	36496.02 	36389.19 	43369 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,MT	28597.41 	28040.98 	17874.89 	19942.63 b	13308.43 	10615.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,NL	493970.81 	373476.23 	394822.33 	338969.6 	355862.51 	366887.9 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,NO	668182.85 	579144.39 	524945.35 	566915.25 	532582.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,Y25-34,PL	523720.18 	396204.2 	393558.95 	313961.05 b	646003.88 	840538.82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
