unit,purpose,duration,partner,wstatus,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,EDUC,RO	92199.47 	83475.23 	77466.29 	81952.96 	63269.06 	62334.09 
THS_EUR,PERS,N1-3,DOM,EDUC,SI	: 	8045.26 	6262.72 	17469.18 	14803.17 	13403.36 
THS_EUR,PERS,N1-3,DOM,EMP,AT	1223148.41 	1216122.2 	1156659.04 	1138667.94 	1015863 	943179.08 
THS_EUR,PERS,N1-3,DOM,EMP,EA	: 	: 	: 	: 	7876911.9 e	7984115.74 e
THS_EUR,PERS,N1-3,DOM,EMP,EE	147841.89 	137780.73 	121444.67 	83386.83 	61749.14 	53155.63 
THS_EUR,PERS,N1-3,DOM,EMP,ES	6836636.32 	6166750.33 	5542203.1 b	3895532.13 	3834238.32 	3916961.8 
THS_EUR,PERS,N1-3,DOM,EMP,EU27	: 	: 	12220495.79 e	: 	8719272.08 e	9989546.87 e
THS_EUR,PERS,N1-3,DOM,EMP,EU28	: 	: 	12309341.4 e	: 	8718071.66 e	9987971.02 e
THS_EUR,PERS,N1-3,DOM,EMP,FI	1953822.25 	1806234.37 	1859460.18 	1788660.39 	2052016.31 	2034009.45 
THS_EUR,PERS,N1-3,DOM,EMP,HR	87440.91 	: 	90674.27 	109221.88 	: 	: 
THS_EUR,PERS,N1-3,DOM,EMP,HU	384178.03 	319681.49 	313171.18 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,EMP,LU	: 	: 	: 	: 	: 	2116.4 u
THS_EUR,PERS,N1-3,DOM,EMP,LV	: 	61434.08 	64131.55 	61787 	66978.17 	68591.62 
THS_EUR,PERS,N1-3,DOM,EMP,MT	: 	21223.77 	14447.31 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,EMP,NL	887701.75 	794644.78 	723545.11 	692402 	682302.62 	729069.68 
THS_EUR,PERS,N1-3,DOM,EMP,PL	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,EMP,PT	154669.29 	344528.95 	344800.91 	: 	172083.82 	245722.64 
THS_EUR,PERS,N1-3,DOM,EMP,RO	602032.38 	576015.5 	484114.11 	456697.88 	435997.4 	330651.57 
THS_EUR,PERS,N1-3,DOM,EMP,SI	: 	49056.24 	45283.74 	55215.56 	57692.19 	58918.82 
THS_EUR,PERS,N1-3,DOM,INAC_OTH,AT	380056.71 	397421.71 	390211.3 	335244.41 	312987.16 	310853.99 
THS_EUR,PERS,N1-3,DOM,INAC_OTH,EA	: 	: 	: 	: 	2751416.39 e	2755260.53 e
THS_EUR,PERS,N1-3,DOM,INAC_OTH,EE	21250.28 	18829.38 	19849.3 	16682.73 	8348.19 	9255.31 
THS_EUR,PERS,N1-3,DOM,INAC_OTH,ES	1603952.19 	1398584.73 	1297650.63 b	1520384.58 	1472157.54 	1372149.88 
THS_EUR,PERS,N1-3,DOM,INAC_OTH,EU27	: 	: 	3468449.9 e	: 	2980091.25 e	3384553.15 e
THS_EUR,PERS,N1-3,DOM,INAC_OTH,EU28	: 	: 	3493328.59 e	: 	2979680.97 e	3384019.24 e
THS_EUR,PERS,N1-3,DOM,INAC_OTH,FI	552241.79 	577234.33 	567017.38 	521440.23 	553180.53 	620267.28 
THS_EUR,PERS,N1-3,DOM,INAC_OTH,HR	17164.63 	: 	25440.18 	37991.99 	: 	: 
THS_EUR,PERS,N1-3,DOM,INAC_OTH,HU	123704.85 	110989.6 	108963.25 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,INAC_OTH,LU	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,INAC_OTH,LV	: 	12682.42 	13095.72 	13708.34 	12028.64 	14634.47 
THS_EUR,PERS,N1-3,DOM,INAC_OTH,MT	: 	5961.27 	6166.99 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,INAC_OTH,NL	371406.01 	351105.98 	335886.7 	340321.99 	300989.37 	313190.54 
THS_EUR,PERS,N1-3,DOM,INAC_OTH,PL	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,INAC_OTH,PT	53715.58 	169658.61 	170963.48 	: 	85706.39 	110833.74 
THS_EUR,PERS,N1-3,DOM,INAC_OTH,RO	117992.46 	103033.66 	97072.09 	84570.66 	82298.3 	73075.66 
THS_EUR,PERS,N1-3,DOM,INAC_OTH,SI	: 	22662.72 	22313.35 	19529.73 	17709.6 	18048.31 
THS_EUR,PERS,N1-3,DOM,UNE,AT	15233.39 u	13946.99 u	20271.21 u	19612.61 u	20779.99 u	8138.15 u
THS_EUR,PERS,N1-3,DOM,UNE,EA	: 	: 	: 	: 	792250.68 e	761583.39 e
THS_EUR,PERS,N1-3,DOM,UNE,EE	4875.97 u	4756.76 u	3741.85 	4099.91 	3606.41 	3432.46 u
