accommod,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,PC,DE50	46.38 	45.56 	44.48 	45.2 	43.8 	42.9 
BEDPL,PC,DE6	61.8 	61.48 	60.7 	60.1 	59.4 	56.4 
BEDPL,PC,DE60	61.8 	61.48 	60.7 	60.1 	59.4 	56.4 
BEDPL,PC,DE7	43.55 	42.15 	41.97 	40.5 	39.5 	38.5 
BEDPL,PC,DE71	45.93 	44.84 	44.92 	43.3 	42 	40.7 
BEDPL,PC,DE72	35.85 	34.62 	33.45 	32.9 	32 	30.8 
BEDPL,PC,DE73	38.74 	36.49 	36.02 	34.9 	34.6 	35.1 
BEDPL,PC,DE8	46.62 	46.84 	45.24 	44.3 	42.3 	41.8 
BEDPL,PC,DE80	46.62 	46.84 	45.24 	44.3 	42.3 	41.8 
BEDPL,PC,DE9	39.7 	38.93 	37.9 	37.3 	36.6 	36.1 
BEDPL,PC,DE91	37.3 	36.76 	36.61 	36 	36.4 	36.5 
BEDPL,PC,DE92	38.7 	37.93 	36.93 	35.7 	35 	34.1 
BEDPL,PC,DE93	38.81 	38.26 	36.67 	35.7 	35.4 	35.2 
BEDPL,PC,DE94	42.84 	41.79 	40.52 	40.7 	39.1 	38.2 
BEDPL,PC,DEA	42.33 	41.09 	40.09 	39.1 	38.1 	37.5 
BEDPL,PC,DEA1	42.49 	42.48 	40.53 	40.6 	39.5 	38.7 
BEDPL,PC,DEA2	46.18 	43.79 	44.01 	42.4 	41 	40.1 
BEDPL,PC,DEA3	38.96 	37.23 	35.33 	34.6 	33.4 	33.6 
BEDPL,PC,DEA4	37.4 	36.27 	35.33 	34.1 	33.7 	33.1 
BEDPL,PC,DEA5	40.25 	39.14 	38.14 	36.5 	36.2 	36.2 
BEDPL,PC,DEB	37.01 	35.7 	34.54 	33.3 	32.5 	32 
BEDPL,PC,DEB1	36.89 	35.43 	34.2 	32.5 	30.9 	30.4 
BEDPL,PC,DEB2	35.74 	34.5 	33.32 	31.9 	31.4 	31.6 
BEDPL,PC,DEB3	37.97 	36.82 	35.79 	35.3 	35.4 	34.4 
BEDPL,PC,DEC	37.93 	35.9 	35.25 	33.5 	31.9 	31.8 
BEDPL,PC,DEC0	37.93 	35.9 	35.25 	33.5 	31.9 	31.8 
BEDPL,PC,DED	43.14 	41.78 	41.19 	41.2 	40.3 	39.7 
BEDPL,PC,DED2	44.83 	43.39 	42.67 	43.2 	41.7 	41.3 
BEDPL,PC,DED4	35.6 	34.24 	33.83 	34 	33.4 	33.4 
BEDPL,PC,DED5	48.11 	47.25 	46.62 	45.6 	45.4 	43.8 
BEDPL,PC,DEE	37.34 	35.86 	34.67 	34.3 	33.1 	33.7 
BEDPL,PC,DEE0	37.34 	35.86 	34.67 	34.3 	33.1 	33.7 
BEDPL,PC,DEF	49.61 	49.06 	47.19 	45.8 	43.1 	41.9 
BEDPL,PC,DEF0	49.61 	49.06 	47.19 	45.8 	43.1 	41.9 
BEDPL,PC,DEG	38.06 	36.66 	36.5 	36.6 	35.9 	36.6 
BEDPL,PC,DEG0	38.06 	36.66 	36.5 	36.6 	35.9 	36.6 
BEDPL,PC,DK	48 	48 	47 	44 	42 	40 
BEDPL,PC,DK0	48 	48 	47 	44 	42 	40 
BEDPL,PC,DK01	57 	56 	56 	52 	49 	46 
BEDPL,PC,DK02	36 	35 	34 	31 	30 	28 
BEDPL,PC,DK03	42 	42 	41 	39 	38 	37 
BEDPL,PC,DK04	41 	40 	39 	36 	35 	34 
BEDPL,PC,DK05	39 	39 	38 	35 	36 	35 
