unit,purpose,duration,partner,sex,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N1-3,DOM,F,SE	: 	16288338 	17375606 	15563928 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,SI	1450920 	1298753 	1105373 	1333342 	1377000 	1355783 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,SK	4364784 	4430509 	3771119 	3395911 	2699037 b	2055733 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,UK	: 	: 	: 	: 	62045468 	64135071 	: 	: 	: 	: 	: 	: 	: 	: 	56458000 	64000000 	62100000 	65000000 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,AT	6361464 	6258813 	5728354 	6162666 	5711312 	5275903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,BE	2044711 b	1446510 	1998842 	1298215 	1441079 	1433556 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,BG	2879114 	1617388 	1503591 	1998058 	1894474 	1757354 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,CH	: 	3405132 	2689331 	3275422 	3602436 	2984945 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,CY	945452 	868611 	910087 	765184 	718029 	866395 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,CZ	18643460 	16822574 	14572676 	17826714 	15585175 	16954806 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,DE	79119562 	85949202 	81766216 	76095969 	83200282 	81785444 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,DK	: 	11888539 	14703108 	13263044 	13103216 b	12931551 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,EA	: 	: 	: 	318619100 e	327232230 e	336901032 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,EE	1927308 	2023169 	1639656 	1556236 	1123131 	969582 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,EL	: 	1391638 	1515489 	1677557 	1438073 	2682264 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,ES	89648375 	84338142 	81080102 b	79429588 	80269808 	81957381 	: 	: 	: 	: 	: 	75539042 	76216100 	93605400 	89199300 	85678000 	87982830 	86156380 	41049281 	9920263 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,EU27	: 	: 	468553725 e	467959956 e	469045320 e	480532305 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
