unit,purpose,duration,partner,isced11,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,DOM,TOTAL,EL	: 	3060303 	3243607 	3581761 	2923276 	5495625 
NR,PERS,N1-3,DOM,TOTAL,ES	177239149 	168452946 	160771044 	160529081 	163427930 	166220655 
NR,PERS,N1-3,DOM,TOTAL,EU27	: 	: 	976597495 e	: 	973936920 e	975000342 e
NR,PERS,N1-3,DOM,TOTAL,EU28	: 	: 	979577584 e	: 	979627462 e	980772685 e
NR,PERS,N1-3,DOM,TOTAL,FI	39209211 	37846876 	38055783 	36961575 	39005051 	39189392 
NR,PERS,N1-3,DOM,TOTAL,FR	179119303 	160888964 	163206588 	184491323 	181954190 	184861260 
NR,PERS,N1-3,DOM,TOTAL,HR	2481744 	2600601 	3644526 	5327797 	5731124 	5817978 
NR,PERS,N1-3,DOM,TOTAL,HU	18161591 	17999573 	18573170 	17894808 	16457775 	20305731 
NR,PERS,N1-3,DOM,TOTAL,IE	10362955 	9993138 	9516756 	8352057 	7896544 	8022285 
NR,PERS,N1-3,DOM,TOTAL,IT	41064916 	44060794 	34577378 	36329218 	33327995 	42155530 
NR,PERS,N1-3,DOM,TOTAL,LT	3227905 	3161710 	3402998 	3396253 	3121013 	3283417 
NR,PERS,N1-3,DOM,TOTAL,LU	: 	20197 u	22350 u	34234 	66854 	54737 
NR,PERS,N1-3,DOM,TOTAL,LV	: 	4111422 	3868018 	4115911 	4229386 	4741715 
NR,PERS,N1-3,DOM,TOTAL,MT	415493 	405279 	360284 	339022 	321574 	330686 
NR,PERS,N1-3,DOM,TOTAL,NL	27417182 	27726435 	27375257 	29020721 	29652370 	33326859 
NR,PERS,N1-3,DOM,TOTAL,NO	16578183 	15870591 	15688166 	16927114 	13484748 	: 
NR,PERS,N1-3,DOM,TOTAL,PL	52558113 	48637419 	44086369 	41937463 	50630835 	47242930 
NR,PERS,N1-3,DOM,TOTAL,PT	17334510 	16241852 	15781021 	14733797 	14346515 	13546352 
NR,PERS,N1-3,DOM,TOTAL,RO	22573414 	21929908 	20696355 	21697083 	21005630 	19599109 
NR,PERS,N1-3,DOM,TOTAL,SE	: 	34348522 	35077922 	30735810 	: 	: 
NR,PERS,N1-3,DOM,TOTAL,SI	2534409 	2436374 	2189284 	2693222 	2861056 	2994580 
NR,PERS,N1-3,DOM,TOTAL,SK	9037490 	8691208 	7043087 	5798469 	5525240 	3918960 
NR,PERS,N1-3,DOM,TOTAL,UK	: 	: 	: 	: 	118641820 	120588222 
NR,PERS,N1-3,DOM,UNK,BE	4180516 b	3203589 	4122410 	2689760 	3148329 	2900170 
NR,PERS,N1-3,DOM,UNK,BG	5733767 	3364116 	3032569 	4071907 	3846551 	3842109 
NR,PERS,N1-3,DOM,UNK,CH	: 	6893722 	6853942 	6967693 	7743597 	6866989 
NR,PERS,N1-3,DOM,UNK,CY	1949968 	1903611 	1857829 	1607076 	1537768 	1823074 
NR,PERS,N1-3,DOM,UNK,CZ	38692095 	34237876 	31471676 	37078080 	33439028 	36200298 
NR,PERS,N1-3,DOM,UNK,DE	158998081 	168656004 	178011814 	161836384 	175945063 	167615290 
NR,PERS,N1-3,DOM,UNK,DK	: 	26815133 	30299877 	30055318 	29541173 	26928655 
NR,PERS,N1-3,DOM,UNK,EA	: 	: 	: 	: 	413297474 e	418147327 e
NR,PERS,N1-3,DOM,UNK,EL	: 	3060303 	3243607 	3581761 	2923276 	5495625 
NR,PERS,N1-3,DOM,UNK,EU27	: 	: 	628738659 e	: 	679932053 e	662227681 e
NR,PERS,N1-3,DOM,UNK,EU28	: 	: 	632142229 e	: 	679838444 e	662123214 e
NR,PERS,N1-3,DOM,UNK,FR	179119303 	160888964 	163206588 	184491323 	181954190 	184861260 
NR,PERS,N1-3,DOM,UNK,HR	2481744 	2600601 	3644526 	5327797 	: 	: 
NR,PERS,N1-3,DOM,UNK,HU	: 	: 	: 	17894808 	16457775 	20305731 
NR,PERS,N1-3,DOM,UNK,IE	10362955 	9993138 	9516756 	8352057 	7896544 	8022285 
NR,PERS,N1-3,DOM,UNK,IT	41064916 	44060794 	34577378 	36329218 	33327995 	42155530 
NR,PERS,N1-3,DOM,UNK,LT	3227905 	3161710 	3402998 	3396253 	3121013 	3283417 
NR,PERS,N1-3,DOM,UNK,LU	: 	20197 u	22350 u	34234 	66854 	: 
NR,PERS,N1-3,DOM,UNK,MT	415493 	: 	: 	: 	321574 	330686 
NR,PERS,N1-3,DOM,UNK,NL	: 	: 	: 	: 	: 	162812 u
NR,PERS,N1-3,DOM,UNK,NO	16578183 	15870591 	15688166 	16927114 	13484748 	: 
NR,PERS,N1-3,DOM,UNK,PL	52558113 	48637419 	44086369 	41937463 	50630835 	47242930 
NR,PERS,N1-3,DOM,UNK,PT	: 	: 	: 	14733797 	: 	: 
NR,PERS,N1-3,DOM,UNK,RO	: 	: 	: 	: 	: 	19599109 
NR,PERS,N1-3,DOM,UNK,SE	: 	34348522 	35077922 	30735810 	: 	: 
NR,PERS,N1-3,DOM,UNK,SI	2534409 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,UNK,SK	9037490 	8691208 	7043087 	5798469 	5525240 	3918960 
NR,PERS,N1-3,DOM,UNK,UK	: 	: 	: 	: 	118641820 	120588222 
NR,PERS,N1-3,OUT,ED0-2,AT	975469 	928627 	680463 	891503 	904077 	1111484 
NR,PERS,N1-3,OUT,ED0-2,EA	: 	: 	: 	: 	5377185 e	6430845 e
NR,PERS,N1-3,OUT,ED0-2,EE	126050 	107595 u	52345 u	116970 	60261 u	59535 u
NR,PERS,N1-3,OUT,ED0-2,ES	2165855 	1751094 	1859616 	1561414 	1481276 	1706447 
NR,PERS,N1-3,OUT,ED0-2,EU27	: 	: 	6479491 e	: 	5543002 e	7327182 e
NR,PERS,N1-3,OUT,ED0-2,EU28	: 	: 	6471603 e	: 	5734924 e	7719259 e
NR,PERS,N1-3,OUT,ED0-2,FI	1341409 	1334642 	1428603 	1373866 	1344748 	1847292 
NR,PERS,N1-3,OUT,ED0-2,HR	: 	: 	: 	: 	189592 u	386055 u
NR,PERS,N1-3,OUT,ED0-2,LU	: 	: 	: 	: 	: 	101638 
NR,PERS,N1-3,OUT,ED0-2,LV	: 	: c	99541 u	: u	73847 u	132820 u
NR,PERS,N1-3,OUT,ED0-2,MT	: 	17937 u	: c	: u	: 	: 
NR,PERS,N1-3,OUT,ED0-2,NL	1151074 	931689 	1025045 	1263933 	1154121 	1207929 
NR,PERS,N1-3,OUT,ED0-2,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,ED0-2,PT	266792 	286844 	181865 	: 	160984 	221191 
NR,PERS,N1-3,OUT,ED0-2,RO	: c	: u	: u	: u	: u	: 
NR,PERS,N1-3,OUT,ED0-2,SI	: 	339536 	306319 	159135 	271058 	174537 
NR,PERS,N1-3,OUT,ED3_4,AT	4287512 	4228609 	3679369 	4011908 	3544020 	3594989 
NR,PERS,N1-3,OUT,ED3_4,EA	: 	: 	: 	: 	11984703 e	12568033 e
NR,PERS,N1-3,OUT,ED3_4,EE	333932 	353756 	330329 	422995 	396282 	383262 
NR,PERS,N1-3,OUT,ED3_4,ES	2226448 	1519770 	1536056 	2250745 	2014106 	2047764 
NR,PERS,N1-3,OUT,ED3_4,EU27	: 	: 	13861902 e	: 	12713110 e	14786242 e
NR,PERS,N1-3,OUT,ED3_4,EU28	: 	: 	13845027 e	: 	13847496 e	15910559 e
NR,PERS,N1-3,OUT,ED3_4,FI	2593087 	2418067 	2360962 	2051561 	2535051 	2469066 
NR,PERS,N1-3,OUT,ED3_4,HR	: 	: 	: 	: 	1117898 	1106084 
NR,PERS,N1-3,OUT,ED3_4,LU	: 	: 	: 	: 	: 	319598 
NR,PERS,N1-3,OUT,ED3_4,LV	: 	389834 	346313 	420212 	372801 	441059 
NR,PERS,N1-3,OUT,ED3_4,MT	: 	131418 	97550 	73179 	: 	: 
NR,PERS,N1-3,OUT,ED3_4,NL	3700105 	2314555 	2164743 	2488701 	2274943 	2561615 
NR,PERS,N1-3,OUT,ED3_4,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,ED3_4,PT	241382 	203741 	191942 	: 	73739 u	104928 u
NR,PERS,N1-3,OUT,ED3_4,RO	137951 	141741 u	123441 u	92057 u	151270 u	: 
NR,PERS,N1-3,OUT,ED3_4,SI	: 	1128558 	1271834 	1158494 	1145090 	1085263 
