unit,purpose,duration,partner,wstatus,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,DOM,EMP,LU	: 	: 	: 	: 	: 	21342 u
NR,PERS,N1-3,DOM,EMP,LV	: 	2823270 	2692572 	2865016 	2767358 	3147612 
NR,PERS,N1-3,DOM,EMP,MT	: 	255272 	205392 	: 	: 	: 
NR,PERS,N1-3,DOM,EMP,NL	15589133 	15648340 	15362363 	15678955 	16395260 	18246637 
NR,PERS,N1-3,DOM,EMP,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,EMP,PT	3832606 	9244430 	8740253 	: 	6625152 	7992776 
NR,PERS,N1-3,DOM,EMP,RO	15235397 	15277731 	14003085 	14883791 	14293691 	12776277 
NR,PERS,N1-3,DOM,EMP,SI	: 	1289799 	1197884 	1407217 	1563709 	1629290 
NR,PERS,N1-3,DOM,INAC_OTH,AT	3024645 	3204248 	3101784 	2782536 	2674968 	2833553 
NR,PERS,N1-3,DOM,INAC_OTH,EA	: 	: 	: 	: 	58140721 e	60506949 e
NR,PERS,N1-3,DOM,INAC_OTH,EE	572135 	546327 	521809 	528123 	297978 	244203 
NR,PERS,N1-3,DOM,INAC_OTH,ES	33897352 	30412923 	29355037 b	39515194 	36982324 	37361177 
NR,PERS,N1-3,DOM,INAC_OTH,EU27	: 	: 	72035233 e	: 	63962527 e	73677951 e
NR,PERS,N1-3,DOM,INAC_OTH,EU28	: 	: 	72672541 e	: 	63953721 e	73666329 e
NR,PERS,N1-3,DOM,INAC_OTH,FI	8032936 	8139826 	7955018 	7573154 	7715576 	8039640 
NR,PERS,N1-3,DOM,INAC_OTH,HR	435811 	: 	633797 	964460 	: 	: 
NR,PERS,N1-3,DOM,INAC_OTH,HU	4792656 	5126742 	5235108 	: 	: 	: 
NR,PERS,N1-3,DOM,INAC_OTH,LU	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,INAC_OTH,LV	: 	608495 	671661 	664272 	713868 	735364 
NR,PERS,N1-3,DOM,INAC_OTH,MT	: 	97994 	106974 	: 	: 	: 
NR,PERS,N1-3,DOM,INAC_OTH,NL	6847223 	6290610 	6545422 	7112533 	7008241 	7921782 
NR,PERS,N1-3,DOM,INAC_OTH,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,INAC_OTH,PT	1393661 	4524635 	4461173 	: 	2853843 	3412359 
NR,PERS,N1-3,DOM,INAC_OTH,RO	4640778 	4235680 	4258563 	4061812 	4079613 	3996799 
NR,PERS,N1-3,DOM,INAC_OTH,SI	: 	685182 	696800 	629558 	600657 	682004 
NR,PERS,N1-3,DOM,UNE,AT	148896 u	181613 u	193367 u	169937 u	199196 u	140116 u
NR,PERS,N1-3,DOM,UNE,EA	: 	: 	: 	: 	22316315 e	21528683 e
NR,PERS,N1-3,DOM,UNE,EE	87535 u	101169 u	115811 	133853 	106566 	161279 u
NR,PERS,N1-3,DOM,UNE,ES	17387314 	18277167 	21283639 b	14634210 	17087896 	16045803 
NR,PERS,N1-3,DOM,UNE,EU27	: 	: 	31917282 e	: 	23541215 e	24958896 e
NR,PERS,N1-3,DOM,UNE,EU28	: 	: 	32648855 e	: 	23537974 e	24954959 e
NR,PERS,N1-3,DOM,UNE,FI	1688423 	1911045 	1949215 	1703048 	1599135 	1285815 
NR,PERS,N1-3,DOM,UNE,HR	245530 	: 	673508 	800829 	: 	: 
NR,PERS,N1-3,DOM,UNE,HU	163187 	373872 	410865 	: 	: 	: 
NR,PERS,N1-3,DOM,UNE,LU	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,UNE,LV	: 	301762 	213649 	250157 	355958 	383816 
NR,PERS,N1-3,DOM,UNE,MT	: 	: u	: c	: 	: 	: 
NR,PERS,N1-3,DOM,UNE,NL	1045562 	2186692 	2214619 	2467566 	1979506 	2515856 
NR,PERS,N1-3,DOM,UNE,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,UNE,PT	312012 	1099689 	1047464 	: 	1099436 	1144603 
NR,PERS,N1-3,DOM,UNE,RO	220973 	272408 	322957 	382117 	490583 	420716 
NR,PERS,N1-3,DOM,UNE,SI	: 	210445 	108680 u	235615 	241842 	229634 
NR,PERS,N1-3,DOM,UNK,BE	4180516 b	3203589 	4122410 	2689760 	3148329 	2900170 
NR,PERS,N1-3,DOM,UNK,BG	5733767 	3364116 	3032569 	4071907 	3846551 	3842109 
NR,PERS,N1-3,DOM,UNK,CH	: 	6893722 	6853942 	6967693 	7743597 	6866989 
NR,PERS,N1-3,DOM,UNK,CY	1949968 	1903611 	1857829 	1607076 	1537768 	1823074 
NR,PERS,N1-3,DOM,UNK,CZ	38692095 	34237876 	31471676 	37078080 	33439028 	36200298 
NR,PERS,N1-3,DOM,UNK,DE	158998081 	168656004 	178011814 	161836384 	175945063 	167615290 
NR,PERS,N1-3,DOM,UNK,DK	: 	26815133 	30299877 	30055318 	29541173 b	26928655 
NR,PERS,N1-3,DOM,UNK,EA	: 	: 	: 	: 	415917753 e	418596649 e
NR,PERS,N1-3,DOM,UNK,EL	: 	3060303 	3243607 	3581761 	2923276 	5495625 
NR,PERS,N1-3,DOM,UNK,EU27	: 	: 	628738659 e	: 	682595122 e	642718716 e
NR,PERS,N1-3,DOM,UNK,EU28	: 	: 	627973237 e	: 	688325774 e	648543476 e
