unit,purpose,duration,partner,quantile,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,DOM,UNK,CY	1949968 	1903611 	1857829 	1607076 	1537768 	1823074 
NR,PERS,N1-3,DOM,UNK,CZ	38692095 	34237876 	31471676 	37078080 	33439028 	36200298 
NR,PERS,N1-3,DOM,UNK,DE	158998081 	168656004 	178011814 	161836384 	175945063 	167615290 
NR,PERS,N1-3,DOM,UNK,DK	: 	26815133 	30299877 	30055318 	29541173 b	26928655 
NR,PERS,N1-3,DOM,UNK,EA	: 	: 	: 	: 	645342875 e	684963974 e
NR,PERS,N1-3,DOM,UNK,EL	: 	3060303 	3243607 	3581761 	2923276 	5495625 
NR,PERS,N1-3,DOM,UNK,ES	177239149 	168452946 	160771044 b	160529081 	163427930 	166220655 
NR,PERS,N1-3,DOM,UNK,EU27	: 	: 	: 	: 	920065778 e	972643097 e
NR,PERS,N1-3,DOM,UNK,EU28	: 	: 	: 	: 	925763736 e	978415812 e
NR,PERS,N1-3,DOM,UNK,FI	39209211 	37846876 	38055783 	36961575 	39005051 	39189392 
NR,PERS,N1-3,DOM,UNK,FR	179119303 	160888964 	163206588 	184491323 	181954190 	184861260 
NR,PERS,N1-3,DOM,UNK,HR	2481744 	2600601 	3644526 	5327797 	5731124 	5817978 
NR,PERS,N1-3,DOM,UNK,HU	18161591 	17999573 	18573170 	17894808 	16457775 	20305731 
NR,PERS,N1-3,DOM,UNK,IE	10362955 	9993138 	9516756 	8352057 	7896544 	8022285 
NR,PERS,N1-3,DOM,UNK,IT	41064916 	44060794 	34577378 	36329218 b	33327995 	42155530 
NR,PERS,N1-3,DOM,UNK,LT	3227905 	3161710 	3402998 	3396253 	3121013 	3283417 
NR,PERS,N1-3,DOM,UNK,LU	: 	20197 u	22350 u	34234 	66854 	54737 
NR,PERS,N1-3,DOM,UNK,LV	: 	4111422 	3868018 	4115911 	4229386 	4741715 
NR,PERS,N1-3,DOM,UNK,MT	415493 	405279 	360284 	339022 b	321574 	330686 
NR,PERS,N1-3,DOM,UNK,NL	: 	: 	: 	: 	: 	33326859 
NR,PERS,N1-3,DOM,UNK,NO	16578183 	15870591 	15688166 	16927114 	13484748 	: 
NR,PERS,N1-3,DOM,UNK,PL	52558113 	48637419 	44086369 	41937463 b	50630835 	47242930 
NR,PERS,N1-3,DOM,UNK,PT	17334510 	16241852 	15781021 	14733797 	14346515 	13546352 
NR,PERS,N1-3,DOM,UNK,RO	: 	: 	: 	: 	: 	19599109 
NR,PERS,N1-3,DOM,UNK,SE	: 	34348522 	35077922 	30735810 	: 	: 
NR,PERS,N1-3,DOM,UNK,SI	2534409 	2436374 	2189284 	2693222 	2861056 	2994580 
NR,PERS,N1-3,DOM,UNK,SK	9037490 	8691208 	7043087 	5798469 	5525240 b	3918960 
NR,PERS,N1-3,DOM,UNK,UK	: 	: 	: 	: 	118641820 	120588222 
NR,PERS,N1-3,OUT,Q1,EA	: 	: 	: 	: 	1008287 e	111467 e
NR,PERS,N1-3,OUT,Q1,EE	74016 u	83568 u	58097 u	138127 	158543 	111453 u
NR,PERS,N1-3,OUT,Q1,EU27	: 	: 	: 	: 	1074214 e	113543 u
NR,PERS,N1-3,OUT,Q1,EU28	: 	: 	: 	: 	1074067 e	113525 u
NR,PERS,N1-3,OUT,Q1,NL	812664 	1080798 	1303522 	1026636 	849620 	: 
NR,PERS,N1-3,OUT,Q1,RO	: c	76643 u	65924 u	: u	: u	: 
NR,PERS,N1-3,OUT,Q2,EA	: 	: 	: 	: 	1861382 e	129315 e
NR,PERS,N1-3,OUT,Q2,EE	147426 	166521 	135555 	225731 	144602 	129299 u
NR,PERS,N1-3,OUT,Q2,EU27	: 	: 	: 	: 	2029874 e	131724 u
NR,PERS,N1-3,OUT,Q2,EU28	: 	: 	: 	: 	2029595 e	131703 u
NR,PERS,N1-3,OUT,Q2,NL	1180526 	1380979 	1106662 	1735691 	1716551 	: 
NR,PERS,N1-3,OUT,Q2,RO	104653 u	182147 u	106188 u	76082 u	135860 u	: 
NR,PERS,N1-3,OUT,Q3,EA	: 	: 	: 	: 	2836794 e	261886 e
NR,PERS,N1-3,OUT,Q3,EE	220760 	226926 	226147 	264767 	181395 	261854 u
NR,PERS,N1-3,OUT,Q3,EU27	: 	: 	: 	: 	2976268 e	266765 u
NR,PERS,N1-3,OUT,Q3,EU28	: 	: 	: 	: 	2975858 e	266723 u
NR,PERS,N1-3,OUT,Q3,NL	2523313 	2727048 	2726394 	2751304 	2655051 	: 
NR,PERS,N1-3,OUT,Q3,RO	167739 	98667 u	103928 u	61606 u	91640 u	: 
NR,PERS,N1-3,OUT,Q4,EA	: 	: 	: 	: 	3057010 e	469380 e
NR,PERS,N1-3,OUT,Q4,EE	389267 	326413 	336420 	339274 	341343 	469322 
NR,PERS,N1-3,OUT,Q4,EU27	: 	: 	: 	: 	3141908 e	478123 e
NR,PERS,N1-3,OUT,Q4,EU28	: 	: 	: 	: 	3141475 e	478048 e
NR,PERS,N1-3,OUT,Q4,NL	4662439 	3120893 	2945447 	2488944 	2715291 	: 
NR,PERS,N1-3,OUT,Q4,RO	: c	: u	: u	: u	: u	: 
NR,PERS,N1-3,OUT,TOTAL,AT	7563111 	7415153 	6464114 	6720360 	6379104 	6655895 
NR,PERS,N1-3,OUT,TOTAL,BE	7371945 b	8032009 	6331056 	6121727 	5718685 	4629350 
NR,PERS,N1-3,OUT,TOTAL,BG	436887 	345370 	297478 	418913 	366149 	324547 
NR,PERS,N1-3,OUT,TOTAL,CH	: 	8549586 	9558327 	7787808 	8322851 	7136188 
NR,PERS,N1-3,OUT,TOTAL,CY	618469 	487173 	410228 	386405 	458056 	413725 
NR,PERS,N1-3,OUT,TOTAL,CZ	3041955 	2979398 	2836035 	2773194 	2640495 	2346634 
NR,PERS,N1-3,OUT,TOTAL,DE	35012116 	39661532 	36340864 	32600563 	34809888 	32553576 
NR,PERS,N1-3,OUT,TOTAL,DK	: 	4843024 	5426585 	4908352 	4792423 b	3367517 
NR,PERS,N1-3,OUT,TOTAL,EA	: 	: 	: 	: 	93461814 e	93620351 e
NR,PERS,N1-3,OUT,TOTAL,EE	831468 	803429 	756220 	967899 	825883 	971928 
NR,PERS,N1-3,OUT,TOTAL,EL	: 	240935 	270347 	250743 	164621 	213645 
NR,PERS,N1-3,OUT,TOTAL,ES	9179123 	7808029 	7750363 b	6842133 	5961069 	6580491 
NR,PERS,N1-3,OUT,TOTAL,EU27	: 	: 	: 	: 	130400426 e	127680958 e
NR,PERS,N1-3,OUT,TOTAL,EU28	: 	: 	: 	: 	132459717 e	129839815 e
NR,PERS,N1-3,OUT,TOTAL,FI	7110020 	6662883 	6674887 	6313586 	6412756 	6649926 
NR,PERS,N1-3,OUT,TOTAL,FR	13460009 	10492086 	11117404 	11822324 	10946820 	10982642 
NR,PERS,N1-3,OUT,TOTAL,HR	1576221 	1317299 	1994335 	2030582 	2043897 	2139225 
NR,PERS,N1-3,OUT,TOTAL,HU	5944145 	5530304 	4526996 	3993153 	3331402 	2846840 
NR,PERS,N1-3,OUT,TOTAL,IE	4606724 	3437188 	3572722 	3304130 	3246700 	3170596 
NR,PERS,N1-3,OUT,TOTAL,IT	7200667 	5980802 	6319631 	5843188 b	5747099 	7940022 
NR,PERS,N1-3,OUT,TOTAL,LT	874187 	885307 	880571 	841171 	834131 	840028 
NR,PERS,N1-3,OUT,TOTAL,LU	: 	961892 	1212682 	1290118 	1027517 	991069 
NR,PERS,N1-3,OUT,TOTAL,LV	: 	886347 	850721 	754382 	755047 	910538 
NR,PERS,N1-3,OUT,TOTAL,MT	271443 	220566 	165828 	146593 b	148844 	119688 
NR,PERS,N1-3,OUT,TOTAL,NL	9178941 	8309718 	8082025 	8002575 	7936514 	8206753 
NR,PERS,N1-3,OUT,TOTAL,NO	4784805 	4672079 	5108204 	5431251 	4602526 	: 
NR,PERS,N1-3,OUT,TOTAL,PL	4598958 	4267189 	4039554 	3633928 b	3755261 	3669135 
NR,PERS,N1-3,OUT,TOTAL,PT	933391 	906879 	758295 	605559 	461091 	648966 
NR,PERS,N1-3,OUT,TOTAL,RO	326100 	379231 	282780 	181106 	310572 	233700 
NR,PERS,N1-3,OUT,TOTAL,SE	: 	5714394 	6219921 	6154145 	: 	: 
NR,PERS,N1-3,OUT,TOTAL,SI	2781350 	2351682 	2502671 	2281716 	2364491 	1918814 
NR,PERS,N1-3,OUT,TOTAL,SK	2225911 	1639153 	1189078 	1522791 	814994 b	938147 
NR,PERS,N1-3,OUT,TOTAL,UK	: 	: 	: 	: 	18053608 	17442447 
NR,PERS,N1-3,OUT,UNK,AT	7563111 	7415153 	6464114 	6720360 	6379104 	6655895 
NR,PERS,N1-3,OUT,UNK,BE	7371945 b	8032009 	6331056 	6121727 	5718685 	4629350 
NR,PERS,N1-3,OUT,UNK,BG	436887 	345370 	297478 	418913 	366149 	324547 
NR,PERS,N1-3,OUT,UNK,CH	: 	8549586 	9558327 	7787808 	8322851 	7136188 
NR,PERS,N1-3,OUT,UNK,CY	618469 	487173 	410228 	386405 	458056 	413725 
NR,PERS,N1-3,OUT,UNK,CZ	3041955 	2979398 	2836035 	2773194 	2640495 	2346634 
NR,PERS,N1-3,OUT,UNK,DE	35012116 	39661532 	36340864 	32600563 	34809888 	32553576 
NR,PERS,N1-3,OUT,UNK,DK	: 	4843024 	5426585 	4908352 	4792423 b	3367517 
NR,PERS,N1-3,OUT,UNK,EA	: 	: 	: 	: 	84698342 e	92648304 e
NR,PERS,N1-3,OUT,UNK,EL	: 	240935 	270347 	250743 	164621 	213645 
NR,PERS,N1-3,OUT,UNK,ES	9179123 	7808029 	7750363 b	6842133 	5961069 	6580491 
NR,PERS,N1-3,OUT,UNK,EU27	: 	: 	: 	: 	121178163 e	126690803 e
NR,PERS,N1-3,OUT,UNK,EU28	: 	: 	: 	: 	123238722 e	128849816 e
NR,PERS,N1-3,OUT,UNK,FI	7110020 	6662883 	6674887 	6313586 	6412756 	6649926 
NR,PERS,N1-3,OUT,UNK,FR	13460009 	10492086 	11117404 	11822324 	10946820 	10982642 
NR,PERS,N1-3,OUT,UNK,HR	1576221 	1317299 	1994335 	2030582 	2043897 	2139225 
NR,PERS,N1-3,OUT,UNK,HU	5944145 	5530304 	4526996 	3993153 	3331402 	2846840 
NR,PERS,N1-3,OUT,UNK,IE	4606724 	3437188 	3572722 	3304130 	3246700 	3170596 
NR,PERS,N1-3,OUT,UNK,IT	7200667 	5980802 	6319631 	5843188 b	5747099 	7940022 
NR,PERS,N1-3,OUT,UNK,LT	874187 	885307 	880571 	841171 	834131 	840028 
NR,PERS,N1-3,OUT,UNK,LU	: 	961892 	1212682 	1290118 	1027517 	991069 
NR,PERS,N1-3,OUT,UNK,LV	: 	886347 	850721 	754382 	755047 	910538 
NR,PERS,N1-3,OUT,UNK,MT	271443 	220566 	165828 	146593 b	148844 	119688 
NR,PERS,N1-3,OUT,UNK,NL	: 	: 	: 	: 	: 	8206753 
NR,PERS,N1-3,OUT,UNK,NO	4784805 	4672079 	5108204 	5431251 	4602526 	: 
NR,PERS,N1-3,OUT,UNK,PL	4598958 	4267189 	4039554 	3633928 b	3755261 	3669135 
NR,PERS,N1-3,OUT,UNK,PT	933391 	906879 	758295 	605559 	461091 	648966 
NR,PERS,N1-3,OUT,UNK,RO	: 	: 	: 	: 	: 	233700 
NR,PERS,N1-3,OUT,UNK,SE	: 	5714394 	6219921 	6154145 	: 	: 
NR,PERS,N1-3,OUT,UNK,SI	2781350 	2351682 	2502671 	2281716 	2364491 	1918814 
NR,PERS,N1-3,OUT,UNK,SK	2225911 	1639153 	1189078 	1522791 	814994 b	938147 
NR,PERS,N1-3,OUT,UNK,UK	: 	: 	: 	: 	18053608 	17442447 
NR,PERS,N1-3,WORLD,Q1,EA	: 	: 	: 	: 	7017017 e	502013 e
NR,PERS,N1-3,WORLD,Q1,EE	630446 	589916 	537979 	659008 	680747 	501951 
NR,PERS,N1-3,WORLD,Q1,EU27	: 	: 	: 	: 	16363082 e	511365 e
NR,PERS,N1-3,WORLD,Q1,EU28	: 	: 	: 	: 	16360829 e	511284 e
NR,PERS,N1-3,WORLD,Q1,NL	4188185 	6443143 	7119718 	6377817 	6335409 	: 
NR,PERS,N1-3,WORLD,Q1,RO	5973629 	7506513 	8128944 	8929103 	9082031 	: 
NR,PERS,N1-3,WORLD,Q2,EA	: 	: 	: 	: 	9550051 e	457661 e
NR,PERS,N1-3,WORLD,Q2,EE	841654 	978068 	745764 	1090647 	519234 	457605 
NR,PERS,N1-3,WORLD,Q2,EU27	: 	: 	: 	: 	18748204 e	466186 e
