unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N1-3,DOM,SE	: 	34348522 	35077922 	30735810 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,SI	2534409 	2436374 	2189284 	2693222 	2861056 	2994580 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,SK	9037490 	8691208 	7043087 	5798469 	5525240 b	3918960 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,UK	: 	: 	: 	: 	118641820 	120588222 	: 	: 	: 	: 	: 	: 	: 	: 	110500000 	124400000 	121600000 	129900000 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,AT	7563111 	7415153 	6464114 	6720360 	6379104 	6655895 	: 	: 	: 	: 	: 	4894281 	: 	3921669 	3584641 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,BE	7371945 b	8032009 	6331056 	6121727 	5718685 	4629350 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,BG	436887 	345370 	297478 	418913 	366149 	324547 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,CH	: 	8549586 	9558327 	7787808 	8322851 	7136188 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,CY	618469 	487173 	410228 	386405 	458056 	413725 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,CZ	3041955 	2979398 	2836035 	2773194 	2640495 	2346634 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,DE	35012116 	39661532 	36340864 	32600563 	34809888 	32553576 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,DK	: 	4843024 	5426585 	4908352 	4792423 b	3367517 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1662300 	1707700 	: 	: 	1437100 	: 	: 
NR,PERS,N1-3,OUT,EA	: 	: 	: 	95285354 e	93435597 e	93596749 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,EE	831468 	803429 	756220 	967899 	825883 	971928 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,EL	: 	240935 	270347 	250743 	164621 	213645 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,ES	9179123 	7808029 	7750363 b	6842133 	5961069 	6580491 	: 	: 	: 	: 	: 	4575409 	4313380 	2626960 	1679000 	1452710 	2233596 	1886529 	1004866 	1340859 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,EU27	: 	: 	143486009 e	136212124 e	130758085 e	127998047 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,EU28	: 	: 	145592659 e	138369093 e	132820015 e	130157548 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,FI	7110020 	6662883 	6674887 	6313586 	6412756 	6649926 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,FR	13460009 	10492086 	11117404 	11822324 	10946820 	10982642 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8409000 	8220000 	4275339 	2595002 	: 	: 	: 
NR,PERS,N1-3,OUT,HR	1576221 	1317299 	1994335 	2030582 	2043897 	2139225 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,HU	5944145 	5530304 	4526996 	3993153 	3331402 	2846840 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,IE	4606724 	3437188 	3572722 	3304130 	3246700 	3170596 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	474000 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,IT	7200667 	5980802 	6319631 	5843188 b	5747099 	7940022 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,LT	874187 	885307 	880571 	841171 	834131 	840028 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,LU	: 	961892 	1212682 	1290118 	1027517 	991069 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,LV	: 	886347 	850721 	754382 	755047 	910538 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,MT	271443 	220566 	165828 	146593 b	148844 	119688 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,NL	9178941 	8309718 	8082025 	8002575 	7936514 	8206753 b	: 	: 	: 	: 	: 	6304000 	6377000 	6866000 	6705000 	7100000 	4797000 	4872000 	4824000 	4501000 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,NO	4784805 	4672079 	5108204 	5431251 	4602526 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,PL	4598958 	4267189 	4039554 	3633928 b	3755261 	3669135 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,PT	933391 	906879 	758295 	605559 	461091 	648966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,RO	326100 	379231 	282780 	181106 	310572 	233700 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,SE	: 	5714394 	6219921 	6154145 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,SI	2781350 	2351682 	2502671 	2281716 	2364491 	1918814 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,SK	2225911 	1639153 	1189078 	1522791 	814994 b	938147 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,UK	: 	: 	: 	: 	18053608 	17442447 	: 	: 	: 	: 	: 	: 	: 	: 	20061000 	18200000 	18800000 	16600000 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,AT	20951845 	21116817 	18993653 	20023234 	18755481 	18269954 	: 	: 	: 	: 	: 	14669727 	: 	11520148 	11677354 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,BE	11552461 b	11235598 	10453466 	8811487 	8867014 	7529520 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,BG	6170654 	3709486 	3330047 	4490820 	4212700 	4166656 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,CH	: 	15443308 	16412269 	14755502 	16066449 	14003177 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,CY	2568437 	2390784 	2268057 	1993481 	1995824 	2236799 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,CZ	41734050 	37217274 	34307712 	39851274 	36079523 	38546932 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,DE	194010197 	208317536 	214352678 	194436947 	210754951 	200168867 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,DK	: 	31658157 	35726462 	34963670 	34333596 b	30296172 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8891600 	9037100 	: 	: 	11153300 	: 	: 
NR,PERS,N1-3,WORLD,EA	: 	: 	: 	757719887 e	770175811 e	780064567 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,EE	4970661 	4975672 	4286307 	4366405 	3166930 	3285780 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,EL	: 	3301238 	3513955 	3832504 	3087896 	5709271 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,ES	186418273 	176260975 	168521407 b	167371214 	169389000 	172801146 	: 	: 	: 	: 	: 	161444814 	161622100 	166412400 	153141100 	145018400 	175608110 	173726370 	82161494 	20605035 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,EU27	: 	: 	1120083504 e	1113532810 e	1106954281 e	1115879205 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,EU28	: 	: 	1125170244 e	1120594491 e	1114698221 e	1123807897 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,FI	46319231 	44509760 	44730670 	43275161 	45417807 	45839318 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,FR	192579312 	171381050 	174323992 	196313647 	192901010 	195843901 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	150650000 	149183000 	127862006 	146805002 	: 	: 	: 
NR,PERS,N1-3,WORLD,HR	4057965 	3917900 	5638861 	7358379 	7775021 	7957203 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,HU	24105736 	23529877 	23100166 	21887961 	19789177 	23152571 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,IE	14969680 	13430326 	13089478 	11656187 	11143244 	11192881 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4329000 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,IT	48265584 	50041595 	40897010 	42172406 b	39075094 	50095552 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,LT	4102092 	4047017 	4283568 	4237424 	3955144 	4123445 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,LU	: 	982090 	1235032 	1324352 	1094371 	1045806 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,LV	: 	4997769 	4718739 	4870293 	4984433 	5652253 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,MT	686936 	625845 	526112 	485615 b	470418 	450374 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,NL	36596123 	36036152 	35457282 	37023296 	37588884 	41533613 b	: 	: 	: 	: 	: 	21716000 	21668000 	22409000 	22682000 	23413000 	20579000 	21266000 	19819000 	18937000 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,NO	21362988 	20542670 	20796370 	22358365 	18087274 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,PL	57157071 	52904608 	48125924 	45571391 b	54386097 	50912065 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,PT	18267901 	17148730 	16539316 	15339355 	14807606 	14195318 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,RO	22899514 	22309139 	20979135 	21878189 	21316203 	19832809 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,SE	: 	40062916 	41297843 	36889955 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,SI	5315759 	4788057 	4691954 	4974938 	5225547 	4913394 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,SK	11263401 	10330362 	8232165 	7321260 	6340234 b	4857107 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,UK	: 	: 	: 	: 	136695428 	138030669 	: 	: 	: 	: 	: 	: 	: 	: 	130561000 	142600000 	140400000 	146400000 	: 	: 	: 	: 	: 	: 
NR,PERS,N15-28,DOM,AT	2063132 	3046401 	3037279 	2579712 	2933195 	2161251 	: 	: 	: 	: 	: 	: 	2347093 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N15-28,DOM,BE	687671 bu	635577 	888974 u	909735 u	1304567 u	: u	1637400 	1418475 	1520532 	1752718 	1942686 	3122964 	2617209 	3148378 	2889768 	2461827 	2695439 	2029545 	2997650 	3210821 	: 	3632450 	: 	3266116 
NR,PERS,N15-28,DOM,BG	: c	: u	437900 u	510646 u	1269143 	: u	977273 	1938775 	1340885 	1057544 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N15-28,DOM,CH	: 	: u	: u	2464973 u	1487120 u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N15-28,DOM,CY	187180 u	288026 u	202780 u	478472 u	: u	412409 bu	159592 	177233 	194628 	176959 	187736 	179415 	167283 	238834 	215161 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N15-28,DOM,CZ	9985612 	8978826 	8391117 	10351019 	9981579 	10143380 	10859222 	9203462 	8964463 	7599147 	7516004 	6915078 	5244363 	5439955 	5776234 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N15-28,DOM,DE	40461771 	34217227 	43395917 	32543607 	35107949 	35358353 	37490324 	45874639 	45684595 	46629687 	44953468 	56747168 	62737015 	56949000 	79135000 	75774000 	65259000 	76132000 	: u	: u	: u	: 	: 	: 
NR,PERS,N15-28,DOM,DK	: 	2493196 u	1766098 u	3170291 	2286391 bu	1914972 u	1557197 	2213783 	1803881 	2104075 	708559 	997969 	1309933 	713975 	1793400 	1506900 	963700 	1245400 	970700 	1127700 	1376000 	1594800 	: 	: 
NR,PERS,N15-28,DOM,EA	: 	: 	: 	363689617 e	384252072 e	398671435 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N15-28,DOM,EE	: c	: u	: u	: u	: u	: u	0 	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N15-28,DOM,EL	: 	9568506 	9847589 	10874007 	9681713 	9771188 	13353598 	13212404 	18010994 	19599984 	21200652 	22373742 	21181520 	16804963 	12289832 	12894914 	13278624 	13939811 	11367685 	17681229 	20082324 	: 	17193343 	: 
NR,PERS,N15-28,DOM,ES	63170097 	67441272 	63160899 b	65258502 	72207984 	71775917 	74670294 	75493192 	76118570 	71939649 	63568043 	: 	65023100 	64185730 	71242760 	74318450 	72587230 	66436600 	61248239 	88049504 	71751517 	: 	: 	: 
NR,PERS,N15-28,DOM,EU27	: 	: 	477408618 e	467032656 e	435676019 e	455573733 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N15-28,DOM,EU28	: 	: 	481203327 e	470049412 e	439768172 e	460263223 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N15-28,DOM,FI	3346682 u	3555861 u	3259698 u	2560496 u	3788101 	2448697 bu	3382000 	3875000 	3102000 	2448000 	2864000 	3206000 	2834000 	2819000 	2697000 	2976000 	3139000 	2064000 	3630000 	3219000 	2874000 	3886000 	: 	: 
NR,PERS,N15-28,DOM,FR	167646681 	170102602 	170634550 	194244508 	193846418 	203107170 	212185320 	196707210 	206792082 	222488375 	228502278 	230416534 	238000360 	141566000 	158098000 	188915000 	196414000 	165229000 	167084000 	: 	: 	: 	: 	: 
NR,PERS,N15-28,DOM,HR	2199972 	2196571 	3825407 	3134279 	4084628 	4673770 	4116117 	6195565 	6005579 	5275435 	3996673 	: 	: 	3997939 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
