unit,purpose,duration,partner,tripdest,geo\time	2017 	2016 	2015 	2014 	2013 
NR,PERS,N1-3,DOM,CTRY,IT	: 	3987970 	: 	: 	4360182 
NR,PERS,N1-3,DOM,CTRY,LT	: 	588313 	: 	: 	1331624 
NR,PERS,N1-3,DOM,CTRY,LU	: 	16918 u	: 	: 	33582 
NR,PERS,N1-3,DOM,CTRY,LV	: 	765228 	: 	: 	1407899 
NR,PERS,N1-3,DOM,CTRY,MT	: 	160237 	: 	: 	: 
NR,PERS,N1-3,DOM,CTRY,NL	: 	12840540 	: 	: 	14151555 
NR,PERS,N1-3,DOM,CTRY,NO	1547016 	1339769 	1418018 	1643957 	1363128 
NR,PERS,N1-3,DOM,CTRY,PL	: 	12543815 	: 	: 	13708884 
NR,PERS,N1-3,DOM,CTRY,PT	: 	5753023 	: 	: 	5289419 
NR,PERS,N1-3,DOM,CTRY,RO	7145843 	6530895 	: 	: 	7523357 
NR,PERS,N1-3,DOM,CTRY,SE	: 	10477759 	: 	: 	: 
NR,PERS,N1-3,DOM,CTRY,SI	: 	875509 	: 	: 	1296159 
NR,PERS,N1-3,DOM,CTRY,SK	: 	2561987 	: 	: 	1610554 
NR,PERS,N1-3,DOM,CTRY,UK	: 	: 	: 	: 	22574187 
NR,PERS,N1-3,DOM,MNT,AT	2673482 	2754291 	: 	: 	743994 
NR,PERS,N1-3,DOM,MNT,BE	: 	519465 	: 	: 	471430 
NR,PERS,N1-3,DOM,MNT,BG	: 	523878 	: 	: 	564718 
NR,PERS,N1-3,DOM,MNT,CH	: 	2297738 	2130004 	: 	2648212 
NR,PERS,N1-3,DOM,MNT,CY	: 	451730 	: 	: 	353215 
NR,PERS,N1-3,DOM,MNT,CZ	: 	4734636 	: 	: 	4009699 
NR,PERS,N1-3,DOM,MNT,DE	: 	16384565 	: 	: 	15860794 
NR,PERS,N1-3,DOM,MNT,DK	: 	: 	: 	: 	4591953 
NR,PERS,N1-3,DOM,MNT,EA	: 	: 	: 	: 	92370737 e
NR,PERS,N1-3,DOM,MNT,EL	: 	230081 	: 	: 	405895 
NR,PERS,N1-3,DOM,MNT,ES	: 	22353706 	: 	: 	23341458 
NR,PERS,N1-3,DOM,MNT,EU27	: 	: 	: 	: 	117355302 e
NR,PERS,N1-3,DOM,MNT,EU28	: 	: 	: 	: 	117602361 e
NR,PERS,N1-3,DOM,MNT,FI	: 	1238668 	: 	: 	1559643 
NR,PERS,N1-3,DOM,MNT,FR	31427099 	30598289 	: 	: 	34152059 
NR,PERS,N1-3,DOM,MNT,HR	: 	: u	: 	: 	261212 
NR,PERS,N1-3,DOM,MNT,HU	976488 	881661 	: 	: 	862916 
NR,PERS,N1-3,DOM,MNT,IE	: 	517232 	: 	: 	429752 
NR,PERS,N1-3,DOM,MNT,IT	: 	10463506 	: 	: 	10186904 
NR,PERS,N1-3,DOM,MNT,LU	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,MNT,LV	: 	: c	: 	: 	: 
NR,PERS,N1-3,DOM,MNT,NL	: 	1279823 	: 	: 	1430299 
NR,PERS,N1-3,DOM,MNT,NO	3456678 	3563175 	3127905 	3131498 	2641817 
NR,PERS,N1-3,DOM,MNT,PL	: 	5242940 	: 	: 	7401814 
NR,PERS,N1-3,DOM,MNT,PT	: 	2476075 	: 	: 	1094531 
NR,PERS,N1-3,DOM,MNT,RO	5970458 	6197364 	: 	: 	5043154 
NR,PERS,N1-3,DOM,MNT,SE	: 	532168 	: 	: 	: 
NR,PERS,N1-3,DOM,MNT,SI	: 	312659 	: 	: 	521446 
NR,PERS,N1-3,DOM,MNT,SK	: 	2879006 	: 	: 	1805096 
NR,PERS,N1-3,DOM,MNT,UK	: 	: 	: 	: 	282508 u
NR,PERS,N1-3,DOM,OTH,AT	: c	: u	: 	: 	: u
NR,PERS,N1-3,DOM,OTH,BE	: 	75694 	: 	: 	112044 u
NR,PERS,N1-3,DOM,OTH,BG	: 	: u	: 	: 	: u
NR,PERS,N1-3,DOM,OTH,CH	: 	: u	: u	: 	: u
NR,PERS,N1-3,DOM,OTH,CY	: 	1232808 	: 	: 	10523 u
NR,PERS,N1-3,DOM,OTH,CZ	: 	670882 	: 	: 	391039 u
NR,PERS,N1-3,DOM,OTH,DE	: 	16018836 	: 	: 	19872592 
NR,PERS,N1-3,DOM,OTH,DK	: 	18300225 	: 	: 	1071196 
NR,PERS,N1-3,DOM,OTH,EA	: 	: 	: 	: 	31901884 e
NR,PERS,N1-3,DOM,OTH,EE	: 	1151319 	: 	: 	: u
NR,PERS,N1-3,DOM,OTH,EL	: 	: u	: 	: 	: u
NR,PERS,N1-3,DOM,OTH,ES	: 	17990628 	: 	: 	2074592 
NR,PERS,N1-3,DOM,OTH,EU27	: 	: 	: 	: 	63202181 e
NR,PERS,N1-3,DOM,OTH,EU28	: 	: 	: 	: 	63635366 e
NR,PERS,N1-3,DOM,OTH,FI	: 	1141601 	: 	: 	1024679 
NR,PERS,N1-3,DOM,OTH,FR	9886460 	3180069 	: 	: 	3320127 
NR,PERS,N1-3,DOM,OTH,HR	: 	1824117 	: 	: 	435130 
NR,PERS,N1-3,DOM,OTH,IE	: 	472853 	: 	: 	327933 
NR,PERS,N1-3,DOM,OTH,IT	: 	1436506 u	: 	: 	3402398 
NR,PERS,N1-3,DOM,OTH,LT	: 	42190 	: 	: 	113956 
NR,PERS,N1-3,DOM,OTH,LU	: 	: u	: 	: 	: 
NR,PERS,N1-3,DOM,OTH,LV	: 	2722095 	: 	: 	276309 
NR,PERS,N1-3,DOM,OTH,MT	: 	52058 	: 	: 	: 
NR,PERS,N1-3,DOM,OTH,NL	: 	1767662 	: 	: 	625053 
NR,PERS,N1-3,DOM,OTH,NO	: u	: u	: u	: u	: u
NR,PERS,N1-3,DOM,OTH,PL	: 	381536 	: 	: 	554101 u
NR,PERS,N1-3,DOM,OTH,PT	: 	1393443 	: 	: 	621809 
