c_resid,unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
FOR,NR,I551,BE3	794178 	719627 	799481 	: 	808738 	809065 	811418 	768545 	721839 	774859 	777187 	748320 	698469 	673992 	623710 	662269 	632950 	616308 	579836 	546257 	524242 	511664 	487571 	: 	: 	: 	: 	: 
FOR,NR,I551,BE31	127342 	114285 	142344 	: 	127773 	127230 	121048 	111740 	112519 	114349 	122701 	117395 	98267 	103010 	94917 	95542 	91864 	94755 	91951 	71636 	75102 	71939 	70918 	: 	: 	: 	: 	: 
FOR,NR,I551,BE32	223923 	206653 	224659 	: 	223393 	225990 	219598 	202992 	146741 	150965 	134639 	128054 	112244 	108781 	88486 	97635 	89277 	86077 	82405 	78814 	76095 	74664 	62732 	62185 	: 	: 	: 	: 
FOR,NR,I551,BE33	261975 	248506 	264125 	: 	284605 	281423 	292982 	277039 	291534 	329358 	317511 	306201 	288818 	270070 	254579 	271220 	249374 	241579 	218275 	220167 	203889 	204652 	194154 	183485 	: 	: 	: 	: 
FOR,NR,I551,BE34	97250 	78575 	87967 	: 	94390 	97071 	94849 	92186 	96059 	103377 	112539 	108673 	110971 	105756 	108094 	119573 	119537 	117063 	109226 	101026 	97664 	95306 	92413 	87256 	: 	: 	: 	: 
FOR,NR,I551,BE35	83688 	71608 	80386 	: 	78577 	77351 	82941 	84588 	74986 	76810 	89797 	87997 	88169 	86375 	77634 	78299 	82898 	76834 	77979 	74614 	71492 	65103 	67354 	81767 	: 	: 	: 	: 
FOR,NR,I551,BG	3571097 	3319403 	2805760 	2732212 	2754493 	2579134 	2387427 	2064167 	1931258 	2204650 	2205624 	2022579 	1909436 	1668140 	1375650 	1030081 	863624 	741357 	581272 	683481 	662271 	755021 	799775 	959686 	1100294 	1019730 	728948 	1946455 
FOR,NR,I551,BG3	2353811 	2232666 	1824207 	1803408 	1910201 	1794724 	1671291 	1368755 	1303052 	1478495 	1491751 	1383579 	1317216 	1142153 	968785 	702323 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,BG31	31733 	28271 	27834 	27647 	29520 	24694 	23011 	20652 	20871 	22210 	19917 	18299 	15093 	13205 	11446 	8998 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,BG32	89315 	77940 	71352 	68699 	72370 	70128 	61041 	55316 	53649 	62174 	68023 	54270 	48596 	41280 	35737 	32654 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,BG33	1074590 	1018664 	824445 	784444 	894092 	845459 	816857 	630829 	665963 	735449 	758868 	694490 	682230 	626932 	591484 	485195 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,BG34	1158173 	1107791 	900576 	922618 	914219 	854443 	770382 	661958 	562569 	658662 	644943 	616520 	571297 	460736 	330118 	175476 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,BG4	1217286 	1086737 	981553 	928804 	844292 	784410 	716136 	695412 	628206 	726155 	713873 	639000 	592220 	525987 	406865 	327758 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,BG41	1020157 	904771 	810904 	775859 	701301 	648638 	591483 	586026 	514294 	591651 	563729 	502279 	461992 	408675 	322380 	254369 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,BG42	197129 	181966 	170649 	152945 	142991 	135772 	124653 	109386 	113912 	134504 	150144 	136721 	130228 	117312 	84485 	73389 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,CH	: 	9190772 	9292153 	9145704 	7876619 	8553759 	8521907 	8615240 	8281738 	8595395 	8435993 	7851391 	7218465 	: 	: 	6867696 	7454855 	7821158 	7153967 	7185379 	7039225 	6729797 	6945983 	7357885 	7224502 	7527998 	7400292 	7963159 
FOR,NR,I551,CH0	: 	9190772 	9292153 	9145704 	7876619 	8553759 	8521907 	8615240 	8281738 	8595395 	8435993 	7851391 	7218465 	: 	: 	6867696 	7454855 	7821158 	7153967 	7185379 	7039225 	6729797 	6945983 	7357885 	: 	: 	: 	: 
FOR,NR,I551,CH01	: 	2373779 	2358837 	2396277 	1747330 	2298182 	2305464 	2343350 	2284147 	2391356 	2344835 	2205284 	2026298 	: 	: 	1929794 	2045517 	2133133 	1933404 	1961035 	1880358 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,CH02	: 	1573435 	1651715 	1538086 	1616857 	1343229 	1297731 	1267726 	1204860 	1261011 	1266594 	1175252 	1092766 	: 	: 	999980 	1091180 	1179849 	1049241 	1049245 	1038677 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,CH03	: 	611369 	602385 	608959 	439874 	572769 	569419 	561872 	544487 	536308 	510704 	470925 	404746 	: 	: 	349541 	364562 	372150 	360911 	358684 	349944 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,CH04	: 	2054434 	2028479 	1950460 	814118 	1827334 	1753931 	1713213 	1585677 	1618553 	1569224 	1475459 	1349236 	: 	: 	1256536 	1329446 	1347452 	1254278 	1270250 	1252588 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,CH05	: 	855296 	866776 	955392 	1722127 	968626 	1037509 	1137240 	1132676 	1178416 	1118940 	1039500 	991128 	: 	: 	957131 	1078527 	1106520 	1024852 	1028544 	976342 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,CH06	: 	1302899 	1374447 	1256297 	879446 	1114892 	1116383 	1114796 	1022278 	1068154 	1071385 	970934 	872997 	: 	: 	878417 	980186 	1093903 	971615 	954390 	996033 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,CH07	: 	419560 	409514 	440233 	656867 	428727 	441470 	477043 	507613 	541597 	554311 	514037 	481294 	: 	: 	496297 	565437 	588151 	559666 	563231 	545283 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,CY	2488362 	2268054 	1873550 	1934727 	1946893 	2019848 	1921251 	1788372 	1646564 	1753561 	1775447 	1761316 	1750168 	1725070 	1817936 	2034398 	2335121 	2235528 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,CY0	2488362 	2268054 	1873550 	1934727 	1946893 	2019848 	1921251 	1788372 	1646565 	1753561 	1775447 	1761316 	1750168 	1725070 	1817936 	2034398 	2335121 	2235528 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,CY00	2488362 	2268054 	1873550 	1934727 	1946893 	2019848 	1921251 	1788372 	1646566 	1753561 	1775447 	1761316 	1750168 	1725070 	1817936 	2034398 	2335121 	2235528 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,CZ	9354116 	8578636 	8023523 	7513226 	7326692 	7166917 	6376697 	5974227 	5609025 	6134720 	6098495 	5780674 	5685757 	5346485 	4484989 	4314111 	4861615 	4096720 	4140533 	4066645 	4012521 	3696297 	2891461 	2448289 	: 	: 	: 	: 
FOR,NR,I551,CZ0	9354116 	8578636 	8023523 	7513226 	7326692 	7166917 	6376697 	5974227 	5609025 	6134720 	6098495 	5780674 	5685757 	5346485 	4484989 	4314111 	4861615 	4096720 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,CZ01	6094592 	5667056 	5317722 	5005543 	4784085 	4698192 	4249331 	3990272 	3650998 	3868109 	3814628 	3502237 	3510726 	3232489 	2474095 	2126437 	2493354 	2213342 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,CZ02	224524 	193956 	190359 	167254 	188408 	185872 	144945 	129613 	132640 	161614 	184571 	198084 	202356 	226991 	198573 	185506 	300399 	191447 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,CZ03	688611 	610983 	570365 	497492 	465215 	471737 	404717 	385567 	363776 	385963 	403911 	371823 	372889 	367919 	316518 	354871 	348578 	228952 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
