unit,partner,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
NR,EE,I552_I553,BE	474 	393 	418 	259 	469 	412 b	250 	275 	240 	130 	236 	251 	210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,BG	227 	137 	133 	120 	118 	74 b	14 	4 	9 	17 	9 	214 	168 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,CH	: 	583 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,CY	0 	0 	6 	1 	0 	1 b	134 	120 	114 	: 	: 	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,CZ	1680 	1254 	1334 	1256 	941 	1097 b	765 	1074 	815 	2267 	1842 	1669 	1827 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,DE	6228 	7030 	6444 	4497 	4739 	4596 b	4204 	4170 	5118 	4920 	4569 	5219 	5902 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,DK	1168 e	1304 e	1340 e	1316 e	1259 	1023 b	827 	955 	1096 	1160 	1016 	1170 	1201 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,EA	497716 e	449964 	429285 	: 	: 	: 	: 	: 	: 	49108 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,EE	356158 	318749 	302896 	285498 	284484 	261696 b	250053 	226006 	206510 	286202 	287110 	260266 	191165 	163126 	142290 	148000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,EL	55911 e	56838 e	58736 e	42303 e	38758 	37837 e	112 	187 	197 	218 	130 	52 	97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,ES	7812 	7568 	5924 	7436 	5794 	5246 b	4857 	4582 	5358 	7339 	5570 	4403 	4078 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,EU27	: u	491328 	469731 	461210 e	391815 e	364093 b	318031 e	: 	: 	106083672 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,EU28	: u	505552 	481329 	470812 e	398621 e	368166 b	319940 e	: 	: 	107005711 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,FI	17367 	14341 	14616 	15632 	14357 	16749 b	19130 	17803 	17224 	21098 	20876 	17229 	13102 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,FR	2606 	2490 	2527 	3172 	1634 	2069 b	1836 	496 	700 	560 	531 	495 	387 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,HR	20318 	14224 	11598 	9104 	6806 	4073 b	1909 	2160 	2415 	2704 	3044 	2762 	2128 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,HU	1028 	1028 	1048 	972 	700 	673 b	831 	597 	698 	940 	1176 	821 	605 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,IE	: 	270 u	192 u	47 u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,IS	: 	1040 	570 	656 	444 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,IT	17926 	15110 	15583 	10240 	8973 	6473 b	5445 	5492 	4890 	6521 	5192 	3543 	2984 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,LI	22 	2 	10 	9 	0 	9 b	3 	9 	14 	24 	16 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,LT	10439 	9918 	7574 	5514 	5039 	3884 b	1202 	1767 	2016 	2819 	2837 	1266 	2227 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,LU	288 	72 	76 	145 	439 	60 b	75 	13 	53 	19 	80 	51 	47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,LV	12379 	9968 	7903 	11112 	9379 	8477 b	5708 	3725 	4643 	9418 	10082 	8776 	5939 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,ME	: 	712 	500 	: 	: 	734 b	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,MK	68 	3 	22 	172 	26 	51 b	8 	28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,MT	51 e	64 e	0 e	0 e	0 e	0 b	0 	0 	89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,NL	1200 e	939 e	855 e	739 e	872 be	594 be	600 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,NO	: 	11257 	13018 	10338 	12234 	8250 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,PL	4533 	2971 	2640 	2982 	2460 	2634 b	2095 	1976 	3034 	3267 	3803 	3801 	3670 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,PT	2095 	1085 	743 	644 	910 b	233 b	328 	183 	255 	380 	380 	537 	419 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,RO	400 	288 	201 	159 	154 	339 b	17 	7 	2 	58 	71 	13 	20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,RS	: 	60 	53 	36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,SE	10218 e	8742 e	10550 e	6644 e	5945 e	5142 be	5770 	5182 	2694 	2950 	3606 	4222 	2750 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,SI	1485 	1208 	1140 	902 	928 	619 b	535 	404 	444 	690 	531 	621 	779 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,SK	606 	694 	344 	460 	534 	386 b	402 	306 	396 	683 	1262 	459 	593 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,TR	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I552_I553,UK	: 	25640 	23200 	: 	: 	0 b	10003 	2975 	1044 	1856 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,AT	846 	755 	1051 	726 	619 	817 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,BE	55 	39 	70 	50 	81 	115 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,BG	1 	0 	2 	0 	0 	6 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,CH	: 	446 	296 	401 	394 	514 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,CY	0 	0 	6 	1 	0 	1 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,CZ	478 	340 	576 	440 	454 	500 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,DE	1148 	1924 	3038 	1126 	1238 	1442 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,DK	601 e	756 e	461 e	586 e	454 	409 b	338 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,EA	19571 e	19298 	19470 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,EE	638 	0 	0 	0 	0 	0 b	82892 	82535 	66547 	84990 	90690 	95962 	63420 	55261 	25290 	16898 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,EL	162 	153 	161 	98 	154 	125 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,ES	1159 	1191 	1016 	996 	912 	810 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,EU27	: u	23103 	24609 	21491 e	19732 	21691 b	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,EU28	: u	25245 	27063 	23456 e	21750 	23167 b	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,FI	6622 	6920 	6669 	7139 	7127 	8760 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,FR	690 	995 	746 	692 	698 	906 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,HR	2734 	2142 	2454 	1965 	2018 	1476 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,HU	681 	695 	562 	628 	412 	518 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,IE	: 	0 e	8 e	0 u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,IS	: 	533 	270 	305 	95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,IT	2158 	2413 	2571 	1716 	1767 	1292 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,LI	5 	0 	5 	0 	0 	1 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,LT	933 	1235 	972 	791 	934 	431 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,LU	24 	28 	28 	21 	52 	17 b	24 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,LV	3187 	2725 	2334 	3800 	2831 	2847 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,ME	: 	3 	4 	: 	: 	7 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,MK	31 	2 	4 	58 	11 	7 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,MT	0 e	0 e	0 e	0 e	0 e	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,NL	241 e	245 e	273 e	218 e	170 be	169 be	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,NO	: 	5766 	7384 	5789 	7255 	6196 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,PL	1057 	710 	558 	563 	444 	674 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,PT	237 	299 	178 	219 	140 	200 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,RO	114 	54 	26 	10 	38 	221 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,RS	: 	10 	5 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,SE	1817 e	1250 e	2954 e	1285 e	721 e	1025 be	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,SI	293 	212 	204 	167 	309 	242 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,SK	178 	164 	145 	219 	177 	164 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,TR	: 	32 	12 	51 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EE,I553,UK	: 	0 	0 	: 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,AT	1309625 	1315779 	1286686 	1211415 	1186885 	1187402 	1126166 	991372 	924446 	901957 	904099 	866771 	824952 	820231 	813254 	755030 	718805 	682313 	645248 	646577 	650943 	684481 	668103 	655437 	: 	: 	: 	739355 
NR,EFTA,I551,BE	140166 	121331 	148840 	140688 	134541 	132633 	127524 	115749 	99913 	103735 	100438 	102593 	101870 	104615 	95137 	94620 	97059 	110632 	99446 	106253 	102126 	99146 	94199 	95404 	: 	: 	: 	: 
NR,EFTA,I551,BG	71643 	66599 	61141 	64205 	64059 	57572 	56855 	43777 	45651 	57079 	67772 	60684 	40870 	33873 	29582 	44310 	15417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,CH	: 	8334675 	8182451 	8065343 	7926346 	7792586 	7756075 	7636896 	7327714 	7450442 	7241388 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,CY	80632 	85125 	83659 	97284 	109731 	110487 	108289 	99739 	92327 	82950 	77400 	80927 	76446 	79214 	137551 	123995 	133664 	128146 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,CZ	177036 	173242 	167369 	160897 	160191 	149611 	146889 	152248 	152121 	144679 	161171 	157369 	156275 	128400 	109166 	94794 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,DE	3170832 	3151291 	3080585 	2872678 	2714961 	2617301 	2432711 	2185095 	1983322 	1947490 	1912504 	1826383 	1711924 	1558457 	1411624 	1341425 	1261446 	1272893 	1158329 	1101652 	1037648 	996874 	980516 	952051 	: 	: 	: 	1029453 
NR,EFTA,I551,DK	271868 e	267185 e	282304 e	284666 e	274759 	277538 	267822 	237251 	213777 	228201 	245101 	246084 	250275 	235555 	236670 	226124 	201446 	194577 	187010 	194777 	184289 	176005 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,EA	12515264 e	12236585 	11946653 	: 	: 	: 	: 	: 	: 	7920615 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,EE	48167 	48147 	47127 	43812 	44843 	57169 	59053 	46359 	45023 	52923 	60599 	53100 	46177 	39474 	30947 	26457 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,EL	524657 	486365 	475178 	478593 	436827 	399763 	403082 	353937 	330540 	324649 	328390 	287283 	270363 	277583 	281443 	294594 	295450 	328224 	307911 	295934 	296956 	291858 	262970 	241511 	: 	: 	: 	: 
NR,EFTA,I551,ES	1734978 	1626527 	1514960 	1506647 	1457074 	1295337 	1183814 	1014866 	878633 	1003261 	932230 	849643 	680621 	674507 	664334 	709413 	731402 	710483 	675182 	488208 	497717 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,EU27	: u	15217861 	14906845 	14280348 e	13892727 	12996239 	12154822 e	: 	: 	10296706 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,EU28	: u	15373483 	15058475 	14430733 e	14048510 	13134574 	12284886 e	: 	: 	10399636 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,FI	152871 	140358 	137874 	126104 	123040 	127736 	116909 	106061 	101372 	117230 	126737 	123818 	118650 	124978 	128603 	131612 	131522 	121864 	116200 	109903 	110722 	102408 	109876 	112442 	107741 	: 	: 	: 
NR,EFTA,I551,FR	1967413 	1856440 	1810994 	1772621 	1779742 	1635546 	1506394 	1335472 	1325881 	1357747 	1365461 	1294418 	1365904 	1414288 	1494416 	1535744 	1594291 	1695405 	1619882 	1282783 	1270695 	1254670 	1211093 	1243082 	: 	: 	: 	: 
NR,EFTA,I551,HR	170881 	155622 	151630 	150385 	155783 	138335 b	130064 	120918 	99850 	102930 	105548 	104328 	91190 	68315 	48502 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,HU	120568 	123423 	116166 	109935 	110224 	98698 	87670 	79499 	80714 	82557 	77172 	79305 	83332 	84695 	71064 	69979 	67808 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,IE	: 	66266 e	59991 e	44681 e	47168 e	50333 be	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	67000 	55000 	31000 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,IS	: 	501369 	443977 	419474 	399639 	362070 	335094 	318390 	302675 	327235 	331508 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,IT	2438535 	2401049 	2368627 	2179704 	2138321 	2016481 	1878514 	1717978 	1616803 	1577217 	1613890 	1609326 	1552100 	1463508 	1409274 	1392102 	1388597 	1295278 	1273028 	1241641 	1234907 	1247848 	1202812 	: 	: 	: 	: 	1043531 
NR,EFTA,I551,LI	21416 	18470 	14940 	16463 	16423 	18512 	19625 	17020 	17965 	18950 	17717 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,LT	42633 	46433 	50028 	39969 	34585 	32200 	24986 	20674 	21374 	28222 	29355 	24578 	18710 	15785 	11736 	10682 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,LU	25149 	25715 	25933 	27304 	23032 	21223 b	19303 	20138 	21733 	20754 	21074 	19494 	18176 	17592 	17502 	18947 	18773 	22497 	19207 	19971 	20364 	16295 	18008 	17776 	18635 	18887 	19585 	21555 
NR,EFTA,I551,LV	92413 	88415 	93067 	83681 	76495 	75875 b	82219 	72704 	58346 	69529 	65416 	48984 	25746 	20579 	16674 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,ME	: 	11022 	11177 	: 	: 	8722 	7619 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,MK	10394 	7211 	6754 	5399 	4306 	4173 	3700 	3500 	3194 	3727 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,MT	45466 e	42714 e	41656 e	44234 e	41997 e	35468 	33103 	31586 	21732 	31106 	30063 	34107 	31864 	37759 	30050 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,NL	411690 	364204 	385260 	365108 	340536 	321738 	298000 	269500 	240900 	234200 	253500 	243600 	212200 	199200 	165200 	177900 	190000 	217279 	216000 	204524 	167000 	155000 	147000 	138000 	: 	: 	: 	: 
NR,EFTA,I551,NO	: 	10115740 	9778814 	9547476 	9585820 	9547176 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,PL	253337 	247558 	247548 	219917 	191060 	167578 	134589 	131049 	120266 	128504 	121155 	108507 	101111 	96550 	85401 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,PT	323513 	301866 	273994 	245583 	228525 	201900 	182284 	161643 	158689 	171089 	174487 	170864 	160127 	175724 	158597 	159958 	173620 	170051 	170509 	151286 	133062 	120282 	122525 	118561 	: 	: 	: 	122963 
NR,EFTA,I551,RO	40720 	38308 	37541 	30733 	33508 	29136 b	25452 	23733 	23440 	22636 	27692 	31041 	28626 	29446 	24788 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,RS	: 	27691 	24444 	22238 	17939 	17197 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,SE	737493 e	719791 e	725537 e	682367 e	688865 e	664990 e	626344 	640669 	590432 	539186 	527422 	506677 	485298 	461662 	508269 	493135 	401098 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,SI	46664 	42406 	40074 	34370 	34022 	31539 	29721 	26951 	29063 	32243 	31442 	28555 	28472 	24200 	23525 	21617 	17680 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,SK	28366 	26154 	22120 	19403 	23987 	20348 	17937 	14683 	13304 	14987 	16215 	15643 	16125 	15140 	12959 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,TR	: 	218524 	385351 	498124 	485482 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551,UK	: 	1345170 	1322586 	: 	1393749 	1180637 b	1107694 	992489 	991281 	1022575 	968698 	1043645 	939967 	819714 	666000 	652000 	607812 	685000 	870250 	844000 	791808 	785761 	799395 	: 	: 	: 	: 	: 
NR,EFTA,I551-I553,AT	1468838 	1462358 	1419210 	1331261 	1304078 	1296861 	1224468 	1077567 	1005970 	980778 	985821 	938248 	893632 	888251 	883544 	815789 	773162 	731094 	692262 	692584 	686385 	719538 	702154 	691266 	: 	: 	: 	775491 
NR,EFTA,I551-I553,BE	155620 	134211 	163963 	154626 	147668 	143698 	136285 	124125 	107756 	111540 	108027 	110023 	109672 	112008 	102179 	101702 	102838 	118006 	106045 	111873 	108423 	105795 	100875 	102589 	: 	: 	: 	: 
NR,EFTA,I551-I553,BG	72579 	67412 	61809 	65199 	64796 	58190 	57082 	44023 	45850 	57228 	68013 	61050 	41681 	34480 	30069 	44827 	15742 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551-I553,CH	: 	11188429 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551-I553,CY	80632 	85125 	83707 	97291 	109737 	110503 	110049 	101010 	93673 	83326 	77676 	81003 	76588 	79267 	137560 	124015 	133694 	128175 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551-I553,CZ	187314 	183497 	176385 	167606 	172021 	155630 	150664 	156197 	156802 	153058 	166949 	164661 	162993 	136103 	115599 	98572 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551-I553,DE	3620501 	3554523 	3466539 	3217835 	3028804 	2919759 	2709099 	2433704 	2206616 	2159537 	2106349 	2015384 	1878976 	1706724 	1549595 	1451920 	1365379 	1375885 	1255868 	1192441 	1130703 	1088341 	1074450 	1052417 	: 	: 	: 	1081937 
NR,EFTA,I551-I553,DK	438964 e	439991 e	447395 e	435266 e	426084 	428364 	422182 	384209 	350142 	374167 	404968 	394410 	386037 	357000 	375552 	364161 	329502 	321950 	311493 	315793 	312034 	293714 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551-I553,EA	15337997 e	14893513 	14429971 	: 	: 	: 	: 	: 	: 	7920615 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,EFTA,I551-I553,EE	52778 	51946 	50428 	47003 	47353 	59734 	61587 	48299 	47312 	55002 	63522 	55807 	48740 	41408 	34258 	27866 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
