unit,partner,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
NR,AFR,I551,MT	10543 e	10102 e	15154 e	64771 e	65387 e	48535 	44686 	28573 	19951 	15608 	13275 	13750 	14378 	17447 	20545 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551,NL	149034 	134765 	127241 	132029 	118613 	109680 	112200 	100300 	81600 	80900 	89900 	90800 	95400 	116100 	134500 	171700 	139000 	105905 	105000 	77875 	70000 	54000 	47000 	42000 	41900 	42700 	44900 	47100 
NR,AFR,I551,NO	: 	15758 	20005 	22130 	20586 	20392 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6269 	4778 	5189 	5093 	5380 	5144 	4303 	4016 	: 	: 	: 	: 	: 
NR,AFR,I551,PL	16880 	17438 	16263 	16568 	16296 	12106 	9384 	10073 	9572 	7397 	7411 	7513 	6517 	6424 	6504 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551,PT	164667 	143545 	142967 	149034 	122019 	95137 	82981 	73519 	72785 	66113 	67143 	56986 	46752 	45615 	43058 	42674 	41782 	44006 	34910 	38507 	35064 	37521 	35140 	44231 	53285 	52014 	54521 	58117 
NR,AFR,I551,RO	18377 	18349 	18065 	18244 	13438 	13810 b	10279 	8854 	7435 	7730 	6970 	7934 	7377 	7007 	4606 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551,RS	: 	8014 	10045 	16403 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551,SE	22358 e	23708 e	27070 e	22680 e	19675 e	17770 e	18747 	12829 	15501 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551,SI	6143 	5558 	5082 	4446 	4544 	3982 	3642 	2779 	2518 	3411 	1824 	1223 	1315 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551,SK	6219 	6060 	6490 	4845 	6065 	5839 	3210 	2770 	2117 	3472 	5513 	2591 	2302 	2464 	2485 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551,TR	: 	436665 	467063 	459604 	415469 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551,UK	: 	271510 	325447 	: 	368656 	315629 b	269936 	310828 	289877 	274261 	312719 	333709 	290450 	278925 	269000 	260000 	265113 	261000 	358710 	351000 	511477 	232415 	725796 	: 	: 	203000 	200000 	206000 
NR,AFR,I551-I553,AT	73641 	74843 	69794 	61090 	58356 	56186 	50481 	43661 	37522 	38546 	38807 	40645 	40610 	30659 	25883 	24548 	34530 	33989 	31163 	31593 	22798 	: 	: 	125688 	151485 	167866 	177708 	: 
