c_resid,unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
FOR,NR,I551,LI	69003 	60036 	48629 	53679 	52379 	53598 	53326 	49804 	52285 	58454 	58258 	54856 	49767 	48501 	49002 	48727 	56475 	61550 	59502 	59208 	57077 	56168 	59447 	: 	: 	: 	: 	77528 
FOR,NR,I551,LT	1321235 	1274222 	1182212 	1166466 	1098496 	1008138 	909274 	760882 	684471 	824860 	767252 	692335 	622700 	530456 	385201 	342868 	306374 	258700 	250599 	271562 	246074 	212155 	175497 	197231 	: 	: 	: 	: 
FOR,NR,I551,LU	824517 	849005 	870390 	834129 	762760 	770277 b	682331 	651532 	651414 	674604 	706362 	673366 	666862 	613244 	581450 	598683 	576785 	588591 	579573 	524663 	508396 	461217 	495624 	491625 	506967 	491501 	520179 	529759 
FOR,NR,I551,LV	1635945 	1451664 	1372532 	1305554 	1131839 	992090 b	985497 	815028 	697320 	846166 	764534 	745799 	680311 	519575 	402335 	351726 	319378 	265894 	239323 	236440 	217248 	186998 	182253 	192147 	: 	: 	: 	: 
FOR,NR,I551,ME	: 	669492 	594756 	: 	: 	537282 	523631 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,MK	600901 	488629 	455644 	391649 	372732 	324372 	301304 	231485 	219803 	213829 	: 	: 	: 	: 	: 	115391 	92491 	202933 	168686 	138799 	109160 	113360 	125703 	: 	164634 	168033 	225161 	367362 
FOR,NR,I551,MT	1629991 	1437995 	1407062 	1369656 	1292763 	1185679 	1188221 	1109831 	946756 	1068326 	1038653 	1004389 	1022777 	1038378 	961560 	948625 	984758 	849737 	900251 	890212 	818047 	752670 	808138 	848057 	: 	: 	: 	645529 
FOR,NR,I551,NL	14152433 	12408740 	11765596 	10978473 	10017355 	9294796 	9026700 	8726600 	7754200 	8034700 	8713200 	8567100 	8080700 	7601900 	6930600 	7432800 	7445000 	7738000 	7550000 	7432000 	6163000 	4999000 	4797000 	4456000 	3778100 	3899700 	3686600 	3902700 
FOR,NR,I551,NO	: 	4046267 	3613120 	3251761 	3172833 	2927652 	2973276 	2722551 	2503219 	2724583 	2899017 	2841082 	2655577 	2556431 	2438667 	2560627 	2685519 	2787173 	2856730 	2829197 	2702343 	2746215 	2879751 	2746215 	2556000 	2375000 	2114000 	1954821 
FOR,NR,I551,PL	6033121 	5680011 	5073855 	4886042 	4686963 	4369548 	3907422 	3667358 	3394043 	3565828 	3833228 	3737865 	3723176 	3385121 	2700717 	2535642 	2488198 	2504510 	1981871 	2695242 	2918855 	3020345 	2791899 	2540465 	2314706 	2210301 	1939499 	: 
FOR,NR,I551,PT	12279151 	10914283 	9808271 	8963700 	7783145 	7043478 	6792220 	6256808 	5911079 	6421762 	6290607 	5883004 	5354611 	5200608 	4905740 	5060400 	4933855 	5118550 	4910562 	4973695 	4313575 	4069355 	4000043 	3808925 	3371909 	3671539 	3913066 	3632242 
FOR,NR,I551,RO	2525226 	2287269 	2077353 	1792483 	1594591 	1542663 b	1495892 	1326770 	1255703 	1439231 	1531019 	1363012 	1406514 	1332132 	1089169 	981797 	894386 	852282 	783766 	791289 	811125 	756133 	747437 	2700476 	757569 	1153955 	27706579 	1364375 
FOR,NR,I551,RS	: 	1146685 	1012967 	879901 	767058 	707173 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,SE	4754444 	4489283 	4240483 	3767943 	3469061 	3360128 	3370310 	3284613 	3044348 	2944161 	2993161 	2867451 	2736469 	2610042 	2551711 	2577110 	2586274 	2465002 	2319851 	2304100 	2142647 	2091256 	1994980 	1829826 	1629239 	1571624 	1580203 	1696806 
FOR,NR,I551,SI	2425553 	2132262 	1930683 	1761729 	1639871 	1592858 	1528057 	1422382 	1411352 	1532418 	1353649 	1246581 	1192460 	1125120 	1052847 	1005567 	933275 	884362 	739756 	798861 	803392 	713719 	640940 	647659 	546298 	551760 	: 	: 
FOR,NR,I551,SK	1813857 	1703750 	1469042 	1251559 	1422658 	1293025 	1234580 	1108714 	1047055 	1411493 	1350183 	1291716 	1202685 	1094351 	1043246 	1040980 	926871 	836349 	767432 	701290 	659988 	757887 	734994 	679875 	535788 	370748 	506671 	673755 
FOR,NR,I551,TR	: 	14214542 	23119995 	23537043 	21155448 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,UK	: 	21303907 	23140553 	: 	21255703 	18788435 b	19092585 	18509689 	17321289 	17533108 	18694338 	18710884 	17008893 	15819948 	14397000 	14176000 	17019000 	17019000 	17019000 	16304000 	17109573 	16890329 	17118105 	14927318 	14258984 	13305657 	12293466 	12930932 
FOR,NR,I551-I553,AT	25906005 	24677596 	23544384 	22246197 	21782737 	21211722 	20180138 	19210106 	18534306 	19076785 	18112846 	17562358 	17128020 	16634206 	16283466 	15795853 	15434773 	15254299 	14742491 	14675620 	13848599 	14113112 	14044731 	14553348 	14751561 	15536013 	15504457 	15744307 
FOR,NR,I551-I553,BE	8384573 	7481422 	8354753 	7887426 	7684285 	7560025 	7494141 	7186419 	6813664 	7164765 	7044719 	6994342 	6747123 	6709740 	6689998 	6723850 	6451513 	6457325 	6369030 	6179254 	6037031 	5829267 	5559926 	5308942 	: 	5204440 	: 	: 
FOR,NR,I551-I553,BG	3655830 	3386932 	2864371 	2791578 	2820673 	2632062 	2409269 	2078747 	1944368 	2223177 	2227028 	2050197 	1935652 	1694549 	1397985 	1039703 	873318 	750555 	589905 	699424 	680755 	775258 	818696 	978998 	1123281 	1056034 	757062 	2143579 
FOR,NR,I551-I553,CH	: 	10385876 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7468161 	7835022 	7166830 	7198716 	7053014 	6744099 	6960877 	7373013 	9901324 	10264793 	10111086 	10521446 
FOR,NR,I551-I553,CY	2488611 	2268176 	1874323 	1935641 	1947836 	2021180 	1947447 	1814328 	1671864 	1761777 	1784735 	1770704 	1762658 	1734586 	1825827 	2040436 	2339002 	2237898 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,CZ	10160468 	9321440 	8706913 	8095885 	7851865 	7647044 	6715067 	6333996 	6032370 	6649410 	6679704 	6435474 	6336128 	6061225 	5075756 	4742773 	5405239 	4772794 	5307702 	5281064 	4825302 	4428451 	3369125 	2972371 	: 	: 	: 	: 
FOR,NR,I551-I553,DE	37307331 	35404924 	34831012 	32859540 	31407471 	30299258 	28264456 	26764892 	24125057 	24857752 	24393108 	23569145 	21500067 	20136979 	18381538 	17893501 	17945317 	18938847 	17102995 	16498127 	15825371 	15194117 	14836203 	14493812 	14347703 	15913214 	15647617 	17023213 
FOR,NR,I551-I553,DK	2871593 e	2767651 e	2630938 e	2465447 e	2328818 	2232258 	2146447 	1986834 	1792477 	1966955 	2026557 	2035265 	2002021 	2020620 	2013931 	1991894 	2022584 	2069668 	2023056 	2072031 	2157665 	2124575 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,EA	312752337 e	295352518 	284179638 	: 	: 	: 	: 	: 	: 	220672521 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,EE	2156147 	2056526 	1929164 	1983315 	1940130 	1873519 	1807919 	1563952 	1380540 	1433346 	1380323 	1427583 	1453418 	1374414 	1112746 	1003383 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,EL	17929023 e	15664091 e	15500471 e	14401895 e	12749395 	11230515 e	12548811 	11285916 	10861300 	8886342 	8953757 	7748208 	7348706 	6461062 	6767976 	6843179 	7208307 	8011959 	7409755 	7533186 	7041480 	6216312 	6480579 	6929895 	: 	: 	: 	: 
FOR,NR,I551-I553,ES	65233045 	61341839 	55426615 	52359130 	49798884 	48100647 	47652545 	43182778 	39204146 	43718233 	43953113 	43143517 	37407150 	36297324 	36643766 	36037776 	36253366 	36887492 	28512625 	21639195 	19534596 	18134346 	17451921 	16426085 	13949083 	13230990 	12783140 	12937452 
FOR,NR,I551-I553,EU27	: u	375000529 	361776158 	326800204 e	312316870 e	295562574 	288593375 e	266468961 e	250762437 e	264967989 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,EU28	: u	388707973 	374319667 	338797130 e	323091870 e	305701270 	295830452 e	273121793 e	257724888 e	272292391 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,FI	3180254 	2788903 	2622039 	2731256 	2796839 	2778464 	2622586 	2318712 	2220267 	2494334 	2472449 	2316970 	2080194 	2083487 	2047444 	2042540 	1999298 	1970817 	1830560 	1866842 	1831500 	1724109 	1779204 	1867760 	1678725 	: 	: 	: 
FOR,NR,I551-I553,FR	48919374 	44958968 	46797708 	46073942 	46001492 	42327929 	41607105 	36729444 	35881647 	39122038 	40416832 	39476263 	41944465 	40737042 	39355131 	43185214 	41951812 	41921849 	39366265 	36621398 	: 	: 	34512037 	35592516 	33996492 	35704397 	32479272 	32542006 
FOR,NR,I551-I553,HR	15581704 	13707444 	12543509 	11438806 	10775000 	10138696 b	7237077 	6652832 	6962451 	7081920 	7028323 	6645640 	6625370 	6278991 	5869506 	5533806 	5279308 	4749367 	3222581 	3770085 	3507666 	2601081 	1412963 	2299813 	1575173 	: 	: 	: 
FOR,NR,I551-I553,HU	5650077 	5301843 	4928511 	4617751 	4387692 	4163641 b	3671426 	3385809 	3227942 	3516030 	3451186 	3309753 	3446362 	3269868 	2948224 	3013116 	3070192 	3213984 	3010576 	3112749 	2887264 	2978772 	2877592 	2944214 	: 	: 	: 	: 
FOR,NR,I551-I553,IE	: 	3172440 e	2666848 e	2242815 e	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	4039000 	10621000 	3896000 	3541000 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,IS	: 	3977547 	3376068 	2596740 	1918081 	1621174 	1382568 	1186510 	1209207 	1082882 	1035514 	951703 	852955 	836230 	771323 	704633 	671452 	637237 	601262 	565263 	496723 	456216 	: 	: 	: 	: 	: 	: 
