unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 
THS_EUR,PERS,N_GE4,OCE,BE	: u	: 	: 	: u
THS_EUR,PERS,N_GE4,OCE,CH	: 	: 	: u	: u
THS_EUR,PERS,N_GE4,OCE,DE	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,OCE,EE	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,OCE,ES	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,OCE,FI	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,OCE,FR	: u	: 	: 	: 
THS_EUR,PERS,N_GE4,OCE,HR	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,OCE,HU	: c	: 	: 	5976.46 u
THS_EUR,PERS,N_GE4,OCE,IE	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,OCE,IT	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,OCE,LT	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,OCE,LU	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,OCE,NL	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,OCE,PL	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,OCE,SI	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,OCE_OTH,AT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,OCE_OTH,BE	: u	: 	: 	: 
THS_EUR,PERS,N_GE4,OCE_OTH,CH	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,OCE_OTH,DE	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,OCE_OTH,EE	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,OCE_OTH,ES	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,OCE_OTH,FI	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,OCE_OTH,FR	: u	: 	: 	: 
THS_EUR,PERS,N_GE4,OCE_OTH,HU	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,OCE_OTH,NL	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,OCE_OTH,PL	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,OUT,AT	2947402.64 	: 	: 	3178281.18 
THS_EUR,PERS,N_GE4,OUT,BE	1619988.56 	: 	: 	2004779.19 
THS_EUR,PERS,N_GE4,OUT,BG	74371.99 	: 	: 	56536.26 
THS_EUR,PERS,N_GE4,OUT,CH	: 	: 	2474784.76 	2808954.09 
THS_EUR,PERS,N_GE4,OUT,CY	167309.89 	: 	: 	115630.74 
THS_EUR,PERS,N_GE4,OUT,CZ	1263696.02 	: 	: 	994413.14 
THS_EUR,PERS,N_GE4,OUT,DE	24191249.38 	: 	: 	20631121.78 
THS_EUR,PERS,N_GE4,OUT,DK	: 	: 	: 	852869.23 
THS_EUR,PERS,N_GE4,OUT,EE	183508.89 	: 	: 	118751.38 
THS_EUR,PERS,N_GE4,OUT,EL	: 	: 	: 	68832.02 
THS_EUR,PERS,N_GE4,OUT,ES	3204690.64 	: 	: 	1475047.38 
THS_EUR,PERS,N_GE4,OUT,FI	1461992.66 	: 	: 	1742413.13 
THS_EUR,PERS,N_GE4,OUT,FR	10500250.76 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,HR	89120 	: 	: 	148077.4 
THS_EUR,PERS,N_GE4,OUT,HU	533044.12 	: 	: 	374272.55 
THS_EUR,PERS,N_GE4,OUT,IE	956103.95 	: 	: 	1057228.83 
THS_EUR,PERS,N_GE4,OUT,IT	1737028.91 	: 	: 	1583745.63 
THS_EUR,PERS,N_GE4,OUT,LT	257068.16 	: 	: 	146469.82 
THS_EUR,PERS,N_GE4,OUT,LU	: 	: 	: 	204712.95 
THS_EUR,PERS,N_GE4,OUT,LV	: 	: 	: 	114859.6 
THS_EUR,PERS,N_GE4,OUT,MT	54067.58 	: 	: 	49244.13 
THS_EUR,PERS,N_GE4,OUT,NL	5215730.06 	: 	: 	3289434.87 
THS_EUR,PERS,N_GE4,OUT,NO	2496047.85 	2505827.21 	: 	: 
THS_EUR,PERS,N_GE4,OUT,PL	508146.99 	: 	: 	1584094.39 
THS_EUR,PERS,N_GE4,OUT,PT	158027.17 	: 	: 	248756.85 
THS_EUR,PERS,N_GE4,OUT,RO	131485.28 	: 	: 	126593.54 
THS_EUR,PERS,N_GE4,OUT,SI	81512.72 	: 	: 	115973.58 
THS_EUR,PERS,N_GE4,OUT,SK	597365.76 	: 	: 	436738.7 
THS_EUR,PERS,N_GE4,PL,AT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,PL,BE	: u	: 	: 	: u
THS_EUR,PERS,N_GE4,PL,BG	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,PL,CH	: 	: 	: u	: 
THS_EUR,PERS,N_GE4,PL,CY	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,PL,DE	341095.43 u	: 	: 	332710.74 u
THS_EUR,PERS,N_GE4,PL,DK	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,PL,EE	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,PL,EL	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,PL,ES	41310.58 u	: 	: 	: u
THS_EUR,PERS,N_GE4,PL,FI	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,PL,FR	: u	: 	: 	: 
THS_EUR,PERS,N_GE4,PL,HR	: u	: 	: 	: u
THS_EUR,PERS,N_GE4,PL,HU	20084.55 u	: 	: 	: u
THS_EUR,PERS,N_GE4,PL,IE	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,PL,IT	: u	: 	: 	: 
THS_EUR,PERS,N_GE4,PL,LT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,PL,LV	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,PL,MT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,PL,NL	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,PL,NO	: u	: u	: 	: 
THS_EUR,PERS,N_GE4,PL,PL	22980.78 u	: 	: 	70752.21 
THS_EUR,PERS,N_GE4,PL,PT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,PL,SI	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,PL,SK	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,PT,AT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,PT,BE	32984.86 u	: 	: 	: u
THS_EUR,PERS,N_GE4,PT,CH	: 	: 	: u	: u
THS_EUR,PERS,N_GE4,PT,CZ	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,PT,DE	910695.78 u	: 	: 	: u
THS_EUR,PERS,N_GE4,PT,DK	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,PT,EE	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,PT,ES	86985.37 	: 	: 	63588.39 
THS_EUR,PERS,N_GE4,PT,FI	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,PT,FR	482175.69 	: 	: 	: 
THS_EUR,PERS,N_GE4,PT,HR	: u	: 	: 	: u
THS_EUR,PERS,N_GE4,PT,HU	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,PT,IE	71966.84 	: 	: 	68299.71 
THS_EUR,PERS,N_GE4,PT,IT	: u	: 	: 	: u
THS_EUR,PERS,N_GE4,PT,LT	5179.84 u	: 	: 	: u
THS_EUR,PERS,N_GE4,PT,LU	: 	: 	: 	6070.96 u
THS_EUR,PERS,N_GE4,PT,LV	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,PT,MT	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,PT,NL	300754.93 	: 	: 	158015.53 
THS_EUR,PERS,N_GE4,PT,NO	: u	: u	: 	: 
THS_EUR,PERS,N_GE4,PT,PL	20084.97 	: 	: 	22293.83 u
THS_EUR,PERS,N_GE4,PT,PT	26528.48 	: 	: 	45972.6 
THS_EUR,PERS,N_GE4,PT,RO	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,PT,SI	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,PT,SK	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,RO,AT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,RO,BE	: u	: 	: 	: 
THS_EUR,PERS,N_GE4,RO,BG	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,RO,CH	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,RO,CY	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,RO,DE	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,RO,DK	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,RO,EE	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,RO,EL	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,RO,ES	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,RO,FR	: u	: 	: 	: 
THS_EUR,PERS,N_GE4,RO,HR	: u	: 	: 	: 
THS_EUR,PERS,N_GE4,RO,HU	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,RO,IE	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,RO,IT	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,RO,LT	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,RO,LU	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,RO,MT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,RO,NL	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,RO,NO	: u	: u	: 	: 
THS_EUR,PERS,N_GE4,RO,PL	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,RO,PT	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,RO,RO	100840.31 	: 	: 	95311.05 
THS_EUR,PERS,N_GE4,RO,SI	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,RO,SK	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,RU,AT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,RU,BE	: u	: 	: 	: u
THS_EUR,PERS,N_GE4,RU,BG	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,RU,CH	: 	: 	: u	: u
THS_EUR,PERS,N_GE4,RU,CY	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,RU,CZ	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,RU,DE	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,RU,EE	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,RU,EL	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,RU,ES	102275.98 u	: 	: 	: u
THS_EUR,PERS,N_GE4,RU,FI	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,RU,FR	: u	: 	: 	: 
THS_EUR,PERS,N_GE4,RU,HU	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,RU,IE	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,RU,LU	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,RU,LV	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,RU,NL	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,RU,NO	: u	: u	: 	: 
THS_EUR,PERS,N_GE4,RU,PL	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,RU,PT	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,RU,SI	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,RU,SK	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,SE,AT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,SE,BE	: u	: 	: 	: u
THS_EUR,PERS,N_GE4,SE,CH	: 	: 	: u	: u
THS_EUR,PERS,N_GE4,SE,CZ	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,SE,DE	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,SE,DK	: 	: 	: 	54995.26 u
THS_EUR,PERS,N_GE4,SE,EE	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,SE,ES	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,SE,FI	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,SE,FR	: u	: 	: 	: 
THS_EUR,PERS,N_GE4,SE,HR	: u	: 	: 	: u
THS_EUR,PERS,N_GE4,SE,HU	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,SE,LT	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,SE,LU	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,SE,LV	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,SE,MT	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,SE,NL	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,SE,NO	: u	: u	: 	: 
THS_EUR,PERS,N_GE4,SE,PL	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,SE,PT	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,SE,SI	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,SI,AT	22197.46 u	: 	: 	29687.83 u
THS_EUR,PERS,N_GE4,SI,BE	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,SI,CH	: 	: 	: u	: 
THS_EUR,PERS,N_GE4,SI,CZ	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,SI,DE	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,SI,DK	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,SI,ES	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,SI,FI	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,SI,FR	: u	: 	: 	: 
THS_EUR,PERS,N_GE4,SI,HR	: u	: 	: 	: u
THS_EUR,PERS,N_GE4,SI,IT	: u	: 	: 	: 
THS_EUR,PERS,N_GE4,SI,LT	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,SI,LU	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,SI,MT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,SI,NL	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,SI,NO	: u	: u	: 	: 
THS_EUR,PERS,N_GE4,SI,PL	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,SI,SI	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,SK,AT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,SK,CZ	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,SK,DE	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,SK,EE	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,SK,EL	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,SK,ES	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,SK,FI	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,SK,HR	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,SK,HU	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,SK,MT	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,SK,NL	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,SK,PL	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,SK,SK	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,TR,AT	: c	: 	: 	318947.83 
THS_EUR,PERS,N_GE4,TR,BE	31762.61 u	: 	: 	250374.16 
THS_EUR,PERS,N_GE4,TR,BG	12403.1 u	: 	: 	19369.09 u
THS_EUR,PERS,N_GE4,TR,CH	: 	: 	106467.72 u	153636.28 u
THS_EUR,PERS,N_GE4,TR,CY	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,TR,CZ	50592.95 u	: 	: 	116153.95 
THS_EUR,PERS,N_GE4,TR,DE	1527851.44 u	: 	: 	2788312.96 
THS_EUR,PERS,N_GE4,TR,DK	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,TR,EE	31063.16 u	: 	: 	25953.79 u
THS_EUR,PERS,N_GE4,TR,EL	: 	: 	: 	7464.41 u
THS_EUR,PERS,N_GE4,TR,ES	: c	: 	: 	50343.96 u
THS_EUR,PERS,N_GE4,TR,FI	: c	: 	: 	204113.99 
THS_EUR,PERS,N_GE4,TR,FR	: u	: 	: 	: 
THS_EUR,PERS,N_GE4,TR,HR	: u	: 	: 	: u
THS_EUR,PERS,N_GE4,TR,HU	21110.45 	: 	: 	36285.99 
THS_EUR,PERS,N_GE4,TR,IE	: c	: 	: 	21346.38 u
THS_EUR,PERS,N_GE4,TR,LT	50515.92 	: 	: 	38093.67 
THS_EUR,PERS,N_GE4,TR,LU	: 	: 	: 	11511.9 u
THS_EUR,PERS,N_GE4,TR,LV	: 	: 	: 	21749.95 u
THS_EUR,PERS,N_GE4,TR,NL	164024.9 	: 	: 	398675.6 
THS_EUR,PERS,N_GE4,TR,NO	: u	: u	: 	: 
THS_EUR,PERS,N_GE4,TR,PL	28515.79 	: 	: 	219470.38 
THS_EUR,PERS,N_GE4,TR,PT	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,TR,RO	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,TR,SI	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,TR,SK	: c	: 	: 	93044.62 u
THS_EUR,PERS,N_GE4,UA,AT	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,UA,CH	: 	: 	: u	: 
THS_EUR,PERS,N_GE4,UA,CZ	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,UA,DE	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,UA,LT	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,UA,LV	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,UA,MT	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,UA,PL	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,UK,AT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,UK,BE	: u	: 	: 	: u
THS_EUR,PERS,N_GE4,UK,CH	: 	: 	: u	: u
THS_EUR,PERS,N_GE4,UK,CY	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,UK,CZ	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,UK,DE	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,UK,DK	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,UK,EE	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,UK,EL	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,UK,ES	113241.31 u	: 	: 	38379.78 u
THS_EUR,PERS,N_GE4,UK,FI	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,UK,FR	228057.78 u	: 	: 	: 
THS_EUR,PERS,N_GE4,UK,HR	: u	: 	: 	: u
THS_EUR,PERS,N_GE4,UK,HU	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,UK,IE	29675.57 u	: 	: 	26523.73 u
THS_EUR,PERS,N_GE4,UK,IT	: u	: 	: 	: u
THS_EUR,PERS,N_GE4,UK,LT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,UK,LU	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,UK,MT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,UK,NL	97175.83 u	: 	: 	: u
THS_EUR,PERS,N_GE4,UK,NO	: u	: u	: 	: 
THS_EUR,PERS,N_GE4,UK,PL	: c	: 	: 	9743.43 u
THS_EUR,PERS,N_GE4,UK,PT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,UK,RO	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,UK,SI	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,UK,SK	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,US,AT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,US,BE	108932.75 u	: 	: 	92867.57 u
THS_EUR,PERS,N_GE4,US,CH	: 	: 	: u	: u
THS_EUR,PERS,N_GE4,US,DE	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,US,DK	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,US,EL	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,US,ES	138352.15 u	: 	: 	160369.86 
THS_EUR,PERS,N_GE4,US,FI	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,US,FR	653402.54 	: 	: 	: 
THS_EUR,PERS,N_GE4,US,HR	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,US,HU	20842.93 u	: 	: 	21706.24 
THS_EUR,PERS,N_GE4,US,IE	140242.04 	: 	: 	134113.54 
THS_EUR,PERS,N_GE4,US,IT	: u	: 	: 	: u
THS_EUR,PERS,N_GE4,US,LT	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,US,LU	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,US,MT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,US,NL	337461.36 	: 	: 	: u
THS_EUR,PERS,N_GE4,US,NO	: u	: u	: 	: 
THS_EUR,PERS,N_GE4,US,PL	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,US,PT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,US,SI	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,WORLD,AT	3387249.6 	: 	: 	3590649.64 
THS_EUR,PERS,N_GE4,WORLD,BE	1624201.73 	: 	: 	2012259.73 
THS_EUR,PERS,N_GE4,WORLD,BG	91646.19 	: 	: 	75832.41 
THS_EUR,PERS,N_GE4,WORLD,CH	: 	: 	2480896.43 	2812249.64 
THS_EUR,PERS,N_GE4,WORLD,CY	172920.23 	: 	: 	122016.79 
THS_EUR,PERS,N_GE4,WORLD,CZ	1293337.06 	: 	: 	1007763.36 
THS_EUR,PERS,N_GE4,WORLD,DE	27114898.37 	: 	: 	23506583.23 
THS_EUR,PERS,N_GE4,WORLD,DK	: 	: 	: 	990310.92 
THS_EUR,PERS,N_GE4,WORLD,EE	184857.81 	: 	: 	118937.63 
THS_EUR,PERS,N_GE4,WORLD,EL	: 	: 	: 	107720.31 
THS_EUR,PERS,N_GE4,WORLD,ES	4611834.85 	: 	: 	2425414.89 
THS_EUR,PERS,N_GE4,WORLD,FI	1483726.05 	: 	: 	1770535.21 
THS_EUR,PERS,N_GE4,WORLD,FR	11658704.17 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,HR	101110.06 	: 	: 	164074.14 
THS_EUR,PERS,N_GE4,WORLD,HU	536338.97 	: 	: 	385861.46 
THS_EUR,PERS,N_GE4,WORLD,IE	975365.32 	: 	: 	1085946.95 
THS_EUR,PERS,N_GE4,WORLD,IT	2677066.5 	: 	: 	1986300.36 
THS_EUR,PERS,N_GE4,WORLD,LT	257068.16 	: 	: 	146469.82 
THS_EUR,PERS,N_GE4,WORLD,LU	: 	: 	: 	208038.42 
THS_EUR,PERS,N_GE4,WORLD,LV	: 	: 	: 	114859.6 
THS_EUR,PERS,N_GE4,WORLD,MT	54067.58 	: 	: 	49244.13 
THS_EUR,PERS,N_GE4,WORLD,NL	5252109.48 	: 	: 	3296423.9 
THS_EUR,PERS,N_GE4,WORLD,NO	2604453.6 	2614657.68 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,PL	531127.77 	: 	: 	1654846.61 
THS_EUR,PERS,N_GE4,WORLD,PT	184555.64 	: 	: 	294729.45 
THS_EUR,PERS,N_GE4,WORLD,RO	232325.59 	: 	: 	221904.58 
THS_EUR,PERS,N_GE4,WORLD,SI	84832.43 	: 	: 	119024.84 
THS_EUR,PERS,N_GE4,WORLD,SK	622026.51 	: 	: 	474343.48 
THS_EUR,PERS,N_GE4,ZA,AT	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,ZA,BE	: u	: 	: 	: u
THS_EUR,PERS,N_GE4,ZA,CH	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,ZA,CZ	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,ZA,DE	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,ZA,DK	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,ZA,ES	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,ZA,FI	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,ZA,FR	: u	: 	: 	: 
THS_EUR,PERS,N_GE4,ZA,HU	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,ZA,IE	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,ZA,LT	: c	: 	: 	: 
THS_EUR,PERS,N_GE4,ZA,LU	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,ZA,MT	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,ZA,NL	119495.77 u	: 	: 	: u
THS_EUR,PERS,N_GE4,ZA,NO	: u	: u	: 	: 
THS_EUR,PERS,N_GE4,ZA,PL	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,ZA,PT	: c	: 	: 	: 
THS_EUR,PROF,N1-3,AFR,AT	: c	: 	: 	: 
THS_EUR,PROF,N1-3,AFR,BE	: u	: 	: 	: u
THS_EUR,PROF,N1-3,AFR,DE	: c	: 	: 	: 
THS_EUR,PROF,N1-3,AFR,ES	: c	: 	: 	: 
THS_EUR,PROF,N1-3,AFR,FR	: u	: 	: 	: 
THS_EUR,PROF,N1-3,AFR,HU	: c	: 	: 	: 
THS_EUR,PROF,N1-3,AFR,MT	: 	: 	: 	: u
THS_EUR,PROF,N1-3,AFR,NL	: 	: 	: 	: u
THS_EUR,PROF,N1-3,AFR_OTH,AT	: c	: 	: 	: 
THS_EUR,PROF,N1-3,AFR_OTH,BE	: 	: 	: 	: u
THS_EUR,PROF,N1-3,AFR_OTH,DE	: c	: 	: 	: 
THS_EUR,PROF,N1-3,AFR_OTH,HU	: c	: 	: 	: 
THS_EUR,PROF,N1-3,AFR_OTH,MT	: 	: 	: 	: u
THS_EUR,PROF,N1-3,AME,BE	: u	: 	: 	: 
THS_EUR,PROF,N1-3,AME,DE	: 	: 	: 	: u
THS_EUR,PROF,N1-3,AME,FR	: u	: 	: 	: 
THS_EUR,PROF,N1-3,AME,HU	: c	: 	: 	: u
THS_EUR,PROF,N1-3,AME,NL	: 	: 	: 	: u
THS_EUR,PROF,N1-3,AME_C_S,HU	: c	: 	: 	: 
THS_EUR,PROF,N1-3,AME_C_S,NL	: 	: 	: 	: u
THS_EUR,PROF,N1-3,AME_C_S_OTH,HU	: c	: 	: 	: 
THS_EUR,PROF,N1-3,AME_C_S_OTH,NL	: 	: 	: 	: u
THS_EUR,PROF,N1-3,AME_N,BE	: u	: 	: 	: 
THS_EUR,PROF,N1-3,AME_N,DE	: 	: 	: 	: u
THS_EUR,PROF,N1-3,AME_N,FR	: u	: 	: 	: 
THS_EUR,PROF,N1-3,AME_N,HU	: c	: 	: 	: u
THS_EUR,PROF,N1-3,AME_N,NL	: 	: 	: 	: u
THS_EUR,PROF,N1-3,ASI,AT	: c	: 	: 	: u
THS_EUR,PROF,N1-3,ASI,BE	: u	: 	: 	: u
THS_EUR,PROF,N1-3,ASI,CY	: c	: 	: 	: 
THS_EUR,PROF,N1-3,ASI,DE	: c	: 	: 	: 
THS_EUR,PROF,N1-3,ASI,HR	: 	: 	: 	: u
THS_EUR,PROF,N1-3,ASI,HU	: c	: 	: 	: u
THS_EUR,PROF,N1-3,ASI,NL	: 	: 	: 	: u
THS_EUR,PROF,N1-3,ASI,SK	: c	: 	: 	: 
THS_EUR,PROF,N1-3,ASI_OTH,AT	: c	: 	: 	: 
THS_EUR,PROF,N1-3,ASI_OTH,BE	: u	: 	: 	: u
THS_EUR,PROF,N1-3,ASI_OTH,CY	: c	: 	: 	: 
THS_EUR,PROF,N1-3,ASI_OTH,DE	: c	: 	: 	: 
THS_EUR,PROF,N1-3,ASI_OTH,HR	: 	: 	: 	: u
THS_EUR,PROF,N1-3,ASI_OTH,HU	: c	: 	: 	: u
THS_EUR,PROF,N1-3,ASI_OTH,NL	: 	: 	: 	: u
THS_EUR,PROF,N1-3,AT,AT	124069.93 	: 	: 	128419.35 
