unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 
THS_EUR,PERS,N1-3,CH,CH	: 	: 	: u	: u
THS_EUR,PERS,N1-3,CH,DE	: c	: 	: 	: u
THS_EUR,PERS,N1-3,CH,ES	: 	: 	: 	: u
THS_EUR,PERS,N1-3,CH,FR	: u	: 	: 	: 
THS_EUR,PERS,N1-3,CH,HU	: c	: 	: 	: u
THS_EUR,PERS,N1-3,CH,LT	: c	: 	: 	: 
THS_EUR,PERS,N1-3,CH,NL	: c	: 	: 	: 
THS_EUR,PERS,N1-3,CH,PT	: 	: 	: 	: u
THS_EUR,PERS,N1-3,CH,SI	: c	: 	: 	: u
THS_EUR,PERS,N1-3,CY,CY	11833.78 	: 	: 	11196.18 
THS_EUR,PERS,N1-3,CY,DE	: 	: 	: 	: u
THS_EUR,PERS,N1-3,CZ,AT	: c	: 	: 	15412.85 u
THS_EUR,PERS,N1-3,CZ,BE	: 	: 	: 	: u
THS_EUR,PERS,N1-3,CZ,CH	: 	: 	: u	: 
THS_EUR,PERS,N1-3,CZ,CZ	11156.3 u	: 	: 	: u
THS_EUR,PERS,N1-3,CZ,DE	: c	: 	: 	: u
THS_EUR,PERS,N1-3,CZ,EE	: c	: 	: 	: 
THS_EUR,PERS,N1-3,CZ,EL	: 	: 	: 	: u
THS_EUR,PERS,N1-3,CZ,ES	: c	: 	: 	: 
THS_EUR,PERS,N1-3,CZ,FI	: c	: 	: 	: u
THS_EUR,PERS,N1-3,CZ,FR	: u	: 	: 	: 
THS_EUR,PERS,N1-3,CZ,HR	: u	: 	: 	: u
THS_EUR,PERS,N1-3,CZ,HU	60801.83 	: 	: 	57863.2 
THS_EUR,PERS,N1-3,CZ,IE	: c	: 	: 	: 
THS_EUR,PERS,N1-3,CZ,IT	: u	: 	: 	: 
THS_EUR,PERS,N1-3,CZ,LT	: c	: 	: 	: u
THS_EUR,PERS,N1-3,CZ,LU	: 	: 	: 	: u
THS_EUR,PERS,N1-3,CZ,MT	: c	: 	: 	: 
THS_EUR,PERS,N1-3,CZ,NL	: c	: 	: 	: u
THS_EUR,PERS,N1-3,CZ,NO	: u	: u	: 	: 
THS_EUR,PERS,N1-3,CZ,PL	3486.21 u	: 	: 	5384.97 u
THS_EUR,PERS,N1-3,CZ,PT	: c	: 	: 	: u
THS_EUR,PERS,N1-3,CZ,RO	: c	: 	: 	: 
THS_EUR,PERS,N1-3,CZ,SI	: c	: 	: 	: u
THS_EUR,PERS,N1-3,CZ,SK	: c	: 	: 	: u
THS_EUR,PERS,N1-3,DE,AT	62078.73 	: 	: 	68570.12 
THS_EUR,PERS,N1-3,DE,BE	: u	: 	: 	: u
THS_EUR,PERS,N1-3,DE,BG	: c	: 	: 	: 
THS_EUR,PERS,N1-3,DE,CH	: 	: 	: u	: u
THS_EUR,PERS,N1-3,DE,CZ	: c	: 	: 	: u
THS_EUR,PERS,N1-3,DE,DE	1598833.81 	: 	: 	1789445.17 
THS_EUR,PERS,N1-3,DE,DK	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DE,EE	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DE,EL	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DE,ES	: c	: 	: 	: u
THS_EUR,PERS,N1-3,DE,FI	: c	: 	: 	: u
THS_EUR,PERS,N1-3,DE,FR	: u	: 	: 	: 
THS_EUR,PERS,N1-3,DE,HR	: u	: 	: 	: u
THS_EUR,PERS,N1-3,DE,HU	122751.53 	: 	: 	60002.76 
THS_EUR,PERS,N1-3,DE,IE	: c	: 	: 	: u
THS_EUR,PERS,N1-3,DE,IT	: u	: 	: 	: u
THS_EUR,PERS,N1-3,DE,LT	: c	: 	: 	: 
THS_EUR,PERS,N1-3,DE,LU	: 	: 	: 	4459.64 u
THS_EUR,PERS,N1-3,DE,LV	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DE,MT	: c	: 	: 	: 
THS_EUR,PERS,N1-3,DE,NL	35193.97 u	: 	: 	10004.2 u
THS_EUR,PERS,N1-3,DE,NO	: u	: u	: 	: 
THS_EUR,PERS,N1-3,DE,PL	: c	: 	: 	3602.94 u
THS_EUR,PERS,N1-3,DE,PT	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DE,SI	: c	: 	: 	: u
THS_EUR,PERS,N1-3,DE,SK	: c	: 	: 	: 
THS_EUR,PERS,N1-3,DK,AT	: c	: 	: 	: u
THS_EUR,PERS,N1-3,DK,DK	: 	: 	: 	252655.55 
THS_EUR,PERS,N1-3,DK,ES	: c	: 	: 	: 
THS_EUR,PERS,N1-3,DK,FI	: c	: 	: 	: u
THS_EUR,PERS,N1-3,DK,FR	: u	: 	: 	: 
THS_EUR,PERS,N1-3,DK,LT	: c	: 	: 	: 
THS_EUR,PERS,N1-3,DK,LU	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DK,NL	: c	: 	: 	: u
THS_EUR,PERS,N1-3,DK,NO	: u	: u	: 	: 
THS_EUR,PERS,N1-3,DK,PL	: c	: 	: 	: u
THS_EUR,PERS,N1-3,DK,PT	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DK,SI	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,AT	348440.57 	: 	: 	411166.9 
THS_EUR,PERS,N1-3,DOM,BE	14589.47 u	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,BG	8717.87 	: 	: 	8568.97 u
THS_EUR,PERS,N1-3,DOM,CH	: 	: 	: u	: u
THS_EUR,PERS,N1-3,DOM,CY	11833.78 	: 	: 	11196.18 
THS_EUR,PERS,N1-3,DOM,CZ	11156.3 u	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,DE	1598833.81 	: 	: 	1789445.17 
THS_EUR,PERS,N1-3,DOM,DK	: 	: 	: 	252655.55 
THS_EUR,PERS,N1-3,DOM,EE	18798.13 	: 	: 	2130.5 u
THS_EUR,PERS,N1-3,DOM,EL	: 	: 	: 	18575.5 
THS_EUR,PERS,N1-3,DOM,ES	390043.04 	: 	: 	207700.31 
THS_EUR,PERS,N1-3,DOM,FI	40705.26 u	: 	: 	42340.89 
THS_EUR,PERS,N1-3,DOM,FR	297176.61 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,HR	6741.49 u	: 	: 	14341.87 
THS_EUR,PERS,N1-3,DOM,HU	8810.02 	: 	: 	7207.25 
THS_EUR,PERS,N1-3,DOM,IE	53713.73 	: 	: 	54439.74 
