unit,purpose,duration,partner,trip_arr,geo\time	2017 	2016 	2015 	2014 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,CH	: 	: 	7764771.38 	6008757.67 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,CY	469114.65 	: 	: 	275767.48 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,CZ	1662756.78 	: 	: 	914973.76 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,DE	54742239.8 	: 	: 	41200176.83 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,DK	: 	: 	: 	2809864.59 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,EA	: 	: 	: 	103473998.74 e
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,EE	419164.46 	: 	: 	241140.85 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,EL	: 	: 	: 	254245.41 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,ES	10829021.48 	: 	: 	3400880.41 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,EU27	: 	: 	: 	128781223.2 e
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,EU28	: 	: 	: 	129024000.24 e
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,FI	5544055.3 	: 	: 	4895469.51 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,FR	25461712.24 	: 	: 	: 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,HR	: 	: 	: 	349289.75 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,HU	911783.39 	: 	: 	648488.06 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,IE	3040795.74 	: 	: 	2134150.15 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,IT	8238968.84 	: 	: 	5316409.17 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,LT	387729.21 	: 	: 	195376.84 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,LU	: 	: 	: 	518074.11 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,LV	: 	: 	: 	153272.31 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,MT	270310.42 	: 	: 	110499.84 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,NL	9529388.02 	: 	: 	8388642.35 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,PL	2706400.69 	: 	: 	1506290.39 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,PT	665745.19 	: 	: 	: 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,RO	179374.96 	: 	: 	89092.05 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,SE	: 	: 	: 	2642480.76 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,SI	325705.48 	: 	: 	222548.13 
THS_EUR,PERS,N_GE1,WORLD,ACC_WEB,SK	588730.51 	: 	: 	374679.11 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,AT	5809271.13 	: 	: 	5178649.34 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,BE	4669004.61 b	: 	: 	3449970.46 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,BG	493316.7 	: 	: 	308802.2 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,CH	: 	: 	3674771.74 	2609625.01 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,CY	164363.79 	: 	: 	276040.3 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,CZ	1897990.56 	: 	: 	977123.57 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,DE	58105953.22 	: 	: 	48539072.18 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,DK	: 	: 	: 	1469237.96 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,EA	: 	: 	: 	109107877.6 e
THS_EUR,PERS,N_GE1,WORLD,DIRECT,EE	275580.13 	: 	: 	123053.21 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,EL	: 	: 	: 	103734.42 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,ES	9955064.51 	: 	: 	10377331.05 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,EU27	: 	: 	: 	134149962.42 e
THS_EUR,PERS,N_GE1,WORLD,DIRECT,EU28	: 	: 	: 	134219322.28 e
THS_EUR,PERS,N_GE1,WORLD,DIRECT,FI	3610434.91 	: 	: 	3372569.48 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,FR	165392.67 u	: 	: 	: 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,HR	: 	: 	: 	203402.37 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,HU	1233012.8 	: 	: 	940363.94 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,IE	4437131.79 	: 	: 	3554266.33 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,IT	12453061.78 	: 	: 	9297507.03 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,LT	127109.5 	: 	: 	336004.42 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,LU	: 	: 	: 	853878.33 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,LV	: 	: 	: 	90934.88 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,MT	126210.35 	: 	: 	82305.64 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,NL	5271259.15 	: 	: 	4621962.5 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,PL	4965120.46 	: 	: 	2553671.32 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,PT	1135061.19 	: 	: 	: 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,RO	433289.59 	: 	: 	168558.9 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,SE	: 	: 	: 	1219848.51 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,SI	553681.03 	: 	: 	412577.9 
THS_EUR,PERS,N_GE1,WORLD,DIRECT,SK	940275.63 	: 	: 	438336.95 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,AT	791926.43 	: 	: 	772568.11 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,BE	698177.82 b	: 	: 	873406.22 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,BG	111173.23 	: 	: 	139675.5 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,CH	: 	: 	5863632.75 	5124386.81 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,CY	617836.83 	: 	: 	31235.33 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,CZ	1142045.7 	: 	: 	1121365.02 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,DE	8057539.38 	: 	: 	8864182.13 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,DK	: 	: 	: 	7253335.09 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,EA	: 	: 	: 	29155456.96 e
THS_EUR,PERS,N_GE1,WORLD,NBOOK,EE	135549.46 	: 	: 	323784.54 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,EL	: 	: 	: 	448514.28 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,ES	8196374.7 	: 	: 	7540417.74 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,EU27	: 	: 	: 	52491096.27 e
THS_EUR,PERS,N_GE1,WORLD,NBOOK,EU28	: 	: 	: 	53264549.62 e
THS_EUR,PERS,N_GE1,WORLD,NBOOK,FI	3334690.02 	: 	: 	3583921.98 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,FR	2225369.84 	: 	: 	: 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,HR	: 	: 	: 	732014.97 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,HU	648394.72 	: 	: 	663011.54 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,IE	374600.32 	: 	: 	403197.37 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,IT	2477705.2 	: 	: 	1908417.69 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,LT	314684.37 	: 	: 	214780.6 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,LU	: 	: 	: 	87458.23 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,LV	: 	: 	: 	280996.47 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,MT	7772.52 	: 	: 	69365.71 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,NL	1763513.02 	: 	: 	732780.45 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,PL	3410148.26 	: 	: 	3841279.98 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,PT	904023.38 	: 	: 	: 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,RO	1518135.84 	: 	: 	1309785.89 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,SE	: 	: 	: 	1984978.95 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,SI	119394.54 	: 	: 	122428.77 
THS_EUR,PERS,N_GE1,WORLD,NBOOK,SK	589527.05 	: 	: 	445574.1 
THS_EUR,PERS,N_GE1,WORLD,NPACK,AT	8426089.64 	: 	: 	6464730.94 
THS_EUR,PERS,N_GE1,WORLD,NPACK,BE	5826233.16 b	: 	: 	5216882.99 
THS_EUR,PERS,N_GE1,WORLD,NPACK,BG	660639.19 	: 	: 	448477.7 
THS_EUR,PERS,N_GE1,WORLD,NPACK,CH	: 	: 	11322895.57 	9386389.21 
THS_EUR,PERS,N_GE1,WORLD,NPACK,CY	1169445.06 	: 	: 	951293.37 
THS_EUR,PERS,N_GE1,WORLD,NPACK,CZ	3291412.18 	: 	: 	2284532.84 
THS_EUR,PERS,N_GE1,WORLD,NPACK,DE	73887720.07 	: 	: 	62344801.29 
THS_EUR,PERS,N_GE1,WORLD,NPACK,DK	: 	: 	: 	8942827.35 
THS_EUR,PERS,N_GE1,WORLD,NPACK,EA	: 	: 	: 	193219124.52 e
THS_EUR,PERS,N_GE1,WORLD,NPACK,EE	570238.97 	: 	: 	457222.55 
THS_EUR,PERS,N_GE1,WORLD,NPACK,EL	: 	: 	: 	1537312.23 
THS_EUR,PERS,N_GE1,WORLD,NPACK,ES	28615237.01 	: 	: 	19610264.11 
THS_EUR,PERS,N_GE1,WORLD,NPACK,EU27	: 	: 	: 	253160833.76 e
THS_EUR,PERS,N_GE1,WORLD,NPACK,EU28	: 	: 	: 	254067120.96 e
THS_EUR,PERS,N_GE1,WORLD,NPACK,FI	8849290.54 	: 	: 	8113002.6 
THS_EUR,PERS,N_GE1,WORLD,NPACK,FR	59489732.36 	: 	: 	: 
THS_EUR,PERS,N_GE1,WORLD,NPACK,HR	: 	: 	: 	1061699.36 
THS_EUR,PERS,N_GE1,WORLD,NPACK,HU	1902087.66 	: 	: 	1603375.47 
THS_EUR,PERS,N_GE1,WORLD,NPACK,IE	5390804.45 	: 	: 	4210205.99 
THS_EUR,PERS,N_GE1,WORLD,NPACK,IT	17409088.1 	: 	: 	13091491.54 
THS_EUR,PERS,N_GE1,WORLD,NPACK,LT	591406.37 	: 	: 	579024.18 
THS_EUR,PERS,N_GE1,WORLD,NPACK,LU	: 	: 	: 	942631.4 
THS_EUR,PERS,N_GE1,WORLD,NPACK,LV	: 	: 	: 	400594.44 
THS_EUR,PERS,N_GE1,WORLD,NPACK,MT	360950.6 	: 	: 	201236.87 
THS_EUR,PERS,N_GE1,WORLD,NPACK,NL	13079664.12 	: 	: 	10103682.83 
THS_EUR,PERS,N_GE1,WORLD,NPACK,NO	12742593.05 	: 	: 	: 
THS_EUR,PERS,N_GE1,WORLD,NPACK,PL	10917637.87 	: 	: 	6609739.39 
THS_EUR,PERS,N_GE1,WORLD,NPACK,PT	2194294.75 	: 	: 	: 
THS_EUR,PERS,N_GE1,WORLD,NPACK,RO	2071589.11 	: 	: 	1552436.79 
THS_EUR,PERS,N_GE1,WORLD,NPACK,SE	: 	: 	: 	5631717.53 
THS_EUR,PERS,N_GE1,WORLD,NPACK,SI	770821.48 	: 	: 	620487.89 
THS_EUR,PERS,N_GE1,WORLD,NPACK,SK	1638471.84 	: 	: 	965260.95 
THS_EUR,PERS,N_GE1,WORLD,PACK,AT	4032229.25 	: 	: 	4391283.35 
THS_EUR,PERS,N_GE1,WORLD,PACK,BE	1714755.77 b	: 	: 	2103172.84 
THS_EUR,PERS,N_GE1,WORLD,PACK,BG	114564.12 	: 	: 	97673 
THS_EUR,PERS,N_GE1,WORLD,PACK,CH	: 	: 	2732079.05 	2993407.6 
THS_EUR,PERS,N_GE1,WORLD,PACK,CY	196750.11 	: 	: 	141197.84 
THS_EUR,PERS,N_GE1,WORLD,PACK,CZ	1344781.02 	: 	: 	1061780.47 
THS_EUR,PERS,N_GE1,WORLD,PACK,DE	29358399.68 	: 	: 	26011146.68 
THS_EUR,PERS,N_GE1,WORLD,PACK,DK	: 	: 	: 	1283628.03 
THS_EUR,PERS,N_GE1,WORLD,PACK,EA	: 	: 	: 	59535872.19 e
THS_EUR,PERS,N_GE1,WORLD,PACK,EE	227109.58 	: 	: 	126435.8 
THS_EUR,PERS,N_GE1,WORLD,PACK,EL	: 	: 	: 	134261.02 
THS_EUR,PERS,N_GE1,WORLD,PACK,ES	5238261.4 	: 	: 	2731292.82 
THS_EUR,PERS,N_GE1,WORLD,PACK,EU27	: 	: 	: 	76425625.29 e
THS_EUR,PERS,N_GE1,WORLD,PACK,EU28	: 	: 	: 	76584890.85 e
THS_EUR,PERS,N_GE1,WORLD,PACK,FI	1812142.31 	: 	: 	2111390.97 
THS_EUR,PERS,N_GE1,WORLD,PACK,FR	12344066.35 	: 	: 	: 
THS_EUR,PERS,N_GE1,WORLD,PACK,HR	: 	: 	: 	220565.1 
THS_EUR,PERS,N_GE1,WORLD,PACK,HU	793832.7 	: 	: 	555540.05 
THS_EUR,PERS,N_GE1,WORLD,PACK,IE	1098648.86 	: 	: 	1193186.98 
THS_EUR,PERS,N_GE1,WORLD,PACK,IT	3072839.9 	: 	: 	2186187.96 
THS_EUR,PERS,N_GE1,WORLD,PACK,LT	263253.36 	: 	: 	149642.07 
THS_EUR,PERS,N_GE1,WORLD,PACK,LU	: 	: 	: 	222271.51 
THS_EUR,PERS,N_GE1,WORLD,PACK,LV	: 	: 	: 	123476.95 
THS_EUR,PERS,N_GE1,WORLD,PACK,MT	58182.79 	: 	: 	53688.45 
THS_EUR,PERS,N_GE1,WORLD,PACK,NL	5460816.48 	: 	: 	3390477.12 
THS_EUR,PERS,N_GE1,WORLD,PACK,NO	2900406 	: 	: 	: 
THS_EUR,PERS,N_GE1,WORLD,PACK,PL	553613.18 	: 	: 	1696881.33 
THS_EUR,PERS,N_GE1,WORLD,PACK,PT	205147.16 	: 	: 	: 
THS_EUR,PERS,N_GE1,WORLD,PACK,RO	248856.46 	: 	: 	240439.9 
THS_EUR,PERS,N_GE1,WORLD,PACK,SE	: 	: 	: 	1992536.95 
THS_EUR,PERS,N_GE1,WORLD,PACK,SI	108926.98 	: 	: 	144288.08 
THS_EUR,PERS,N_GE1,WORLD,PACK,SK	665570.83 	: 	: 	519165.25 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,AT	12458318.89 	: 	: 	10856014.28 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,BE	7540988.93 b	: 	: 	7320055.84 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,BG	775203.31 	: 	: 	546150.71 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,CH	: 	: 	14054974.62 	12379796.81 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,CY	1366195.17 	: 	: 	1092491.21 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,CZ	4636193.21 	: 	: 	3346313.31 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,DE	103246119.76 	: 	: 	88355947.97 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,DK	: 	: 	: 	10226455.37 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,EA	: 	: 	: 	252754996.72 e
THS_EUR,PERS,N_GE1,WORLD,TOTAL,EE	797348.55 	: 	: 	583658.35 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,EL	: 	: 	: 	1671573.25 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,ES	33853498.41 	: 	: 	22341556.93 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,EU27	: 	: 	: 	329586459.06 e
THS_EUR,PERS,N_GE1,WORLD,TOTAL,EU28	: 	: 	: 	330652011.81 e
THS_EUR,PERS,N_GE1,WORLD,TOTAL,FI	10661432.85 	: 	: 	10224393.57 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,FR	71833798.71 	: 	: 	: 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,HR	: 	: 	: 	1282264.46 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,HU	2695920.35 	: 	: 	2158915.52 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,IE	6489453.31 	: 	: 	5403392.97 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,IT	20481928 	: 	: 	15277679.5 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,LT	854659.72 	: 	: 	728666.25 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,LU	: 	: 	: 	1164902.91 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,LV	: 	438206.37 	: 	524071.39 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,MT	419133.39 	400338.37 	306938.98 	254925.32 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,NL	18540480.6 	: 	: 	13494159.95 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,NO	15642999.06 	: 	: 	: 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,PL	11471251.05 	: 	: 	8306620.72 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,PT	2399441.91 	: 	: 	: 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,RO	2320445.57 	: 	: 	1792876.69 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,SE	: 	: 	: 	7624254.48 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,SI	879748.46 	: 	: 	764775.97 
THS_EUR,PERS,N_GE1,WORLD,TOTAL,SK	2304042.67 	: 	: 	1484426.2 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,AT	3371677.77 	: 	: 	3099213.54 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,BE	1961642.1 b	: 	: 	2514666.73 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,BG	120074.73 	: 	: 	73206.53 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,CH	: 	: 	3645198.76 	3830265.66 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,CY	363580.91 	: 	: 	549194.07 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,CZ	1347030 	: 	: 	943219.03 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,DE	31141266.7 	: 	: 	24303062.28 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,DK	: 	: 	: 	1328287.57 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,EA	: 	: 	: 	78365158.88 e
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,EE	237721.73 	: 	: 	124998.98 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,EL	: 	: 	: 	234019.27 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,ES	7290806.81 	: 	: 	3478427.91 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,EU27	: 	: 	: 	98839276.09 e
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,EU28	: 	: 	: 	99033300.06 e
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,FI	2742695.23 	: 	: 	2815496.19 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,FR	51315462.3 	: 	: 	: 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,HR	: 	: 	: 	274804.41 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,HU	392747 	: 	: 	276877.3 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,IE	1036855.93 	: 	: 	1006117.31 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,IT	3835697.04 	: 	: 	3283119.69 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,LT	411298.66 	: 	: 	152885.96 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,LU	: 	: 	: 	211095.54 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,LV	: 	: 	: 	124546.68 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,MT	128829.61 	: 	: 	85125.41 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,NL	7443913.9 	: 	: 	5140704.22 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,PL	693443.39 	: 	: 	1789784.69 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,PT	271246.43 	: 	: 	: 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,RO	174989.51 	: 	: 	173863.25 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,SE	: 	: 	: 	3082183.56 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,SI	130778.23 	: 	: 	165035.69 
THS_EUR,PERS,N_GE1,WORLD,TRA_TO_TA,SK	580079.19 	: 	: 	451906.29 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,AT	3515526.86 	: 	: 	2691298.59 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,BE	2555071.22 b	: 	: 	1881117.46 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,BG	25020.97 	: 	: 	: u
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,CH	: 	: 	6224292.38 	4737019.74 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,CY	870733.16 	: 	: 	543686.6 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,CZ	956112.73 	: 	: 	415631.59 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,DE	39934454.41 	: 	: 	28285181.41 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,DK	: 	: 	: 	6390165.01 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,EA	: 	: 	: 	77643740.65 e
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,EE	340958.43 	: 	: 	252647.91 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,EL	: 	: 	: 	247017.78 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,ES	8735185.05 	: 	: 	2964050.11 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,EU27	: 	: 	: 	103058164 e
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,EU28	: 	: 	: 	103237941.81 e
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,FI	6078502.74 	: 	: 	5223960.5 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,FR	20655775.31 	: 	: 	: 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,HR	: 	: 	: 	266840.35 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,HU	589341.33 	: 	: 	437230.23 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,IE	3915501.6 	: 	: 	2959610.28 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,IT	5573021 	: 	: 	3824128.46 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,LT	513693.22 	: 	: 	253232.08 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,LU	: 	: 	: 	396068.81 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,LV	: 	: 	: 	182684.41 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,MT	296693.91 	: 	: 	136956.35 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,NL	8304834.74 	: 	: 	5733031.34 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,PL	2012184.25 	: 	: 	1046609.63 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,PT	495710.76 	: 	: 	: 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,RO	87847.23 	: 	: 	73042.69 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,SE	: 	: 	: 	3598293.1 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,SI	127250.61 	: 	: 	107380.32 
THS_EUR,PERS,N_GE1,WORLD,TRA_WEB,SK	288999.74 	: 	: 	165145.05 u
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,AT	251911.7 	: 	: 	154714.28 
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,BE	38482.83 bu	: 	: 	36306.3 
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,BG	31144.39 	: 	: 	15506.93 u
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,CH	: 	: 	: u	: u
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,CY	5428.19 u	: 	: 	9081.9 u
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,CZ	68293.34 	: 	: 	30117.47 
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,DE	2340918.25 	: 	: 	2223669.89 
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,DK	: 	: 	: 	52416.77 u
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,EA	: 	: 	: 	21393196.15 e
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,EE	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,EL	: 	: 	: 	57310.94 
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,ES	3912273.5 	: 	: 	1353719.02 
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,EU27	: 	: 	: 	25019128.39 e
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,EU28	: 	: 	: 	25009393.87 e
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,FI	92833.73 u	: 	: 	76942.5 u
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,FR	689186.91 	: 	: 	: 
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,HR	: 	: 	: 	18116.51 u
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,HU	3198.16 u	: 	: 	11073.58 
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,IE	23586.77 u	: 	: 	21763.26 u
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,IT	1456042.83 	: 	: 	922903.04 
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,LT	: c	: 	: 	6209.78 
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,LU	: 	: 	: 	: u
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,MT	1595.24 u	: 	: 	: u
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,NL	580142.2 	: 	: 	274863.71 
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,PL	32950.19 	: 	: 	107451.26 
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,PT	73990.69 	: 	: 	: 
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,RO	151127.25 	: 	: 	113623.19 
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,SE	: 	: 	: 	118665.42 
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,SI	10242.32 u	: 	: 	12499.75 
THS_EUR,PERS,N_GE4,DOM,ACC_TO_TA,SK	: c	: 	: 	: u
THS_EUR,PERS,N_GE4,DOM,ACC_WEB,AT	855653.44 	: 	: 	557743.51 
THS_EUR,PERS,N_GE4,DOM,ACC_WEB,BE	78417.87 b	: 	: 	104669.83 
