unit,purpose,duration,partner,trip_arr,geo\time	2017 	2016 	2015 	2014 
THS_EUR,PERS,N1-3,DOM,DIRECT,BG	106309.11 	: 	: 	86942.47 
THS_EUR,PERS,N1-3,DOM,DIRECT,CH	: 	: 	49273.26 u	35535.8 u
THS_EUR,PERS,N1-3,DOM,DIRECT,CY	: c	: 	: 	43502.16 
THS_EUR,PERS,N1-3,DOM,DIRECT,CZ	272995.49 	: 	: 	139172.75 
THS_EUR,PERS,N1-3,DOM,DIRECT,DE	10152202.82 	: 	: 	9724553.7 
THS_EUR,PERS,N1-3,DOM,DIRECT,DK	: 	: 	: 	1157102.45 
THS_EUR,PERS,N1-3,DOM,DIRECT,EA	: 	: 	: 	23857020.8 e
THS_EUR,PERS,N1-3,DOM,DIRECT,EE	78459.88 	: 	: 	14169.83 
THS_EUR,PERS,N1-3,DOM,DIRECT,EL	: 	: 	: 	12792.96 
THS_EUR,PERS,N1-3,DOM,DIRECT,ES	3200633.89 	: 	: 	2767518.07 
THS_EUR,PERS,N1-3,DOM,DIRECT,EU27	: 	: 	: 	29785985.1 e
THS_EUR,PERS,N1-3,DOM,DIRECT,EU28	: 	: 	: 	29769144.38 e
THS_EUR,PERS,N1-3,DOM,DIRECT,FI	1072689.32 	: 	: 	975356.22 
THS_EUR,PERS,N1-3,DOM,DIRECT,FR	: u	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,DIRECT,HR	: 	: 	: 	16977.37 
THS_EUR,PERS,N1-3,DOM,DIRECT,HU	362816.09 	: 	: 	230800.4 
THS_EUR,PERS,N1-3,DOM,DIRECT,IE	693351.77 	: 	: 	513576.78 
THS_EUR,PERS,N1-3,DOM,DIRECT,IT	2605587.7 	: 	: 	1878621.91 
THS_EUR,PERS,N1-3,DOM,DIRECT,LU	: 	: 	: 	2648.65 u
THS_EUR,PERS,N1-3,DOM,DIRECT,LV	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,DIRECT,MT	16110.2 	: 	: 	7158.6 
THS_EUR,PERS,N1-3,DOM,DIRECT,NL	572306.83 	: 	: 	514919.25 
THS_EUR,PERS,N1-3,DOM,DIRECT,PL	532107.52 	: 	: 	220853.81 
THS_EUR,PERS,N1-3,DOM,DIRECT,PT	220088.54 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,DIRECT,RO	80259.12 	: 	: 	37739.32 
THS_EUR,PERS,N1-3,DOM,DIRECT,SE	: 	: 	: 	292662.31 
THS_EUR,PERS,N1-3,DOM,DIRECT,SI	53149.52 	: 	: 	52792.56 
THS_EUR,PERS,N1-3,DOM,DIRECT,SK	283183.01 	: 	: 	117517.19 
THS_EUR,PERS,N1-3,DOM,NBOOK,AT	208601.99 	: 	: 	232283.34 
THS_EUR,PERS,N1-3,DOM,NBOOK,BE	46266.12 b	: 	: 	39907.57 
THS_EUR,PERS,N1-3,DOM,NBOOK,BG	52976.96 	: 	: 	66496.71 
THS_EUR,PERS,N1-3,DOM,NBOOK,CH	: 	: 	764802.85 	689458.82 
THS_EUR,PERS,N1-3,DOM,NBOOK,CY	103386.07 	: 	: 	2926.93 u
THS_EUR,PERS,N1-3,DOM,NBOOK,CZ	523432.05 	: 	: 	433296 
THS_EUR,PERS,N1-3,DOM,NBOOK,DE	1610740.67 	: 	: 	1598150.08 
THS_EUR,PERS,N1-3,DOM,NBOOK,DK	: 	: 	: 	2314139.21 
THS_EUR,PERS,N1-3,DOM,NBOOK,EA	: 	: 	: 	8536927.03 e
THS_EUR,PERS,N1-3,DOM,NBOOK,EE	85544.78 	: 	: 	101334.42 
THS_EUR,PERS,N1-3,DOM,NBOOK,EL	: 	: 	: 	67008.9 
THS_EUR,PERS,N1-3,DOM,NBOOK,ES	4177218.59 	: 	: 	3154371.07 
THS_EUR,PERS,N1-3,DOM,NBOOK,EU27	: 	: 	: 	16051910.46 e
THS_EUR,PERS,N1-3,DOM,NBOOK,EU28	: 	: 	: 	16257939.41 e
THS_EUR,PERS,N1-3,DOM,NBOOK,FI	1649583.39 	: 	: 	1718434.37 
THS_EUR,PERS,N1-3,DOM,NBOOK,FR	672925.24 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,NBOOK,HR	: 	: 	: 	197193.32 
THS_EUR,PERS,N1-3,DOM,NBOOK,HU	178793.86 	: 	: 	187066.27 
THS_EUR,PERS,N1-3,DOM,NBOOK,IE	214581.27 	: 	: 	183754.42 
THS_EUR,PERS,N1-3,DOM,NBOOK,IT	630110.02 	: 	: 	535948.15 
THS_EUR,PERS,N1-3,DOM,NBOOK,LT	113098.53 	: 	: 	64743.84 
THS_EUR,PERS,N1-3,DOM,NBOOK,LU	: 	: 	: 	1032.84 u
THS_EUR,PERS,N1-3,DOM,NBOOK,LV	: 	: 	: 	85340.18 
THS_EUR,PERS,N1-3,DOM,NBOOK,MT	6198.98 	: 	: 	8061.37 
THS_EUR,PERS,N1-3,DOM,NBOOK,NL	323862.18 	: 	: 	301669.52 
THS_EUR,PERS,N1-3,DOM,NBOOK,PL	901203.16 	: 	: 	912496.8 
THS_EUR,PERS,N1-3,DOM,NBOOK,PT	458773.13 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,NBOOK,RO	717112.38 	: 	: 	578656.13 
THS_EUR,PERS,N1-3,DOM,NBOOK,SE	: 	: 	: 	928715.9 
THS_EUR,PERS,N1-3,DOM,NBOOK,SI	30362.19 	: 	: 	35746.37 
THS_EUR,PERS,N1-3,DOM,NBOOK,SK	194981.27 	: 	: 	128219.15 
THS_EUR,PERS,N1-3,DOM,NPACK,AT	1408032.87 	: 	: 	1207107.95 
THS_EUR,PERS,N1-3,DOM,NPACK,BE	331516.63 b	: 	: 	221585.43 
THS_EUR,PERS,N1-3,DOM,NPACK,BG	164937.43 	: 	: 	153439.18 
