unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
THS_EUR,PROF,N29-91,OUT,PT	28329.84 u	: u	50840.6 u	23954.68 u	14032.39 u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,OUT,RO	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,OUT,SE	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,OUT,SI	: 	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,OUT,SK	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,OUT,UK	: 	: 	: 	: 	402911.94 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,AT	: c	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,BE	: u	35894.06 	: u	: u	: u	171349.65 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,BG	: 	: u	: u	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,CH	: 	: u	: u	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,CY	: c	: u	: u	: u	: u	30103.21 bu	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,CZ	: 	: 	: u	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,DE	: c	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,DK	: 	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,EA	: 	: 	: 	1307404.52 e	1884165.23 e	1781369.9 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,EE	: c	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,EL	: 	22401.23 u	: u	22617.59 u	19700.21 u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,ES	204089.9 u	179874.44 u	79611.97 bu	98383.91 	96505.73 	73854.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,EU27	: 	: 	3203492.2 e	1816156.1 e	2795371.78 e	2532962.04 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,EU28	: 	: 	3226307.74 e	1906739.81 e	2898312.13 e	2574060.92 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,FI	: c	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,FR	219549.64 u	66081.9 u	84561.8 u	141018.5 u	194839.02 u	195894.22 bu	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,HR	: u	: u	: u	81120.97 u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,HU	: c	: u	: u	: u	: u	8470.45 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,IE	: c	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,IT	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,LT	: c	2402.5 u	: u	: u	: u	16762.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,LU	: 	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,LV	: 	: c	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,MT	: c	: c	: c	: u	6795.64 	5266.67 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,NL	192828.09 u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,NO	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,PL	92108.26 	83895.48 	108588.73 	100534.76 b	403374.69 	307322.38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,PT	29332.04 u	27954.59 u	54405.15 u	30619.41 u	16679.07 u	16298.9 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,RO	: c	: u	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,SE	: 	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,SI	: 	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,SK	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N29-91,WORLD,UK	: 	: 	: 	: 	423476.22 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,AT	102152.73 	159028.74 	128442.35 	99421.27 	75716.52 	83263.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,BE	: u	3840.52 	: u	: u	: u	15370.6 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,BG	: c	: u	: u	: u	4400.98 u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,CH	: 	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,CY	: c	: u	: u	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,CZ	22756.91 u	21428.55 u	: u	20499.83 u	24049.61 u	15299.39 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,DE	2223241.42 	2868507.5 	2751870.76 	2363849.74 	2367949.17 	2635138.84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,DK	: 	85635.95 	75365.33 	: u	37333.83 bu	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,EA	: 	: 	: 	5129602.64 e	5461573.28 e	6219113.55 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,EE	9035.37 u	8713.18 u	3259.69 u	4413.19 u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,EL	: 	20576.5 	19176.87 	23131.78 	16456.52 	14595.64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,ES	565933.07 	618320.76 	369711.4 b	463952.96 	698358.19 	887971.53 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,EU27	: 	: 	6116042.81 e	6162031.23 e	6972379.79 e	7894640.95 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,EU28	: 	: 	6154515.43 e	6174630.36 e	6998605.24 e	7925232.49 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,FI	162665.09 	207604.37 	135684.63 	108123.7 	131851.6 	149025.03 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,FR	1696579.36 	1287685.73 	1195018.12 	1763496.33 	1852233.37 	1822684.27 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,HR	39796.9 u	30771.67 u	40141.66 u	17572.03 	26847.88 	31273.63 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,HU	1695.48 u	3493.08 u	: u	2970.98 u	2028.99 u	10419.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,IE	17519.67 u	16954.59 u	: u	20141.55 	: u	17330.17 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,IT	411566.87 u	214363.58 u	298791.09 u	211253.51 bu	231427.22 u	464993 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,LT	1458.55 	1609.74 	2497.35 u	1488.45 	1015.38 	1050.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,LU	: 	: 	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,LV	: 	: c	: u	: u	2685.4 u	2561.04 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,MT	: c	: c	: c	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,NL	42799.49 u	40610.36 u	: u	36498.54 u	25790.39 u	66351.48 bu	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,NO	388152.37 	209458.98 	176195.89 	290165.29 	127245.17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,PL	61311.58 	57063.5 	43866.33 	53663.89 b	95087.02 	326353.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,PT	27989.97 	36734.33 	37839.89 	21813.77 	20153.76 	16142.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,RO	35840.13 	19996.25 	30263.39 	16633.97 	17171.72 	12259.78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,SE	: 	163015.21 u	168763.39 u	130263.4 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,SI	: c	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,SK	: 	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,DOM,UK	: 	: 	: 	: 	1194670.81 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,AT	523512.69 	770287.44 	498214.21 	746402.76 	739775.66 	498471.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,BE	314774.92 b	532644.34 	234446.3 	279106.85 	415125.59 	329329.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,BG	: c	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,CH	: 	411729.02 u	640245.19 u	214932.22 u	431472.01 u	445070.21 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,CY	137305.96 	119029.09 	92133.59 	108277.46 	90145.75 	66353.72 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,CZ	114462.53 u	43885.08 u	53816.4 u	75907.68 u	48389.78 u	63359.2 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,DE	5644562.41 	5089521.65 	4137391.27 	4145222.55 	5891019.56 	7489293.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,DK	: 	320254.9 	377678.06 	508829.7 b	333303.21 b	415833.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,EA	: 	: 	: 	8530090.59 e	10779789.53 e	12160338.66 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,EE	72798.11 	68073.42 	76958.08 	72083.74 	47328.51 	29702.52 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,EL	: 	34871.81 	22682.21 u	21302.47 u	45945.26 	14976.83 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,ES	764135.13 	728871.07 	414714.28 b	256063.23 	329411.38 	244402.91 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,EU27	: 	: 	10886567.15 e	10965010 e	13333814.44 e	14820238.72 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,EU28	: 	: 	11208123.78 e	11087576.34 e	13409578.77 e	14897300.04 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,FI	548890.76 	631683.49 	610405.42 	551756.66 	586873.27 	722875.14 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,FR	1194045.19 	979186.1 	1064953.07 	1097285.84 	1271897.16 	1018518.42 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,HR	124589.39 	61390.19 	292690.26 u	118816.73 	76470.09 	77971.94 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,HU	107998.09 	123965.14 	100127.22 	76644.39 	63013.82 	68380.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,IE	363456.14 	379340.2 	252065.22 	267989.33 	268676.04 	213664.46 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,IT	444876.08 u	325901.04 u	361847.86 u	367136.73 bu	309579.26 u	953572.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,LT	84530.52 	75402.6 	67455.45 	76642.71 	69156.84 	49746.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,LU	: 	65227.28 	79498.69 	96210.96 	89123.99 	70546.46 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,LV	: 	35397.83 u	: u	18953.04 u	26833.82 u	25425.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,MT	33604.63 	20986.45 	30347.18 	21299.14 b	27462.2 	23958.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,NL	798961.73 	471779.1 	431315.02 	362242.74 	423276.9 	336349.22 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,NO	488089.81 	445076.66 	364725.33 	344724.31 	239951.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,PL	224584.37 	196873.96 	199904.93 	183279.63 b	231655.74 	648661.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,PT	53042.59 	53962.77 	49343.55 	58071.71 	47238.14 	25686.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,RO	: c	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,SE	: 	138872.9 u	: u	95899.19 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,SI	88896.66 	111550.6 	69795.51 	63157.49 	56795.65 	72378.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,SK	: c	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,OUT,UK	: 	: 	: 	: 	1518462.96 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,WORLD,AT	625665.42 	929316.18 	626656.56 	845824.04 	815492.18 	581734.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,WORLD,BE	320805.41 b	536484.85 	246200.23 	280855.61 	419747.83 	344700.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,WORLD,BG	23428.39 u	16577.12 u	: u	12660.95 u	12791.93 u	9999.72 bu	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,WORLD,CH	: 	437879.15 	704524.52 	234714.95 	457910.26 u	446206.62 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,WORLD,CY	137802.13 	119847.91 	92462.73 	108277.46 	91320.67 	66742.11 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,WORLD,CZ	137219.44 	65313.63 	68203.36 u	96407.52 	72439.39 	78658.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,WORLD,DE	7867803.82 	7958029.15 	6889262.03 	6509072.29 	8258968.73 	10124431.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,WORLD,DK	: 	405890.85 	453043.4 	534414.74 b	370637.04 b	439338.52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,WORLD,EA	: 	: 	: 	13659693.23 e	16241362.82 e	18379452.22 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PROF,N4-7,WORLD,EE	81833.48 	76786.6 	80217.78 	76496.93 	49093.81 	30894.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
