duration,dest,purpose,tinfo,unit,geo\time	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 	2004Q4 	2004Q3 	2004Q2 	2004Q1 	2003Q4 	2003Q3 	2003Q2 	2003Q1 	2002Q4 	2002Q3 	2002Q2 	2002Q1 	2001Q4 	2001Q3 	2001Q2 	2001Q1 	2000Q4 	2000Q3 	2000Q2 	2000Q1 	1999Q4 	1999Q3 	1999Q2 	1999Q1 	1998Q4 	1998Q3 	1998Q2 	1998Q1 	1997Q4 	1997Q3 	1997Q2 	1997Q1 	1996Q4 	1996Q3 	1996Q2 	1996Q1 	1995Q4 	1995Q3 	1995Q2 	1995Q1 
N1-3,DOM,PERS,F,NR,HR	674617 	951744 	600397 	297950 	515838 	545557 	596168 	441467 	688708 	713097 	633121 	496645 	637984 	770980 	632509 	471611 	247305 	455217 	579755 	446958 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,HU	2968621 	3408085 	3201729 	2690971 	2688565 	3193701 	2956234 	2174157 	2558724 	3318821 	3169004 	2332437 	3377487 	4044548 	3740202 	3034330 	4118210 	4384856 	4666110 	3834656 	4411591 	6268553 	4030307 	3233988 	3199543 	4143058 	4048484 	3070117 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,IE	: u	: u	: u	: u	: u	: u	: u	: u	1120000 	1182000 	1082000 	1107000 	1258000 	1305000 	1110000 	1100000 	1051000 	1175000 	1168000 	1033000 	1061000 	1086000 	905000 	893000 	468000 	969000 	869000 	793000 	904000 	878000 	782000 	826000 	838000 	788000 	780000 	853000 	840000 	816000 	737000 	752000 	779000 	780000 	673000 	705000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	66973 	232804 	156868 	52459 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,IT	4928107 	6726756 	6602048 	4357384 	5551975 	7879489 	8009550 	7202292 	7298628 	10094780 	10370604 	6768300 	9889833 	10475448 	9989426 	9820753 	6917895 	9423451 	10280518 	6565722 	7654770 	9063688 	8198348 	7687373 	6707502 	8265620 	10069476 	7066545 	5878264 	7537236 	8150886 	5757186 	5346247 	6423719 	8386538 	5883176 	6551618 	7171980 	7840814 	6186337 	5619198 	5403020 	7770770 	5258319 	5536962 	6219103 	7793710 	5861362 	5514400 	6689244 	8434056 	5402029 	5004868 	7491067 	6859641 	6686618 	3281962 	3971108 	5611751 	5057408 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,LT	489671 	548108 	450073 	307085 	302563 	598025 	418538 	322731 	342576 	586452 	412612 	345707 	300054 	556256 	373284 	421356 	379176 	618939 	378554 	328064 	384982 	578216 	386849 	273941 	332088 	553777 	328767 	280103 	292289 	516719 	322730 	344449 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,LU	: 	: 	: 	: 	1147 	: 	: 	1745 	1331 	611 	239 	: 	0 	1154 	2532 	3164 	0 	1000 	4000 	: 	1200 	2800 	1400 	7300 	2900 	900 	4000 	: 	: 	6900 	2500 	2300 	6800 	700 	2300 	1600 	2000 	3000 	2000 	: 	: 	0 	2000 	: 	: 	0 	0 	: 	0 	3000 	1000 	0 	1000 	1000 	2000 	8000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,LV	385347 	824493 	729349 	435378 	602737 	846302 	899941 	276508 	377118 	1032419 	816003 	483129 	629866 	895697 	662381 	431880 	433783 	980454 	848891 	435481 	715629 	1052461 	815455 	512663 	545974 	1176030 	1028277 	564309 	573329 	1086622 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,MT	17706 	30935 	18875 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,NL	2089000 	2021000 	2904000 	1565000 	1775000 	2400000 	2703000 	1456000 	1686000 	2003000 	2818000 	1460000 	1699000 	2093000 	2424000 	1568000 	1835000 	1965000 	2552000 	1799000 	1655000 	2139000 	2754000 	1425000 	1595000 	2251000 	2775000 	1519000 	1604000 	2208000 	3354000 	1394000 	1658000 	2649000 	3728000 	1509000 	1748000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
