unit,purpose,duration,partner,tripdest,geo\time	2017 	2016 	2015 	2014 	2013 
NR,PERS,N1-3,DOM,CTRY,IT	: 	2155060 	: 	: 	2016244 
NR,PERS,N1-3,DOM,CTRY,LT	: 	329767 	: 	: 	729820 
NR,PERS,N1-3,DOM,CTRY,LU	: 	9503 u	: 	: 	22920 
NR,PERS,N1-3,DOM,CTRY,LV	: 	518704 	: 	: 	900360 
NR,PERS,N1-3,DOM,CTRY,MT	: 	82385 	: 	: 	: 
NR,PERS,N1-3,DOM,CTRY,NL	: 	6874368 	: 	: 	7694736 
NR,PERS,N1-3,DOM,CTRY,NO	717913 	630208 	673243 	760306 	628439 
NR,PERS,N1-3,DOM,CTRY,PL	: 	6713117 	: 	: 	6083423 
NR,PERS,N1-3,DOM,CTRY,PT	: 	3496504 	: 	: 	3269726 
NR,PERS,N1-3,DOM,CTRY,RO	3543263 	3192665 	: 	: 	3703697 
NR,PERS,N1-3,DOM,CTRY,SE	: 	5814356 	: 	: 	: 
NR,PERS,N1-3,DOM,CTRY,SI	: 	474902 	: 	: 	725523 
NR,PERS,N1-3,DOM,CTRY,SK	: 	1164289 	: 	: 	722415 
NR,PERS,N1-3,DOM,CTRY,UK	: 	: 	: 	: 	11635612 
NR,PERS,N1-3,DOM,MNT,AT	1257675 	1251734 	: 	: 	363450 
NR,PERS,N1-3,DOM,MNT,BE	: 	248552 	: 	: 	238278 
NR,PERS,N1-3,DOM,MNT,BG	: 	243185 	: 	: 	259311 
NR,PERS,N1-3,DOM,MNT,CH	: 	1126580 	1200723 	: 	1385733 
NR,PERS,N1-3,DOM,MNT,CY	: 	256009 	: 	: 	224351 
NR,PERS,N1-3,DOM,MNT,CZ	: 	2238921 	: 	: 	1865957 
NR,PERS,N1-3,DOM,MNT,DE	: 	7777920 	: 	: 	7054839 
NR,PERS,N1-3,DOM,MNT,DK	: 	: 	: 	: 	3059103 
NR,PERS,N1-3,DOM,MNT,EA	: 	: 	: 	: 	46701367 e
NR,PERS,N1-3,DOM,MNT,EL	: 	97348 	: 	: 	178577 
NR,PERS,N1-3,DOM,MNT,ES	: 	11967379 	: 	: 	11494124 
NR,PERS,N1-3,DOM,MNT,EU27	: 	: 	: 	: 	59047233 e
NR,PERS,N1-3,DOM,MNT,EU28	: 	: 	: 	: 	59175136 e
NR,PERS,N1-3,DOM,MNT,FI	: 	567305 	: 	: 	667074 
NR,PERS,N1-3,DOM,MNT,FR	16818889 	16001025 	: 	: 	18466285 
NR,PERS,N1-3,DOM,MNT,HR	: 	: u	: 	: 	134956 
NR,PERS,N1-3,DOM,MNT,HU	463524 	407995 	: 	: 	410013 
NR,PERS,N1-3,DOM,MNT,IE	: 	258987 	: 	: 	204871 
NR,PERS,N1-3,DOM,MNT,IT	: 	5200825 	: 	: 	5347894 
NR,PERS,N1-3,DOM,MNT,LU	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,MNT,LV	: 	: c	: 	: 	: 
NR,PERS,N1-3,DOM,MNT,NL	: 	678332 	: 	: 	729782 
NR,PERS,N1-3,DOM,MNT,NO	1601021 	1638830 	1390382 	1431183 	1222499 
NR,PERS,N1-3,DOM,MNT,PL	: 	2380579 	: 	: 	3263749 
NR,PERS,N1-3,DOM,MNT,PT	: 	1472157 	: 	: 	664238 
NR,PERS,N1-3,DOM,MNT,RO	2631802 	2721796 	: 	: 	2222374 
NR,PERS,N1-3,DOM,MNT,SE	: 	280635 	: 	: 	: 
NR,PERS,N1-3,DOM,MNT,SI	: 	162367 	: 	: 	281994 
NR,PERS,N1-3,DOM,MNT,SK	: 	1240714 	: 	: 	778857 
NR,PERS,N1-3,DOM,MNT,UK	: 	: 	: 	: 	144470 u
NR,PERS,N1-3,DOM,OTH,AT	: c	: u	: 	: 	: u
NR,PERS,N1-3,DOM,OTH,BE	: 	31187 	: 	: 	52191 u
NR,PERS,N1-3,DOM,OTH,BG	: 	: u	: 	: 	: u
NR,PERS,N1-3,DOM,OTH,CH	: 	: u	: u	: 	: u
NR,PERS,N1-3,DOM,OTH,CY	: 	721077 	: 	: 	9413 u
NR,PERS,N1-3,DOM,OTH,CZ	: 	320386 	: 	: 	193395 u
NR,PERS,N1-3,DOM,OTH,DE	: 	7771361 	: 	: 	9457954 
NR,PERS,N1-3,DOM,OTH,DK	: 	12360979 	: 	: 	590242 
NR,PERS,N1-3,DOM,OTH,EA	: 	: 	: 	: 	15998140 e
NR,PERS,N1-3,DOM,OTH,EE	: 	718074 	: 	: 	: u
NR,PERS,N1-3,DOM,OTH,EL	: 	: u	: 	: 	: u
NR,PERS,N1-3,DOM,OTH,ES	: 	10777508 	: 	: 	1111871 
NR,PERS,N1-3,DOM,OTH,EU27	: 	: 	: 	: 	33254908 e
