purpose,wstatus,duration,unit,geo\time	2016 	2013 
OTH,INAC_OTH,N_GE1,NR,EU27	: u	: u
OTH,INAC_OTH,N_GE1,NR,EU28	: u	: u
OTH,INAC_OTH,N_GE1,NR,FI	: c	23819 u
OTH,INAC_OTH,N_GE1,NR,HR	: 	61519 
OTH,INAC_OTH,N_GE1,NR,LU	: 	4891 
OTH,INAC_OTH,N_GE1,NR,LV	2845 	: 
OTH,INAC_OTH,N_GE1,NR,NL	106394 	100698 
OTH,INAC_OTH,N_GE1,NR,SI	16500 	10450 e
OTH,UNE,N_GE1,NR,EA	: u	: u
OTH,UNE,N_GE1,NR,ES	: c	: 
OTH,UNE,N_GE1,NR,EU27	: u	: u
OTH,UNE,N_GE1,NR,EU28	: u	: u
OTH,UNE,N_GE1,NR,FI	: c	13993 u
OTH,UNE,N_GE1,NR,HR	: 	19507 
OTH,UNE,N_GE1,NR,LU	: 	1226 
OTH,UNE,N_GE1,NR,LV	442 	: 
OTH,UNE,N_GE1,NR,NL	20748 	21306 
OTH,UNE,N_GE1,NR,SI	855 u	1864 u
SAFE,ACT_INAC,N_GE1,NR,AT	174306 	21619 u
SAFE,ACT_INAC,N_GE1,NR,BE	158030 	: 
SAFE,ACT_INAC,N_GE1,NR,BG	6064 	0 
SAFE,ACT_INAC,N_GE1,NR,CH	6211 u	0 u
SAFE,ACT_INAC,N_GE1,NR,CY	928 u	417 e
SAFE,ACT_INAC,N_GE1,NR,CZ	: c	39582 
SAFE,ACT_INAC,N_GE1,NR,DE	2317686 	1274148 
SAFE,ACT_INAC,N_GE1,NR,DK	0 	0 
SAFE,ACT_INAC,N_GE1,NR,EA	3301204 	1899241 e
SAFE,ACT_INAC,N_GE1,NR,EE	: c	7145 u
SAFE,ACT_INAC,N_GE1,NR,EL	34429 	44435 
SAFE,ACT_INAC,N_GE1,NR,ES	: c	89213 
SAFE,ACT_INAC,N_GE1,NR,EU27	4324688 	2473847 e
SAFE,ACT_INAC,N_GE1,NR,EU28	4327121 	2469159 e
SAFE,ACT_INAC,N_GE1,NR,FI	: c	3297 u
SAFE,ACT_INAC,N_GE1,NR,FR	129835 	119965 
SAFE,ACT_INAC,N_GE1,NR,HR	2433 	0 
SAFE,ACT_INAC,N_GE1,NR,HU	0 	: 
SAFE,ACT_INAC,N_GE1,NR,IE	28580 	9721 
SAFE,ACT_INAC,N_GE1,NR,IT	: c	0 
SAFE,ACT_INAC,N_GE1,NR,LT	32182 	4969 
SAFE,ACT_INAC,N_GE1,NR,LU	: c	1395 
SAFE,ACT_INAC,N_GE1,NR,LV	0 	0 
SAFE,ACT_INAC,N_GE1,NR,ME	: c	: 
SAFE,ACT_INAC,N_GE1,NR,MT	6489 u	1918 
SAFE,ACT_INAC,N_GE1,NR,NL	52155 	30596 
SAFE,ACT_INAC,N_GE1,NR,PL	290081 	150000 
SAFE,ACT_INAC,N_GE1,NR,PT	169745 	200425 
SAFE,ACT_INAC,N_GE1,NR,RO	16736 	: 
SAFE,ACT_INAC,N_GE1,NR,SE	62423 	: 
SAFE,ACT_INAC,N_GE1,NR,SI	8975 u	4628 u
SAFE,ACT_INAC,N_GE1,NR,SK	64082 	26577 
SAFE,ACT_INAC,N_GE1,NR,UK	581600 	192300 
SAFE,EDUC,N_GE1,NR,EA	: u	: u
SAFE,EDUC,N_GE1,NR,ES	: c	1707 
SAFE,EDUC,N_GE1,NR,EU27	: u	: u
SAFE,EDUC,N_GE1,NR,EU28	: u	: u
SAFE,EDUC,N_GE1,NR,FI	: 	3297 u
SAFE,EDUC,N_GE1,NR,HR	: 	0 
SAFE,EDUC,N_GE1,NR,LU	: 	0 u
SAFE,EDUC,N_GE1,NR,LV	0 	: 
SAFE,EDUC,N_GE1,NR,NL	0 	0 
SAFE,EDUC,N_GE1,NR,SI	0 u	0 u
SAFE,EMP,N_GE1,NR,EA	: u	: u
SAFE,EMP,N_GE1,NR,ES	: c	255 
SAFE,EMP,N_GE1,NR,EU27	: u	: u
SAFE,EMP,N_GE1,NR,EU28	: u	: u
SAFE,EMP,N_GE1,NR,FI	: c	0 u
SAFE,EMP,N_GE1,NR,HR	: 	0 
SAFE,EMP,N_GE1,NR,LU	: 	410 
SAFE,EMP,N_GE1,NR,LV	0 	: 
SAFE,EMP,N_GE1,NR,NL	21527 	7385 
SAFE,EMP,N_GE1,NR,SI	957 u	409 u
SAFE,INAC_OTH,N_GE1,NR,EA	: u	: u
SAFE,INAC_OTH,N_GE1,NR,ES	: c	86614 
SAFE,INAC_OTH,N_GE1,NR,EU27	: u	: u
SAFE,INAC_OTH,N_GE1,NR,EU28	: u	: u
SAFE,INAC_OTH,N_GE1,NR,FI	: 	0 u
SAFE,INAC_OTH,N_GE1,NR,HR	: 	0 
SAFE,INAC_OTH,N_GE1,NR,LU	: 	985 
SAFE,INAC_OTH,N_GE1,NR,LV	0 	: 
SAFE,INAC_OTH,N_GE1,NR,NL	21411 	13729 
SAFE,INAC_OTH,N_GE1,NR,SI	7189 u	4219 u
SAFE,UNE,N_GE1,NR,EA	: u	: u
SAFE,UNE,N_GE1,NR,ES	: c	637 
SAFE,UNE,N_GE1,NR,EU27	: u	: u
SAFE,UNE,N_GE1,NR,EU28	: u	: u
SAFE,UNE,N_GE1,NR,FI	: 	0 u
SAFE,UNE,N_GE1,NR,HR	: 	0 
SAFE,UNE,N_GE1,NR,LU	: 	0 u
SAFE,UNE,N_GE1,NR,LV	0 	: 
SAFE,UNE,N_GE1,NR,NL	9217 	9483 
SAFE,UNE,N_GE1,NR,SI	829 u	0 u
TOTAL,ACT_INAC,N_GE1,NR,AT	1711778 	1685996 
TOTAL,ACT_INAC,N_GE1,NR,BE	4129125 	3561452 
TOTAL,ACT_INAC,N_GE1,NR,BG	4342865 	4958246 
TOTAL,ACT_INAC,N_GE1,NR,CH	695956 	864186 
TOTAL,ACT_INAC,N_GE1,NR,CY	220244 e	344089 e
TOTAL,ACT_INAC,N_GE1,NR,CZ	1714763 	2362408 
TOTAL,ACT_INAC,N_GE1,NR,DE	17532690 	15667410 
TOTAL,ACT_INAC,N_GE1,NR,DK	967828 	832164 
TOTAL,ACT_INAC,N_GE1,NR,EA	98342774 	100945565 
TOTAL,ACT_INAC,N_GE1,NR,EE	345441 	431956 
TOTAL,ACT_INAC,N_GE1,NR,EL	5887825 	6314823 
TOTAL,ACT_INAC,N_GE1,NR,ES	13357269 	17743785 
TOTAL,ACT_INAC,N_GE1,NR,EU27	158597406 	166728715 e
TOTAL,ACT_INAC,N_GE1,NR,EU28	160632342 	168501421 e
TOTAL,ACT_INAC,N_GE1,NR,FI	381447 	411997 
TOTAL,ACT_INAC,N_GE1,NR,FR	13998000 	12790000 
TOTAL,ACT_INAC,N_GE1,NR,HR	2034936 	1921940 
TOTAL,ACT_INAC,N_GE1,NR,HU	3835783 	4038089 
TOTAL,ACT_INAC,N_GE1,NR,IE	969893 	1063373 
TOTAL,ACT_INAC,N_GE1,NR,IT	30254825 	30222326 
TOTAL,ACT_INAC,N_GE1,NR,LT	1052629 	1109273 
TOTAL,ACT_INAC,N_GE1,NR,LU	91805 	78707 
TOTAL,ACT_INAC,N_GE1,NR,LV	670069 	805481 
TOTAL,ACT_INAC,N_GE1,NR,ME	: c	: 
TOTAL,ACT_INAC,N_GE1,NR,MT	156764 	179284 
TOTAL,ACT_INAC,N_GE1,NR,NL	2050037 	2146676 
TOTAL,ACT_INAC,N_GE1,NR,NO	: 	332500 
TOTAL,ACT_INAC,N_GE1,NR,PL	14003907 	15670000 
TOTAL,ACT_INAC,N_GE1,NR,PT	5121971 	5611356 
TOTAL,ACT_INAC,N_GE1,NR,RO	12533934 	13715067 
TOTAL,ACT_INAC,N_GE1,NR,SE	1746274 	: 
TOTAL,ACT_INAC,N_GE1,NR,SI	587146 	678443 e
TOTAL,ACT_INAC,N_GE1,NR,SK	1555903 	2013892 
TOTAL,ACT_INAC,N_GE1,NR,UK	19386580 	18965300 
TOTAL,ACT_INAC,N_GE1,PC_POP,BE	: 	38.42 
TOTAL,ACT_INAC,N_GE1,PC_POP,HU	: 	48.32 
TOTAL,ACT_INAC,N_GE1,PC_POP,NO	: 	8.66 
TOTAL,EDUC,N_GE1,NR,EA	: u	: u
TOTAL,EDUC,N_GE1,NR,ES	718117 	1520602 
TOTAL,EDUC,N_GE1,NR,EU27	: u	: u
TOTAL,EDUC,N_GE1,NR,EU28	: u	: u
TOTAL,EDUC,N_GE1,NR,FI	: c	10099 u
TOTAL,EDUC,N_GE1,NR,HR	: 	108732 
TOTAL,EDUC,N_GE1,NR,LU	: 	5191 
TOTAL,EDUC,N_GE1,NR,LV	19816 	: 
TOTAL,EDUC,N_GE1,NR,NL	162823 	173199 
TOTAL,EDUC,N_GE1,NR,SI	17806 	26144 e
TOTAL,EMP,N_GE1,NR,EA	: u	: u
TOTAL,EMP,N_GE1,NR,ES	4176176 	5898436 
TOTAL,EMP,N_GE1,NR,EU27	: u	: u
TOTAL,EMP,N_GE1,NR,EU28	: u	: u
TOTAL,EMP,N_GE1,NR,FI	107835 u	94224 
TOTAL,EMP,N_GE1,NR,HR	: 	517893 
TOTAL,EMP,N_GE1,NR,LU	: 	30587 
TOTAL,EMP,N_GE1,NR,LV	262616 	: 
TOTAL,EMP,N_GE1,NR,NL	757738 	753453 
TOTAL,EMP,N_GE1,NR,SI	156467 	208651 e
TOTAL,INAC_OTH,N_GE1,NR,EA	: u	: u
TOTAL,INAC_OTH,N_GE1,NR,ES	6234980 	6642339 
TOTAL,INAC_OTH,N_GE1,NR,EU27	: u	: u
TOTAL,INAC_OTH,N_GE1,NR,EU28	: u	: u
TOTAL,INAC_OTH,N_GE1,NR,FI	237892 	251503 
TOTAL,INAC_OTH,N_GE1,NR,HR	: 	927573 
TOTAL,INAC_OTH,N_GE1,NR,LU	: 	33605 
TOTAL,INAC_OTH,N_GE1,NR,LV	336869 	: 
TOTAL,INAC_OTH,N_GE1,NR,NL	821150 	854527 
TOTAL,INAC_OTH,N_GE1,NR,SI	366973 	359911 e
TOTAL,UNE,N_GE1,NR,EA	: u	: u
TOTAL,UNE,N_GE1,NR,ES	2227996 	3682407 
TOTAL,UNE,N_GE1,NR,EU27	: u	: u
TOTAL,UNE,N_GE1,NR,EU28	: u	: u
TOTAL,UNE,N_GE1,NR,FI	: c	56171 
TOTAL,UNE,N_GE1,NR,HR	: 	367740 
TOTAL,UNE,N_GE1,NR,LU	: 	9325 
TOTAL,UNE,N_GE1,NR,LV	50769 	: 
TOTAL,UNE,N_GE1,NR,NL	308325 	365497 
TOTAL,UNE,N_GE1,NR,SI	45900 	83737 e
