purpose,sex,duration,unit,geo\time	2016 	2013 
HLTH,F,N_GE1,NR,HU	453146 	: 
HLTH,F,N_GE1,NR,IE	97485 	72799 
HLTH,F,N_GE1,NR,IT	2653386 	2972396 
HLTH,F,N_GE1,NR,LT	100717 	124487 
HLTH,F,N_GE1,NR,LU	12745 	15288 
HLTH,F,N_GE1,NR,LV	106379 	100556 
HLTH,F,N_GE1,NR,ME	: c	: 
HLTH,F,N_GE1,NR,MT	20039 	19506 
HLTH,F,N_GE1,NR,NL	248166 	266700 
HLTH,F,N_GE1,NR,PL	2016148 	1840000 
HLTH,F,N_GE1,NR,PT	806428 	768025 
HLTH,F,N_GE1,NR,RO	1008899 	1344356 
HLTH,F,N_GE1,NR,SE	190604 	: 
HLTH,F,N_GE1,NR,SI	126534 	126923 e
HLTH,F,N_GE1,NR,SK	324018 	297907 
HLTH,F,N_GE1,NR,UK	504600 	402500 
HLTH,M,N_GE1,NR,AT	224972 	186882 
HLTH,M,N_GE1,NR,BE	477086 	: 
HLTH,M,N_GE1,NR,BG	252808 	224272 
HLTH,M,N_GE1,NR,CH	96301 u	82943 u
HLTH,M,N_GE1,NR,CY	20219 e	12724 e
HLTH,M,N_GE1,NR,CZ	289937 	343708 
HLTH,M,N_GE1,NR,DE	2203388 	2257104 
HLTH,M,N_GE1,NR,DK	117857 	104214 
HLTH,M,N_GE1,NR,EA	8424881 	8701244 e
HLTH,M,N_GE1,NR,EE	: c	: 
HLTH,M,N_GE1,NR,EL	424646 	422831 
HLTH,M,N_GE1,NR,ES	1272361 	1420619 
HLTH,M,N_GE1,NR,EU27	12029422 	12205644 e
HLTH,M,N_GE1,NR,EU28	12196134 	12291651 e
HLTH,M,N_GE1,NR,FI	23486 u	37713 u
HLTH,M,N_GE1,NR,FR	988894 	1113939 
HLTH,M,N_GE1,NR,HR	166712 	98014 
HLTH,M,N_GE1,NR,HU	394116 	: 
HLTH,M,N_GE1,NR,IE	81263 	60729 
HLTH,M,N_GE1,NR,IT	1650637 	1861543 
HLTH,M,N_GE1,NR,LT	54509 	59659 
HLTH,M,N_GE1,NR,LU	5169 u	7426 
HLTH,M,N_GE1,NR,LV	47608 	56045 
HLTH,M,N_GE1,NR,ME	: c	: 
HLTH,M,N_GE1,NR,MT	11579 u	14662 
HLTH,M,N_GE1,NR,NL	210990 	195468 
HLTH,M,N_GE1,NR,PL	1238546 	1070000 
HLTH,M,N_GE1,NR,PT	548410 	519327 
HLTH,M,N_GE1,NR,RO	599521 	815374 
HLTH,M,N_GE1,NR,SE	144909 	: 
HLTH,M,N_GE1,NR,SI	74738 	85989 e
HLTH,M,N_GE1,NR,SK	174830 	177717 
HLTH,M,N_GE1,NR,UK	464730 	370700 
HLTH,T,N_GE1,NR,AT	547695 	461143 
HLTH,T,N_GE1,NR,BE	1012866 	: 
HLTH,T,N_GE1,NR,BG	685144 	571364 
HLTH,T,N_GE1,NR,CH	211732 u	223143 u
HLTH,T,N_GE1,NR,CY	49021 e	33460 e
HLTH,T,N_GE1,NR,CZ	688872 	812291 
HLTH,T,N_GE1,NR,DE	6889627 	5704782 
HLTH,T,N_GE1,NR,DK	281521 	229434 
HLTH,T,N_GE1,NR,EA	21880831 	21568375 e
HLTH,T,N_GE1,NR,EE	118485 	: 
HLTH,T,N_GE1,NR,EL	1031906 	1044427 
HLTH,T,N_GE1,NR,ES	2943142 	3570082 
HLTH,T,N_GE1,NR,EU27	30860800 	30523767 e
HLTH,T,N_GE1,NR,EU28	31354754 	30737839 e
HLTH,T,N_GE1,NR,FI	81727 u	85205 
HLTH,T,N_GE1,NR,FR	2164086 	2397379 
HLTH,T,N_GE1,NR,HR	493954 	244161 
HLTH,T,N_GE1,NR,HU	847262 	: 
HLTH,T,N_GE1,NR,IE	178748 	133528 
HLTH,T,N_GE1,NR,IT	4304022 	4833939 
HLTH,T,N_GE1,NR,LT	155226 	184146 
HLTH,T,N_GE1,NR,LU	17914 	22713 
HLTH,T,N_GE1,NR,LV	153987 	156601 
HLTH,T,N_GE1,NR,ME	: c	: 
HLTH,T,N_GE1,NR,MT	31619 	34168 
HLTH,T,N_GE1,NR,NL	459156 	462168 
HLTH,T,N_GE1,NR,PL	3254694 	2910000 
HLTH,T,N_GE1,NR,PT	1354838 	1287352 
HLTH,T,N_GE1,NR,RO	1608420 	2159730 
HLTH,T,N_GE1,NR,SE	335513 	: 
HLTH,T,N_GE1,NR,SI	201272 	212912 e
HLTH,T,N_GE1,NR,SK	498848 	475624 
HLTH,T,N_GE1,NR,UK	969330 	773200 
NINT,F,N_GE1,NR,AT	334929 	257419 
NINT,F,N_GE1,NR,BE	912402 	: 
NINT,F,N_GE1,NR,BG	16979 	7000 
NINT,F,N_GE1,NR,CH	60178 u	74040 u
NINT,F,N_GE1,NR,CY	8023 e	25465 e
NINT,F,N_GE1,NR,CZ	189116 	225019 
NINT,F,N_GE1,NR,DE	3476319 	3557180 
NINT,F,N_GE1,NR,DK	13460 	43870 
NINT,F,N_GE1,NR,EA	12601863 	12841572 e
NINT,F,N_GE1,NR,EE	46332 u	45513 
NINT,F,N_GE1,NR,EL	371836 	192427 
NINT,F,N_GE1,NR,ES	1134314 	1897871 
NINT,F,N_GE1,NR,EU27	16635439 	16463485 e
NINT,F,N_GE1,NR,EU28	16797907 	16550685 e
NINT,F,N_GE1,NR,FI	: c	58869 
NINT,F,N_GE1,NR,FR	796723 	857641 
NINT,F,N_GE1,NR,HR	162468 	106563 
NINT,F,N_GE1,NR,HU	59459 	: 
NINT,F,N_GE1,NR,IE	77320 	79013 
NINT,F,N_GE1,NR,IT	3141687 	3325917 
NINT,F,N_GE1,NR,LT	47943 	44768 
NINT,F,N_GE1,NR,LU	10921 u	7774 
