purpose,sex,duration,unit,geo\time	2016 	2013 
NTIME_WRK_STU,T,N_GE1,NR,ES	1862929 	3818105 
NTIME_WRK_STU,T,N_GE1,NR,EU27	25143695 	28577246 e
NTIME_WRK_STU,T,N_GE1,NR,EU28	25403201 	28723769 e
NTIME_WRK_STU,T,N_GE1,NR,FI	: c	22089 u
NTIME_WRK_STU,T,N_GE1,NR,FR	1610939 	1094323 
NTIME_WRK_STU,T,N_GE1,NR,HR	259506 	177913 
NTIME_WRK_STU,T,N_GE1,NR,HU	583299 	: 
NTIME_WRK_STU,T,N_GE1,NR,IE	134325 	99278 
NTIME_WRK_STU,T,N_GE1,NR,IT	4094361 	3245178 
NTIME_WRK_STU,T,N_GE1,NR,LT	110842 	133729 
NTIME_WRK_STU,T,N_GE1,NR,LU	7643 u	6722 
NTIME_WRK_STU,T,N_GE1,NR,LV	61907 	26739 
NTIME_WRK_STU,T,N_GE1,NR,ME	: c	: 
NTIME_WRK_STU,T,N_GE1,NR,MT	16377 	14119 
NTIME_WRK_STU,T,N_GE1,NR,NL	227471 	157157 
NTIME_WRK_STU,T,N_GE1,NR,PL	3000622 	6230000 
NTIME_WRK_STU,T,N_GE1,NR,PT	1589323 	1572615 
NTIME_WRK_STU,T,N_GE1,NR,RO	1639025 	1280567 
NTIME_WRK_STU,T,N_GE1,NR,SE	184332 	: 
NTIME_WRK_STU,T,N_GE1,NR,SI	112280 	97116 e
NTIME_WRK_STU,T,N_GE1,NR,SK	153038 	255148 
NTIME_WRK_STU,T,N_GE1,NR,UK	2132520 	2259700 
OTH,F,N_GE1,NR,AT	55985 u	75444 
OTH,F,N_GE1,NR,BE	452396 	: 
OTH,F,N_GE1,NR,BG	139749 	80137 
OTH,F,N_GE1,NR,CH	49815 u	74225 u
OTH,F,N_GE1,NR,CY	17292 e	8133 e
OTH,F,N_GE1,NR,CZ	52368 u	93795 
OTH,F,N_GE1,NR,DE	1148973 u	1055177 
OTH,F,N_GE1,NR,DK	129017 	178042 
OTH,F,N_GE1,NR,EA	4723850 	4143034 e
OTH,F,N_GE1,NR,EE	: c	62876 
OTH,F,N_GE1,NR,EL	237119 	133714 
OTH,F,N_GE1,NR,ES	335191 	: 
OTH,F,N_GE1,NR,EU27	6722803 	6979798 e
OTH,F,N_GE1,NR,EU28	6793109 	7048487 e
OTH,F,N_GE1,NR,FI	: c	25519 u
OTH,F,N_GE1,NR,FR	816128 	724890 
OTH,F,N_GE1,NR,HR	70306 	72874 
OTH,F,N_GE1,NR,HU	203967 	: 
OTH,F,N_GE1,NR,IE	32847 	29334 
OTH,F,N_GE1,NR,IT	966984 	583425 
OTH,F,N_GE1,NR,LT	192531 	225436 
OTH,F,N_GE1,NR,LU	8065 u	7520 
OTH,F,N_GE1,NR,LV	6782 	209844 
OTH,F,N_GE1,NR,ME	: c	: 
OTH,F,N_GE1,NR,MT	12234 	11750 
OTH,F,N_GE1,NR,NL	139244 	157641 
OTH,F,N_GE1,NR,PL	322645 	310000 
OTH,F,N_GE1,NR,PT	397496 	348448 
OTH,F,N_GE1,NR,RO	316281 	338215 
OTH,F,N_GE1,NR,SE	103313 	: 
OTH,F,N_GE1,NR,SI	14016 	10086 e
OTH,F,N_GE1,NR,SK	50721 	187909 
OTH,F,N_GE1,NR,UK	532300 	1042200 
OTH,M,N_GE1,NR,AT	44507 u	67075 
OTH,M,N_GE1,NR,BE	444627 	: 
OTH,M,N_GE1,NR,BG	115900 	84513 
OTH,M,N_GE1,NR,CH	45066 u	78634 u
OTH,M,N_GE1,NR,CY	15023 e	16794 e
OTH,M,N_GE1,NR,CZ	: c	106058 
OTH,M,N_GE1,NR,DE	839699 u	548582 
OTH,M,N_GE1,NR,DK	212654 	124926 
OTH,M,N_GE1,NR,EA	4182568 	3272146 e
OTH,M,N_GE1,NR,EE	: c	30901 
OTH,M,N_GE1,NR,EL	195462 	122032 
OTH,M,N_GE1,NR,ES	350168 	: 
OTH,M,N_GE1,NR,EU27	6082548 	5643961 e
OTH,M,N_GE1,NR,EU28	6153992 	5704032 e
OTH,M,N_GE1,NR,FI	: c	39629 u
OTH,M,N_GE1,NR,FR	699173 	649714 
OTH,M,N_GE1,NR,HR	71444 	62763 
OTH,M,N_GE1,NR,HU	177396 	: 
OTH,M,N_GE1,NR,IE	39285 	45402 
OTH,M,N_GE1,NR,IT	891675 	583498 
OTH,M,N_GE1,NR,LT	225552 	238954 
OTH,M,N_GE1,NR,LU	8841 u	3227 
OTH,M,N_GE1,NR,LV	5634 	158230 
OTH,M,N_GE1,NR,ME	: c	: 
OTH,M,N_GE1,NR,MT	6884 u	16157 
OTH,M,N_GE1,NR,NL	160460 	119365 
OTH,M,N_GE1,NR,PL	291854 	180000 
OTH,M,N_GE1,NR,PT	358382 	310009 
OTH,M,N_GE1,NR,RO	282722 	311694 
OTH,M,N_GE1,NR,SE	113589 	: 
OTH,M,N_GE1,NR,SI	9466 u	6711 u
OTH,M,N_GE1,NR,SK	55037 	143475 
OTH,M,N_GE1,NR,UK	441120 	863500 
OTH,T,N_GE1,NR,AT	100492 	142519 
OTH,T,N_GE1,NR,BE	897023 	: 
OTH,T,N_GE1,NR,BG	255649 	164650 
OTH,T,N_GE1,NR,CH	94882 u	152859 u
OTH,T,N_GE1,NR,CY	32314 e	24927 e
OTH,T,N_GE1,NR,CZ	85927 u	199853 
OTH,T,N_GE1,NR,DE	1988673 	1603759 
OTH,T,N_GE1,NR,DK	341671 	302968 
OTH,T,N_GE1,NR,EA	8906417 	7415178 e
OTH,T,N_GE1,NR,EE	41316 u	93777 
OTH,T,N_GE1,NR,EL	432580 	255746 
OTH,T,N_GE1,NR,ES	685359 	: 
OTH,T,N_GE1,NR,EU27	12805350 	12623757 e
OTH,T,N_GE1,NR,EU28	12947100 	12752516 e
OTH,T,N_GE1,NR,FI	: c	65148 
OTH,T,N_GE1,NR,FR	1515301 	1374604 
OTH,T,N_GE1,NR,HR	141750 	135637 
OTH,T,N_GE1,NR,HU	381363 	: 
OTH,T,N_GE1,NR,IE	72132 	74736 
OTH,T,N_GE1,NR,IT	1858658 	1166922 
OTH,T,N_GE1,NR,LT	418083 	464390 
OTH,T,N_GE1,NR,LU	16907 	10747 
OTH,T,N_GE1,NR,LV	12416 	368074 
OTH,T,N_GE1,NR,ME	: c	: 
OTH,T,N_GE1,NR,MT	19117 	27906 
OTH,T,N_GE1,NR,NL	299704 	277006 
OTH,T,N_GE1,NR,PL	614499 	490000 
OTH,T,N_GE1,NR,PT	755878 	658457 
OTH,T,N_GE1,NR,RO	599003 	649909 
OTH,T,N_GE1,NR,SE	216902 	: 
OTH,T,N_GE1,NR,SI	23482 	16797 e
OTH,T,N_GE1,NR,SK	105758 	331384 
OTH,T,N_GE1,NR,UK	973420 	1905700 
SAFE,F,N_GE1,NR,AT	128247 	15022 u
SAFE,F,N_GE1,NR,BE	88720 u	: 
SAFE,F,N_GE1,NR,BG	2721 	0 
SAFE,F,N_GE1,NR,CH	4460 u	0 u
SAFE,F,N_GE1,NR,CY	: c	106 e
SAFE,F,N_GE1,NR,CZ	: c	30308 u
SAFE,F,N_GE1,NR,DE	1722791 	715962 
SAFE,F,N_GE1,NR,DK	0 	0 
SAFE,F,N_GE1,NR,EA	2297445 	1063063 e
SAFE,F,N_GE1,NR,EE	: c	3082 u
SAFE,F,N_GE1,NR,EL	22897 u	25134 
SAFE,F,N_GE1,NR,ES	: c	51160 
SAFE,F,N_GE1,NR,EU27	2863367 	1403873 e
SAFE,F,N_GE1,NR,EU28	2865393 	1401213 e
SAFE,F,N_GE1,NR,FI	: c	0 u
SAFE,F,N_GE1,NR,FR	73642 	77446 
SAFE,F,N_GE1,NR,HR	2026 	0 
SAFE,F,N_GE1,NR,HU	0 	: 
SAFE,F,N_GE1,NR,IE	13341 	4766 
SAFE,F,N_GE1,NR,IT	: c	0 
SAFE,F,N_GE1,NR,LT	16376 	3359 
SAFE,F,N_GE1,NR,LU	: c	410 
SAFE,F,N_GE1,NR,LV	0 	0 
SAFE,F,N_GE1,NR,ME	: c	: 
SAFE,F,N_GE1,NR,MT	: c	952 
SAFE,F,N_GE1,NR,NL	17147 	6233 
SAFE,F,N_GE1,NR,PL	184950 	100000 
SAFE,F,N_GE1,NR,PT	91244 	106556 
SAFE,F,N_GE1,NR,RO	8996 	: 
SAFE,F,N_GE1,NR,SE	30959 	: 
SAFE,F,N_GE1,NR,SI	6516 u	3353 u
SAFE,F,N_GE1,NR,SK	43004 	17203 
SAFE,F,N_GE1,NR,UK	302750 	100100 
SAFE,M,N_GE1,NR,AT	46059 u	6597 u
SAFE,M,N_GE1,NR,BE	69310 u	: 
SAFE,M,N_GE1,NR,BG	3343 	0 
SAFE,M,N_GE1,NR,CH	1751 u	0 u
SAFE,M,N_GE1,NR,CY	: c	311 e
SAFE,M,N_GE1,NR,CZ	: c	9274 u
SAFE,M,N_GE1,NR,DE	: c	558185 
SAFE,M,N_GE1,NR,DK	0 	0 
SAFE,M,N_GE1,NR,EA	1003759 	836175 e
SAFE,M,N_GE1,NR,EE	: c	4063 u
SAFE,M,N_GE1,NR,EL	11533 u	19301 
SAFE,M,N_GE1,NR,ES	: c	38053 
SAFE,M,N_GE1,NR,EU27	1461321 	1069971 e
SAFE,M,N_GE1,NR,EU28	1461728 	1067943 e
SAFE,M,N_GE1,NR,FI	: c	3297 u
SAFE,M,N_GE1,NR,FR	56193 	42519 
SAFE,M,N_GE1,NR,HR	407 	0 
SAFE,M,N_GE1,NR,HU	0 	: 
SAFE,M,N_GE1,NR,IE	15239 	4955 
SAFE,M,N_GE1,NR,IT	: c	0 
SAFE,M,N_GE1,NR,LT	15806 	1610 
SAFE,M,N_GE1,NR,LU	: c	985 
SAFE,M,N_GE1,NR,LV	0 	0 
SAFE,M,N_GE1,NR,ME	: c	: 
SAFE,M,N_GE1,NR,MT	: c	965 
SAFE,M,N_GE1,NR,NL	35008 	24363 
SAFE,M,N_GE1,NR,PL	105131 	50000 
SAFE,M,N_GE1,NR,PT	78501 	93869 
SAFE,M,N_GE1,NR,RO	7740 	: 
SAFE,M,N_GE1,NR,SE	31464 	: 
SAFE,M,N_GE1,NR,SI	2459 u	1274 u
SAFE,M,N_GE1,NR,SK	21078 	9374 
SAFE,M,N_GE1,NR,UK	278850 	92200 
SAFE,T,N_GE1,NR,AT	174306 	21619 u
SAFE,T,N_GE1,NR,BE	158030 	: 
SAFE,T,N_GE1,NR,BG	6064 	0 
SAFE,T,N_GE1,NR,CH	6211 u	0 u
SAFE,T,N_GE1,NR,CY	928 u	417 e
SAFE,T,N_GE1,NR,CZ	: c	39582 
SAFE,T,N_GE1,NR,DE	2317686 	1274148 
SAFE,T,N_GE1,NR,DK	0 	0 
SAFE,T,N_GE1,NR,EA	3301204 	1899241 e
SAFE,T,N_GE1,NR,EE	: c	7145 u
SAFE,T,N_GE1,NR,EL	34429 	44435 
SAFE,T,N_GE1,NR,ES	: c	89213 
SAFE,T,N_GE1,NR,EU27	4324688 	2473847 e
SAFE,T,N_GE1,NR,EU28	4327121 	2469159 e
SAFE,T,N_GE1,NR,FI	: c	3297 u
SAFE,T,N_GE1,NR,FR	129835 	119965 
SAFE,T,N_GE1,NR,HR	2433 	0 
SAFE,T,N_GE1,NR,HU	0 	: 
SAFE,T,N_GE1,NR,IE	28580 	9721 
SAFE,T,N_GE1,NR,IT	: c	0 
SAFE,T,N_GE1,NR,LT	32182 	4969 
SAFE,T,N_GE1,NR,LU	: c	1395 
SAFE,T,N_GE1,NR,LV	0 	0 
SAFE,T,N_GE1,NR,ME	: c	: 
SAFE,T,N_GE1,NR,MT	6489 u	1918 
SAFE,T,N_GE1,NR,NL	52155 	30596 
SAFE,T,N_GE1,NR,PL	290081 	150000 
SAFE,T,N_GE1,NR,PT	169745 	200425 
SAFE,T,N_GE1,NR,RO	16736 	: 
SAFE,T,N_GE1,NR,SE	62423 	: 
SAFE,T,N_GE1,NR,SI	8975 u	4628 u
SAFE,T,N_GE1,NR,SK	64082 	26577 
SAFE,T,N_GE1,NR,UK	581600 	192300 
TOTAL,F,N_GE1,NR,AT	872884 	840467 
TOTAL,F,N_GE1,NR,BE	2048223 	1704310 
TOTAL,F,N_GE1,NR,BG	2356976 	2592733 
TOTAL,F,N_GE1,NR,CH	352440 	464754 
TOTAL,F,N_GE1,NR,CY	114195 e	175473 e
TOTAL,F,N_GE1,NR,CZ	936636 	1240098 
TOTAL,F,N_GE1,NR,DE	9806150 	8620222 
TOTAL,F,N_GE1,NR,DK	450288 	436168 
TOTAL,F,N_GE1,NR,EA	51214559 	52387464 
TOTAL,F,N_GE1,NR,EE	190269 	239813 
TOTAL,F,N_GE1,NR,EL	3067419 	3256678 
TOTAL,F,N_GE1,NR,ES	6602977 	8990528 
TOTAL,F,N_GE1,NR,EU27	83002578 	87549474 e
TOTAL,F,N_GE1,NR,EU28	84128483 	88455108 e
TOTAL,F,N_GE1,NR,FI	202844 	208726 
TOTAL,F,N_GE1,NR,FR	7114025 	6567326 
TOTAL,F,N_GE1,NR,HR	1125905 	984472 
TOTAL,F,N_GE1,NR,HU	2051514 	2163269 
TOTAL,F,N_GE1,NR,IE	447412 	486952 
TOTAL,F,N_GE1,NR,IT	15795509 	15751953 
TOTAL,F,N_GE1,NR,LT	593181 	661390 
TOTAL,F,N_GE1,NR,LU	48468 	46176 
TOTAL,F,N_GE1,NR,LV	377252 	468345 
TOTAL,F,N_GE1,NR,ME	: c	: 
TOTAL,F,N_GE1,NR,MT	85977 	87942 
TOTAL,F,N_GE1,NR,NL	928444 	1095710 
TOTAL,F,N_GE1,NR,NO	: 	139900 
TOTAL,F,N_GE1,NR,PL	7530993 	8790000 
TOTAL,F,N_GE1,NR,PT	2727152 	2912131 
TOTAL,F,N_GE1,NR,RO	6586365 	7191031 
TOTAL,F,N_GE1,NR,SE	842804 	: 
TOTAL,F,N_GE1,NR,SI	309826 	348408 e
TOTAL,F,N_GE1,NR,SK	857802 	1054649 
TOTAL,F,N_GE1,NR,UK	10062010 	9871900 
TOTAL,F,N_GE1,PC_POP,NO	: 	7.41 
TOTAL,M,N_GE1,NR,AT	838893 	845529 
TOTAL,M,N_GE1,NR,BE	2080902 	1857142 
TOTAL,M,N_GE1,NR,BG	1985889 	2365513 
TOTAL,M,N_GE1,NR,CH	343516 	399432 
TOTAL,M,N_GE1,NR,CY	106050 e	168616 e
TOTAL,M,N_GE1,NR,CZ	778127 	1122310 
TOTAL,M,N_GE1,NR,DE	7726540 	7047189 
TOTAL,M,N_GE1,NR,DK	517540 	395996 
TOTAL,M,N_GE1,NR,EA	47128214 	48558104 
TOTAL,M,N_GE1,NR,EE	155172 	192143 
TOTAL,M,N_GE1,NR,EL	2820406 	3058145 
TOTAL,M,N_GE1,NR,ES	6754292 	8753257 
TOTAL,M,N_GE1,NR,EU27	75594837 	79179244 e
TOTAL,M,N_GE1,NR,EU28	76503869 	80046315 e
TOTAL,M,N_GE1,NR,FI	178603 	203271 
TOTAL,M,N_GE1,NR,FR	6883975 	6222674 
TOTAL,M,N_GE1,NR,HR	909032 	937467 
TOTAL,M,N_GE1,NR,HU	1784269 	1874820 
TOTAL,M,N_GE1,NR,IE	522481 	576422 
TOTAL,M,N_GE1,NR,IT	14459316 	14470373 
TOTAL,M,N_GE1,NR,LT	459448 	447883 
TOTAL,M,N_GE1,NR,LU	43337 	32531 
TOTAL,M,N_GE1,NR,LV	292817 	337136 
TOTAL,M,N_GE1,NR,ME	: c	: 
TOTAL,M,N_GE1,NR,MT	70786 	91342 
TOTAL,M,N_GE1,NR,NL	1121592 	1050967 
TOTAL,M,N_GE1,NR,NO	: 	192600 
TOTAL,M,N_GE1,NR,PL	6472914 	6880000 
TOTAL,M,N_GE1,NR,PT	2394819 	2699225 
TOTAL,M,N_GE1,NR,RO	5947569 	6524036 
TOTAL,M,N_GE1,NR,SE	903470 	: 
TOTAL,M,N_GE1,NR,SI	277320 	330035 e
TOTAL,M,N_GE1,NR,SK	698101 	959243 
TOTAL,M,N_GE1,NR,UK	9324580 	9093400 
TOTAL,M,N_GE1,PC_POP,NO	: 	9.86 
TOTAL,T,N_GE1,NR,AT	1711778 	1685996 
TOTAL,T,N_GE1,NR,BE	4129125 	3561452 
TOTAL,T,N_GE1,NR,BG	4342865 	4958246 
TOTAL,T,N_GE1,NR,CH	695956 	864186 
TOTAL,T,N_GE1,NR,CY	220244 e	344089 e
TOTAL,T,N_GE1,NR,CZ	1714763 	2362408 
TOTAL,T,N_GE1,NR,DE	17532690 	15667410 
TOTAL,T,N_GE1,NR,DK	967828 	832164 
TOTAL,T,N_GE1,NR,EA	98342774 	100945565 
TOTAL,T,N_GE1,NR,EE	345441 	431956 
TOTAL,T,N_GE1,NR,EL	5887825 	6314823 
TOTAL,T,N_GE1,NR,ES	13357269 	17743785 
TOTAL,T,N_GE1,NR,EU27	158597406 	166728715 e
TOTAL,T,N_GE1,NR,EU28	160632342 	168501421 e
TOTAL,T,N_GE1,NR,FI	381447 	411997 
TOTAL,T,N_GE1,NR,FR	13998000 	12790000 
TOTAL,T,N_GE1,NR,HR	2034936 	1921940 
TOTAL,T,N_GE1,NR,HU	3835783 	4038089 
TOTAL,T,N_GE1,NR,IE	969893 	1063373 
TOTAL,T,N_GE1,NR,IT	30254825 	30222326 
TOTAL,T,N_GE1,NR,LT	1052629 	1109273 
TOTAL,T,N_GE1,NR,LU	91805 	78707 
TOTAL,T,N_GE1,NR,LV	670069 	805481 
TOTAL,T,N_GE1,NR,ME	: c	: 
TOTAL,T,N_GE1,NR,MT	156764 	179284 
TOTAL,T,N_GE1,NR,NL	2050037 	2146676 
TOTAL,T,N_GE1,NR,NO	: 	332500 
TOTAL,T,N_GE1,NR,PL	14003907 	15670000 
TOTAL,T,N_GE1,NR,PT	5121971 	5611356 
TOTAL,T,N_GE1,NR,RO	12533934 	13715067 
TOTAL,T,N_GE1,NR,SE	1746274 	: 
TOTAL,T,N_GE1,NR,SI	587146 	678443 e
TOTAL,T,N_GE1,NR,SK	1555903 	2013892 
TOTAL,T,N_GE1,NR,UK	19386580 	18965300 
TOTAL,T,N_GE1,PC_POP,NO	: 	8.66 
