purpose,age,duration,unit,geo\time	2016 	2013 
FIN,Y35-44,N_GE1,NR,EE	: c	: 
FIN,Y35-44,N_GE1,NR,EL	703030 	: 
FIN,Y35-44,N_GE1,NR,ES	1173598 	: 
FIN,Y35-44,N_GE1,NR,EU27	12273987 	: 
FIN,Y35-44,N_GE1,NR,EU28	12472036 	: 
FIN,Y35-44,N_GE1,NR,FI	: c	: 
FIN,Y35-44,N_GE1,NR,FR	866792 	: 
FIN,Y35-44,N_GE1,NR,HR	198049 	: 
FIN,Y35-44,N_GE1,NR,HU	243226 	: 
FIN,Y35-44,N_GE1,NR,IE	87064 	: 
FIN,Y35-44,N_GE1,NR,IT	2349747 	: 
FIN,Y35-44,N_GE1,NR,LT	2263 	: 
FIN,Y35-44,N_GE1,NR,LU	: c	: 
FIN,Y35-44,N_GE1,NR,LV	37286 	: 
FIN,Y35-44,N_GE1,NR,ME	: c	: 
FIN,Y35-44,N_GE1,NR,MT	7046 u	: 
FIN,Y35-44,N_GE1,NR,NL	99103 	: 
FIN,Y35-44,N_GE1,NR,PL	1058112 	: 
FIN,Y35-44,N_GE1,NR,PT	544386 	: 
FIN,Y35-44,N_GE1,NR,RO	1245982 	: 
FIN,Y35-44,N_GE1,NR,SE	130857 	: 
FIN,Y35-44,N_GE1,NR,SI	24045 	: 
FIN,Y35-44,N_GE1,NR,SK	175419 	: 
FIN,Y35-44,N_GE1,NR,UK	1689470 	: 
FIN,Y45-54,N_GE1,NR,AT	61632 u	: 
FIN,Y45-54,N_GE1,NR,BE	541687 	: 
FIN,Y45-54,N_GE1,NR,BG	319755 	: 
FIN,Y45-54,N_GE1,NR,CH	49161 u	: 
FIN,Y45-54,N_GE1,NR,CY	25487 e	: 
FIN,Y45-54,N_GE1,NR,CZ	114155 u	: 
FIN,Y45-54,N_GE1,NR,DE	1116284 u	: 
FIN,Y45-54,N_GE1,NR,DK	48993 	: 
FIN,Y45-54,N_GE1,NR,EA	8697587 	: 
FIN,Y45-54,N_GE1,NR,EE	: c	: 
FIN,Y45-54,N_GE1,NR,EL	767288 	: 
FIN,Y45-54,N_GE1,NR,ES	1387862 	: 
FIN,Y45-54,N_GE1,NR,EU27	13787941 	: 
FIN,Y45-54,N_GE1,NR,EU28	14064463 	: 
FIN,Y45-54,N_GE1,NR,FI	: c	: 
FIN,Y45-54,N_GE1,NR,FR	868289 	: 
FIN,Y45-54,N_GE1,NR,HR	276522 	: 
FIN,Y45-54,N_GE1,NR,HU	254300 	: 
FIN,Y45-54,N_GE1,NR,IE	90626 	: 
FIN,Y45-54,N_GE1,NR,IT	2890612 	: 
FIN,Y45-54,N_GE1,NR,LT	18144 	: 
FIN,Y45-54,N_GE1,NR,LU	: c	: 
FIN,Y45-54,N_GE1,NR,LV	61361 	: 
FIN,Y45-54,N_GE1,NR,ME	: c	: 
FIN,Y45-54,N_GE1,NR,MT	8153 u	: 
FIN,Y45-54,N_GE1,NR,NL	150472 	: 
FIN,Y45-54,N_GE1,NR,PL	1229868 	: 
FIN,Y45-54,N_GE1,NR,PT	607821 	: 
FIN,Y45-54,N_GE1,NR,RO	1215468 	: 
FIN,Y45-54,N_GE1,NR,SE	185570 	: 
