c_resid,unit,nace_r2,terrtypo,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
FOR,NR,I551,NCST_A,PT	3470778 	2694742 	2315573 	1958754 	1733148 	1653632 
FOR,NR,I551,NCST_A,RO	4597530 	4170742 	3841756 	3274216 	2980117 	2808919 
FOR,NR,I551,NCST_A,RS	: 	2352920 	2066142 	1784540 	1616648 	1518577 
FOR,NR,I551,NCST_A,SE	2124634 	1994864 	1943392 	1761562 	1731093 	1658224 
FOR,NR,I551,NCST_A,SI	4465429 	3989758 	3593859 	3369619 	3291197 	3238445 
FOR,NR,I551,NCST_A,SK	4249762 	4082787 	3642146 	3171407 	3528739 	3329573 
FOR,NR,I551,NCST_A,UK	: 	71425720 	70455374 	: 	58587210 	55978024 
FOR,NR,I551,TOTAL,AT	66641779 	65243779 	63327453 	61829801 	62137088 	61359896 
FOR,NR,I551,TOTAL,BE	11631915 	10215070 	12034552 	: 	11624497 	11546413 
FOR,NR,I551,TOTAL,BG	16732622 	15864772 	13095720 	13763998 	13987515 	13151707 
FOR,NR,I551,TOTAL,CH	: 	19261903 	19552258 	19882606 	19709473 	19051600 
FOR,NR,I551,TOTAL,CY	15946455 	14504442 	12548278 	12872854 	13141237 	13476337 
FOR,NR,I551,TOTAL,CZ	23693329 	21869094 	20970266 	19970831 	20071692 	19936405 
FOR,NR,I551,TOTAL,DE	68652857 	65860750 	64890191 	61311889 	58322664 	55529150 
FOR,NR,I551,TOTAL,DK	6862892 	6641020 	6487067 	6481576 	6010083 	5723802 
FOR,NR,I551,TOTAL,EA	781280623 e	748981992 	717377682 	: 	: 	: 
FOR,NR,I551,TOTAL,EE	3654125 	3559353 	3367951 	3515676 	3536875 	3498683 
FOR,NR,I551,TOTAL,EL	73474232 	65941418 	63570840 	60901973 	57058282 	50539507 
FOR,NR,I551,TOTAL,ES	224755788 	216929812 	197980823 	190530741 	185396233 	178558301 
FOR,NR,I551,TOTAL,EU27	: u	919360239 	879042353 	841516698 e	821483557 	778052101 
FOR,NR,I551,TOTAL,EU28	: u	940232238 	898893567 	860408622 e	840384159 	796931453 
FOR,NR,I551,TOTAL,FI	5726279 	4973182 	4676645 	4795215 	4906135 	4948446 
FOR,NR,I551,TOTAL,FR	76426143 	70245367 	74456927 	73552947 	73619897 	68784275 
FOR,NR,I551,TOTAL,HR	22148452 	20871999 	19851214 	18891924 	18900602 	18879352 b
FOR,NR,I551,TOTAL,HU	12754054 	11801752 	11092521 	10653116 	10367322 	9938268 
FOR,NR,I551,TOTAL,IE	: 	12904044 e	10789960 e	8668203 e	8658824 e	9430436 be
FOR,NR,I551,TOTAL,IS	: 	4571486 	3613046 	2787254 	2346540 	2024321 
FOR,NR,I551,TOTAL,IT	136114096 	131988707 	129680864 	127373740 	126330288 	122700343 
FOR,NR,I551,TOTAL,LI	125122 	107631 	90419 	108994 	111533 	111345 
FOR,NR,I551,TOTAL,LT	2526763 	2429499 	2246829 	2251173 	2169087 	2001745 
FOR,NR,I551,TOTAL,LU	1526416 	1593649 	1586274 	1538265 	1413420 	1424273 b
FOR,NR,I551,TOTAL,LV	2925077 	2675285 	2553177 	2529942 	2294596 	2143977 b
