c_resid,unit,nace_r2,terrtypo,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
FOR,PCH_PRE,I553,TOTAL,NL33	12.76 	-1.5 	0.92 	6.6 	33.4 b	-17.5 b
FOR,PCH_PRE,I553,TOTAL,NL34	8.07 	1.79 	3.57 	19.14 	22.7 b	-12.5 b
FOR,PCH_PRE,I553,TOTAL,NL4	1.54 	18.87 	1.85 	-1.56 	16 b	47 b
FOR,PCH_PRE,I553,TOTAL,NL41	-3.84 	19.06 	-11.04 	21.64 	44.1 b	12.2 b
FOR,PCH_PRE,I553,TOTAL,NL42	5.94 	18.71 	15.5 	-18.09 	1.8 b	74 b
FOR,PCH_PRE,I553,TOTAL,NO	: 	8.58 	1.3 	11.54 	-33.4 	-2.5 b
FOR,PCH_PRE,I553,TOTAL,NO0	: 	8.58 	1.3 	11.54 	-33.4 	: 
FOR,PCH_PRE,I553,TOTAL,NO01	: 	-2.75 	-2.14 	6.6 	2.6 	3 b
FOR,PCH_PRE,I553,TOTAL,NO02	: 	5.59 	-1.24 	23.54 	-29.9 	-10.6 b
FOR,PCH_PRE,I553,TOTAL,NO03	: 	-1.11 	6.94 	25.8 	-36.9 	4.6 b
FOR,PCH_PRE,I553,TOTAL,NO04	: 	7.38 	1.91 	7.54 	-44 	2.9 b
FOR,PCH_PRE,I553,TOTAL,NO05	: 	20.92 	0.48 	5.25 	-33.9 	-2.2 b
FOR,PCH_PRE,I553,TOTAL,NO06	: 	-5.44 	9.21 	-2.76 	-34.6 	2.6 b
FOR,PCH_PRE,I553,TOTAL,NO07	: 	7.68 	-0.8 	20.07 	-34.8 	-9.9 b
FOR,PCH_PRE,I553,TOTAL,PL	5.15 	11.07 	26.71 	5.46 	-18.5 	46.2 b
FOR,PCH_PRE,I553,TOTAL,PL1	: 	12.09 	142.94 	-82.18 	-58.2 	67.6 b
FOR,PCH_PRE,I553,TOTAL,PL11	: 	88.8 	28.87 	-86.06 	7.4 	: 
FOR,PCH_PRE,I553,TOTAL,PL12	: 	-19.34 	281.25 	-73.06 	-82.8 	21.9 b
FOR,PCH_PRE,I553,TOTAL,PL2	13.74 	-6.31 	17.88 	-2.6 	39.7 	-11 b
FOR,PCH_PRE,I553,TOTAL,PL21	16.01 	1.21 	3.91 	-6.29 	57.9 	-9.5 b
FOR,PCH_PRE,I553,TOTAL,PL22	7.14 	-22.96 	67.9 	13.35 	-6.8 	-14.5 b
FOR,PCH_PRE,I553,TOTAL,PL3	: 	62.8 	16.45 	22.46 	15.9 	-4.5 b
FOR,PCH_PRE,I553,TOTAL,PL31	: 	102.57 	70.83 	-22.3 	15.1 	-53.7 b
FOR,PCH_PRE,I553,TOTAL,PL32	: 	23.92 	0.29 	-16.22 	11.9 	265.3 b
FOR,PCH_PRE,I553,TOTAL,PL33	: 	-5.84 	59.66 	-26.6 	0 	69.5 b
FOR,PCH_PRE,I553,TOTAL,PL34	: 	121.15 	-11.35 	131.3 	59.2 	-48.6 b
FOR,PCH_PRE,I553,TOTAL,PL4	3.71 	6.59 	39.1 	7.47 	-23.7 	89.7 b
FOR,PCH_PRE,I553,TOTAL,PL41	35.56 	1.4 	-12.74 	-14.43 	-72.9 	249 b
FOR,PCH_PRE,I553,TOTAL,PL42	2.05 	7.78 	42.74 	23.51 	-12.5 	55.6 b
FOR,PCH_PRE,I553,TOTAL,PL43	2.83 	-44.64 	146.07 	-90.58 	362.6 	17140 b
FOR,PCH_PRE,I553,TOTAL,PL5	-8.36 	33.18 	20.81 	-13.37 	-11.7 	27.9 b
FOR,PCH_PRE,I553,TOTAL,PL51	-5.86 	39.22 	20.79 	-8.58 	-19.4 	28.6 b
FOR,PCH_PRE,I553,TOTAL,PL52	-45.92 	-19.43 	20.99 	-40.53 	91.9 	19 b
FOR,PCH_PRE,I553,TOTAL,PL6	10.68 	17.52 	12.17 	15.93 	-33 	33.7 b
FOR,PCH_PRE,I553,TOTAL,PL61	-6.06 	0.85 	38.82 	20.55 	-17.4 	28.3 b
FOR,PCH_PRE,I553,TOTAL,PL62	37.5 	-2.03 	48.02 	-31.07 	-12.8 	123.7 b
FOR,PCH_PRE,I553,TOTAL,PL63	6.78 	29.44 	-1.92 	38.06 	-42.1 	18.8 b
FOR,PCH_PRE,I553,TOTAL,PT	2.97 	22.29 	8.29 	10.29 	-2.4 	-4.5 b
FOR,PCH_PRE,I553,TOTAL,PT1	2.87 	22.34 	8.19 	10.39 	-2.3 	-4.5 b
FOR,PCH_PRE,I553,TOTAL,PT11	3.91 	27.71 	12.94 	-1.65 	8.7 	-9.3 b
FOR,PCH_PRE,I553,TOTAL,PT15	3.52 	21.67 	5.75 	13.37 	-4.8 	-5.1 b
FOR,PCH_PRE,I553,TOTAL,PT16	-1.25 	21.91 	8.4 	9.38 	-4.1 	-6.2 b
FOR,PCH_PRE,I553,TOTAL,PT17	0.05 	15.66 	10.26 	12.26 	-10.6 	-5.3 b
FOR,PCH_PRE,I553,TOTAL,PT18	8.16 	28.94 	11.13 	12.34 	14.3 	15.8 b
FOR,PCH_PRE,I553,TOTAL,PT2	36.24 	10.23 	39.04 	: 	: 	: 
FOR,PCH_PRE,I553,TOTAL,PT20	36.24 	10.23 	39.04 	: 	: 	: 
FOR,PCH_PRE,I553,TOTAL,PT3	-2.72 	11.77 	30.5 	: 	: 	: 
FOR,PCH_PRE,I553,TOTAL,PT30	-2.72 	11.77 	30.5 	: 	: 	: 
FOR,PCH_PRE,I553,TOTAL,RO	59.49 	-0.75 	86.4 	-85.35 	-12.6 	245.6 b
FOR,PCH_PRE,I553,TOTAL,RO1	44.13 	18.59 	88.55 	-46.22 	-25 	-19.6 b
FOR,PCH_PRE,I553,TOTAL,RO11	28.12 	15.66 	81.4 	-24.59 	243.5 	-19.6 b
FOR,PCH_PRE,I553,TOTAL,RO12	46.21 	18.98 	89.54 	-48.28 	-30.2 	-19.6 b
FOR,PCH_PRE,I553,TOTAL,RO2	72.08 	-22.37 	102.51 	-22.69 	49.4 	-19.7 b
FOR,PCH_PRE,I553,TOTAL,RO21	39.35 	-39.94 	75.14 	-15.96 	139.9 	40.2 b
FOR,PCH_PRE,I553,TOTAL,RO22	76.57 	-19.12 	108.54 	-24.03 	39 	-23.4 b
FOR,PCH_PRE,I553,TOTAL,RO3	275 	: 	-100 	-99.29 	-15.1 	: 
FOR,PCH_PRE,I553,TOTAL,RO31	275 	: 	-100 	-99.39 	-15.1 	: 
FOR,PCH_PRE,I553,TOTAL,RO32	: 	: 	-100 	: 	: 	: 
FOR,PCH_PRE,I553,TOTAL,RO4	121.46 	39.94 	51.36 	-87.55 	-0.6 	13.8 b
FOR,PCH_PRE,I553,TOTAL,RO41	-78.46 	2500 	150 	-96.67 	: 	: 
FOR,PCH_PRE,I553,TOTAL,RO42	153.87 	21.33 	50.91 	-87.39 	-2.3 	13.8 b
FOR,PCH_PRE,I553,TOTAL,RS	: 	: 	5.57 	: 	4 	: 
FOR,PCH_PRE,I553,TOTAL,SE	0.47 	-1.77 	8.42 	3.9 	-1.9 	-4.7 b
FOR,PCH_PRE,I553,TOTAL,SE1	-2.51 	-1.95 	13.1 	-1.5 	-0.1 	-16.3 b
FOR,PCH_PRE,I553,TOTAL,SE11	-1.88 	-6.69 	12.67 	12.69 	-21.4 	-16.1 b
FOR,PCH_PRE,I553,TOTAL,SE12	-2.85 	0.84 	13.36 	-8.35 	14.9 	-16.4 b
FOR,PCH_PRE,I553,TOTAL,SE2	0.76 	0.42 	8.29 	8.25 	0.9 	-5.6 b
FOR,PCH_PRE,I553,TOTAL,SE21	-0.78 	3.42 	17.27 	0.67 	5.5 	-6.4 b
FOR,PCH_PRE,I553,TOTAL,SE22	1.1 	1.02 	5.35 	4.26 	2.9 	-6.5 b
FOR,PCH_PRE,I553,TOTAL,SE23	1.4 	-1.08 	5.47 	12.84 	-1.7 	-5 b
FOR,PCH_PRE,I553,TOTAL,SE3	0.99 	-4.63 	7.22 	0.17 	-5.5 	0.4 b
FOR,PCH_PRE,I553,TOTAL,SE31	-1.41 	-5.14 	6.14 	5.49 	-4 	-4.7 b
FOR,PCH_PRE,I553,TOTAL,SE32	-5.11 	10.59 	18.78 	-7.91 	-5.8 	15 b
FOR,PCH_PRE,I553,TOTAL,SE33	8.11 	-11.72 	3.44 	-2.1 	-7.1 	0.3 b
FOR,PCH_PRE,I553,TOTAL,SI	32.39 	6.87 	9.62 	-4.67 	4.34 	5.7 b
FOR,PCH_PRE,I553,TOTAL,SI0	32.39 	6.87 	9.62 	-4.67 	4.34 	5.7 b
FOR,PCH_PRE,I553,TOTAL,SI03	21.83 	-0.46 	1.61 	4.24 	5.15 	: 
FOR,PCH_PRE,I553,TOTAL,SI04	36.8 	10.27 	13.78 	-8.72 	3.98 	: 
FOR,PCH_PRE,I553,TOTAL,SK	3.19 	47.66 	10.75 	-12.45 	0.3 	24.4 b
FOR,PCH_PRE,I553,TOTAL,SK0	3.19 	47.66 	10.75 	-12.45 	0.3 	24.4 b
FOR,PCH_PRE,I553,TOTAL,SK01	-17.75 	122.7 	18.92 	-21.05 	10.4 	49.6 b
FOR,PCH_PRE,I553,TOTAL,SK02	18.3 	15.22 	15.75 	16.79 	3.4 	-3.9 b
FOR,PCH_PRE,I553,TOTAL,SK03	30.53 	3.95 	13.18 	-22.69 	16.4 	52.1 b
FOR,PCH_PRE,I553,TOTAL,SK04	-10.29 	97.71 	-16.91 	-19.54 	-32 	12.5 b
FOR,PCH_PRE,I553,TOTAL,TR	: 	148.74 	-79.42 	418.24 	: 	: 
FOR,PCH_PRE,I553,TOTAL,TR1	: 	-32.86 	100.77 	-20.58 	: 	: 
FOR,PCH_PRE,I553,TOTAL,TR10	: 	-32.86 	100.77 	-20.58 	: 	: 
FOR,PCH_PRE,I553,TOTAL,TR3	: 	66.63 	-48.89 	-64.19 	: 	: 
FOR,PCH_PRE,I553,TOTAL,TR31	: 	54.9 	-48.89 	-64.19 	: 	: 
FOR,PCH_PRE,I553,TOTAL,TR4	: 	-100 	-41.25 	-1.23 	: 	: 
FOR,PCH_PRE,I553,TOTAL,TR42	: 	-100 	-41.25 	-1.23 	: 	: 
FOR,PCH_PRE,I553,TOTAL,TR6	: 	10397.12 	-99.6 	2664.17 	: 	: 
FOR,PCH_PRE,I553,TOTAL,TR61	: 	10397.12 	-99.6 	2664.17 	: 	: 
FOR,PCH_PRE,I553,TOTAL,UK	: 	-16.33 	: 	: 	49.51 	-12.8 b
FOR,PCH_PRE,I553,TOTAL,UKC	: 	-51.66 	: 	: 	86.17 	-10.6 b
FOR,PCH_PRE,I553,TOTAL,UKC1	: 	-41.96 	: 	: 	: 	: 
FOR,PCH_PRE,I553,TOTAL,UKC2	: 	-57.66 	: 	: 	48.23 	-10.6 b
FOR,PCH_PRE,I553,TOTAL,UKD	: 	-24.76 	: 	: 	201.18 	-3.7 b
FOR,PCH_PRE,I553,TOTAL,UKD1	: 	20.25 	: 	: 	54.97 	-28.3 b
FOR,PCH_PRE,I553,TOTAL,UKD3	: 	-74.28 	: 	: 	5177.56 	-68.1 b
FOR,PCH_PRE,I553,TOTAL,UKD4	: 	746.86 	: 	: 	188 	221.7 b
FOR,PCH_PRE,I553,TOTAL,UKD6	: 	-47.06 	: 	: 	-77.85 	91.8 b
FOR,PCH_PRE,I553,TOTAL,UKD7	: 	-91.75 	: 	: 	-59.88 	47.1 b
FOR,PCH_PRE,I553,TOTAL,UKE	: 	-55.7 	: 	: 	-18.12 	-43.7 b
FOR,PCH_PRE,I553,TOTAL,UKE1	: 	12.87 	: 	: 	-75.58 	-82.3 b
FOR,PCH_PRE,I553,TOTAL,UKE2	: 	-58.93 	: 	: 	-27.85 	-33 b
FOR,PCH_PRE,I553,TOTAL,UKE3	: 	-52.16 	: 	: 	: 	-100 b
FOR,PCH_PRE,I553,TOTAL,UKE4	: 	-89.26 	: 	: 	-15.57 	52.3 b
FOR,PCH_PRE,I553,TOTAL,UKF	: 	-42.11 	: 	: 	88.23 	-6.2 b
FOR,PCH_PRE,I553,TOTAL,UKF1	: 	14.01 	: 	: 	136.58 	-55.1 b
FOR,PCH_PRE,I553,TOTAL,UKF2	: 	-52.1 	: 	: 	111.27 	170.9 b
FOR,PCH_PRE,I553,TOTAL,UKF3	: 	-73.28 	: 	: 	-41.82 	-42.1 b
FOR,PCH_PRE,I553,TOTAL,UKG	: 	32.61 	: 	: 	103.61 	-48.2 b
FOR,PCH_PRE,I553,TOTAL,UKG1	: 	: 	: 	: 	103.61 	-67.3 b
FOR,PCH_PRE,I553,TOTAL,UKG2	: 	8.85 	: 	: 	103.61 	-8.6 b
FOR,PCH_PRE,I553,TOTAL,UKG3	: 	248.93 	: 	: 	103.61 	11.6 b
FOR,PCH_PRE,I553,TOTAL,UKH	: 	-30.26 	: 	: 	-21.21 	42.8 b
FOR,PCH_PRE,I553,TOTAL,UKH1	: 	-2.91 	: 	: 	48.48 	40.2 b
FOR,PCH_PRE,I553,TOTAL,UKH2	: 	-16.52 	: 	: 	168.88 	-47.8 b
FOR,PCH_PRE,I553,TOTAL,UKH3	: 	-85.8 	: 	: 	-82.36 	59.8 b
FOR,PCH_PRE,I553,TOTAL,UKI	: 	-9.94 	: 	: 	515.25 	-55.6 b
FOR,PCH_PRE,I553,TOTAL,UKI1	: 	: 	: 	: 	515.25 	-67.6 b
FOR,PCH_PRE,I553,TOTAL,UKI2	: 	: 	: 	: 	515.24 	: 
FOR,PCH_PRE,I553,TOTAL,UKI3	: 	-9.94 	: 	: 	: 	: 
FOR,PCH_PRE,I553,TOTAL,UKI4	: 	-9.94 	: 	: 	: 	: 
FOR,PCH_PRE,I553,TOTAL,UKI5	: 	-9.93 	: 	: 	: 	: 
FOR,PCH_PRE,I553,TOTAL,UKI6	: 	-9.95 	: 	: 	: 	: 
FOR,PCH_PRE,I553,TOTAL,UKI7	: 	-9.95 	: 	: 	: 	: 
FOR,PCH_PRE,I553,TOTAL,UKJ	: 	-14.16 	: 	: 	0.26 	1.5 b
FOR,PCH_PRE,I553,TOTAL,UKJ1	: 	93.46 	: 	: 	9.2 	-22.6 b
FOR,PCH_PRE,I553,TOTAL,UKJ2	: 	43.67 	: 	: 	49.57 	-12.8 b
FOR,PCH_PRE,I553,TOTAL,UKJ3	: 	-51.45 	: 	: 	245 	-69.5 b
FOR,PCH_PRE,I553,TOTAL,UKJ4	: 	-55.52 	: 	: 	-50.47 	68.1 b
FOR,PCH_PRE,I553,TOTAL,UKK	: 	-4.46 	: 	: 	25.11 	-16.3 b
FOR,PCH_PRE,I553,TOTAL,UKK1	: 	-15.73 	: 	: 	64.06 	27.7 b
FOR,PCH_PRE,I553,TOTAL,UKK2	: 	-21.22 	: 	: 	59.91 	-53.7 b
FOR,PCH_PRE,I553,TOTAL,UKK3	: 	50.49 	: 	: 	26.64 	7.7 b
FOR,PCH_PRE,I553,TOTAL,UKK4	: 	-25.16 	: 	: 	-37.06 	-3.7 b
FOR,PCH_PRE,I553,TOTAL,UKL	: 	-16.51 	: 	: 	7.65 	11.5 b
FOR,PCH_PRE,I553,TOTAL,UKL1	: 	-1.09 	: 	: 	18.13 	6.4 b
FOR,PCH_PRE,I553,TOTAL,UKL2	: 	-65.73 	: 	: 	-22.15 	28.9 b
FOR,PCH_PRE,I553,TOTAL,UKM	: 	-13.27 	: 	: 	78.37 	-24 b
FOR,PCH_PRE,I553,TOTAL,UKM2	: 	20.07 	: 	: 	138.52 	-24.2 b
FOR,PCH_PRE,I553,TOTAL,UKM3	: 	25.26 	: 	: 	135.13 	-1 b
FOR,PCH_PRE,I553,TOTAL,UKM5	: 	-52.61 	: 	: 	286.11 	-74 b
FOR,PCH_PRE,I553,TOTAL,UKM6	: 	-27.71 	: 	: 	13.53 	-21.9 b
FOR,PCH_PRE,I553,TOTAL,UKN	: 	3.57 	: 	: 	11.25 	-67.2 b
FOR,PCH_PRE,I553,TOTAL,UKN0	: 	3.57 	: 	: 	11.25 	-67.2 b
NAT,NR,I551,CST_A,AT	0 	0 	0 	0 	0 	0 
NAT,NR,I551,CST_A,BE	1405345 	1444281 	1463142 	: 	1614310 	1583446 
NAT,NR,I551,CST_A,BG	2444809 	2563983 	2197612 	2009021 	1994158 	1875435 
NAT,NR,I551,CST_A,CH	: 	0 	0 	0 	0 	0 
NAT,NR,I551,CST_A,CY	650405 	666450 	663878 	816655 	880959 	1070385 
NAT,NR,I551,CST_A,CZ	0 	0 	0 	0 	0 	0 
NAT,NR,I551,CST_A,DE	32999506 	32284031 	30648389 	29502925 	28465248 	27586217 
NAT,NR,I551,CST_A,DK	7902486 	7615287 	7172838 	6601080 	6179606 	5980477 
NAT,NR,I551,CST_A,EA	254268850 e	248770360 	: 	: 	: 	: 
NAT,NR,I551,CST_A,EE	1051899 	976945 	890300 	811543 	750054 	699303 
NAT,NR,I551,CST_A,EL	11416342 	11355437 	10753825 	10474250 	10499046 	10054005 
NAT,NR,I551,CST_A,ES	66040719 	65557366 	63907713 	61177338 	59443769 	60618094 
NAT,NR,I551,CST_A,EU27	336577996 e	329954878 	: 	313562211 e	307848929 	302984308 e
NAT,NR,I551,CST_A,EU28	338231319 e	331643998 	: 	315091538 e	309442667 	304352834 e
NAT,NR,I551,CST_A,FI	4497819 	4166678 	4158929 	4033091 	4031932 	4128543 
NAT,NR,I551,CST_A,FR	32625227 	31063859 	30261972 	28920286 	30058436 	28843934 
NAT,NR,I551,CST_A,HR	1653323 	1689120 	1666330 	1529327 	1593738 	1670014 
NAT,NR,I551,CST_A,HU	0 	0 	0 	0 	0 	0 
NAT,NR,I551,CST_A,IE	: 	7665793 e	7988176 e	9164327 e	8647078 e	: 
NAT,NR,I551,CST_A,IS	: 	529754 	439587 	451687 	445696 	400332 
NAT,NR,I551,CST_A,IT	76083744 	74478611 	73096467 	69763224 	69805555 	72689976 
NAT,NR,I551,CST_A,LI	0 	0 	0 	0 	0 	0 
NAT,NR,I551,CST_A,LT	458928 	426289 	409451 	363090 	337185 	330010 
NAT,NR,I551,CST_A,LU	0 	0 	0 	0 	0 	0 
NAT,NR,I551,CST_A,LV	639354 	605763 	567948 	557627 	473498 	497500 
NAT,NR,I551,CST_A,ME	: 	163957 	160354 	: 	: 	288017 
NAT,NR,I551,CST_A,MK	0 	0 	0 	0 	: 	: 
NAT,NR,I551,CST_A,MT	392664 	345966 	371007 	350228 	325025 	332181 
NAT,NR,I551,CST_A,NL	5863659 	5754219 	5354983 	5459073 	5156673 	5069784 
NAT,NR,I551,CST_A,NO	: 	11933151 	11627751 	11286754 	11009895 	10816456 
NAT,NR,I551,CST_A,PL	4204126 	3875610 	3438135 	3080351 	2833867 	2665465 
NAT,NR,I551,CST_A,PT	11887283 	11422102 	11087421 	10666435 	9231719 	9068191 
NAT,NR,I551,CST_A,RO	4297527 	4082796 	3657510 	3204974 	3053805 	3364703 
NAT,NR,I551,CST_A,RS	: 	: 	0 	: 	0 	: 
NAT,NR,I551,CST_A,SE	17724676 	17311320 	16391626 	15334104 	14495743 	14114681 
NAT,NR,I551,CST_A,SI	590163 	556570 	555193 	540539 	540263 	532937 
NAT,NR,I551,CST_A,SK	0 	0 	0 	0 	0 	0 
NAT,NR,I551,CST_A,UK	: 	45735522 	: 	: 	49031000 	48819000 
NAT,NR,I551,NCST_A,AT	24970562 	24840833 	23938781 	23481554 	23634952 	23761788 
NAT,NR,I551,NCST_A,BE	5907610 	5524044 	5584705 	: 	4911106 	4744938 
NAT,NR,I551,NCST_A,BG	4893860 	4890776 	4361809 	4210173 	3932691 	3655090 
NAT,NR,I551,NCST_A,CH	: 	16270673 	16076218 	16050906 	15914410 	15714673 
NAT,NR,I551,NCST_A,CY	178965 	176351 	159810 	0 	0 	0 
NAT,NR,I551,NCST_A,CZ	15896873 	14623645 	13290176 	11715863 	11824827 	11909718 
NAT,NR,I551,NCST_A,DE	187106903 	181451984 	176479034 	172340896 	167768428 	166737666 
NAT,NR,I551,NCST_A,DK	781593 	751909 	742144 	697811 	691985 	695904 
NAT,NR,I551,NCST_A,EA	483140989 e	469389823 	: 	: 	: 	: 
NAT,NR,I551,NCST_A,EE	561021 	517727 	488800 	478673 	470315 	451264 
NAT,NR,I551,NCST_A,EL	2737799 	2588169 	2447448 	2575418 	2508226 	2461227 
NAT,NR,I551,NCST_A,ES	49781311 	48681767 	46347191 	43552551 	41190158 	41483154 
NAT,NR,I551,NCST_A,EU27	624468697 e	606303577 	: 	562369500 e	554104209 	556375756 e
NAT,NR,I551,NCST_A,EU28	625203464 e	607005304 	: 	562952311 e	554703405 	556388075 e
NAT,NR,I551,NCST_A,FI	7555421 	7488802 	7305528 	7137599 	7423349 	7589526 
NAT,NR,I551,NCST_A,FR	105223442 	102567822 	100947933 	99420854 	101422136 	104272572 
NAT,NR,I551,NCST_A,HR	734767 	701727 	638800 	582811 	599196 	588613 
NAT,NR,I551,NCST_A,HU	11552595 	10936903 	10125570 	9419008 	8596983 	8059642 
NAT,NR,I551,NCST_A,IE	: 	5694676 e	6666980 e	5949995 e	6078747 e	: 
NAT,NR,I551,NCST_A,IS	: 	68226 	56257 	48220 	41534 	40436 
NAT,NR,I551,NCST_A,IT	62935707 	61207895 	60173812 	57804471 	58623505 	60219824 
NAT,NR,I551,NCST_A,LI	2110 	1785 	1122 	978 	1664 	3507 
NAT,NR,I551,NCST_A,LT	1095061 	979490 	957109 	929163 	893243 	838440 
NAT,NR,I551,NCST_A,LU	167333 	159815 	151836 	160508 	156506 	117513 
NAT,NR,I551,NCST_A,LV	280915 	266523 	252943 	220268 	186301 	200905 
NAT,NR,I551,NCST_A,ME	: 	66399 	68222 	: 	: 	66920 
NAT,NR,I551,NCST_A,MK	321282 	304403 	283964 	257107 	: 	: 
NAT,NR,I551,NCST_A,MT	0 	0 	0 	0 	0 	0 
NAT,NR,I551,NCST_A,NL	16665789 	15666515 	14554930 	14220829 	13882307 	12971724 
NAT,NR,I551,NCST_A,NO	: 	3977368 	3921349 	3720315 	3696574 	3936603 
NAT,NR,I551,NCST_A,PL	29295104 	27529619 	24064311 	21901664 	19770827 	18800649 
NAT,NR,I551,NCST_A,PT	4794406 	4509672 	4065194 	3733758 	3450810 	3356269 
NAT,NR,I551,NCST_A,RO	13144391 	12750570 	11991611 	10608087 	10316025 	10136391 
NAT,NR,I551,NCST_A,RS	: 	: 	2306996 	: 	2369018 	2427355 
NAT,NR,I551,NCST_A,SE	9494423 	9161463 	8725250 	8318078 	8062072 	7800965 
NAT,NR,I551,NCST_A,SI	1616097 	1539937 	1496611 	1404650 	1432408 	1512597 
NAT,NR,I551,NCST_A,SK	5867971 	5527801 	4784423 	4137568 	4151302 	3924779 
NAT,NR,I551,NCST_A,UK	: 	56268869 	: 	: 	52725000 	55054000 
NAT,NR,I551,TOTAL,AT	24970562 	24840833 	23938781 	23481554 	23634952 	23761788 
NAT,NR,I551,TOTAL,AT1	7034080 	7174153 	6899109 	6788588 	6544535 	6600905 
NAT,NR,I551,TOTAL,AT11	1596596 	1648665 	1570521 	1606554 	1576460 	1603641 
NAT,NR,I551,TOTAL,AT12	2832967 	2919849 	2902921 	2897254 	2825366 	2945994 
NAT,NR,I551,TOTAL,AT13	2604517 	2605639 	2425667 	2284780 	2142709 	2051270 
NAT,NR,I551,TOTAL,AT2	7866689 	7719385 	7475584 	7338044 	7555806 	7543273 
NAT,NR,I551,TOTAL,AT21	2900617 	2891645 	2805389 	2749729 	2832333 	2881546 
NAT,NR,I551,TOTAL,AT22	4966072 	4827740 	4670195 	4588315 	4723473 	4661727 
NAT,NR,I551,TOTAL,AT3	10069793 	9947295 	9564088 	9354922 	9534611 	9617610 
NAT,NR,I551,TOTAL,AT31	2520268 	2489017 	2432095 	2354282 	2369504 	2440700 
NAT,NR,I551,TOTAL,AT32	3802526 	3719730 	3525951 	3481395 	3589979 	3577560 
NAT,NR,I551,TOTAL,AT33	3017394 	3000137 	2892648 	2832907 	2885356 	2904658 
NAT,NR,I551,TOTAL,AT34	729605 	738411 	713394 	686338 	689772 	694692 
NAT,NR,I551,TOTAL,BE	7312955 	6968325 	7047847 	: 	6525416 	6328384 
NAT,NR,I551,TOTAL,BE1	1236063 	1029891 	1181608 	: 	1163196 	1110670 
NAT,NR,I551,TOTAL,BE10	1236063 	1029891 	1181608 	: 	1163196 	1110670 
NAT,NR,I551,TOTAL,BE2	4333103 	4240033 	4259541 	: 	3798170 	3674397 
NAT,NR,I551,TOTAL,BE21	844365 	784925 	805574 	: 	660044 	637756 
NAT,NR,I551,TOTAL,BE22	384434 	449924 	448573 	: 	428487 	442526 
NAT,NR,I551,TOTAL,BE23	452043 	427271 	421228 	: 	344458 	319779 
NAT,NR,I551,TOTAL,BE24	615013 	543255 	571068 	: 	518368 	470992 
NAT,NR,I551,TOTAL,BE25	2037248 	2034658 	2013098 	: 	1846813 	1803344 
NAT,NR,I551,TOTAL,BE3	1743789 	1698401 	1606698 	: 	1564050 	1543317 
NAT,NR,I551,TOTAL,BE31	220761 	202757 	191223 	: 	162338 	156661 
NAT,NR,I551,TOTAL,BE32	368039 	333791 	281176 	: 	204495 	190610 
NAT,NR,I551,TOTAL,BE33	550023 	544170 	518482 	: 	531512 	532659 
NAT,NR,I551,TOTAL,BE34	343867 	366384 	366144 	: 	428687 	436118 
NAT,NR,I551,TOTAL,BE35	261099 	251299 	249673 	: 	237018 	227269 
NAT,NR,I551,TOTAL,BG	7338669 	7454759 	6559421 	6219194 	5926849 	5530525 
NAT,NR,I551,TOTAL,BG3	3840357 	3972015 	3533150 	3303224 	3283347 	3098708 
NAT,NR,I551,TOTAL,BG31	391156 	390573 	369139 	359308 	407071 	358768 
NAT,NR,I551,TOTAL,BG32	489690 	506623 	448379 	419679 	411271 	426105 
NAT,NR,I551,TOTAL,BG33	1264799 	1269770 	1162564 	1108336 	1139969 	1125939 
NAT,NR,I551,TOTAL,BG34	1694712 	1805049 	1553068 	1415901 	1325036 	1187896 
NAT,NR,I551,TOTAL,BG4	3498312 	3482744 	3026271 	2915970 	2643502 	2431817 
NAT,NR,I551,TOTAL,BG41	1800193 	1796258 	1541938 	1497107 	1349876 	1243053 
NAT,NR,I551,TOTAL,BG42	1698119 	1686486 	1484333 	1418863 	1293626 	1188764 
NAT,NR,I551,TOTAL,CH	: 	16270673 	16076218 	16050906 	15914410 	15714673 
NAT,NR,I551,TOTAL,CH0	: 	16270673 	16076218 	16050906 	15914410 	15714673 
NAT,NR,I551,TOTAL,CH01	: 	3839105 	3823922 	3744591 	3657282 	3684988 
NAT,NR,I551,TOTAL,CH02	: 	2892928 	2875344 	2927900 	2972115 	2938087 
NAT,NR,I551,TOTAL,CH03	: 	922137 	899983 	867746 	817496 	810042 
NAT,NR,I551,TOTAL,CH04	: 	1426620 	1392273 	1288963 	1275170 	1250487 
NAT,NR,I551,TOTAL,CH05	: 	4113258 	4037401 	4147096 	4124679 	4073312 
NAT,NR,I551,TOTAL,CH06	: 	1641886 	1696286 	1674376 	1626617 	1614245 
NAT,NR,I551,TOTAL,CH07	: 	1434739 	1351009 	1400234 	1441051 	1343512 
NAT,NR,I551,TOTAL,CY	829370 	842801 	823689 	816655 	880959 	1070385 
NAT,NR,I551,TOTAL,CY0	829370 	842801 	823689 	816655 	880959 	1070385 
NAT,NR,I551,TOTAL,CY00	829370 	842801 	823689 	816655 	880959 	1070385 
NAT,NR,I551,TOTAL,CZ	15896873 	14623645 	13290176 	11715863 	11824827 	11909718 
NAT,NR,I551,TOTAL,CZ0	15896873 	14623645 	13290176 	11715863 	11824827 	11909718 
NAT,NR,I551,TOTAL,CZ01	1633087 	1497194 	1292166 	1132566 	1309506 	1246485 
NAT,NR,I551,TOTAL,CZ02	1245150 	1139303 	1062206 	969293 	977386 	974502 
