c_resid,unit,nace_r2,deg_urb,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
FOR,NR,I551,DEG2,SE	1428453 	1342960 	1349485 	1203436 	1169171 	1197952 
FOR,NR,I551,DEG2,SI	2472069 	2203192 	2057829 	1925809 	1909206 	1908072 
FOR,NR,I551,DEG2,SK	1314031 	1192476 	1094063 	1026243 	1091960 	1059361 
FOR,NR,I551,DEG2,UK	: 	10252246 	: 	: 	5048478 	9547750 
FOR,NR,I551,DEG3,AT	42104448 	41716482 	40340604 	39933523 	40793498 	40388587 
FOR,NR,I551,DEG3,BE	: c	: c	: c	: 	440162 	465651 
FOR,NR,I551,DEG3,BG	3415335 	3260615 	2560495 	2919561 	2945601 	2873766 
FOR,NR,I551,DEG3,CH	: 	4672227 	5002127 	5242914 	5298443 	5126711 
FOR,NR,I551,DEG3,CY	6365726 	5852500 	5069407 	5315036 	5410103 	5205344 
FOR,NR,I551,DEG3,CZ	2650744 	2602713 	2544395 	2244093 	2431249 	2384778 
FOR,NR,I551,DEG3,DE	8705718 	8380397 	8228831 	7765055 	7676729 	7455069 
FOR,NR,I551,DEG3,DK	1105654 	1028962 	985487 	972589 	949813 	931901 
FOR,NR,I551,DEG3,EA	172580951 e	223324059 	: 	: 	: 	: 
FOR,NR,I551,DEG3,EE	261808 	312338 	241084 	393480 	332924 	302140 
FOR,NR,I551,DEG3,EL	44663290 	39887258 	38852073 	36056067 	34129861 	30253561 
FOR,NR,I551,DEG3,ES	13693145 	65357684 	59316589 	57697482 	55886576 	54845218 
FOR,NR,I551,DEG3,EU27	188119403 e	239055507 	: 	216247264 e	213801428 	207085845 e
FOR,NR,I551,DEG3,EU28	199333879 e	249917350 	: 	226093584 e	223753711 	217010844 e
FOR,NR,I551,DEG3,FI	1270848 	1118204 	1059261 	1103724 	1139918 	1146351 
FOR,NR,I551,DEG3,FR	9576326 	9534283 	9551432 	9358694 	9199748 	8648358 
FOR,NR,I551,DEG3,HR	11214476 	10861843 	10373812 	9846320 	9952283 	10049584 
FOR,NR,I551,DEG3,HU	1083572 	1669753 	1531789 	1577049 	1586538 	2453935 
FOR,NR,I551,DEG3,IE	: 	3045090 e	2325125 e	2465800 e	2287039 	: 
FOR,NR,I551,DEG3,IS	: 	1376749 	1100447 	845841 	689804 	564848 
FOR,NR,I551,DEG3,IT	33082680 	38801774 	36736779 	35425127 	34826883 	33459672 
FOR,NR,I551,DEG3,LI	0 	0 	0 	0 	0 	0 
FOR,NR,I551,DEG3,LT	138469 	153414 	131692 	115023 	119715 	115581 
FOR,NR,I551,DEG3,LU	365644 	366357 	359067 	349733 	394747 	433717 
FOR,NR,I551,DEG3,LV	105371 	95659 	87110 	68218 	54154 	55005 
FOR,NR,I551,DEG3,MK	265220 	: 	: 	: 	: 	: 
FOR,NR,I551,DEG3,MT	89268 	227011 	238608 	228649 	224450 	192688 
FOR,NR,I551,DEG3,NL	1601923 	1502624 	1468521 	1359518 	1258881 	1178937 
FOR,NR,I551,DEG3,NO	: 	2198436 	2014246 	1936935 	1844401 	1928764 
FOR,NR,I551,DEG3,PL	1246812 	1202154 	987495 	988402 	924386 	914793 
FOR,NR,I551,DEG3,PT	4116874 	3708531 	2890104 	2627814 	3795836 	3374323 
FOR,NR,I551,DEG3,RO	221034 	195412 	181923 	143890 	146263 	125988 
FOR,NR,I551,DEG3,SE	1083838 	1040376 	1008056 	968309 	1008515 	957356 
FOR,NR,I551,DEG3,SI	1755529 	1594868 	1404434 	1432822 	1422657 	1403358 
FOR,NR,I551,DEG3,SK	1292578 	1284419 	1113508 	1058942 	1180193 	1112588 
FOR,NR,I551,DEG3,UK	: 	4731463 	: 	: 	3234989 	4315681 
FOR,NR,I551,TOTAL,AT	66641779 	65243779 	63327453 	61829801 	62137088 	61359896 
FOR,NR,I551,TOTAL,AT1	13478297 	13023563 	12698655 	11968758 	11383794 	11135367 
FOR,NR,I551,TOTAL,AT11	399985 	402992 	396860 	397644 	388728 	405465 
FOR,NR,I551,TOTAL,AT12	1871961 	1685511 	1635559 	1560151 	1520040 	1572197 
FOR,NR,I551,TOTAL,AT13	11206351 	10935060 	10666236 	10010963 	9475026 	9157705 
FOR,NR,I551,TOTAL,AT2	6797864 	6662283 	6430852 	6536504 	6582468 	6615000 
FOR,NR,I551,TOTAL,AT21	3825463 	3837142 	3741374 	3830131 	3952988 	4038236 
FOR,NR,I551,TOTAL,AT22	2972401 	2825141 	2689478 	2706373 	2629480 	2576764 
FOR,NR,I551,TOTAL,AT3	46365618 	45557933 	44197946 	43324539 	44170826 	43609529 
FOR,NR,I551,TOTAL,AT31	2336688 	2148726 	2096988 	2015675 	2050013 	2110560 
FOR,NR,I551,TOTAL,AT32	12869699 	12547574 	12025313 	11813100 	12004006 	11751085 
FOR,NR,I551,TOTAL,AT33	26668409 	26373120 	25707511 	25204601 	25641470 	25364258 
FOR,NR,I551,TOTAL,AT34	4490822 	4488513 	4368134 	4291163 	4475337 	4383626 
FOR,NR,I551,TOTAL,BE	11631915 	10215070 	12034552 	: 	11624497 	11546413 
FOR,NR,I551,TOTAL,BE1	4771583 	3962215 	4986742 	: 	4771553 	4592817 
FOR,NR,I551,TOTAL,BE10	4771583 	3962215 	4986742 	: 	4771553 	4592817 
FOR,NR,I551,TOTAL,BE2	5504873 	5023217 	5710763 	: 	5509264 	5554301 
FOR,NR,I551,TOTAL,BE21	1384970 	1290041 	1459096 	: 	1430405 	1511652 
FOR,NR,I551,TOTAL,BE22	280467 	263501 	246018 	: 	231065 	259670 
FOR,NR,I551,TOTAL,BE23	812483 	722057 	795111 	: 	795743 	796097 
FOR,NR,I551,TOTAL,BE24	911461 	827230 	957690 	: 	951785 	917205 
FOR,NR,I551,TOTAL,BE25	2115492 	1920388 	2252848 	: 	2100266 	2069677 
FOR,NR,I551,TOTAL,BE3	1355459 	1229638 	1337047 	: 	1343680 	1399295 
FOR,NR,I551,TOTAL,BE31	220979 	195397 	235300 	: 	222344 	230451 
FOR,NR,I551,TOTAL,BE32	365483 	339890 	357907 	: 	340633 	355509 
FOR,NR,I551,TOTAL,BE33	476063 	445534 	473547 	: 	497480 	511197 
FOR,NR,I551,TOTAL,BE34	152743 	126774 	138845 	: 	151467 	160622 
FOR,NR,I551,TOTAL,BE35	140191 	122043 	131448 	: 	131756 	141516 
FOR,NR,I551,TOTAL,BG	16732622 	15864772 	13095720 	13763998 	13987515 	13151707 
FOR,NR,I551,TOTAL,BG3	13915280 	13369384 	10834083 	11570235 	11978379 	11301674 
FOR,NR,I551,TOTAL,BG31	70518 	58743 	56657 	53949 	63272 	58910 
FOR,NR,I551,TOTAL,BG32	145390 	126911 	114192 	111296 	115689 	119138 
FOR,NR,I551,TOTAL,BG33	6181081 	5943183 	4799308 	4955099 	5384302 	5168093 
FOR,NR,I551,TOTAL,BG34	7518291 	7240547 	5863926 	6449891 	6415116 	5955533 
FOR,NR,I551,TOTAL,BG4	2817342 	2495388 	2261637 	2193763 	2009136 	1850033 
FOR,NR,I551,TOTAL,BG41	2264275 	1997877 	1809772 	1769785 	1622709 	1456164 
FOR,NR,I551,TOTAL,BG42	553067 	497511 	451865 	423978 	386427 	393869 
FOR,NR,I551,TOTAL,CH	: 	19261903 	19552258 	19882606 	19709473 	19051600 
FOR,NR,I551,TOTAL,CH0	: 	19261903 	19552258 	19882606 	19709473 	19051600 
FOR,NR,I551,TOTAL,CH01	: 	5553029 	5541423 	5737618 	5716178 	5568270 
FOR,NR,I551,TOTAL,CH02	: 	3191489 	3277793 	3231985 	3151408 	2944061 
FOR,NR,I551,TOTAL,CH03	: 	1280543 	1296181 	1291090 	1271907 	1227330 
FOR,NR,I551,TOTAL,CH04	: 	3640548 	3619442 	3523906 	3434149 	3329195 
FOR,NR,I551,TOTAL,CH05	: 	2459908 	2618003 	2937360 	3020726 	2982336 
FOR,NR,I551,TOTAL,CH06	: 	2290786 	2370080 	2247842 	2150722 	2043897 
FOR,NR,I551,TOTAL,CH07	: 	845600 	829336 	912805 	964383 	956511 
FOR,NR,I551,TOTAL,CY	15946455 	14504442 	12548278 	12872854 	13141237 	13476337 
FOR,NR,I551,TOTAL,CY0	15946455 	14504442 	12548278 	12872854 	13141237 	13476337 
FOR,NR,I551,TOTAL,CY00	15946455 	14504442 	12548278 	12872854 	13141237 	13476337 
FOR,NR,I551,TOTAL,CZ	23693329 	21869094 	20970266 	19970831 	20071692 	19936405 
FOR,NR,I551,TOTAL,CZ0	23693329 	21869094 	20970266 	19970831 	20071692 	19936405 
FOR,NR,I551,TOTAL,CZ01	14982894 	13909562 	13323567 	12604535 	12362726 	12362350 
FOR,NR,I551,TOTAL,CZ02	486099 	443384 	446563 	398888 	456135 	443113 
FOR,NR,I551,TOTAL,CZ03	1135924 	1040442 	1009627 	888966 	833887 	870639 
FOR,NR,I551,TOTAL,CZ04	3522668 	3217159 	3085418 	3186280 	3342344 	3315776 
FOR,NR,I551,TOTAL,CZ05	1571064 	1472037 	1412563 	1214830 	1330497 	1367623 
FOR,NR,I551,TOTAL,CZ06	1147211 	995690 	904806 	952830 	977410 	870185 
FOR,NR,I551,TOTAL,CZ07	474800 	434714 	424969 	423569 	447560 	417585 
FOR,NR,I551,TOTAL,CZ08	372669 	356106 	362753 	300933 	321133 	289134 
FOR,NR,I551,TOTAL,DE	68652857 	65860750 	64890191 	61311889 	58322664 	55529150 
FOR,NR,I551,TOTAL,DE1	9320585 	9160715 	9053689 	8419654 	8030671 	7645796 
FOR,NR,I551,TOTAL,DE11	2637968 	2541666 	2516021 	2327389 	2172859 	2070078 
FOR,NR,I551,TOTAL,DE12	2349364 	2304129 	2323779 	2225317 	2196879 	2093111 
FOR,NR,I551,TOTAL,DE13	3393988 	3369929 	3292508 	3010476 	2851674 	2694012 
FOR,NR,I551,TOTAL,DE14	939265 	944991 	921381 	856472 	809259 	788595 
FOR,NR,I551,TOTAL,DE2	16761950 	15321337 	15328076 	14548537 	13944808 	13351639 
FOR,NR,I551,TOTAL,DE21	10861654 	9706751 	9850925 	9382867 	8983189 	8413640 
FOR,NR,I551,TOTAL,DE22	659628 	598261 	570920 	529750 	507643 	502398 
FOR,NR,I551,TOTAL,DE23	604174 	566048 	542711 	505367 	483271 	503791 
FOR,NR,I551,TOTAL,DE24	378601 	367187 	351489 	326669 	309097 	308781 
FOR,NR,I551,TOTAL,DE25	1874735 	1804551 	1769839 	1707125 	1632769 	1617814 
FOR,NR,I551,TOTAL,DE26	548985 	544866 	541327 	518685 	492349 	494646 
FOR,NR,I551,TOTAL,DE27	1834173 	1733673 	1700865 	1578074 	1536490 	1510569 
FOR,NR,I551,TOTAL,DE3	11586202 	11856007 	11464960 	10378203 	9631368 	8729239 
FOR,NR,I551,TOTAL,DE30	11586202 	11856007 	11464960 	10378203 	9631368 	8729239 
FOR,NR,I551,TOTAL,DE4	674744 	686744 	658357 	632139 	580014 	580600 
FOR,NR,I551,TOTAL,DE40	674744 	686744 	658357 	632139 	580014 	580600 
FOR,NR,I551,TOTAL,DE5	465914 	460080 	470418 	457951 	419355 	378943 
FOR,NR,I551,TOTAL,DE50	465914 	460080 	470418 	457951 	419355 	378943 
FOR,NR,I551,TOTAL,DE6	3170252 	3026199 	2890162 	2709729 	2457271 	2234653 
FOR,NR,I551,TOTAL,DE60	3170252 	3026199 	2890162 	2709729 	2457271 	2234653 
FOR,NR,I551,TOTAL,DE7	7027635 	6724865 	6599407 	6189492 	5859726 	5698264 
FOR,NR,I551,TOTAL,DE71	6223255 	6033253 	5941301 	5542340 	5211621 	4985736 
FOR,NR,I551,TOTAL,DE72	227412 	214741 	210535 	198230 	196286 	184484 
FOR,NR,I551,TOTAL,DE73	576968 	476871 	447571 	448922 	451819 	528044 
FOR,NR,I551,TOTAL,DE8	669914 	682248 	670473 	663057 	613720 	595458 
FOR,NR,I551,TOTAL,DE80	669914 	682248 	670473 	663057 	613720 	595458 
FOR,NR,I551,TOTAL,DE9	2540217 	2428441 	2402237 	2269802 	2261771 	2194679 
FOR,NR,I551,TOTAL,DE91	658217 	634597 	640496 	577979 	592949 	560484 
FOR,NR,I551,TOTAL,DE92	976624 	920089 	919780 	873408 	858048 	810934 
FOR,NR,I551,TOTAL,DE93	382448 	357492 	374402 	367029 	373270 	376392 
