c_resid,unit,nace_r2,deg_urb,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
FOR,PCH_PRE,I551-I553,DEG3,PL31	: 	-3.56 	-8.64 	0.75 	18.6 	: 
FOR,PCH_PRE,I551-I553,DEG3,PL32	: 	39.54 	66.59 	39.52 	8.6 	: 
FOR,PCH_PRE,I551-I553,DEG3,PL33	: 	32.84 	8.66 	-13.83 	-3.8 	: 
FOR,PCH_PRE,I551-I553,DEG3,PL34	: 	16.2 	-0.4 	-10.83 	12.2 	: 
FOR,PCH_PRE,I551-I553,DEG3,PL4	-9.04 	17.96 	3.1 	4.85 	-3.5 	: 
FOR,PCH_PRE,I551-I553,DEG3,PL41	-6.96 	23.26 	26.97 	12.77 	-22.6 	: 
FOR,PCH_PRE,I551-I553,DEG3,PL42	-4.18 	19.9 	0.37 	5.05 	-2.3 	: 
FOR,PCH_PRE,I551-I553,DEG3,PL43	-27.19 	9.09 	2.09 	1.33 	1.9 	: 
FOR,PCH_PRE,I551-I553,DEG3,PL5	38.1 	25.41 	1.47 	8.89 	-1.8 	: 
FOR,PCH_PRE,I551-I553,DEG3,PL51	63.32 	27.2 	-0.24 	8.43 	1.5 	: 
FOR,PCH_PRE,I551-I553,DEG3,PL52	-61.39 	18.82 	8.29 	10.75 	-13.1 	: 
FOR,PCH_PRE,I551-I553,DEG3,PL6	6.31 	13.73 	-7.2 	12.55 	0.7 	: 
FOR,PCH_PRE,I551-I553,DEG3,PL61	8.14 	55.29 	65.49 	25.96 	-12.2 	: 
FOR,PCH_PRE,I551-I553,DEG3,PL62	2.52 	5.46 	-12.77 	8.5 	-0.9 	: 
FOR,PCH_PRE,I551-I553,DEG3,PL63	11.59 	21.46 	-3.19 	19.9 	5.8 	: 
FOR,PCH_PRE,I551-I553,DEG3,PT	13.02 	36.95 	13.97 	-24.61 	19.5 	: 
FOR,PCH_PRE,I551-I553,DEG3,PT1	13.99 	51.29 	13.83 	-32.17 	19.4 	: 
FOR,PCH_PRE,I551-I553,DEG3,PT11	14.52 	42.89 	27.54 	0.03 	64.3 	: 
FOR,PCH_PRE,I551-I553,DEG3,PT15	11.01 	71.59 	12.63 	-47.17 	16 	: 
FOR,PCH_PRE,I551-I553,DEG3,PT16	19.33 	36.09 	9.82 	-0.06 	24.2 	: 
FOR,PCH_PRE,I551-I553,DEG3,PT17	42.59 	95.76 	50.12 	35.45 	14 	: 
FOR,PCH_PRE,I551-I553,DEG3,PT18	22.47 	2.68 	15.46 	29.11 	22.3 	: 
FOR,PCH_PRE,I551-I553,DEG3,PT2	17.65 	-1.1 	20.4 	12.3 	31.2 	: 
FOR,PCH_PRE,I551-I553,DEG3,PT20	17.65 	-1.1 	20.4 	12.3 	31.2 	: 
FOR,PCH_PRE,I551-I553,DEG3,PT3	6.13 	-3 	12.63 	8.12 	17.4 	: 
FOR,PCH_PRE,I551-I553,DEG3,PT30	6.13 	-3 	12.63 	8.12 	17.4 	: 
FOR,PCH_PRE,I551-I553,DEG3,RO	18.01 	13.86 	22.02 	1.3 	14.1 	: 
FOR,PCH_PRE,I551-I553,DEG3,RO1	22.04 	12.15 	28.01 	-1.62 	18.3 	: 
FOR,PCH_PRE,I551-I553,DEG3,RO11	22.13 	-2.07 	34.69 	-9.33 	23.1 	: 
FOR,PCH_PRE,I551-I553,DEG3,RO12	22 	19.52 	24.81 	2.56 	15.8 	: 
FOR,PCH_PRE,I551-I553,DEG3,RO2	27.37 	1.02 	4.41 	15.06 	12.8 	: 
FOR,PCH_PRE,I551-I553,DEG3,RO21	31.27 	-6.02 	1.35 	28.03 	19.9 	: 
FOR,PCH_PRE,I551-I553,DEG3,RO22	19.85 	18.07 	12.65 	-9.61 	1.3 	: 
FOR,PCH_PRE,I551-I553,DEG3,RO3	31.55 	8.51 	30.65 	-6.08 	43.3 	: 
FOR,PCH_PRE,I551-I553,DEG3,RO31	31.91 	11.49 	37.05 	-9.71 	38.1 	: 
FOR,PCH_PRE,I551-I553,DEG3,RO32	25.87 	-23.55 	-13.03 	29.51 	128 	: 
FOR,PCH_PRE,I551-I553,DEG3,RO4	-12.04 	40 	9.73 	4.79 	-8 	: 
FOR,PCH_PRE,I551-I553,DEG3,RO41	-17.37 	46.49 	28.5 	12.45 	-7.5 	: 
FOR,PCH_PRE,I551-I553,DEG3,RO42	-6.65 	33.98 	-3.35 	0.04 	-8.3 	: 
FOR,PCH_PRE,I551-I553,DEG3,SE	0.05 	-0.77 	7.17 	2.05 	1.3 	: 
FOR,PCH_PRE,I551-I553,DEG3,SE1	-4.04 	-2.12 	17.28 	-1.98 	-5.2 	: 
FOR,PCH_PRE,I551-I553,DEG3,SE11	-14.43 	-3.88 	18.07 	5.64 	-30.9 	: 
FOR,PCH_PRE,I551-I553,DEG3,SE12	0.32 	-1.36 	16.95 	-4.9 	10.7 	: 
FOR,PCH_PRE,I551-I553,DEG3,SE2	1.47 	0.04 	5.01 	3.74 	5.6 	: 
FOR,PCH_PRE,I551-I553,DEG3,SE21	0.21 	-1.9 	9.72 	0.16 	9.8 	: 
FOR,PCH_PRE,I551-I553,DEG3,SE22	-3.46 	6.2 	-2.1 	12.36 	3.6 	: 
FOR,PCH_PRE,I551-I553,DEG3,SE23	3.85 	-1.05 	5.33 	2.64 	4.2 	: 
FOR,PCH_PRE,I551-I553,DEG3,SE3	-1.08 	-1.56 	8.43 	0.57 	-2.6 	: 
FOR,PCH_PRE,I551-I553,DEG3,SE31	-3.47 	-0.99 	4.86 	3.93 	-7.1 	: 
FOR,PCH_PRE,I551-I553,DEG3,SE32	-2.88 	-2.44 	15.98 	3.74 	-0.6 	: 
FOR,PCH_PRE,I551-I553,DEG3,SE33	5.58 	-1.95 	9.56 	-8.29 	5.4 	: 
FOR,PCH_PRE,I551-I553,DEG3,SI	16.65 	12.84 	-0.09 	0.95 	4.9 	: 
FOR,PCH_PRE,I551-I553,DEG3,SI0	16.65 	12.84 	-0.09 	0.95 	4.9 	: 
FOR,PCH_PRE,I551-I553,DEG3,SI03	10.23 	10.22 	2.36 	1 	0.89 	: 
FOR,PCH_PRE,I551-I553,DEG3,SI04	23.43 	15.75 	-2.68 	0.9 	9.49 	: 
FOR,PCH_PRE,I551-I553,DEG3,SK	1 	15.76 	5.69 	-11.8 	5.2 	: 
FOR,PCH_PRE,I551-I553,DEG3,SK0	1 	15.76 	5.69 	-11.8 	5.2 	: 
FOR,PCH_PRE,I551-I553,DEG3,SK01	13.96 	35.71 	-30.44 	29.74 	0.7 	: 
FOR,PCH_PRE,I551-I553,DEG3,SK02	3.35 	14.8 	8.13 	-2.06 	-7.2 	: 
FOR,PCH_PRE,I551-I553,DEG3,SK03	2.52 	10.9 	6.6 	-18.76 	9.6 	: 
FOR,PCH_PRE,I551-I553,DEG3,SK04	-2.18 	20.19 	6.69 	-9.79 	5.8 	: 
FOR,PCH_PRE,I551-I553,DEG3,UK	: 	0.35 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKD	: 	13.63 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKD1	: 	13.63 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKE	: 	-15.83 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKE2	: 	-15.83 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKF	: 	-19.07 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKF1	: 	-78.09 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKF2	: 	51.83 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKF3	: 	-18.04 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKG	: 	-7.33 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKG2	: 	-7.33 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKH	: 	8.02 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKH1	: 	8.02 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKJ	: 	-6.4 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKJ1	: 	-88.33 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKJ2	: 	-3.42 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKK	: 	2.74 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKK1	: 	56.62 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKK2	: 	11.99 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKK4	: 	-16.45 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKL	: 	16.84 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKL1	: 	32.99 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKL2	: 	-44.13 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKM	: 	-11.07 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKM2	: 	-82.52 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKM6	: 	12.38 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKN	: 	0.21 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DEG3,UKN0	: 	0.21 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,TOTAL,AT	3.17 	3.85 	2.82 	-0.4 	1.65 	4.8 
FOR,PCH_PRE,I551-I553,TOTAL,AT1	3.83 	3.07 	5.36 	5.2 	2.15 	6.3 
FOR,PCH_PRE,I551-I553,TOTAL,AT11	0.62 	3.15 	0.28 	1.2 	-5.07 	-1 
FOR,PCH_PRE,I551-I553,TOTAL,AT12	10.65 	3.04 	4.87 	2.6 	-3.99 	1.7 
FOR,PCH_PRE,I551-I553,TOTAL,AT13	2.87 	3.08 	5.67 	5.9 	3.63 	7.6 
FOR,PCH_PRE,I551-I553,TOTAL,AT2	4.42 	4.91 	0.73 	-1.7 	1.13 	2.9 
FOR,PCH_PRE,I551-I553,TOTAL,AT21	2.95 	3.6 	-1.34 	-4.4 	0.17 	2.9 
FOR,PCH_PRE,I551-I553,TOTAL,AT22	6.8 	7.08 	4.4 	3.4 	3.01 	2.9 
FOR,PCH_PRE,I551-I553,TOTAL,AT3	2.79 	3.86 	2.59 	-1.5 	1.64 	4.8 
FOR,PCH_PRE,I551-I553,TOTAL,AT31	7.84 	3.51 	5.18 	-2.2 	-2.64 	5.7 
FOR,PCH_PRE,I551-I553,TOTAL,AT32	3.13 	4.93 	2.85 	-0.4 	2.4 	6.9 
FOR,PCH_PRE,I551-I553,TOTAL,AT33	2.38 	3.28 	2.34 	-1.6 	1.37 	3.3 
FOR,PCH_PRE,I551-I553,TOTAL,AT34	1.87 	4.16 	2.18 	-3.5 	2.93 	7.2 
FOR,PCH_PRE,I551-I553,TOTAL,BE	9.34 	-9.49 	: c	: 	0.5 	-1.7 
FOR,PCH_PRE,I551-I553,TOTAL,BE1	21.96 	-20.58 	: c	: 	4.8 	1 
FOR,PCH_PRE,I551-I553,TOTAL,BE10	21.96 	-20.58 	: c	: 	4.8 	1 
FOR,PCH_PRE,I551-I553,TOTAL,BE2	6.68 	-5.82 	14 	: 	-1.2 	-2.9 
FOR,PCH_PRE,I551-I553,TOTAL,BE21	2.87 	-1.13 	10.78 	: 	-6.1 	-0.3 
FOR,PCH_PRE,I551-I553,TOTAL,BE22	0.3 	-0.1 	22.79 	: 	-5.1 	-20.1 
FOR,PCH_PRE,I551-I553,TOTAL,BE23	16.26 	-7.94 	6.2 	: 	0.2 	9.1 
FOR,PCH_PRE,I551-I553,TOTAL,BE24	11.09 	-12.56 	-0.37 	: 	7 	17.3 
FOR,PCH_PRE,I551-I553,TOTAL,BE25	8.18 	-8.41 	19.08 	: 	0.8 	-3.4 
FOR,PCH_PRE,I551-I553,TOTAL,BE3	1.23 	-3.54 	22.86 	: 	-1.6 	-2.5 
FOR,PCH_PRE,I551-I553,TOTAL,BE31	12.47 	-17.32 	8.11 	: 	-3.6 	6.8 
FOR,PCH_PRE,I551-I553,TOTAL,BE32	-0.33 	-3.26 	15.76 	: 	-6.9 	0.1 
FOR,PCH_PRE,I551-I553,TOTAL,BE33	3.11 	-0.65 	25.19 	: 	4.2 	-4.1 
FOR,PCH_PRE,I551-I553,TOTAL,BE34	-4.34 	-3.51 	27.43 	: 	-1.8 	-3.8 
FOR,PCH_PRE,I551-I553,TOTAL,BE35	7.44 	-2.91 	27.08 	: 	-7.8 	-4.3 
FOR,PCH_PRE,I551-I553,TOTAL,BG	5.91 	20.96 	-5.15 	-2.04 	6.8 	8.2 
FOR,PCH_PRE,I551-I553,TOTAL,BG3	4.56 	23.2 	-6.75 	-4 	6.5 	7.2 
FOR,PCH_PRE,I551-I553,TOTAL,BG31	19.73 	4.89 	4.29 	-13.34 	4.2 	18.7 
FOR,PCH_PRE,I551-I553,TOTAL,BG32	11.38 	8.31 	1.5 	-2.81 	-2.2 	37.5 
FOR,PCH_PRE,I551-I553,TOTAL,BG33	4.79 	24.33 	-3.82 	-7.98 	4.8 	7.1 
FOR,PCH_PRE,I551-I553,TOTAL,BG34	4.11 	22.79 	-9.26 	-0.61 	8.3 	6.6 
FOR,PCH_PRE,I551-I553,TOTAL,BG4	13.1 	10.3 	3.25 	9.77 	8.7 	15.3 
FOR,PCH_PRE,I551-I553,TOTAL,BG41	13.5 	10.49 	2.58 	9.46 	11.3 	14.8 
FOR,PCH_PRE,I551-I553,TOTAL,BG42	11.54 	9.53 	5.95 	11.03 	-0.9 	17.3 
FOR,PCH_PRE,I551-I553,TOTAL,CY	9.94 	15.57 	-2.59 	-2.04 	-2.5 	2.9 
FOR,PCH_PRE,I551-I553,TOTAL,CY0	9.94 	15.57 	-2.59 	-2.04 	-2.5 	2.9 
FOR,PCH_PRE,I551-I553,TOTAL,CY00	9.94 	15.57 	-2.59 	-2.04 	-2.5 	2.9 
FOR,PCH_PRE,I551-I553,TOTAL,CZ	8.2 	4.22 	5.32 	-0.16 	1.6 	12.2 
FOR,PCH_PRE,I551-I553,TOTAL,CZ0	8.2 	4.22 	5.32 	-0.16 	1.6 	12.2 
FOR,PCH_PRE,I551-I553,TOTAL,CZ01	7.42 	4.72 	7.17 	2.49 	0.9 	10.8 
FOR,PCH_PRE,I551-I553,TOTAL,CZ02	7.73 	-0.53 	11.34 	-11.31 	2.4 	21.9 
FOR,PCH_PRE,I551-I553,TOTAL,CZ03	6.92 	5.67 	9.25 	4.46 	-0.4 	16.9 
FOR,PCH_PRE,I551-I553,TOTAL,CZ04	9.87 	3.08 	-5.23 	-3.72 	1.7 	8.9 
FOR,PCH_PRE,I551-I553,TOTAL,CZ05	7.16 	3.38 	15.15 	-9.01 	-1.2 	11.5 
FOR,PCH_PRE,I551-I553,TOTAL,CZ06	16.07 	8.32 	-3.78 	-1.74 	10.6 	18.5 
FOR,PCH_PRE,I551-I553,TOTAL,CZ07	10.03 	0.81 	1.18 	-3.62 	6.4 	39 
FOR,PCH_PRE,I551-I553,TOTAL,CZ08	7.04 	-4.41 	20.49 	-8.43 	11.2 	34.8 
FOR,PCH_PRE,I551-I553,TOTAL,DE	3.96 	1.42 	5.38 	5.08 	4.4 	8.1 
FOR,PCH_PRE,I551-I553,TOTAL,DE1	1.73 	0.83 	7.65 	4.54 	5 	7.2 
FOR,PCH_PRE,I551-I553,TOTAL,DE11	4.15 	0.3 	8.24 	7.9 	5.8 	7.6 
FOR,PCH_PRE,I551-I553,TOTAL,DE12	2.24 	-1.31 	4.74 	1.57 	4.9 	6.4 
FOR,PCH_PRE,I551-I553,TOTAL,DE13	0.41 	1.83 	8.75 	4.41 	5.5 	7.1 
FOR,PCH_PRE,I551-I553,TOTAL,DE14	-0.1 	3.08 	8.86 	4.29 	2 	8.7 
FOR,PCH_PRE,I551-I553,TOTAL,DE2	9.51 	-0.39 	5.78 	4.09 	4 	9 
FOR,PCH_PRE,I551-I553,TOTAL,DE21	11.1 	-1.82 	5.83 	4.12 	6.5 	10.1 
FOR,PCH_PRE,I551-I553,TOTAL,DE22	6.49 	0.2 	1.77 	2.6 	-1 	8.4 
FOR,PCH_PRE,I551-I553,TOTAL,DE23	5.42 	4.99 	8.14 	5.06 	-4.3 	2.5 
FOR,PCH_PRE,I551-I553,TOTAL,DE24	1.14 	4.52 	9.27 	4.88 	-0.5 	2.9 
FOR,PCH_PRE,I551-I553,TOTAL,DE25	4.18 	2.22 	4.34 	5.12 	1.1 	6.9 
FOR,PCH_PRE,I551-I553,TOTAL,DE26	-0.27 	-0.57 	4.44 	5.4 	-1.3 	8.6 
FOR,PCH_PRE,I551-I553,TOTAL,DE27	13.39 	1.77 	7.48 	2.82 	1.9 	9.8 
FOR,PCH_PRE,I551-I553,TOTAL,DE3	-1.32 	3.89 	9.2 	8.13 	9.2 	14.5 
FOR,PCH_PRE,I551-I553,TOTAL,DE30	-1.32 	3.89 	9.2 	8.13 	9.2 	14.5 
FOR,PCH_PRE,I551-I553,TOTAL,DE4	-0.07 	0.64 	5.71 	8.38 	3.5 	4.8 
FOR,PCH_PRE,I551-I553,TOTAL,DE40	-0.07 	0.64 	5.71 	8.38 	3.5 	4.8 
FOR,PCH_PRE,I551-I553,TOTAL,DE5	1.45 	-2.73 	3.03 	9.68 	10.1 	-1.4 
FOR,PCH_PRE,I551-I553,TOTAL,DE50	1.45 	-2.73 	3.03 	9.68 	10.1 	-1.4 
FOR,PCH_PRE,I551-I553,TOTAL,DE6	5.07 	5.52 	5.87 	10.29 	11.3 	17.1 
FOR,PCH_PRE,I551-I553,TOTAL,DE60	5.07 	5.52 	5.87 	10.29 	11.3 	17.1 
FOR,PCH_PRE,I551-I553,TOTAL,DE7	5.51 	2.23 	6.27 	5.04 	2.2 	10.3 
FOR,PCH_PRE,I551-I553,TOTAL,DE71	4 	1.68 	7.27 	6.23 	4.7 	10.9 
FOR,PCH_PRE,I551-I553,TOTAL,DE72	6.25 	3.44 	3.55 	4.07 	5.2 	2.6 
FOR,PCH_PRE,I551-I553,TOTAL,DE73	18.76 	6.9 	-1.34 	-4.02 	-14.8 	9.5 
FOR,PCH_PRE,I551-I553,TOTAL,DE8	-3.48 	1.24 	2.04 	5.88 	3 	15 
FOR,PCH_PRE,I551-I553,TOTAL,DE80	-3.48 	1.24 	2.04 	5.88 	3 	15 
FOR,PCH_PRE,I551-I553,TOTAL,DE9	2.08 	1.43 	2.66 	-0.04 	1.2 	4.3 
FOR,PCH_PRE,I551-I553,TOTAL,DE91	-1.28 	-0.15 	4.84 	-0.55 	10.8 	5.3 
FOR,PCH_PRE,I551-I553,TOTAL,DE92	4.57 	1.48 	5.14 	1.25 	7.4 	-6.9 
FOR,PCH_PRE,I551-I553,TOTAL,DE93	4.34 	-2.5 	4.46 	2.53 	-1.1 	7.7 
FOR,PCH_PRE,I551-I553,TOTAL,DE94	1.2 	5.31 	-2.45 	-2.23 	-8.4 	11.8 
FOR,PCH_PRE,I551-I553,TOTAL,DEA	5.71 	3.01 	1.02 	5.5 	3.1 	4.1 
FOR,PCH_PRE,I551-I553,TOTAL,DEA1	1.6 	6.43 	-2.07 	5.84 	4.3 	5.6 
FOR,PCH_PRE,I551-I553,TOTAL,DEA2	9.5 	-2.4 	4.13 	9.2 	4.5 	3.4 
FOR,PCH_PRE,I551-I553,TOTAL,DEA3	10 	6.52 	-1.49 	10.96 	0.4 	-4.8 
FOR,PCH_PRE,I551-I553,TOTAL,DEA4	7 	4.32 	-1.47 	-1.71 	7.9 	0.1 
FOR,PCH_PRE,I551-I553,TOTAL,DEA5	4.25 	6.69 	1.99 	-1.18 	-2.2 	6.9 
FOR,PCH_PRE,I551-I553,TOTAL,DEB	-0.65 	-1.58 	1.82 	0.67 	-1.8 	-1.1 
FOR,PCH_PRE,I551-I553,TOTAL,DEB1	-0.3 	-3.62 	2.37 	-1.08 	-3.7 	-1.7 
FOR,PCH_PRE,I551-I553,TOTAL,DEB2	-2.65 	-0.94 	1.61 	2.7 	-1.7 	-2 
FOR,PCH_PRE,I551-I553,TOTAL,DEB3	3.35 	1.77 	1 	0.06 	3.1 	2.6 
FOR,PCH_PRE,I551-I553,TOTAL,DEC	-0.85 	1.23 	1.06 	34.59 	39.1 	-7.9 
FOR,PCH_PRE,I551-I553,TOTAL,DEC0	-0.85 	1.23 	1.06 	34.59 	39.1 	-7.9 
FOR,PCH_PRE,I551-I553,TOTAL,DED	8.8 	-0.67 	3.46 	-1.2 	2.7 	11 
FOR,PCH_PRE,I551-I553,TOTAL,DED2	5.31 	-0.13 	5.07 	3.96 	-1.2 	8.3 
FOR,PCH_PRE,I551-I553,TOTAL,DED4	8.16 	-11.82 	-7.1 	-3.98 	5.5 	10.4 
FOR,PCH_PRE,I551-I553,TOTAL,DED5	16.36 	3.45 	5.64 	-9.58 	9.5 	17.3 
FOR,PCH_PRE,I551-I553,TOTAL,DEE	14.31 	0.99 	5.42 	3.28 	-5.1 	16.5 
FOR,PCH_PRE,I551-I553,TOTAL,DEE0	14.31 	0.99 	5.42 	3.28 	-5.1 	16.5 
FOR,PCH_PRE,I551-I553,TOTAL,DEF	3.45 	-1.5 	5.49 	8.88 	11.6 	5.2 
FOR,PCH_PRE,I551-I553,TOTAL,DEF0	3.45 	-1.5 	5.49 	8.88 	11.6 	5.2 
FOR,PCH_PRE,I551-I553,TOTAL,DEG	7.61 	-0.67 	-1.73 	5.05 	-5.4 	5.5 
FOR,PCH_PRE,I551-I553,TOTAL,DEG0	7.61 	-0.67 	-1.73 	5.05 	-5.4 	5.5 
FOR,PCH_PRE,I551-I553,TOTAL,DK	2.45 	4.11 	5.31 	7 	3.2 	1.2 
FOR,PCH_PRE,I551-I553,TOTAL,DK0	2.45 	4.11 	5.31 	7 	3.2 	1.2 
FOR,PCH_PRE,I551-I553,TOTAL,DK01	3.94 	5.43 	4.31 	9.23 	5.4 	8.3 
FOR,PCH_PRE,I551-I553,TOTAL,DK02	2.05 	11.18 	-5.67 	9.58 	10.6 	-6.3 
FOR,PCH_PRE,I551-I553,TOTAL,DK03	-0.58 	3.48 	7.58 	6.45 	2.7 	-6.4 
FOR,PCH_PRE,I551-I553,TOTAL,DK04	6.37 	-0.45 	8.28 	5.3 	-0.6 	-2.9 
FOR,PCH_PRE,I551-I553,TOTAL,DK05	-0.97 	0.58 	7.57 	-0.92 	-3.9 	-2.4 
FOR,PCH_PRE,I551-I553,TOTAL,EA	6.14 e	4.46 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,TOTAL,EE	3.38 	6.48 	-3.8 	0.26 	2.3 	2 
FOR,PCH_PRE,I551-I553,TOTAL,EE0	3.38 	6.48 	-3.8 	0.26 	2.3 	2 
FOR,PCH_PRE,I551-I553,TOTAL,EE00	3.38 	6.48 	-3.8 	0.26 	2.3 	2 
FOR,PCH_PRE,I551-I553,TOTAL,EL	11.57 e	2.26 e	4.79 e	8.24 e	13 	-7.2 
FOR,PCH_PRE,I551-I553,TOTAL,EL3	14.18 e	0.08 e	2.75 e	29.52 e	13.27 	-17.5 
FOR,PCH_PRE,I551-I553,TOTAL,EL30	14.18 e	0.08 e	2.75 e	29.52 e	13.27 	-17.5 
FOR,PCH_PRE,I551-I553,TOTAL,EL4	10.66 e	2.97 e	4.62 e	4.35 e	13.74 	-7.5 
FOR,PCH_PRE,I551-I553,TOTAL,EL41	14.55 e	-17.37 e	9.05 e	14.25 e	21.7 	-14.5 
FOR,PCH_PRE,I551-I553,TOTAL,EL42	13.47 e	-0.93 e	6.28 e	3.06 e	11.63 	-11.4 
FOR,PCH_PRE,I551-I553,TOTAL,EL43	8.04 e	8.33 e	2.79 e	4.76 e	15.11 	-3.5 
FOR,PCH_PRE,I551-I553,TOTAL,EL5	15.47 e	-4.89 e	4.72 e	: 	11.45 	: 
FOR,PCH_PRE,I551-I553,TOTAL,EL51	17.06 e	-7.05 e	11.32 e	: 	49.28 	: 
FOR,PCH_PRE,I551-I553,TOTAL,EL52	13.74 e	-6.18 e	3.53 e	: 	6.63 	: 
FOR,PCH_PRE,I551-I553,TOTAL,EL53	49.82 e	-0.61 e	-6.96 e	: 	14.82 	: 
FOR,PCH_PRE,I551-I553,TOTAL,EL54	28.46 e	17.46 e	4.36 e	: 	25.93 	: 
FOR,PCH_PRE,I551-I553,TOTAL,EL6	10.09 e	7.56 e	6.23 e	: 	11.99 	: 
FOR,PCH_PRE,I551-I553,TOTAL,EL61	13.56 e	-4.49 e	4.91 e	: 	16.76 	: 
FOR,PCH_PRE,I551-I553,TOTAL,EL62	7.66 e	7.9 e	6.05 e	: 	10.94 	: 
FOR,PCH_PRE,I551-I553,TOTAL,EL63	10.97 e	1.15 e	12.53 e	: 	20.61 	: 
FOR,PCH_PRE,I551-I553,TOTAL,EL64	21.25 e	19.82 e	9.32 e	: 	-6.44 	: 
FOR,PCH_PRE,I551-I553,TOTAL,EL65	17.74 e	15.52 e	3.91 e	: 	18.73 	: 
FOR,PCH_PRE,I551-I553,TOTAL,ES	3.85 	9.33 	3.77 	2.85 	3.7 	1.7 
FOR,PCH_PRE,I551-I553,TOTAL,ES1	5.62 	12.76 	12.64 	10.71 	5.3 	0.2 
FOR,PCH_PRE,I551-I553,TOTAL,ES11	8.19 	10.17 	14.05 	12.57 	6.3 	2.5 
FOR,PCH_PRE,I551-I553,TOTAL,ES12	4 	21.92 	9.64 	15.17 	3.1 	-4.5 
FOR,PCH_PRE,I551-I553,TOTAL,ES13	0.3 	12.22 	11.46 	2.92 	4.6 	-1.2 
FOR,PCH_PRE,I551-I553,TOTAL,ES2	6.85 	14.96 	9.9 	7.08 	6.1 	2.2 
FOR,PCH_PRE,I551-I553,TOTAL,ES21	7.72 	16.15 	12.31 	3.19 	7 	5.7 
FOR,PCH_PRE,I551-I553,TOTAL,ES22	6.98 	11.98 	7.07 	14.73 	3.3 	-0.4 
FOR,PCH_PRE,I551-I553,TOTAL,ES23	-1.95 	12.99 	5.67 	11.61 	9.4 	-1.4 
FOR,PCH_PRE,I551-I553,TOTAL,ES24	6.61 	14.4 	7.64 	10.42 	5.1 	-1.9 
FOR,PCH_PRE,I551-I553,TOTAL,ES3	12.3 	6.83 	12.66 	10.05 	-3.9 	-9.3 
FOR,PCH_PRE,I551-I553,TOTAL,ES30	12.3 	6.83 	12.66 	10.05 	-3.9 	-9.3 
FOR,PCH_PRE,I551-I553,TOTAL,ES4	7.22 	9.06 	8.18 	8.93 	2.6 	-7.5 
FOR,PCH_PRE,I551-I553,TOTAL,ES41	5.58 	9.99 	9.06 	11.66 	2.3 	-7.3 
FOR,PCH_PRE,I551-I553,TOTAL,ES42	11.35 	8.47 	3.87 	6.25 	0.8 	-5.3 
FOR,PCH_PRE,I551-I553,TOTAL,ES43	8.42 	5.68 	11.35 	1.5 	6.8 	-11.6 
FOR,PCH_PRE,I551-I553,TOTAL,ES5	3.36 	8.14 	3.58 	-1.2 	3.7 	3.9 
FOR,PCH_PRE,I551-I553,TOTAL,ES51	4.84 	5.84 	2.23 	0.09 	4.3 	4.9 
FOR,PCH_PRE,I551-I553,TOTAL,ES52	8.36 	13.47 	7.56 	3.62 	9.7 	4.4 
FOR,PCH_PRE,I551-I553,TOTAL,ES53	0.28 	8.15 	3.34 	-3.77 	1.4 	2.9 
FOR,PCH_PRE,I551-I553,TOTAL,ES6	6.59 	12.2 	9.68 	6.94 	6.9 	4.4 
FOR,PCH_PRE,I551-I553,TOTAL,ES61	6.88 	12.32 	10.02 	6.73 	6.7 	4.6 
