c_resid,unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
FOR,NR,I551,IT	136114096 	131988707 	129680864 	127373740 	126330288 	122700343 	120014027 	111551526 	106828579 	110491709 	113017439 	107858735 	102097538 	97174844 	93934636 	97837167 	100322354 	97221120 	90235528 	87192035 	85376770 	87905208 	84565791 	76172592 	64574477 	63415459 	65842790 	66012130 
FOR,NR,I551,LI	125122 	107631 	90419 	108994 	111533 	111345 	112459 	111458 	117806 	131095 	126111 	115442 	108371 	100586 	104551 	105862 	120429 	130668 	121552 	120089 	117156 	117759 	126516 	128429 	133495 	147272 	142464 	149204 
FOR,NR,I551,LT	2526763 	2429499 	2246829 	2251173 	2169087 	2001745 	1818031 	1509883 	1322983 	1544487 	1509293 	1451103 	1334118 	1131183 	766411 	718691 	671847 	579075 	600390 	638512 	536205 	491609 	417510 	473853 	714196 	: 	: 	: 
FOR,NR,I551,LU	1526416 	1593649 	1586274 	1538265 	1413420 	1424273 b	1282014 	1163204 	1192639 	1296575 	1359505 	1284174 	1274898 	1194689 	1143831 	1166769 	1173592 	1195886 	1162616 	1089407 	1026055 	947087 	1051215 	1016831 	1065089 	1007191 	1066154 	1084797 
FOR,NR,I551,LV	2925077 	2675285 	2553177 	2529942 	2294596 	2143977 b	2069496 	1786870 	1587504 	1913494 	1779563 	1745159 	1506626 	1157768 	962848 	852822 	836507 	690810 	717676 	725005 	744179 	675489 	661505 	636802 	: 	: 	: 	: 
FOR,NR,I551,ME	: 	2894483 	2627448 	: 	: 	2621342 	2647592 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,MK	1216277 	988699 	957803 	826623 	795566 	727246 	667430 	468822 	468706 	474577 	: 	: 	: 	: 	: 	249463 	197163 	438959 	438531 	310187 	236134 	234203 	243489 	: 	311004 	300245 	418351 	769886 
FOR,NR,I551,MT	8917011 	8354465 	8302348 	8182364 	7940350 	7344253 	7210353 	7065374 	6389661 	7415908 	7584615 	6978360 	7217567 	7387568 	7301242 	7019163 	7473045 	7014896 	8234822 	8078047 	7692855 	7327807 	7632039 	8211178 	8230378 	8029683 	6838097 	6424888 
FOR,NR,I551,NL	26343380 	23169243 	21707565 	20183788 	18350969 	16934054 	16685100 	16174900 	14428600 	14961500 	16327700 	15976100 	15143200 	14618200 	13798400 	14921600 	14955000 	15695000 	15224000 	14262000 	12444000 	9923000 	9581400 	8732900 	7973000 	8423700 	7993400 	8101800 
FOR,NR,I551,NO	: 	6573077 	5989442 	5581658 	5068883 	5050573 	4898885 	4781716 	4404415 	4871237 	5051763 	4895515 	4761074 	4596218 	4374657 	4705537 	4816725 	4966857 	5207568 	5168217 	5039279 	5050277 	4985458 	5041322 	4557000 	4275000 	3917000 	3536631 
FOR,NR,I551,PL	13638768 	12918219 	11302368 	10667222 	10129465 	9424550 	8397392 	8029202 	7478031 	7939328 	8408772 	7910690 	7868754 	6876141 	5450416 	4999289 	4918271 	4944670 	3973433 	5324847 	5594813 	3390633 	3161456 	: 	: 	4581244 	4247498 	: 
FOR,NR,I551,PT	42852697 	39326453 	35474514 	33050064 	29824569 	27256580 	26003760 	23608207 	23214377 	26204245 	26768530 	25216460 	23872884 	23001993 	23214698 	23562694 	23577571 	24101963 	23330836 	23240516 	20851195 	19962376 	20357205 	18785240 	16175957 	17877031 	19088928 	16710332 
FOR,NR,I551,RO	4799993 	4399597 	4100387 	3503522 	3167791 	3001482 b	2981991 	2684868 	2581861 	3251357 	3497156 	3169183 	3377148 	3210600 	2687832 	2470622 	2300661 	2084897 	1960000 	2125000 	2384000 	2210000 	2326000 	2699000 	2698000 	2988000 	3162000 	4085000 
FOR,NR,I551,RS	: 	2352920 	2066142 	1784540 	1616648 	1518577 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,SE	9335009 	8842643 	8401002 	7421430 	6874759 	6650445 	6532078 	6363074 	6087096 	5830414 	5841769 	5603834 	5382161 	5060943 	4833186 	4867679 	4926857 	4678806 	4515500 	4408654 	4050834 	3930464 	3693723 	3320091 	2983641 	2803711 	2826160 	3192994 
FOR,NR,I551,SI	5544814 	4984687 	4540345 	4294013 	4202067 	4150042 	4005927 	3715473 	3684005 	4051014 	3706637 	3400715 	3322043 	3258408 	3165602 	3049389 	2878885 	2757751 	2267183 	2477855 	2499965 	2166981 	2058933 	2088798 	1706024 	1697204 	1928000 	3889000 
FOR,NR,I551,SK	4249762 	4082787 	3642146 	3171407 	3528739 	3329573 	3276048 	3043282 	2907900 	3977836 	3968782 	3911338 	3650029 	3431545 	3560340 	3572297 	3101381 	2761064 	2557039 	2400747 	2144221 	2446492 	2339704 	1836493 	1327377 	883541 	1246316 	1459349 
FOR,NR,I551,TR	: 	65657106 	96345555 	97314942 	89542908 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,UK	: 	88041150 	86215340 	: 	76419113 	65269158 b	65905718 	65080296 	59608084 	61633085 	64252545 	64951359 	58909087 	53866787 	49003000 	48377000 	49780996 	53131000 	55580199 	55865000 	58347355 	57513578 	55450785 	78521632 	71032626 	66283528 	61241188 	64416078 
FOR,NR,I551-I553,AT	86044321 	83398372 	80304956 	78099096 	78433546 	77158431 	73647325 	72585976 	72224605 	74730956 	71518637 	70017089 	69732521 	68274375 	68217090 	67346223 	65522992 	64468535 	63831171 	63199495 	60316637 	62410809 	63839819 	67279995 	70534159 	73229257 	73027382 	70640107 
FOR,NR,I551-I553,BE	18656843 	17063194 	18852087 	17068872 	16511721 	16432646 	16723867 	16169676 	15451017 	16360702 	16271311 	16039090 	15553279 	15544514 	15929415 	15903329 	15373338 	15526188 	15365791 	14838367 	14762402 	14440943 	13882027 	13193787 	13073880 	12747942 	12170124 	12886249 
FOR,NR,I551-I553,BG	17105567 	16150666 	13352281 	14077798 	14370426 	13451440 	12426723 	10547112 	9460922 	11791454 	12006786 	11944694 	11624051 	10303560 	9142170 	7055140 	6189893 	5170091 	4382405 	5197050 	5476931 	5921961 	5437963 	6436790 	7477345 	5587597 	4663756 	12759237 
FOR,NR,I551-I553,CH	: 	23982739 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32110820 	32844102 	31863422 	32237374 	31323944 	17615151 	18744165 	36233095 	36728870 	36999874 	37038339 	36888756 
FOR,NR,I551-I553,CY	15946809 	14504702 	12550320 	12884399 	13152589 	13488127 	13112596 	12448158 	11666663 	13208954 	13197004 	13310257 	14006282 	13636517 	13490132 	15289044 	18089506 	16815696 	16126134 	14444330 	13161573 	12704684 	14201434 	14299191 	12231213 	14152829 	8901196 	10187926 
FOR,NR,I551-I553,CZ	26257013 	24268149 	23286515 	22110112 	22144896 	21793985 	19424839 	18365947 	17746893 	19987022 	20610186 	20090348 	19595035 	18980462 	16510618 	15569156 	17254881 	15597087 	16125000 	16218000 	14932493 	13640529 	10274976 	8280598 	6991000 	6088000 	5651000 	6963000 
FOR,NR,I551-I553,DE	83111219 	79946914 	78827773 	74805253 	71191942 	68161503 	63081467 	59658760 	54096574 	56239679 	54485379 	52947373 	48246436 	45373852 	41577515 	40388599 	40628905 	42420126 	38514653 	37091209 	36206807 	35323514 	35285376 	34776993 	34709627 	38200430 	37426401 	38953142 
FOR,NR,I551-I553,DK	11914787 	11630004 	11171416 	10608119 	9914273 	9608124 	9491137 	8981992 	8299403 	8918197 	9327579 	9453026 	9355831 	9565867 	9843468 	9578670 	9745743 	10005887 	9965684 	10287564 	10918596 	10810187 	9651070 	10634800 	10503500 	11633400 	10431300 	9337935 
FOR,NR,I551-I553,EA	1081660974 e	1032258038 	988214798 	: 	: 	: 	: 	: 	: 	835563087 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,EE	4150419 	4014581 	3770207 	3919299 	3909326 	3823039 	3748865 	3203721 	2740696 	2932662 	2915456 	3020367 	2982459 	2746806 	2267873 	1997588 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,EL	89284386 e	80025756 e	78254524 e	74675156 e	68992640 	61054383 e	65514230 	59184397 	57413304 	47973949 	48081473 	43055381 	40734354 	38796196 	40407463 	40952769 	42494140 	47023618 	41999546 	39178796 	40990773 	35993353 	38226678 	41199694 	: 	: 	: 	: 
FOR,NR,I551-I553,ES	305907462 	294556428 	269418103 	259635794 	252447766 	243389006 	239369167 	213349649 	200551728 	223756216 	225450241 	224518083 	209518387 	209081382 	217851459 	220699515 	231442166 	233900964 	160424403 	120996632 	113202480 	106442110 	107604922 	104156408 	88394664 	81183389 	78801693 	75745030 
FOR,NR,I551-I553,EU27	: u	1411950513 	1356468031 	1146438009 e	1132214059 e	1076478856 	1041989860 e	973599318 e	913445331 e	987680179 e	974117915 e	955304433 	910637241 	880146770 	871800482 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,EU28	: u	1484015095 	1422151041 	1211064155 e	1191592955 e	1133558823 	1077378862 e	1006834200 e	946803175 e	1021941396 e	1007819840 e	988162447 	943757677 	911897797 	902783023 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,FI	6742834 	5771275 	5510350 	5710702 	5860447 	5802959 	5507468 	5005068 	4890006 	5502554 	5328215 	5003750 	4498635 	4383198 	4330690 	4290288 	4183206 	4065971 	3773959 	3700396 	3645854 	3284644 	3292484 	3376988 	2928949 	2586997 	2586258 	2829757 
FOR,NR,I551-I553,FR	133499991 	123913410 	130464997 	130908700 	132251136 	125038453 	123227704 	120390105 	98705212 	106993811 	108567043 	105865432 	107951866 	104177904 	103744880 	113241419 	110261514 	108838468 	99343032 	92595973 	: 	: 	87548126 	94873889 	90665883 	91862672 	84121033 	84925306 
FOR,NR,I551-I553,HR	80176804 	72064582 	65683010 	61072661 	59378896 	57079967 b	35389002 	33234882 	33357844 	33902735 	33701925 	32858014 	33120436 	31751027 	30982541 	30285645 	29757532 	26633622 	17901802 	21337500 	20293549 	14640480 	8202576 	14321670 	9388907 	: 	: 	: 
FOR,NR,I551-I553,HU	14941781 	13802045 	12962395 	12351330 	11982883 	11392183 b	9920339 	9358373 	9220148 	10009531 	10170808 	10045891 	10778899 	10508109 	10040338 	10360969 	10894493 	11210445 	10608761 	10871690 	10941388 	11354970 	10568798 	11082234 	11011417 	: 	: 	: 
FOR,NR,I551-I553,IE	: 	16190381 e	13462348 e	11276424 e	10871806 e	11839245 be	: u	: u	: u	21535000 u	: u	21652000 	19427000 	20236000 	20534000 	19956900 	21255000 	20776000 	18041000 	17051000 	17420000 	17065000 	14368000 	13149000 	: 	: 	: 	: 
FOR,NR,I551-I553,IS	: 	6764038 	5605634 	4404834 	3366252 	2873790 	2384477 	2089527 	2028069 	1894457 	1838330 	1687744 	1521421 	1478848 	1376788 	1256518 	1183682 	1146964 	1102108 	1016897 	886859 	832291 	811000 	714000 	678772 	668161 	673648 	660980 
FOR,NR,I551-I553,IT	210658786 	199421814 	192607930 	186792507 	184793382 	180594988 	176474062 	165202498 	159493866 	161797434 	163465680 	156861341 	148290126 	141169236 	139653425 	145559930 	146672273 	140356985 	126668423 	121242294 	118359759 	118023647 	113000571 	101004689 	85430773 	83642567 	86734917 	84719910 
FOR,NR,I551-I553,LI	146892 	127747 	110465 	130202 	132491 	136276 b	148955 	150336 	158414 	171425 	167748 	155171 	148992 	144577 	149880 	151739 	164077 	168205 	159992 	160748 	154892 	155116 	166639 	168078 	: 	: 	: 	201812 
FOR,NR,I551-I553,LT	3431233 	3273420 	3010727 	3033826 	2906201 	2680048 b	1883003 	1571325 	1395899 	1626829 	1609998 	1514197 	1401033 	1197331 	835562 	799069 	734592 	635634 	667940 	712641 	616375 	576027 	503519 	556155 	: 	: 	: 	: 
FOR,NR,I551-I553,LU	2573589 	2637701 	2655733 	2513585 	2313124 	2298068 b	2057883 	1717130 	2075831 	2249545 	2328688 	2399913 	2451764 	2493349 	2516803 	2445897 	2396522 	2379021 	2471853 	2295856 	2296827 	2148071 	2326939 	2342312 	2537199 	2335043 	2552713 	2430334 
FOR,NR,I551-I553,LV	3406527 	3044532 	2873885 	2875934 	2639434 	2429093 b	2257021 	1912336 	1699562 	2115618 	1935984 	1872393 	1612671 	1200569 	982542 	871430 	846555 	697010 	723967 	732879 	762962 	697163 	667787 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,ME	: 	10528475 	10307371 	: 	: 	8143007 b	2743414 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,MK	1289111 	1050917 	1020943 	900148 	864125 	794564 	740532 	548640 	575117 	579549 	: 	: 	: 	: 	: 	264789 	204017 	467945 	457340 	334047 	253640 	256053 	255886 	: 	322948 	325014 	473487 	933727 
FOR,NR,I551-I553,MT	9184162 	8622438 	8542055 	8428215 	8172407 	7498421 	7361449 	7208295 	6550794 	7581137 	7749831 	7094031 	7320428 	7458466 	7391578 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,NL	44169041 	39623541 	37297588 	34423552 	31770508 b	27845942 	27739000 	26799800 	25013700 	25267600 	27952200 	26886500 	25210000 	25386300 	25341600 	26367800 	25502000 	25955000 	27475000 	24573000 	21423000 	19043000 	19736400 	17991800 	17177800 	18023200 	17206000 	16458900 
FOR,NR,I551-I553,NO	: 	9672993 	8851422 	8451333 	7693241 	7940468 	7844241 	7881525 	7500431 	8119045 	8305287 	7921169 	7644349 	7442253 	6955548 	7275157 	7322016 	7468899 	7814983 	7868735 	7243111 	7236490 	7294971 	: 	: 	: 	: 	5840418 
FOR,NR,I551-I553,PL	16705215 	15579225 	13757657 	12992241 	12471268 	11876599 	10620264 	10064628 	9609447 	10173237 	10918100 	10555119 	10542368 	9312939 	7828230 	7085019 	6990543 	6891283 	5644924 	7229771 	7579637 	5594191 	5523500 	: 	: 	7102829 	6315401 	: 
FOR,NR,I551-I553,PT	48884842 	43959295 	38897329 	35630345 	32078773 	29033970 	27860103 	25386084 	25024678 	28126716 	28669799 	26842277 	25387817 	24617451 	24869946 	25118740 	25228612 	25785146 	25080002 	25272513 	22601002 	21707877 	22240692 	20660087 	18124107 	20064465 	21957339 	19349386 
FOR,NR,I551-I553,RO	5267970 	4812050 	4460017 	3762465 	3471152 	3291504 b	3066882 	2766581 	2667666 	3359244 	3586439 	3242105 	3464134 	3333005 	2765500 	2534225 	2390531 	2149358 	1980000 	2206000 	2506000 	2289000 	2381000 	2759000 	2744000 	3141000 	3269000 	4238000 
FOR,NR,I551-I553,RS	: 	2735528 	2402065 	2074680 	1879208 	1766627 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
