unit,nace_r2,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
NR,I551,AFR,MK	3833 	1400 	2615 	1917 	1438 	835 	1114 	537 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR,MT	46483 e	44220 e	78942 e	290710 e	268368 e	210845 	188874 	124861 	107748 	87788 	81113 	75041 	90281 	94088 	108720 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR,NL	288063 	253955 	236131 	241056 	218473 	209275 	211700 	194700 	160300 	147000 	174500 	173400 	180900 	230100 	294500 	358300 	288000 	241508 	242000 	189040 	180000 	139000 	137000 	112000 	102500 	101600 	105700 	105500 
NR,I551,AFR,NO	: 	27731 	36645 	38623 	37375 	38472 	40329 	28419 	28469 	33165 	29608 	26571 	29869 	13782 	13181 	13867 	9979 	10431 	10537 	11291 	11462 	9992 	7607 	: 	: 	: 	: 	: 
NR,I551,AFR,PL	42057 	43529 	41392 	40360 	40455 	29516 	25614 	26092 	24860 	21710 	20316 	27269 	17631 	15853 	18903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR,PT	510046 	465509 	513083 	565673 	432316 	338084 	292404 	268870 	266501 	235565 	240911 	198599 	169455 	159662 	157224 	178648 	178951 	175281 	154791 	181608 	185069 	204111 	178725 	232591 	273885 	234852 	237731 	219424 
NR,I551,AFR,RO	40837 	59814 	109650 	75911 	31779 	42163 b	23548 	23426 	18184 	18545 	23696 	21814 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR,RS	: 	24153 	33096 	48613 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR,SE	43899 	46699 	53629 	44672 	38991 	35171 	36334 	24852 	30994 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR,SI	16507 	17795 	14148 	13849 	12899 	13143 	13187 	8440 	6896 	12204 	5607 	3355 	3392 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR,SK	15835 	16774 	18642 	15135 	15396 	19974 	10315 	10473 	8437 	13336 	11505 	7718 	7478 	8158 	9280 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR,TR	: 	1328653 	1424319 	1444337 	1293772 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR,UK	: 	1299960 	1833822 	: 	2129782 	1707590 b	1646474 	1690332 	1603127 	1616282 	1442824 	1651661 	1490343 	1252918 	1542000 	1507000 	1432848 	1259112 	1812763 	1753000 	3344204 	2950684 	1977779 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,AT	128037 	132479 	123667 	115019 	108549 	96099 	86719 	69629 	58360 	57301 	60784 	52740 	53200 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,BE	143320 	138156 	139417 	154265 	145543 	138520 	132129 	139104 	131965 	129144 	136393 	118822 	120287 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,BG	25639 	27239 	8377 	7657 	4032 	6512 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,CH	: 	223208 	238958 	219991 	226171 	233600 	212809 	203899 	209997 	220851 	220800 	212216 	206346 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,CY	42236 	43252 	37247 	36612 	31935 	32286 	24371 	27305 	17158 	18781 	15925 	16186 	17061 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,CZ	83567 	86526 	83299 	86849 	75177 	68205 	62985 	57911 	45318 	56046 	50694 	52964 	49540 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,DE	469818 	460186 	488184 	475701 	446334 	382171 	298727 	318620 	267888 	270980 	271264 	293534 	246123 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,DK	46596 	51765 	45949 	43639 	37963 	38334 	32123 	30761 	29328 	25572 	22834 	28552 	37774 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,EA	6290645 e	6230991 	5954196 	: 	: 	: 	: 	: 	: 	3548056 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,EE	3976 	3870 	2937 	3360 	2814 	2970 	3159 	2248 	1489 	2049 	1483 	1111 	1359 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,EL	196733 	210850 	199336 	224190 	222008 	468486 	164735 	115629 	108348 	114812 	109017 	96041 	72411 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,ES	1724508 	1553402 	1304586 	1139885 	1021722 	869884 	805547 	853072 	643911 	671296 	671610 	639685 	644518 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,EU27	: u	7444482 	7580164 	7438311 e	6835273 	6654415 	5832100 e	: 	: 	5027632 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,EU28	: u	7470584 	7603023 	7464981 e	6861349 	6677034 	5845257 e	: 	: 	5039239 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,FI	16437 	14354 	14442 	13616 	11718 	13615 	14154 	15112 	13471 	9847 	12553 	10581 	10356 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,FR	1657718 	1560992 	1519045 	1512418 	1451649 	1287312 	1149779 	1111238 	1033761 	1003129 	971274 	969970 	845428 	885306 	901406 	949470 	913017 	905830 	789583 	911348 	819018 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,HR	23172 	26102 	22859 	26670 	26076 	22619 b	13157 	13100 	14243 	13528 	13055 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,HU	61479 	59425 	58573 	45955 	38255 	29524 	24450 	: 	: 	: 	: 	22924 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,IE	: 	18195 e	21364 e	26091 e	16798 e	24142 be	: u	: u	: u	75850 	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,IS	: 	4459 	4773 	3546 	1986 	: 	: 	: 	: 	: 	2775 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,IT	1245616 	1388852 	1339750 	1027543 	919101 	1154191 	1068185 	752426 	762262 	782825 	724941 	701410 	698570 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,LI	157 	168 	278 	239 	153 	427 	172 	211 	421 	471 	511 	304 	355 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,LT	5590 	4575 	6707 	3912 	3213 	2706 	3898 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,LU	10168 	10800 	10815 	11731 	9009 	25878 b	18937 	4133 	6547 	8558 	8359 	7837 	8871 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,LV	5646 	5559 	4959 	3749 	3239 	2755 b	2527 	2541 	984 	1672 	1060 	388 	1551 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,ME	: 	4863 	3083 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,MK	3342 	1174 	2251 	1573 	1215 	699 	876 	465 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,MT	34053 e	35908 e	68824 e	276346 e	263160 e	205595 	178452 	117183 	99672 	82191 	74656 	72864 	84417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,NL	210167 	187948 	168295 	177166 	155012 	146374 	155300 	142500 	115000 	97800 	121800 	123800 	132300 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,NO	: 	17872 	26209 	27177 	26883 	31823 	33984 	23066 	23438 	26033 	22905 	21110 	23668 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
