unit,nace_r2,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
NR,I552,US,PL	43827 	45847 	33365 	28643 	29762 	33188 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,US,PT	167173 	85260 	48533 	22626 	15448 b	2378 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,US,RO	13263 	9184 	9969 	6597 	6203 	6480 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,US,RS	: 	5915 	4381 	4263 	3139 	3645 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,US,SE	46123 	37040 	37084 	32209 	28213 	24589 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,US,SI	51928 	12116 	32359 	25885 	21714 	16815 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,US,SK	7288 	8686 	7060 	5115 	5364 	5577 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,US,UK	: 	13334470 	15713358 	: 	: 	4366580 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,AT	23105878 	21941223 	20646643 	20022094 	19593528 	19150091 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,BE	16991695 	16900067 	16337156 	11021330 	10727791 	10537475 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,BG	1924465 	1809458 	1702845 	1683510 	1667694 	1527737 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	199312 	205412 	254319 	291557 	274667 	449719 	561700 	568455 	629080 	849803 	863038 	2390033 
NR,I552,WORLD,CH	: 	12078242 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,CY	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,CZ	10656674 	10421513 	10270477 	9064783 	9199630 	9359452 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12112023 	15963149 	15892000 	18534000 	15048501 	12330300 	6229156 	3795713 	3143000 	2287000 	2228000 	3751000 
NR,I552,WORLD,DE	81352690 	78792745 	76810040 	75492571 	74049894 	74250442 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,DK	5899997 	5814223 	5335834 	4686584 	4815762 	4962527 b	5049720 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,EA	478049878 e	457455267 	441186307 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,EE	1231023 	1174103 	1034819 	1003572 	976789 	895287 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,EL	21968115 e	20352732 e	20285217 e	19725950 e	17636254 	16182255 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,ES	91910107 	87146669 	79598909 	76392934 	71805482 	70672814 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,EU27	: u	759234755 	736215407 	549100039 e	550025749 e	539824158 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,EU28	: u	796312407 	768239982 	581189501 e	576704143 e	564628364 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,FI	2343271 	1899084 	1768434 	1846246 	1807547 	1649309 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,FR	94813008 	88719953 	91510425 	90677821 	93607605 	93296240 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,HR	42476731 	37077652 	32024575 	28602230 	26678394 	24804206 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2354500 	2059442 	1794056 	1871204 	1948117 	1416691 	1181686 	1299836 	863236 	: 	: 	: 
NR,I552,WORLD,HU	5335595 	4765694 	4593198 	4340336 	3831230 	3593890 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4715857 	3045298 	2956390 	2820632 	3121872 	2829980 	2983487 	3094117 	: 	: 	: 
NR,I552,WORLD,IE	: 	3807995 e	3227203 e	4337577 e	3830979 e	3856456 be	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,IS	: 	1701833 	1568600 	1256424 	925686 	682650 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,IT	88694426 	80972763 	76224585 	69928936 	68889280 	68755439 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,LI	20508 	19785 	19517 	20738 	20136 	24606 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,LT	3217972 	3089348 	2892599 	2849331 	2620310 	2513257 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	512566 	505442 	956512 	1029467 	898794 	970705 	1313195 	1526908 	68103 	: 	: 	: 
NR,I552,WORLD,LU	258660 	232496 	242502 	234547 	211382 	225487 b	219303 	119832 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,LV	965955 	729828 	609272 	608341 	617135 	545655 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	114467 	101243 	118207 	149936 	162348 	124626 	131749 	: 	: 	: 	: 	: 
NR,I552,WORLD,ME	: 	8095124 	8177958 	: 	: 	6149022 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,MK	381235 	362137 	356274 	377016 	389082 	399363 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	389799 	418379 	402394 	352146 	359233 	424151 	495371 	529404 	565085 	615374 	612754 
NR,I552,WORLD,MT	270653 	270760 	241942 	248356 	235772 	155795 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,NL	43027147 	40711456 	40924196 	38400486 	37624700 b	31661040 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,NO	: 	3000013 	2877962 	2835103 	2768245 	1872346 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,PL	35602119 	34004991 	31439557 	30080054 	29370334 	30253405 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31675456 	33332818 	32642177 	38362111 	34550506 	33120312 	32994712 	32644450 	33073901 	31487624 	35523440 	: 
NR,I552,WORLD,PT	5925181 	4143747 	3010502 	1892099 	1769275 b	875018 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,RO	4401106 	3806974 	3438043 	2756523 	2541277 	2328409 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2378000 	3072000 	3515000 	4160000 
NR,I552,WORLD,RS	: 	2475104 	2204846 	2058879 	2347503 	2379476 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,SE	6361814 	6281135 	6533701 	6159791 	5781003 	5984673 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WORLD,SI	3019960 	2579736 	2287400 	2012301 	1993008 	1913237 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1597445 	937572 	891884 	897975 	899316 	608900 	706629 	669919 	647275 	703100 	: 	1164000 
NR,I552,WORLD,SK	4239366 	3990562 	3534463 	3288181 	3442200 	3298881 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4648324 	4364550 	4792689 	4568184 	3527028 	2592060 	1495117 	1696779 	1331408 	1019786 	1312716 	2808499 
NR,I552,WORLD,UK	: 	234875500 	231715445 	: 	: 	81379887 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,AT	130413 	126145 	95541 	84189 	95097 	133166 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,BE	72866 	14315 	21491 	7993 	3675 	1634 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,BG	3539 	4922 	25067 	32266 	56947 	40133 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,CH	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,CY	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,CZ	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,DE	184003 	146117 	125022 	164545 	161230 	126636 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,DK	0 	0 	0 	0 	0 	0 b	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,EA	852966 e	715706 	622720 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,EE	4271 	2130 	2458 	1959 	521 	302 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,EL	19994 e	25809 e	26816 e	26000 e	21944 	19756 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,ES	262642 	244821 	255516 	216671 	201648 	226930 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,EU27	: u	836691 	716875 	843441 e	670787 e	707274 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,EU28	: u	836691 	716875 	842404 e	670787 e	707274 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,FI	30676 	8412 	12728 	12158 	2807 	1918 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,FR	73656 	24278 	10802 	59291 	5568 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,HR	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,HU	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,IE	: 	110 	1056 	2845 e	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,IS	: 	0 	0 	0 	0 	35600 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,IT	160919 	123204 	66450 	74033 	89219 	131384 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,LI	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,LT	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,LU	0 	0 	0 	0 	0 	0 b	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,LV	66 	0 	4569 	2114 	2776 	3854 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,ME	: 	0 	0 	: 	: 	21991 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,MK	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,MT	0 e	0 e	0 e	0 e	0 e	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,NL	0 	0 	0 	0 	0 b	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,NO	: 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,PL	3038 	7169 	2417 	3740 	2955 	2890 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,PT	613 	49 	198 	995 	1578 b	36 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,RO	1040 	190 	375 	261 	304 	284 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,RS	: 	0 	0 	446 	19674 	9173 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,SE	173709 	108704 	66296 	45906 	24449 	18309 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,SI	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,SK	1 	316 	73 	421 	69 	42 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,WRL_NAL,UK	: 	0 	0 	: 	: 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,AT	8175 	9319 	8750 	8915 	8775 	8524 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,BE	4144 	3114 	3401 	2776 	2985 	1923 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,BG	2133 	166 	115 	490 	85 	66 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,CH	: 	6341 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,CY	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,CZ	2781 	2159 	2457 	1686 	1884 	1732 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,DE	11193 	11539 	11145 	10919 	10265 	11548 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,DK	2114 	1292 	813 	635 	243 	355 b	186 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,EA	156563 e	140198 	132101 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,EE	287 	300 	368 	256 	241 	184 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,EL	2649 e	2910 e	3044 e	3337 e	3752 	2928 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,ES	39568 	33083 	31444 	34355 	32485 	30783 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,EU27	: u	2034089 	2538871 	143379 e	286652 e	283042 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,EU28	: u	2051559 	2552077 	153496 e	294361 e	288758 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,FI	403 	350 	141 	237 	194 	82 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,FR	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,HR	24540 	17470 	13206 	8985 	7709 	5716 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,HU	1041 	748 	780 	539 	876 	273 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,IE	: 	13729 e	10755 e	7866 e	: u	3695 be	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,IS	: 	658 	243 	264 	372 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,IT	61419 	49576 	52864 	44820 	50112 	50870 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,LI	10 	20 	28 	7 	17 	3 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,LT	72 	18 	97 	12 	7 	11 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,LU	735 	605 	436 	88 	222 	366 b	253 	20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,LV	29 	44 	16 	4 	65 	73 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,ME	: 	486 	517 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,MK	1 	0 	0 	19 	1 	15 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,MT	548 e	0 e	0 e	0 e	0 e	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,NL	5710 e	9146 e	6817 e	5119 e	4196 be	2127 be	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,NO	: 	1408 	586 	2712 	2907 	256 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,PL	657 	395 	476 	444 	647 	394 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,PT	6093 	4997 	1754 	906 	780 b	215 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,RO	949 	242 	118 	76 	167 	70 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,RS	: 	307 	412 	39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,SE	644 	629 	982 	955 	601 	620 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,SI	2147 	1293 	916 	540 	915 	1243 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,SK	170 	175 	153 	36 	138 	276 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552,ZA,UK	: 	1888260 	2401029 	: 	: 	164684 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,AFR,AT	27688 	26520 	19848 	21021 	23111 	20898 b	15575 	12852 	12104 	12674 	14077 	12063 	9834 	7764 	6454 	6328 	7981 	7965 	7331 	7973 	545 	: 	: 	254199 	325441 	348348 	389661 	: 
NR,I552_I553,AFR,BE	18132 	18211 	14291 	12394 	13159 	13405 b	12719 	11851 	10424 	9564 	9429 	14403 	12033 	10152 	13387 	13798 	11477 	14478 	12481 	11243 	16049 	20043 	15259 	12535 	90732 	81885 	99267 	164754 
NR,I552_I553,AFR,BG	2695 	793 	185 	575 	99 	146 b	5 	22 	: 	: 	: 	: 	: 	: 	: 	62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,AFR,CH	: 	20927 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27804 	42649 	41546 	36401 	46618 	39740 	300 	288 	: 	52206 	63408 	73732 	77508 
NR,I552_I553,AFR,CY	1 	8 	36 	10 	0 	7 b	1513 	1697 	1269 	45 	30 	32 	45 	: 	: 	: 	28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,AFR,CZ	19383 	18735 	16349 	24409 	19218 	11121 b	9515 	6464 	7233 	6709 	7176 	8601 	9485 	11394 	10850 	10323 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,AFR,DE	67859 	63451 	70225 	61527 	54964 	54703 b	40979 	42188 	46415 	65040 	82505 	63774 	60020 	60744 	53270 	57716 	63130 	67110 	65913 	56446 	52578 	58223 	62289 	73961 	82032 	67729 	60027 	53346 
