unit,purpose,duration,partner,expend,geo\time	2016 	2015 	2014 	2013 	2012 
EUR,PROF,N_GE1,OUT,TRA,ES	97.67 	62.9 b	5.22 	6.58 	5.21 
EUR,PROF,N_GE1,OUT,TRA,EU27	: 	106.69 	89.33 e	84.57 	85.91 
EUR,PROF,N_GE1,OUT,TRA,EU28	: 	106.52 	86.69 e	83.17 	85.39 
EUR,PROF,N_GE1,OUT,TRA,FI	96.33 	124.32 	96.43 	127.85 	110.71 
EUR,PROF,N_GE1,OUT,TRA,FR	104.65 	143.06 	108.24 	102.04 	92.49 
EUR,PROF,N_GE1,OUT,TRA,HR	45.83 	97.97 	27.88 	23.05 	40.15 
EUR,PROF,N_GE1,OUT,TRA,HU	41.04 	42.3 	32.84 	15.76 	4.37 
EUR,PROF,N_GE1,OUT,TRA,IE	106.08 	116.45 	118.41 	130.37 	117.12 
EUR,PROF,N_GE1,OUT,TRA,IT	42.19 	68.54 	53.99 b	77.68 	80.97 
EUR,PROF,N_GE1,OUT,TRA,LT	27.94 	32.86 	34.04 	30.55 	21.51 
EUR,PROF,N_GE1,OUT,TRA,LU	153.14 	139.87 	124.8 	132.84 	104.31 
EUR,PROF,N_GE1,OUT,TRA,LV	36.14 	34.45 	32.13 	22.86 	31.48 
EUR,PROF,N_GE1,OUT,TRA,MT	40.42 	60.32 	47.54 b	46.25 	52.65 
EUR,PROF,N_GE1,OUT,TRA,NL	95.53 	89.19 	90.01 	103.44 	92.48 
EUR,PROF,N_GE1,OUT,TRA,PL	26.28 	25.9 	33.51 b	13.29 	50.88 
EUR,PROF,N_GE1,OUT,TRA,PT	28.67 	16.19 	32.82 	21.05 	13.32 
EUR,PROF,N_GE1,OUT,TRA,RO	: u	: u	: u	: u	: u
EUR,PROF,N_GE1,OUT,TRA,SE	52.41 	168.1 	115.35 	: 	: 
EUR,PROF,N_GE1,OUT,TRA,SI	73.05 	63.06 	72.87 	61.67 	76.06 
EUR,PROF,N_GE1,OUT,TRA,SK	: u	58.6 u	: u	32.4 bu	34.64 u
EUR,PROF,N_GE1,OUT,TRA,UK	: 	: 	: 	49.64 	20.62 
EUR,PROF,N_GE1,WORLD,ACC,AT	93.82 	72.94 	71.75 	83.09 	85.71 
EUR,PROF,N_GE1,WORLD,ACC,BE	65.31 	62.73 	58.84 	79.33 	28.33 
EUR,PROF,N_GE1,WORLD,ACC,BG	21.83 	21.55 	21.24 	15.68 	20.07 
EUR,PROF,N_GE1,WORLD,ACC,CH	98.77 	106.24 	65.09 	111.33 	98.75 
EUR,PROF,N_GE1,WORLD,ACC,CY	63.23 	51.77 	46.44 	59.24 	35.77 
EUR,PROF,N_GE1,WORLD,ACC,CZ	31.5 	34.87 	26.4 	26.41 	32.25 
EUR,PROF,N_GE1,WORLD,ACC,DE	66.87 	73.21 	62.31 	81.37 	77.45 
EUR,PROF,N_GE1,WORLD,ACC,DK	99.24 	89.67 	106.84 b	58.31 b	91.97 
EUR,PROF,N_GE1,WORLD,ACC,EA	: 	: 	48.73 e	58.95 	54.02 
EUR,PROF,N_GE1,WORLD,ACC,EE	38.75 	24.77 	49.14 	29.73 	48.81 
EUR,PROF,N_GE1,WORLD,ACC,EL	15.22 	14.88 	10.34 	16.59 	8.5 
EUR,PROF,N_GE1,WORLD,ACC,ES	58.13 	42.91 b	12.18 	14.87 	8.49 
EUR,PROF,N_GE1,WORLD,ACC,EU27	: 	58.61 	48.51 e	56.05 	52.04 
EUR,PROF,N_GE1,WORLD,ACC,EU28	: 	58.35 	47.72 e	55.6 	51.78 
EUR,PROF,N_GE1,WORLD,ACC,FI	72.46 	77.97 	64.2 	76.9 	68.2 
EUR,PROF,N_GE1,WORLD,ACC,FR	44.91 	44.99 	39.67 	40.23 	37.45 
EUR,PROF,N_GE1,WORLD,ACC,HR	32.03 	40.02 	18.14 	27.92 	26.4 
EUR,PROF,N_GE1,WORLD,ACC,HU	38.68 	38.14 	30.85 	38.24 	23.5 
EUR,PROF,N_GE1,WORLD,ACC,IE	84.11 	91.74 	80.14 	92.11 	83.87 
EUR,PROF,N_GE1,WORLD,ACC,IT	41.78 	47.36 	33.96 b	61.27 	65.13 
EUR,PROF,N_GE1,WORLD,ACC,LT	37.71 	31.88 	29.52 	27.03 	20.45 
EUR,PROF,N_GE1,WORLD,ACC,LU	124.39 	111.13 	107.03 	127.28 	97.88 
EUR,PROF,N_GE1,WORLD,ACC,LV	47.27 	52.62 	32.54 	28.28 	16.75 
EUR,PROF,N_GE1,WORLD,ACC,MT	50.75 	56.76 	41.76 b	48.8 	50.47 
EUR,PROF,N_GE1,WORLD,ACC,NL	83.61 	71.45 	74.33 	78.24 	79.46 
EUR,PROF,N_GE1,WORLD,ACC,PL	22.73 	21.33 	25.08 b	24.65 	24.01 
EUR,PROF,N_GE1,WORLD,ACC,PT	19.49 	15.16 	18.24 	6.16 	12.66 
EUR,PROF,N_GE1,WORLD,ACC,RO	6.46 	6.65 	5.93 	6.55 	7.49 
EUR,PROF,N_GE1,WORLD,ACC,SE	82.6 	66.52 	62.16 	: 	: 
EUR,PROF,N_GE1,WORLD,ACC,SI	68.71 	63.6 	65.91 	49.64 	60.26 
EUR,PROF,N_GE1,WORLD,ACC,SK	27.66 u	33.29 	34.84 u	26.01 b	28.49 
EUR,PROF,N_GE1,WORLD,ACC,UK	: 	: 	: 	65.71 	57.24 
EUR,PROF,N_GE1,WORLD,DUR,AT	4.01 	5.07 	5.37 	5.95 	2.44 
EUR,PROF,N_GE1,WORLD,DUR,BE	3.01 	1.71 	4.78 	3.97 	4.39 
EUR,PROF,N_GE1,WORLD,DUR,BG	0 	0 	0 	0 	0 
EUR,PROF,N_GE1,WORLD,DUR,CH	0.25 	5.22 	0.65 	: 	: 
EUR,PROF,N_GE1,WORLD,DUR,CY	1.42 	0.15 	0.62 	5.24 	0.93 
EUR,PROF,N_GE1,WORLD,DUR,CZ	0.26 	0.33 	0 	0 	2.45 
EUR,PROF,N_GE1,WORLD,DUR,DE	4.93 	3.75 	3.92 	1.95 	18 
EUR,PROF,N_GE1,WORLD,DUR,DK	2.2 	2.16 	3.07 b	2.59 b	3.18 
EUR,PROF,N_GE1,WORLD,DUR,EA	: 	: 	3.71 e	2.11 	9.11 
EUR,PROF,N_GE1,WORLD,DUR,EE	1.21 	1.3 	4.11 	1.61 	1.08 
EUR,PROF,N_GE1,WORLD,DUR,EL	0.45 	0.21 	0.18 	0.78 	6.37 
EUR,PROF,N_GE1,WORLD,DUR,ES	0.23 	3.8 b	0 	0.03 	8.07 
EUR,PROF,N_GE1,WORLD,DUR,EU27	: 	2.91 	3.37 e	2.93 	11.01 
EUR,PROF,N_GE1,WORLD,DUR,EU28	: 	2.87 	3.31 e	2.9 	10.91 
EUR,PROF,N_GE1,WORLD,DUR,FI	1.54 	1.84 	5.98 	5.81 	2.35 
EUR,PROF,N_GE1,WORLD,DUR,FR	4.22 	3.28 	3.27 	2.88 	2.87 
EUR,PROF,N_GE1,WORLD,DUR,HR	0.8 	0.46 	1.3 	1.36 	1.4 
EUR,PROF,N_GE1,WORLD,DUR,HU	1.62 	1.26 	1.88 	0.77 	2.06 
EUR,PROF,N_GE1,WORLD,DUR,IE	3.11 	7.61 	2.42 	3.3 	5.27 
EUR,PROF,N_GE1,WORLD,DUR,IT	1.44 	2.66 	10.13 b	0 	0.16 
EUR,PROF,N_GE1,WORLD,DUR,LT	3.73 	0.8 	0.7 	0.28 	0.42 
EUR,PROF,N_GE1,WORLD,DUR,LU	0.26 	0.16 	2.46 	19.9 	9.5 
EUR,PROF,N_GE1,WORLD,DUR,LV	0 	0 	0.31 	0.14 	1.28 
EUR,PROF,N_GE1,WORLD,DUR,MT	18.05 	4.04 	0.96 b	0 	0 
EUR,PROF,N_GE1,WORLD,DUR,NL	0 	0 	0 	0 	0 
EUR,PROF,N_GE1,WORLD,DUR,PL	0 	1 	0.36 b	5.58 	2.37 
EUR,PROF,N_GE1,WORLD,DUR,PT	0.16 	0.05 	0.06 	0.05 	0.44 
EUR,PROF,N_GE1,WORLD,DUR,RO	0 	0.05 	0 	0.03 	0 
EUR,PROF,N_GE1,WORLD,DUR,SE	2.55 	0.66 	1.01 	: 	: 
EUR,PROF,N_GE1,WORLD,DUR,SI	0 	3.44 	0.69 	0.44 	0.79 
EUR,PROF,N_GE1,WORLD,DUR,SK	0 u	0 	0.35 u	0.23 b	0.98 
EUR,PROF,N_GE1,WORLD,DUR,UK	: 	: 	: 	5.71 	26.23 
EUR,PROF,N_GE1,WORLD,OTH,AT	44 	39.11 	44.6 	35.65 	30.9 
EUR,PROF,N_GE1,WORLD,OTH,BE	8.02 	42.15 	33.56 	40.62 	23.48 
EUR,PROF,N_GE1,WORLD,OTH,BG	6.19 	2.81 	1.14 	2.01 	3.47 
EUR,PROF,N_GE1,WORLD,OTH,CH	32.03 	21.21 	9.34 	19.26 	8.78 
EUR,PROF,N_GE1,WORLD,OTH,CY	23.31 	16.23 	12 	13.6 	11.79 
EUR,PROF,N_GE1,WORLD,OTH,CZ	12.56 	10.4 	11.63 	11.58 	15.2 
EUR,PROF,N_GE1,WORLD,OTH,DE	23.15 	26.47 	20.96 	26.15 	23.72 
EUR,PROF,N_GE1,WORLD,OTH,DK	25.29 	24.66 	35.35 b	29.81 b	36.54 
EUR,PROF,N_GE1,WORLD,OTH,EA	: 	: 	22 e	25.59 	24.4 
EUR,PROF,N_GE1,WORLD,OTH,EE	10.74 	8.32 	6.84 	5.77 	5.06 
EUR,PROF,N_GE1,WORLD,OTH,EL	5.77 	7.52 	7.13 	8.59 	2.21 
EUR,PROF,N_GE1,WORLD,OTH,ES	10.28 	7.23 b	23.66 	29.56 	29.12 
EUR,PROF,N_GE1,WORLD,OTH,EU27	: 	22.98 	21.14 e	20.15 	20.73 
EUR,PROF,N_GE1,WORLD,OTH,EU28	: 	22.81 	20.73 e	20.01 	20.65 
EUR,PROF,N_GE1,WORLD,OTH,FI	17.66 	21.22 	20.62 	21.67 	20.41 
EUR,PROF,N_GE1,WORLD,OTH,FR	25.3 	24.1 	22.71 	22.09 	21.1 
EUR,PROF,N_GE1,WORLD,OTH,HR	9.04 	10.48 	5.72 	11.28 	12.64 
EUR,PROF,N_GE1,WORLD,OTH,HU	29.81 	26.84 	24.92 	28.66 	21.05 
EUR,PROF,N_GE1,WORLD,OTH,IE	70.26 	77.03 	61.39 	72.4 	73.63 
EUR,PROF,N_GE1,WORLD,OTH,IT	23.81 	25.5 	16.85 b	36.28 	33.74 
EUR,PROF,N_GE1,WORLD,OTH,LT	11.61 	11.39 	16.45 	18.17 	13.03 
EUR,PROF,N_GE1,WORLD,OTH,LU	12.88 	12.55 	19.51 	0 	0 
EUR,PROF,N_GE1,WORLD,OTH,LV	13.89 	19.68 	12.4 	13.18 	14.12 
EUR,PROF,N_GE1,WORLD,OTH,MT	49.13 	47.52 	41.86 b	68.19 	73.99 
EUR,PROF,N_GE1,WORLD,OTH,NL	15.22 	10.73 	12.32 	12.38 	15.17 
EUR,PROF,N_GE1,WORLD,OTH,PL	6.95 	7.61 	5.53 b	3.06 	10.41 
EUR,PROF,N_GE1,WORLD,OTH,PT	5.26 	6.53 	5.61 	3.69 	2.85 
EUR,PROF,N_GE1,WORLD,OTH,RO	3.27 	3.29 	2.87 	2.39 	2.66 
EUR,PROF,N_GE1,WORLD,OTH,SE	24.4 	27.54 	17.28 	: 	: 
EUR,PROF,N_GE1,WORLD,OTH,SI	16.97 	12.16 	17.04 	19.14 	17.2 
EUR,PROF,N_GE1,WORLD,OTH,SK	9.02 u	8.25 	14.79 u	10.02 b	33.27 
EUR,PROF,N_GE1,WORLD,OTH,UK	: 	: 	: 	6.17 	8.65 
EUR,PROF,N_GE1,WORLD,REST,BE	30.03 	0 	0 	0 	: 
EUR,PROF,N_GE1,WORLD,REST,BG	16.22 	15.06 	15.9 	9.39 	10.78 
EUR,PROF,N_GE1,WORLD,REST,CH	49.93 	39.53 	25.47 	55.2 	50.47 
EUR,PROF,N_GE1,WORLD,REST,CY	35.56 	36.16 	31.1 	44.43 	: 
EUR,PROF,N_GE1,WORLD,REST,CZ	14.8 	14.71 	11.64 	15.34 	16.25 
EUR,PROF,N_GE1,WORLD,REST,DK	: 	: 	: b	: b	: 
EUR,PROF,N_GE1,WORLD,REST,EA	: 	: 	8 e	8.1 	7.1 
EUR,PROF,N_GE1,WORLD,REST,EE	19.94 	13.12 	15.23 	10.01 	9.23 
EUR,PROF,N_GE1,WORLD,REST,EL	13.53 	16.4 	9.89 	15.48 	8.55 
EUR,PROF,N_GE1,WORLD,REST,ES	28.96 	25.83 b	8.65 	5.87 	6.45 
EUR,PROF,N_GE1,WORLD,REST,EU27	: 	9.11 	7.81 e	8.54 	8.18 
EUR,PROF,N_GE1,WORLD,REST,EU28	: 	9.24 	7.84 e	8.62 	8.22 
EUR,PROF,N_GE1,WORLD,REST,FI	26.85 	31.51 	25.54 	29.67 	27.43 
EUR,PROF,N_GE1,WORLD,REST,FR	21.89 	20.99 	20.36 	20.22 	18.98 
EUR,PROF,N_GE1,WORLD,REST,HR	18.12 	18.4 	9.01 	13.1 	12.97 
EUR,PROF,N_GE1,WORLD,REST,HU	34.33 	34.23 	27.76 	23.5 	18.91 
EUR,PROF,N_GE1,WORLD,REST,IT	: 	: 	: b	: 	: 
EUR,PROF,N_GE1,WORLD,REST,LT	11.19 	10.33 	7.85 	9.94 	12.5 
EUR,PROF,N_GE1,WORLD,REST,LU	74.22 	62.54 	58.92 	47.18 	52.31 
EUR,PROF,N_GE1,WORLD,REST,LV	9.8 	11.88 	6.8 	8.93 	6.06 
EUR,PROF,N_GE1,WORLD,REST,MT	: 	: 	: b	: 	: 
EUR,PROF,N_GE1,WORLD,REST,NL	31.33 	26.36 	30.5 	30.21 	32.34 
EUR,PROF,N_GE1,WORLD,REST,PL	14.96 	13.49 	14.01 b	9.18 	14.44 
EUR,PROF,N_GE1,WORLD,REST,PT	14.69 	13.64 	11.25 	4.14 	5.33 
EUR,PROF,N_GE1,WORLD,REST,RO	3.91 	3.63 	3.27 	3.72 	2.07 
EUR,PROF,N_GE1,WORLD,REST,SI	24.27 	22.9 	21.79 	19.58 	24.04 
EUR,PROF,N_GE1,WORLD,REST,SK	20.15 u	22.27 	15.65 u	14.58 b	: 
EUR,PROF,N_GE1,WORLD,REST,UK	: 	: 	: 	10.61 	10.67 
EUR,PROF,N_GE1,WORLD,TOTAL,AT	219.91 	189.15 	204.74 	213.64 	194.11 
EUR,PROF,N_GE1,WORLD,TOTAL,BE	191.86 	161.97 	164.87 	217.85 	82.47 
EUR,PROF,N_GE1,WORLD,TOTAL,BG	61.49 	57.99 	63.57 	39.64 	52.36 
EUR,PROF,N_GE1,WORLD,TOTAL,CH	307.03 	339.38 	164.75 	342.1 	331.7 
EUR,PROF,N_GE1,WORLD,TOTAL,CY	203.75 	161.86 	141.83 	183.07 	84.66 
EUR,PROF,N_GE1,WORLD,TOTAL,CZ	88.57 	89.2 	75.5 	77.46 	91.57 
EUR,PROF,N_GE1,WORLD,TOTAL,DE	175.53 	197.55 	161.99 	206.39 	212.27 
EUR,PROF,N_GE1,WORLD,TOTAL,DK	186 	181 	254.63 b	166.43 b	227.31 
EUR,PROF,N_GE1,WORLD,TOTAL,EA	: 	: 	137.8 e	162.16 	154.77 
EUR,PROF,N_GE1,WORLD,TOTAL,EE	112.02 	79.52 	106.96 	71.37 	94.23 
EUR,PROF,N_GE1,WORLD,TOTAL,EL	49.72 	56.56 	40.82 	61.44 	31.36 
EUR,PROF,N_GE1,WORLD,TOTAL,ES	157.77 	122.34 b	50.3 	57.43 	50.18 
EUR,PROF,N_GE1,WORLD,TOTAL,EU27	: 	161.53 	134.31 e	143.68 	140.46 
EUR,PROF,N_GE1,WORLD,TOTAL,EU28	: 	161.12 	132.27 e	142.53 	139.86 
EUR,PROF,N_GE1,WORLD,TOTAL,FI	193.32 	222.84 	187.47 	219.93 	202.88 
EUR,PROF,N_GE1,WORLD,TOTAL,FR	142.2 	148.24 	132.17 	131.93 	122.25 
EUR,PROF,N_GE1,WORLD,TOTAL,HR	99.26 	131.15 	56.37 	72.45 	81.59 
EUR,PROF,N_GE1,WORLD,TOTAL,HU	136.59 	133.35 	109.84 	104.87 	69.01 
EUR,PROF,N_GE1,WORLD,TOTAL,IE	248 	269.35 	239.18 	276.19 	252.72 
EUR,PROF,N_GE1,WORLD,TOTAL,IT	110.59 	126.87 	88.66 b	168.09 	170.56 
EUR,PROF,N_GE1,WORLD,TOTAL,LT	83.22 	79.58 	79.37 	79.11 	63.56 
EUR,PROF,N_GE1,WORLD,TOTAL,LU	364.63 	324.21 	310.51 	306.95 	254.13 
EUR,PROF,N_GE1,WORLD,TOTAL,LV	103.67 	114.17 	77.62 	70.23 	62.79 
EUR,PROF,N_GE1,WORLD,TOTAL,MT	138.91 	163.37 	130.23 b	162.16 	175.22 
EUR,PROF,N_GE1,WORLD,TOTAL,NL	210.15 	183.06 	194.31 	208.5 	203.95 
EUR,PROF,N_GE1,WORLD,TOTAL,PL	64.72 	62.02 	68.83 b	50.37 	86.36 
EUR,PROF,N_GE1,WORLD,TOTAL,PT	61.14 	48.23 	55.79 	26.46 	31.67 
EUR,PROF,N_GE1,WORLD,TOTAL,RO	17.81 	17.79 	15.54 	16.05 	13.85 
EUR,PROF,N_GE1,WORLD,TOTAL,SE	140.76 	171.74 	128.21 	: 	: 
EUR,PROF,N_GE1,WORLD,TOTAL,SI	176.9 	156.59 	172.33 	144.57 	171.38 
EUR,PROF,N_GE1,WORLD,TOTAL,SK	84.24 u	102.99 	91.93 u	76.11 b	90.8 
EUR,PROF,N_GE1,WORLD,TOTAL,UK	: 	: 	: 	125.53 	106.58 
EUR,PROF,N_GE1,WORLD,TRA,AT	82.1 	77.09 	88.39 	94.9 	77.5 
EUR,PROF,N_GE1,WORLD,TRA,BE	88.49 	57.09 	72.48 	97.89 	30.66 
EUR,PROF,N_GE1,WORLD,TRA,BG	17.25 	18.57 	25.3 	12.56 	18.05 
EUR,PROF,N_GE1,WORLD,TRA,CH	126.31 	172.4 	64.85 	156.3 	173.7 
EUR,PROF,N_GE1,WORLD,TRA,CY	81.64 	57.7 	52.28 	65.8 	37.1 
EUR,PROF,N_GE1,WORLD,TRA,CZ	29.71 	29.23 	25.83 	24.14 	27.88 
EUR,PROF,N_GE1,WORLD,TRA,DE	85.51 	97.87 	78.72 	98.88 	111.1 
EUR,PROF,N_GE1,WORLD,TRA,DK	61.47 	66.68 	112.43 b	78.32 b	98.81 
EUR,PROF,N_GE1,WORLD,TRA,EA	: 	: 	59.07 e	69.52 	69.25 
EUR,PROF,N_GE1,WORLD,TRA,EE	42.59 	33.3 	35.75 	25.87 	31.13 
EUR,PROF,N_GE1,WORLD,TRA,EL	15.2 	17.75 	13.45 	20.78 	12.09 
EUR,PROF,N_GE1,WORLD,TRA,ES	60.39 	46.36 b	5.81 	7.13 	6.12 
EUR,PROF,N_GE1,WORLD,TRA,EU27	: 	70.83 	56.86 e	58.94 	59.51 
EUR,PROF,N_GE1,WORLD,TRA,EU28	: 	70.71 	55.98 e	58.31 	59.21 
EUR,PROF,N_GE1,WORLD,TRA,FI	76.35 	92.15 	77.12 	91.68 	86.84 
EUR,PROF,N_GE1,WORLD,TRA,FR	50.1 	58.16 	49.43 	49.39 	44.72 
EUR,PROF,N_GE1,WORLD,TRA,HR	40.07 	62.25 	23.5 	20.15 	29.58 
EUR,PROF,N_GE1,WORLD,TRA,HU	33.76 	34.14 	26.31 	14.47 	5.55 
EUR,PROF,N_GE1,WORLD,TRA,IE	93.63 	100.58 	97.65 	111.68 	95.22 
EUR,PROF,N_GE1,WORLD,TRA,IT	45 	54.01 	37.85 b	70.55 	71.69 
EUR,PROF,N_GE1,WORLD,TRA,LT	22.71 	25.97 	25.55 	23.96 	17.57 
EUR,PROF,N_GE1,WORLD,TRA,LU	153.14 	137.99 	125.04 	132.49 	103.95 
EUR,PROF,N_GE1,WORLD,TRA,LV	32.71 	29.99 	25.89 	19.84 	25.86 
EUR,PROF,N_GE1,WORLD,TRA,MT	39.03 	59.09 	46.61 b	45.17 	50.76 
EUR,PROF,N_GE1,WORLD,TRA,NL	79.99 	74.51 	77.15 	87.68 	76.98 
EUR,PROF,N_GE1,WORLD,TRA,PL	20.07 	19.59 	24.21 b	13.48 	37.51 
EUR,PROF,N_GE1,WORLD,TRA,PT	21.7 	12.89 	20.69 	12.47 	10.84 
EUR,PROF,N_GE1,WORLD,TRA,RO	4.18 	4.22 	3.48 	3.39 	1.63 
EUR,PROF,N_GE1,WORLD,TRA,SE	33.76 	77.68 	48.77 	: 	: 
EUR,PROF,N_GE1,WORLD,TRA,SI	66.95 	57.92 	67.58 	56.2 	69.89 
EUR,PROF,N_GE1,WORLD,TRA,SK	27.41 u	39.18 	26.64 u	25.5 b	29.04 
EUR,PROF,N_GE1,WORLD,TRA,UK	: 	: 	: 	43.04 	30.02 
EUR,PROF,N_GE4,DOM,ACC,AT	50.29 	39.18 	35.2 	31.5 	36.46 
EUR,PROF,N_GE4,DOM,ACC,BE	46.86 	35.77 u	: u	: u	14.74 u
EUR,PROF,N_GE4,DOM,ACC,BG	12.89 u	: u	: u	5.69 u	: u
EUR,PROF,N_GE4,DOM,ACC,CH	: u	: u	: u	: u	: u
EUR,PROF,N_GE4,DOM,ACC,CY	: u	: u	: u	: u	: u
EUR,PROF,N_GE4,DOM,ACC,CZ	17.93 u	30.3 u	12.93 u	10.08 	12.99 u
EUR,PROF,N_GE4,DOM,ACC,DE	45.64 	50.14 	44.52 	61.84 	53.36 
EUR,PROF,N_GE4,DOM,ACC,DK	63.02 	50.32 	: u	4.74 bu	45 u
EUR,PROF,N_GE4,DOM,ACC,EA	: 	: 	29.42 e	35.21 	28.9 
EUR,PROF,N_GE4,DOM,ACC,EE	10.9 u	8.9 u	14.14 u	5.04 u	: u
EUR,PROF,N_GE4,DOM,ACC,EL	6.45 	6.11 	4.77 	5.71 	3.43 
EUR,PROF,N_GE4,DOM,ACC,ES	39.11 	28.37 b	6.21 	8.62 	6.84 
EUR,PROF,N_GE4,DOM,ACC,EU27	: 	35.83 	28.17 e	33.23 	27.87 
EUR,PROF,N_GE4,DOM,ACC,EU28	: 	35.62 	27.76 e	32.99 	27.74 
EUR,PROF,N_GE4,DOM,ACC,FI	64.53 	49.46 	34.71 	47.04 	37.55 
EUR,PROF,N_GE4,DOM,ACC,FR	25.77 	28.24 	24.92 	26.31 	23.13 
EUR,PROF,N_GE4,DOM,ACC,HR	17.3 	20.16 u	5.43 	13.61 	12.56 
EUR,PROF,N_GE4,DOM,ACC,HU	9.34 u	9.12 u	7.2 u	13.31 u	5.83 
EUR,PROF,N_GE4,DOM,ACC,IE	50.9 u	33.35 u	44.57 	39.76 u	49.28 u
EUR,PROF,N_GE4,DOM,ACC,IT	36.96 	28.78 	17.72 b	53.28 	45.9 
EUR,PROF,N_GE4,DOM,ACC,LT	12.67 	15.4 	10.81 	2.76 	1.92 
EUR,PROF,N_GE4,DOM,ACC,LU	: 	: u	: 	: u	: 
EUR,PROF,N_GE4,DOM,ACC,LV	: c	: u	: u	3.79 u	0.83 u
EUR,PROF,N_GE4,DOM,ACC,MT	: u	: u	: u	: u	: u
EUR,PROF,N_GE4,DOM,ACC,NL	51.89 u	38.52 u	83.93 u	42.88 u	75.66 u
EUR,PROF,N_GE4,DOM,ACC,PL	15.02 	11.57 	13.91 b	19.65 	18.64 
EUR,PROF,N_GE4,DOM,ACC,PT	10.02 	7.77 	10.14 	2.75 	7.47 
EUR,PROF,N_GE4,DOM,ACC,RO	6.56 	6.76 	5.97 	6.66 	7.41 
EUR,PROF,N_GE4,DOM,ACC,SE	29.06 	22.39 	30.25 	: 	: 
EUR,PROF,N_GE4,DOM,ACC,SI	: u	: u	: u	: u	: u
EUR,PROF,N_GE4,DOM,ACC,SK	: u	: u	: u	: u	: u
EUR,PROF,N_GE4,DOM,ACC,UK	: 	: 	: 	42.24 	33.3 
EUR,PROF,N_GE4,DOM,DUR,AT	0.43 	0 	0.17 	0 	0 
EUR,PROF,N_GE4,DOM,DUR,BE	0 	0.07 u	: u	: u	3.66 u
EUR,PROF,N_GE4,DOM,DUR,BG	0 u	: u	: u	0 u	: u
EUR,PROF,N_GE4,DOM,DUR,CH	: u	: u	: u	: 	: 
EUR,PROF,N_GE4,DOM,DUR,CY	: u	: u	: u	: u	: u
EUR,PROF,N_GE4,DOM,DUR,CZ	0 u	0 u	0 u	0 	0 u
EUR,PROF,N_GE4,DOM,DUR,DE	4.15 	1.32 	1 	1.52 	5.02 
EUR,PROF,N_GE4,DOM,DUR,DK	0.58 	0.81 	: u	0.18 bu	0.83 u
EUR,PROF,N_GE4,DOM,DUR,EA	: 	: 	1.05 e	1.22 	3.26 
EUR,PROF,N_GE4,DOM,DUR,EE	0 u	0 u	0.79 u	0.82 u	: u
EUR,PROF,N_GE4,DOM,DUR,EL	0.16 	0 	0.26 	0.38 	4.74 
EUR,PROF,N_GE4,DOM,DUR,ES	0 	0.46 b	0 	0 	4.58 
EUR,PROF,N_GE4,DOM,DUR,EU27	: 	1.08 	0.95 e	1.41 	2.98 
EUR,PROF,N_GE4,DOM,DUR,EU28	: 	1.06 	0.93 e	1.4 	2.95 
EUR,PROF,N_GE4,DOM,DUR,FI	0 	0 	0.22 	0 	3.12 
EUR,PROF,N_GE4,DOM,DUR,FR	2.43 	1.97 	2.04 	2.03 	1.44 
EUR,PROF,N_GE4,DOM,DUR,HR	0 	0 u	0.32 	0 	0.3 
EUR,PROF,N_GE4,DOM,DUR,HU	0 u	0 u	3.22 u	0 u	0 
EUR,PROF,N_GE4,DOM,DUR,IE	6.76 u	3.04 u	1.3 	0.6 u	1.66 u
EUR,PROF,N_GE4,DOM,DUR,IT	2.29 	0 	0 b	0 	0 
EUR,PROF,N_GE4,DOM,DUR,LT	0 	0 	0 	0.11 	0.07 
EUR,PROF,N_GE4,DOM,DUR,LU	: 	: u	: 	: u	: 
EUR,PROF,N_GE4,DOM,DUR,LV	: c	: u	: u	0.49 u	0 u
EUR,PROF,N_GE4,DOM,DUR,MT	: u	: u	: u	: u	: u
EUR,PROF,N_GE4,DOM,DUR,NL	0 u	0 u	0 u	0 u	0 u
EUR,PROF,N_GE4,DOM,DUR,PL	0 	0 	0 b	0.82 	2.63 
EUR,PROF,N_GE4,DOM,DUR,PT	0.44 	0.04 	0.05 	0.03 	1.23 
EUR,PROF,N_GE4,DOM,DUR,RO	0 	0.05 	0 	0.03 	0 
EUR,PROF,N_GE4,DOM,DUR,SE	0.88 	0.61 	0.19 	: 	: 
EUR,PROF,N_GE4,DOM,DUR,SI	: u	: u	: u	: u	: u
EUR,PROF,N_GE4,DOM,DUR,SK	: u	: u	: u	: u	: u
EUR,PROF,N_GE4,DOM,DUR,UK	: 	: 	: 	3.61 	2.65 
EUR,PROF,N_GE4,DOM,OTH,AT	28.8 	20.3 	21.96 	15.14 	15.2 
EUR,PROF,N_GE4,DOM,OTH,BE	4.71 	63.48 u	: u	: u	14.89 u
EUR,PROF,N_GE4,DOM,OTH,BG	2.98 u	: u	: u	0.77 u	: u
EUR,PROF,N_GE4,DOM,OTH,CH	: u	: u	: u	: u	: u
EUR,PROF,N_GE4,DOM,OTH,CY	: u	: u	: u	: u	: u
EUR,PROF,N_GE4,DOM,OTH,CZ	5.22 u	4.27 u	3.46 u	6.65 	4.63 u
EUR,PROF,N_GE4,DOM,OTH,DE	14.12 	16.01 	12.77 	15.25 	13.81 
EUR,PROF,N_GE4,DOM,OTH,DK	6.72 	9.3 	: u	2.09 bu	9.55 u
EUR,PROF,N_GE4,DOM,OTH,EA	: 	: 	14.23 e	16.05 	15.13 
