unit,purpose,duration,partner,expend,geo\time	2016 	2015 	2014 	2013 	2012 
EUR,PERS,N1-3,DOM,OTH,BE	19.44 	69.66 	62.63 	70.65 	65.92 
EUR,PERS,N1-3,DOM,OTH,BG	10.57 	10.09 	9.78 	7.66 	7.9 
EUR,PERS,N1-3,DOM,OTH,CH	34.76 	32.79 	27.05 	31.39 	27.16 
EUR,PERS,N1-3,DOM,OTH,CY	23.28 	11.64 	8.22 	3.1 	1.95 
EUR,PERS,N1-3,DOM,OTH,CZ	17.13 	15.29 	12.56 	12.71 	12.86 
EUR,PERS,N1-3,DOM,OTH,DE	49.92 	50.33 	50.23 	50.86 	50.3 
EUR,PERS,N1-3,DOM,OTH,DK	72.23 	61.51 	66.44 b	65.98 b	35.46 
EUR,PERS,N1-3,DOM,OTH,EA	: 	: 	39.53 e	39.82 	39.35 
EUR,PERS,N1-3,DOM,OTH,EE	15.6 	15.66 	10.59 	10.23 	6.5 
EUR,PERS,N1-3,DOM,OTH,EL	24.93 	23.77 	26.71 	24.16 	12.93 
EUR,PERS,N1-3,DOM,OTH,ES	27.11 	17.44 b	28.48 	29.32 	30.46 
EUR,PERS,N1-3,DOM,OTH,EU27	: 	36.9 	37.19 e	34.53 	33.65 
EUR,PERS,N1-3,DOM,OTH,EU28	: 	36.82 	37.11 e	34.51 	33.55 
EUR,PERS,N1-3,DOM,OTH,FI	46.5 	46.95 	45.6 	45.85 	45.77 
EUR,PERS,N1-3,DOM,OTH,FR	42.4 	41.43 	40.24 	39.25 	38.57 
EUR,PERS,N1-3,DOM,OTH,HR	14.27 	17.13 	24.93 	31.2 	17.55 
EUR,PERS,N1-3,DOM,OTH,HU	14.29 	14.35 	12.91 	12.78 	11.85 
EUR,PERS,N1-3,DOM,OTH,IE	75.02 	75.09 	76.55 	72.38 	71.27 
EUR,PERS,N1-3,DOM,OTH,IT	65.43 	64.54 	45.66 b	57.49 	60.63 
EUR,PERS,N1-3,DOM,OTH,LT	6.9 	6.16 	8.58 	8.5 	9.4 
EUR,PERS,N1-3,DOM,OTH,LU	35.07 u	24.82 u	38.22 	44.25 	10.77 
EUR,PERS,N1-3,DOM,OTH,LV	12.64 	12.65 	11.83 	13.03 	13.68 
EUR,PERS,N1-3,DOM,OTH,MT	91.25 	79.85 	77.39 b	61.59 	57.89 
EUR,PERS,N1-3,DOM,OTH,NL	16.24 	13.96 	13.62 	8.64 	7.35 
EUR,PERS,N1-3,DOM,OTH,PL	13.99 	14.19 	13.68 b	13.65 	22.47 
EUR,PERS,N1-3,DOM,OTH,PT	11.34 	11.94 	12.59 	10.77 	10.98 
EUR,PERS,N1-3,DOM,OTH,RO	18.17 	15.67 	15.49 	15.33 	19.15 
EUR,PERS,N1-3,DOM,OTH,SE	57.38 	55.38 	49.37 	: 	: 
EUR,PERS,N1-3,DOM,OTH,SI	12.77 	13.51 	15.66 	15.28 	14.93 
EUR,PERS,N1-3,DOM,OTH,SK	33.13 	32.79 	27.43 	31.03 b	61.09 
EUR,PERS,N1-3,DOM,OTH,UK	: 	: 	: 	17.65 	19.68 
EUR,PERS,N1-3,DOM,REST,BE	53.05 	0 	0 	0 	: 
EUR,PERS,N1-3,DOM,REST,BG	25.66 	27.59 	33.08 	26.43 	20.94 
EUR,PERS,N1-3,DOM,REST,CH	76.01 	60.96 	59.88 	53.84 	56.71 
EUR,PERS,N1-3,DOM,REST,CY	33.84 	32.41 	47.08 	47.42 	: 
EUR,PERS,N1-3,DOM,REST,CZ	8.51 	9.63 	6.36 	7.14 	6.85 
EUR,PERS,N1-3,DOM,REST,DK	: 	: 	: b	: b	: 
EUR,PERS,N1-3,DOM,REST,EA	: 	: 	19.75 e	18.39 	18.87 
EUR,PERS,N1-3,DOM,REST,EE	15.23 	16.87 	15.19 	13.98 	11.93 
EUR,PERS,N1-3,DOM,REST,EL	50.35 	48.45 	42.71 	35.28 	34.55 
